"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.03228181600570679,0.7147157192230225,1,0,1,4,"Successful"
"The weights [[made]] the rope stretch over the pulley.","The weights [[effected]] the rope stretch over the pulley.",0.028290271759033203,0.5888296365737915,1,0,1,5,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.33595144748687744,0.33595144748687744,1,1,1,1,"Failed"
"[[If]] you had eaten more, you [[would]] [[want]] less.","[[Though]] you had eaten more, you [[ought]] [[wants]] less.",0.01640242338180542,0.5141243934631348,1,0,1,13,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.7022685408592224,0.7022685408592224,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.981651246547699,0.981651246547699,1,1,0,1,"Skipped"
"I demand that the more John [[eat]], the more he pays.","I demand that the more John [[ate]], the more he pays.",0.1777418851852417,0.9312208294868469,0,1,0,6,"Successful"
"Mary listens to the Grateful Dead, she [[gets]] [[depressed]].","Mary listens to the Grateful Dead, she [[get]] [[depressive]].",0.1716819405555725,0.9243233799934387,1,0,1,6,"Successful"
"The angrier Mary got, the more she [[looked]] at [[pictures]].","The angrier Mary got, the more she [[seemed]] at [[photos]].",0.04279857873916626,0.5635860562324524,1,0,1,9,"Successful"
"The [[higher]] the stakes, the lower his expectations are.","The [[high]] the stakes, the lower his expectations are.",0.035073280334472656,0.6858973503112793,1,0,1,3,"Successful"
"The more Fred is obnoxious, the [[less]] attention you should pay to him.","The more Fred is obnoxious, the [[least]] attention you should pay to him.",0.3455253839492798,0.7954964637756348,1,0,1,6,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[batch]] more obnoxious than Fred.",0.0993463397026062,0.7239573001861572,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[obtain]] [[ill]].",0.016503453254699707,0.5150485038757324,1,0,1,8,"Successful"
"The more does Bill [[smoke]], the more [[Susan]] [[hates]] him.","The more does Bill [[smoking]], the more [[Susanne]] [[hating]] him.",0.13741517066955566,0.25306445360183716,0,0,0,17,"Failed"
"The more [[pictures]] of him that appear in the news, the more [[embarrassed]] John [[becomes]].","The more [[photograph]] of him that appear in the news, the more [[ashamed]] John [[become]].",0.025209546089172363,0.7824704051017761,1,0,1,14,"Successful"
"Every senator seems to become more [[corrupt]], as he [[talks]] to more lobbyists.","Every senator seems to become more [[corrupted]], as he [[talk]] to more lobbyists.",0.2349228858947754,0.910986602306366,1,0,1,12,"Successful"
"Who does John [[visit]] Sally because he [[likes]]?","Who does John [[visiting]] Sally because he [[adores]]?",0.08208966255187988,0.10998761653900146,0,0,0,7,"Failed"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.014000952243804932,0.9404647350311279,1,0,1,2,"Successful"
"He could not] have been working.","He could not] have been working.",0.7255022525787354,0.7255022525787354,0,0,1,1,"Skipped"
"He can not have been [[working]].","He can not have been [[collaborated]].",0.01534968614578247,0.8011682033538818,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.015388190746307373,0.9040278196334839,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.03145444393157959,0.9022783041000366,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I [[seen]] a place like Bangor.","I [[told]] that never in my [[iife]] had I [[noticed]] a place like Bangor.",0.02264779806137085,0.3216848373413086,1,1,1,16,"Failed"
"Mickey looked up it.","Mickey looked up it.",0.06405490636825562,0.06405490636825562,0,0,0,2,"Failed"
"There [[tended]] to be a lot of discussion.","There [[tending]] to be a lot of discussion.",0.0257033109664917,0.6976816654205322,1,0,1,4,"Successful"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.014062821865081787,0.9504862427711487,1,0,1,3,"Successful"
"John is eager.","John is eager.",0.04339039325714111,0.04339039325714111,1,1,1,1,"Failed"
