"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the panther's the coat is [[dark]] black.","the panther's the coat is [[blackness]] black.",0.06923562288284302,0.08203667402267456,0,0,0,9,"Failed"
"It would be unwise for there to be no fire [[exit]].","It would be unwise for there to be no fire [[egress]].",0.05934774875640869,0.06644392013549805,1,1,1,4,"Failed"
"John [[left]] us orders to follow Pete.","John [[exited]] us orders to follow Pete.",0.11918443441390991,0.8683180809020996,1,0,1,2,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.12182623147964478,0.12182623147964478,1,1,1,1,"Failed"
"Frances [[hid]] the presents in the [[drawer]].","Frances [[concealed]] the presents in the [[dresser]].",0.017227470874786377,0.0548090934753418,1,1,1,4,"Failed"
"That dogs bark [[annoys]] people.","That dogs bark [[bothers]] people.",0.038906216621398926,0.2558146119117737,1,1,1,3,"Failed"
"Carla shoveled the [[walk]].","Carla shoveled the [[walking]].",0.09283876419067383,0.4692496657371521,1,1,1,3,"Failed"
"The [[birds]] give the worm a [[tug]].","The [[bird]] give the worm a [[tugs]].",0.03344243764877319,0.527362585067749,1,0,1,4,"Successful"
"Michelle kept the desk with the [[papers]].","Michelle kept the desk with the [[documentation]].",0.08997154235839844,0.10271453857421875,0,0,0,5,"Failed"
"Sandy is [[wondering]] whether there will be students who have to drop the class for a certain reason, but she won't [[reveal]] what.","Sandy is [[requests]] whether there will be students who have to drop the class for a certain reason, but she won't [[disclosed]] what.",0.02806144952774048,0.8648315668106079,1,0,1,13,"Successful"
"I [[hit]] that you knew the answer.","I [[strike]] that you knew the answer.",0.0654420256614685,0.09551775455474854,0,0,0,4,"Failed"
"I [[dislike]] the company in which we placed our [[trust]].","I [[loathing]] the company in which we placed our [[trusting]].",0.03630506992340088,0.473524272441864,1,1,1,8,"Failed"
"The patient was died.","The patient was died.",0.06840115785598755,0.06840115785598755,0,0,0,2,"Failed"
"I dislike the people in who we placed our trust.","I dislike the people in who we placed our trust.",0.8502158522605896,0.8502158522605896,1,1,0,1,"Skipped"
"You should sit before there.","You should sit before there.",0.4418864846229553,0.4418864846229553,0,0,0,4,"Failed"
"I would [[prefer]] for John to leave.","I would [[favored]] for John to leave.",0.02004450559616089,0.6923700571060181,1,0,1,6,"Successful"
"Heidi [[thinks]] that [[Andy]] should [[eat]] salmon flavored candy bars.","Heidi [[think]] that [[Indie]] should [[eating]] salmon flavored candy bars.",0.015905559062957764,0.5246628522872925,1,0,1,12,"Successful"
"Bill's wine from [[France]] and Ted's from [[California]] cannot be [[compared]].","Bill's wine from [[Francia]] and Ted's from [[Californian]] cannot be [[comparing]].",0.11069667339324951,0.4644779562950134,1,1,1,6,"Failed"
"Us love they.","Us love they.",0.2352283000946045,0.2352283000946045,0,0,0,1,"Failed"
"The bed was slept in.","The bed was slept in.",0.9251851439476013,0.9251851439476013,0,0,1,1,"Skipped"
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.","Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0.9236607551574707,0.9236607551574707,1,1,0,1,"Skipped"
"The cat was bitten the [[mouse]] by the dog.","The cat was bitten the [[mice]] by the dog.",0.03616809844970703,0.04195725917816162,0,0,0,2,"Failed"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.0312536358833313,0.9286404848098755,1,0,1,3,"Successful"
"We [[wanted]] to [[invite]] someone, but we couldn't [[decide]] who to.","We [[want]] to [[invitation]] someone, but we couldn't [[decided]] who to.",0.3903375267982483,0.45185863971710205,0,0,0,20,"Failed"
"John finished the cake and [[drank]] the lemonade.","John finished the cake and [[drinking]] the lemonade.",0.015166163444519043,0.9372336268424988,1,0,1,6,"Successful"
"Some people [[consider]] [[noisy]] dogs in my neighborhood dangerous.","Some people [[consideration]] [[loud]] dogs in my neighborhood dangerous.",0.02166193723678589,0.5718986392021179,1,0,1,8,"Successful"
"Everyone relies on someone. It's [[unclear]] who.","Everyone relies on someone. It's [[ambiguous]] who.",0.27434414625167847,0.6933660507202148,1,0,1,5,"Successful"
"Captain Wentworth [[wrote]] a letter to Anne [[Elliott]].","Captain Wentworth [[written]] a letter to Anne [[Elliot]].",0.014404296875,0.05423426628112793,1,1,1,3,"Failed"
"Whenever [[Russia]] has made a [[major]] political blunder, the U.S. has too.","Whenever [[Russian]] has made a [[grands]] political blunder, the U.S. has too.",0.08095449209213257,0.13255363702774048,1,1,1,20,"Failed"
"Some people [[consider]] the dogs [[dangerous]].","Some people [[considering]] the dogs [[hazardous]].",0.017888426780700684,0.04412323236465454,1,1,1,4,"Failed"
"The defendant [[denied]] the accusation.","The defendant [[refusing]] the accusation.",0.021222829818725586,0.6674827337265015,1,0,1,12,"Successful"
"We created a [[monster]].","We created a [[monsters]].",0.023985564708709717,0.9045789241790771,1,0,1,2,"Successful"
"John [[said]] Joan saw someone from her graduating class.","John [[asserted]] Joan saw someone from her graduating class.",0.050826430320739746,0.7698301076889038,1,0,1,7,"Successful"
"John is tall on several occasions.","John is tall on several occasions.",0.8892214894294739,0.8892214894294739,1,1,0,1,"Skipped"
