"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"unpretentious , [[charming]] , quirky , original","unpretentious , [[enchanting]] , quirky , original",0.010381162166595459,0.012736141681671143,1,1,1,2,"Failed"
"a film really has to be [[exceptional]] to [[justify]] a three [[hour]] [[running]] time , and this isn't .","a film really has to be [[phenomenal]] to [[justified]] a three [[hours]] [[executing]] time , and this isn't .",0.06359237432479858,0.09084701538085938,0,0,0,22,"Failed"
"[[working]] from a [[surprisingly]] [[sensitive]] [[script]] co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .","[[cooperating]] from a [[oddly]] [[receptive]] [[hyphen]] co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .",0.045994341373443604,0.16918927431106567,1,1,1,25,"Failed"
"it may not be particularly innovative , but the film's crisp , [[unaffected]] style and air of [[gentle]] longing make it [[unexpectedly]] [[rewarding]] .","it may not be particularly innovative , but the film's crisp , [[undamaged]] style and air of [[mild]] longing make it [[abruptly]] [[reward]] .",0.004018187522888184,0.040441930294036865,1,1,1,14,"Failed"
"such a [[premise]] is ripe for all [[manner]] of [[lunacy]] , but kaufman and gondry rarely seem sure of where it should go .","such a [[hypothesis]] is ripe for all [[modes]] of [[foolishness]] , but kaufman and gondry rarely seem sure of where it should go .",0.018948674201965332,0.038430869579315186,0,0,0,18,"Failed"
"the lead actors [[share]] no [[chemistry]] or engaging charisma . we don't [[even]] like their characters .","the lead actors [[shares]] no [[chemical]] or engaging charisma . we don't [[yet]] like their characters .",0.011888504028320312,0.019554555416107178,0,0,0,8,"Failed"
"we [[started]] to wonder if  some [[unpaid]] intern had just [[typed]] 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like [[script]] machine .","we [[initiation]] to wonder if  some [[outstanding]] intern had just [[written]] 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like [[scripts]] machine .",0.012203693389892578,0.03664124011993408,0,0,0,12,"Failed"
"the metaphors are provocative , but too [[often]] , the viewer is left [[puzzled]] by the mechanics of the delivery .","the metaphors are provocative , but too [[traditionally]] , the viewer is left [[intrigued]] by the mechanics of the delivery .",0.032383620738983154,0.6880941390991211,0,1,0,22,"Successful"
"marinated in [[clichés]] and mawkish [[dialogue]] .","marinated in [[cliché]] and mawkish [[conversation]] .",0.009207963943481445,0.10089713335037231,0,0,0,9,"Failed"
"an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .","an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .",0.9475855231285095,0.9475855231285095,1,1,0,1,"Skipped"
"it has the right approach and the right opening premise , but it [[lacks]] the zest and it goes for a plot twist instead of [[trusting]] the material .","it has the right approach and the right opening premise , but it [[shortage]] the zest and it goes for a plot twist instead of [[relying]] the material .",0.015212178230285645,0.5777242183685303,0,1,0,9,"Successful"
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[problem]] with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[issues]] with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0.03579914569854736,0.6092169880867004,0,1,0,7,"Successful"
"as it stands , crocodile hunter has the [[hurried]] , [[badly]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .","as it stands , crocodile hunter has the [[raced]] , [[desperately]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .",0.048506081104278564,0.5860764384269714,0,1,0,9,"Successful"
"there is more than one [[joke]] about putting the toilet seat down . and that should tell you everything you [[need]] to know about all the queen's men .","there is more than one [[jest]] about putting the toilet seat down . and that should tell you everything you [[needs]] to know about all the queen's men .",0.27659183740615845,0.3264596462249756,0,0,0,12,"Failed"
"fails in making this character understandable , in getting under her skin , in [[exploring]] motivation . . . well before the end , the film [[grows]] as [[dull]] as its [[characters]] , about whose fate it is hard to care .","fails in making this character understandable , in getting under her skin , in [[examining]] motivation . . . well before the end , the film [[increasing]] as [[uninspiring]] as its [[nature]] , about whose fate it is hard to care .",0.007417917251586914,0.020493626594543457,0,0,0,26,"Failed"
"the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be [[emphasized]] enough .","the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be [[highlighted]] enough .",0.10371589660644531,0.5308060646057129,1,0,1,9,"Successful"
"a [[charming]] and [[funny]] story of clashing cultures and a clashing mother/daughter relationship .","a [[ravishing]] and [[humorous]] story of clashing cultures and a clashing mother/daughter relationship .",0.0037845969200134277,0.0042691826820373535,1,1,1,16,"Failed"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.7687177658081055,0.7687177658081055,0,0,1,1,"Skipped"
"what ensues are much blood-splattering , [[mass]] drug-induced bowel [[evacuations]] , and none-too-funny [[commentary]] on the cultural distinctions between [[americans]] and brits .","what ensues are much blood-splattering , [[masse]] drug-induced bowel [[evac]] , and none-too-funny [[comments]] on the cultural distinctions between [[america]] and brits .",0.17608177661895752,0.35854363441467285,0,0,0,18,"Failed"
"director lee has a true cinematic knack , but it's also [[nice]] to [[see]] a movie with its heart so [[thoroughly]] , unabashedly on its [[sleeve]] .","director lee has a true cinematic knack , but it's also [[pleasurable]] to [[seeing]] a movie with its heart so [[scrupulously]] , unabashedly on its [[muff]] .",0.00610584020614624,0.029286623001098633,1,1,1,15,"Failed"
"the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .","the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .",0.971075177192688,0.971075177192688,1,1,0,1,"Skipped"
"goldmember is [[funny]] enough to justify the embarrassment of bringing a barf bag to the moviehouse .","goldmember is [[comical]] enough to justify the embarrassment of bringing a barf bag to the moviehouse .",0.07931768894195557,0.8548922538757324,1,0,1,4,"Successful"
"an unsophisticated sci-fi [[drama]] that takes itself all too [[seriously]] .","an unsophisticated sci-fi [[tragedy]] that takes itself all too [[earnestly]] .",0.009368836879730225,0.016023993492126465,0,0,0,12,"Failed"
"an original and [[highly]] cerebral [[examination]] of the psychopathic mind","an original and [[inordinately]] cerebral [[exam]] of the psychopathic mind",0.004452824592590332,0.013562321662902832,1,1,1,36,"Failed"
"death to smoochy [[tells]] a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is [[joke]] . over and over again .","death to smoochy [[narrates]] a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is [[joking]] . over and over again .",0.058555424213409424,0.06579947471618652,0,0,0,5,"Failed"
"i [[prefer]] soderbergh's concentration on his two lovers over tarkovsky's mostly male , mostly patriarchal debating societies .","i [[preferred]] soderbergh's concentration on his two lovers over tarkovsky's mostly male , mostly patriarchal debating societies .",0.31674033403396606,0.5648112893104553,1,0,1,5,"Successful"
"meticulously uncovers a trail of [[outrageous]] force and craven concealment .","meticulously uncovers a trail of [[loathsome]] force and craven concealment .",0.06486064195632935,0.5245747566223145,1,0,1,15,"Successful"
"a rip-off twice [[removed]] , [[modeled]] after [seagal's] earlier copycat under siege , sometimes referred to as [[die]] [[hard]] on a boat .","a rip-off twice [[abolished]] , [[modelled]] after [seagal's] earlier copycat under siege , sometimes referred to as [[decease]] [[harsh]] on a boat .",0.016454577445983887,0.05740875005722046,0,0,0,16,"Failed"
"one of those [[joyous]] films that [[leaps]] over national [[boundaries]] and [[celebrates]] universal human nature .","one of those [[happier]] films that [[jumping]] over national [[limit]] and [[commemorates]] universal human nature .",0.004122495651245117,0.05540663003921509,1,1,1,23,"Failed"
"if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the [[ticket]] you need .","if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the [[tickets]] you need .",0.3711356520652771,0.641621470451355,1,0,1,2,"Successful"
