"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the panther's the coat is dark black.","the panther's the coat is dark black.",0.665593683719635,0.665593683719635,1,1,0,1,"Skipped"
"It [[would]] be unwise for there to be no [[fire]] exit.","It [[should]] be unwise for there to be no [[wildfire]] exit.",0.05539405345916748,0.2042345404624939,1,1,1,5,"Failed"
"John [[left]] us orders to follow Pete.","John [[exited]] us orders to follow Pete.",0.03825271129608154,0.750711977481842,1,0,1,4,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.062407612800598145,0.062407612800598145,1,1,1,1,"Failed"
"Frances [[hid]] the presents in the drawer.","Frances [[hiding]] the presents in the drawer.",0.04506784677505493,0.9525609016418457,1,0,1,14,"Successful"
"That dogs bark [[annoys]] people.","That dogs bark [[irritates]] people.",0.03705453872680664,0.05219799280166626,1,1,1,3,"Failed"
"Carla shoveled the [[walk]].","Carla shoveled the [[walking]].",0.03825843334197998,0.35158711671829224,1,1,1,3,"Failed"
"The [[birds]] [[give]] the worm a tug.","The [[bird]] [[lend]] the worm a tug.",0.025129318237304688,0.8550741672515869,1,0,1,4,"Successful"
"Michelle kept the desk with the papers.","Michelle kept the desk with the papers.",0.05690431594848633,0.05690431594848633,0,0,0,5,"Failed"
"[[Sandy]] is [[wondering]] whether there will be students who have to [[drop]] the class for a certain [[reason]], but she won't reveal what.","[[Sandi]] is [[requested]] whether there will be students who have to [[drops]] the class for a certain [[reasons]], but she won't reveal what.",0.029519319534301758,0.4358651638031006,1,1,1,11,"Failed"
"I [[hit]] that you knew the answer.","I [[strike]] that you knew the answer.",0.04048442840576172,0.06497746706008911,0,0,0,4,"Failed"
"I [[dislike]] the company in which we placed our trust.","I [[loathing]] the company in which we placed our trust.",0.17421191930770874,0.8989831805229187,1,0,1,7,"Successful"
"The patient was died.","The patient was died.",0.3069930672645569,0.3069930672645569,0,0,0,2,"Failed"
"I dislike the people in who we placed our [[trust]].","I dislike the people in who we placed our [[trusts]].",0.14793044328689575,0.294177770614624,0,0,0,9,"Failed"
"You should sit before there.","You should sit before there.",0.9295451641082764,0.9295451641082764,1,1,0,1,"Skipped"
"I [[would]] prefer for John to leave.","I [[ought]] prefer for John to leave.",0.02289760112762451,0.727839469909668,1,0,1,4,"Successful"
"Heidi [[thinks]] that [[Andy]] should eat salmon [[flavored]] candy bars.","Heidi [[think]] that [[Indie]] should eat salmon [[flavoured]] candy bars.",0.016496658325195312,0.5704750418663025,1,0,1,8,"Successful"
"Bill's [[wine]] from France and Ted's from California cannot be compared.","Bill's [[vino]] from France and Ted's from California cannot be compared.",0.15085554122924805,0.3817233443260193,1,1,1,3,"Failed"
"Us love they.","Us love they.",0.0444951057434082,0.0444951057434082,0,0,0,1,"Failed"
"The bed was [[slept]] in.","The bed was [[sleep]] in.",0.12227684259414673,0.9597029089927673,1,0,1,2,"Successful"
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.","Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0.9414807558059692,0.9414807558059692,1,1,0,1,"Skipped"
"The [[cat]] was bitten the mouse by the [[dog]].","The [[kitten]] was bitten the mouse by the [[doggy]].",0.056301772594451904,0.10592770576477051,0,0,0,7,"Failed"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.054414331912994385,0.924501895904541,1,0,1,3,"Successful"
"We [[wanted]] to invite [[someone]], but we couldn't decide who to.","We [[wished]] to invite [[anyone]], but we couldn't decide who to.",0.237557053565979,0.29120707511901855,0,0,0,19,"Failed"
"John [[finished]] the cake and drank the lemonade.","John [[finishing]] the cake and drank the lemonade.",0.12103205919265747,0.9600545763969421,1,0,1,13,"Successful"
"Some people [[consider]] noisy dogs in my neighborhood dangerous.","Some people [[considering]] noisy dogs in my neighborhood dangerous.",0.029769062995910645,0.8221269845962524,1,0,1,8,"Successful"
"Everyone relies on [[someone]]. It's unclear who.","Everyone relies on [[person]]. It's unclear who.",0.08460325002670288,0.7361294031143188,1,0,1,3,"Successful"
"[[Captain]] Wentworth [[wrote]] a letter to Anne Elliott.","[[Captains]] Wentworth [[written]] a letter to Anne Elliott.",0.02833932638168335,0.3616112470626831,1,1,1,12,"Failed"
"Whenever [[Russia]] has [[made]] a [[major]] political blunder, the U.S. has too.","Whenever [[Russian]] has [[accomplished]] a [[grands]] political blunder, the U.S. has too.",0.0611424446105957,0.5282830595970154,1,0,1,20,"Successful"
"Some people [[consider]] the dogs dangerous.","Some people [[considering]] the dogs dangerous.",0.025960862636566162,0.541581392288208,1,0,1,5,"Successful"
"The defendant [[denied]] the accusation.","The defendant [[refusing]] the accusation.",0.0328790545463562,0.8141769766807556,1,0,1,12,"Successful"
"We [[created]] a monster.","We [[generated]] a monster.",0.035856008529663086,0.061759233474731445,1,1,1,2,"Failed"
"John [[said]] Joan [[saw]] someone from her graduating class.","John [[say]] Joan [[seen]] someone from her graduating class.",0.05335336923599243,0.783549964427948,1,0,1,14,"Successful"
"John is tall on several occasions.","John is tall on several occasions.",0.8534748554229736,0.8534748554229736,1,1,0,1,"Skipped"
"I [[dislike]] the people in whose house we stayed.","I [[loathing]] the people in whose house we stayed.",0.05477619171142578,0.8280189633369446,1,0,1,6,"Successful"
"That Fido barks annoys me.","That Fido barks annoys me.",0.0807420015335083,0.0807420015335083,1,1,1,1,"Failed"
"Bill [[ate]] more peaches than Harry did grapes.","Bill [[eatin]] more peaches than Harry did grapes.",0.22571301460266113,0.549607515335083,1,0,1,8,"Successful"
"Nobody [[told]] Susan.","Nobody [[said]] Susan.",0.04376566410064697,0.6703214049339294,1,0,1,5,"Successful"
