"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[rudd]] the breeze clear of the rocks.",0.2990896701812744,0.29909491539001465,1,1,1,13,"Failed"
"The [[weights]] [[made]] the rope stretch over the [[pulley]].","The [[weigh]] [[brought]] the rope stretch over the [[pulleys]].",0.2989921569824219,0.29913806915283203,1,1,1,7,"Failed"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.2991560101509094,0.2991560101509094,1,1,1,1,"Failed"
"[[If]] you had [[eaten]] more, you [[would]] [[want]] less.","[[Though]] you had [[ate]] more, you [[should]] [[wanna]] less.",0.298608660697937,0.29907286167144775,1,1,1,12,"Failed"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.7009521126747131,0.7009521126747131,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.7010723948478699,0.7010723948478699,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.700984001159668,0.700984001159668,1,1,0,1,"Skipped"
"Mary listens to the [[Grateful]] Dead, she gets depressed.","Mary listens to the [[Thankful]] Dead, she gets depressed.",0.29921501874923706,0.2992504835128784,1,1,1,9,"Failed"
"The angrier Mary got, the more she looked at [[pictures]].","The angrier Mary got, the more she looked at [[image]].",0.298984169960022,0.2990299463272095,1,1,1,16,"Failed"
"The [[higher]] the stakes, the lower his expectations are.","The [[high]] the stakes, the lower his expectations are.",0.29911160469055176,0.29911690950393677,1,1,1,3,"Failed"
"The more Fred is [[obnoxious]], the less attention you should [[pay]] to him.","The more Fred is [[offensive]], the less attention you should [[paycheck]] to him.",0.2990075945854187,0.2990429401397705,1,1,1,26,"Failed"
"John was lots more [[obnoxious]] than Fred.","John was lots more [[offensive]] than Fred.",0.29911595582962036,0.299132764339447,1,1,1,15,"Failed"
"The more people you [[give]] beer to, the more people get [[sick]].","The more people you [[lend]] beer to, the more people get [[sickly]].",0.2989596724510193,0.2990218997001648,1,1,1,8,"Failed"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.7009429335594177,0.7009429335594177,1,1,0,1,"Skipped"
"The more [[pictures]] of him that [[appear]] in the news, the more [[embarrassed]] John becomes.","The more [[photographing]] of him that [[transpires]] in the news, the more [[ashamed]] John becomes.",0.2989184260368347,0.2990495562553406,1,1,1,19,"Failed"
"[[Every]] senator [[seems]] to [[become]] more corrupt, as he [[talks]] to more lobbyists.","[[Any]] senator [[looks]] to [[becoming]] more corrupt, as he [[talk]] to more lobbyists.",0.29898256063461304,0.2991161346435547,1,1,1,21,"Failed"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.7008332014083862,0.7008332014083862,1,1,0,1,"Skipped"
"Marianne did not leave.","Marianne did not leave.",0.29921090602874756,0.29921090602874756,1,1,1,2,"Failed"
"He [[could]] not] have been working.","He [[would]] not] have been working.",0.2991484999656677,0.2991563081741333,1,1,1,3,"Failed"
"He can not have been working.","He can not have been working.",0.2991654872894287,0.2991654872894287,1,1,1,4,"Failed"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.29917430877685547,0.2991880178451538,1,1,1,4,"Failed"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.2992074489593506,0.29921650886535645,1,1,1,4,"Failed"
"I [[said]] that never in my life had I seen a place like Bangor.","I [[say]] that never in my life had I seen a place like Bangor.",0.2989380359649658,0.2989619970321655,1,1,1,17,"Failed"
"Mickey looked up it.","Mickey looked up it.",0.7008175849914551,0.7008175849914551,1,1,0,1,"Skipped"
"There tended to be a lot of [[discussion]].","There tended to be a lot of [[discuss]].",0.29918360710144043,0.2991929054260254,1,1,1,11,"Failed"
"John [[tried]] to be a good boy.","John [[attempted]] to be a good boy.",0.2991543412208557,0.2991552948951721,1,1,1,4,"Failed"
"John is eager.","John is eager.",0.2992055416107178,0.2992055416107178,1,1,1,1,"Failed"
"We [[want]] John to [[win]].","We [[wanting]] John to [[winning]].",0.29921573400497437,0.29922986030578613,1,1,1,13,"Failed"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.7009027004241943,0.7009027004241943,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.7008355259895325,0.7008355259895325,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.29909831285476685,0.29909831285476685,1,1,1,1,"Failed"
"The [[tub]] leaked water.","The [[bath]] leaked water.",0.29914391040802,0.29917460680007935,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.7009467482566833,0.7009467482566833,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.7009857892990112,0.7009857892990112,1,1,0,1,"Skipped"
"The tank [[leaked]] the [[fluid]] free.","The tank [[leaking]] the [[liquid]] free.",0.2991544008255005,0.29916030168533325,1,1,1,8,"Failed"
"John lay the ball in the box.","John lay the ball in the box.",0.2991452217102051,0.2991452217102051,1,1,1,1,"Failed"
"John owns the book.","John owns the book.",0.29921287298202515,0.29921287298202515,1,1,1,3,"Failed"
"We [[persuaded]] [[Mary]] to [[leave]] and Sue to stay.","We [[convinced]] [[Mari]] to [[leaving]] and Sue to stay.",0.2990727424621582,0.2990878224372864,1,1,1,8,"Failed"
"Most people [[probably]] [[consider]], [[even]] though the courts didn't [[actually]] find, Klaus guilty of murder.","Most people [[indubitably]] [[contemplating]], [[yet]] though the courts didn't [[genuinely]] find, Klaus guilty of murder.",0.29886943101882935,0.299086332321167,1,1,1,37,"Failed"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.7008088827133179,0.7008088827133179,1,1,0,1,"Skipped"
"[[Clearly]], John [[probably]] will [[immediately]] learn French perfectly.","[[Unmistakably]], John [[potentially]] will [[directly]] learn French perfectly.",0.29906827211380005,0.2991998791694641,1,1,1,41,"Failed"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.7008246183395386,0.7008246183395386,1,1,0,1,"Skipped"
"The [[men]] will all leave.","The [[man]] will all leave.",0.2992011308670044,0.29920482635498047,1,1,1,6,"Failed"
"John went home.","John went home.",0.29916173219680786,0.29916173219680786,1,1,1,1,"Failed"
"They represented seriously to the dean Mary as a genuine linguist.","They represented seriously to the dean Mary as a genuine linguist.",0.7008079886436462,0.7008079886436462,1,1,0,1,"Skipped"
"Us love they.","Us love they.",0.7007803916931152,0.7007803916931152,1,1,0,1,"Skipped"
"It is [[nice]] to [[go]] abroad.","It is [[delightful]] to [[going]] abroad.",0.299191951751709,0.2992126941680908,1,1,1,7,"Failed"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.7007986307144165,0.7007986307144165,1,1,0,1,"Skipped"
"I [[remembered]] having [[kissed]] Mary.","I [[recalling]] having [[kissing]] Mary.",0.2991882562637329,0.2992158532142639,1,1,1,10,"Failed"
"I can't [[believe]] Fred won't, either.","I can't [[think]] Fred won't, either.",0.2979162335395813,0.2980154752731323,1,1,1,4,"Failed"
"John [[wants]] to read Fred's [[story]], and I [[also]] want to.","John [[want]] to read Fred's [[conte]], and I [[similarly]] want to.",0.2989599108695984,0.29917073249816895,1,1,1,18,"Failed"
"We wanted to invite someone, but we couldn't decide who to.","We wanted to invite someone, but we couldn't decide who to.",0.700950562953949,0.700950562953949,1,1,0,1,"Skipped"
"Mary will read Fred's [[story]], and Joe will read Holly's.","Mary will read Fred's [[tales]], and Joe will read Holly's.",0.2986489534378052,0.29891133308410645,1,1,1,10,"Failed"
"[[Mary]] claimed that eating cabbage, Holly shouldn't.","[[Maryam]] claimed that eating cabbage, Holly shouldn't.",0.2990792989730835,0.29922813177108765,1,1,1,10,"Failed"
"Mary came to be introduced by the bartender and I also came to be.","Mary came to be introduced by the bartender and I also came to be.",0.7010318040847778,0.7010318040847778,1,1,0,1,"Skipped"
"If I can, I will work on it.","If I can, I will work on it.",0.2990971803665161,0.2990971803665161,1,1,1,4,"Failed"
"Joe's neuroses bother his patrons, and [[Sally]] does too.","Joe's neuroses bother his patrons, and [[Solly]] does too.",0.29904937744140625,0.29907429218292236,1,1,1,3,"Failed"
"I know which book José didn't read for class, and which book Lilly did it for him.","I know which book José didn't read for class, and which book Lilly did it for him.",0.7013548016548157,0.7013548016548157,1,1,0,1,"Skipped"
"This is the book which Bob reviewed, and this is the one which Fred won't do it.","This is the book which Bob reviewed, and this is the one which Fred won't do it.",0.7012456655502319,0.7012456655502319,1,1,0,1,"Skipped"
"I [[know]] which book Mag read, and which [[book]] Bob said that you hadn't.","I [[savoir]] which book Mag read, and which [[books]] Bob said that you hadn't.",0.2988102436065674,0.298828661441803,1,1,1,3,"Failed"
"I know which book Mag read, and which book Bob read my report that you hadn't.","I know which book Mag read, and which book Bob read my report that you hadn't.",0.7011652588844299,0.7011652588844299,1,1,0,1,"Skipped"
"I'm sure I [[would]] like him to [[eat]] fruit more than I [[would]] cookies.","I'm sure I [[ought]] like him to [[swallowed]] fruit more than I [[ought]] cookies.",0.29896414279937744,0.29907822608947754,1,1,1,27,"Failed"
