"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[sailors]] rode the breeze clear of the rocks.","The [[maritime]] rode the breeze clear of the rocks.",0.03846865892410278,0.9173151254653931,1,0,1,35,"Successful"
"The [[weights]] made the rope stretch over the pulley.","The [[factored]] made the rope stretch over the pulley.",0.017580866813659668,0.5096476078033447,1,0,1,28,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.6746603846549988,0.6746603846549988,0,0,1,1,"Skipped"
"[[If]] you had eaten more, you would want less.","[[Upon]] you had eaten more, you would want less.",0.014964580535888672,0.9460992813110352,1,0,1,20,"Successful"
"[[As]] you [[eat]] the most, you want the least.","[[Since]] you [[dine]] the most, you want the least.",0.32880276441574097,0.6541687250137329,0,1,0,57,"Successful"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9753618836402893,0.9753618836402893,1,1,0,1,"Skipped"
"I demand that the more [[John]] eat, the more he pays.","I demand that the more [[Joon]] eat, the more he pays.",0.37475889921188354,0.9128319621086121,0,1,0,18,"Successful"
"Mary listens to the Grateful Dead, she [[gets]] depressed.","Mary listens to the Grateful Dead, she [[gain]] depressed.",0.3077687621116638,0.9536574482917786,1,0,1,57,"Successful"
"The angrier Mary got, the more she [[looked]] at pictures.","The angrier Mary got, the more she [[considered]] at pictures.",0.06658637523651123,0.9376529455184937,1,0,1,56,"Successful"
"The [[higher]] the stakes, the lower his expectations are.","The [[senior]] the stakes, the lower his expectations are.",0.05168956518173218,0.9118947386741638,1,0,1,34,"Successful"
"The more [[Fred]] is obnoxious, the less attention you should pay to him.","The more [[Fareed]] is obnoxious, the less attention you should pay to him.",0.07321256399154663,0.8988819718360901,1,0,1,14,"Successful"
"John was lots more [[obnoxious]] than [[Fred]].","John was lots more [[dreadful]] than [[Fried]].",0.027991652488708496,0.5536059737205505,1,0,1,56,"Successful"
"The more people you [[give]] beer to, the more people get sick.","The more people you [[allowing]] beer to, the more people get sick.",0.029510438442230225,0.9200725555419922,1,0,1,46,"Successful"
"The more does Bill smoke, the more [[Susan]] hates him.","The more does Bill smoke, the more [[Sued]] hates him.",0.4378238916397095,0.5343856811523438,0,1,0,20,"Successful"
"The more pictures of him that [[appear]] in the news, the more embarrassed [[John]] becomes.","The more pictures of him that [[appearing]] in the news, the more embarrassed [[Juana]] becomes.",0.046871721744537354,0.9022940397262573,1,0,1,61,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[talking]] to more lobbyists.",0.09496212005615234,0.9214733242988586,1,0,1,58,"Successful"
"Who does John visit [[Sally]] [[because]] he likes?","Who does John visit [[Solly]] [[for]] he likes?",0.25443053245544434,0.755911111831665,0,1,0,35,"Successful"
"Marianne [[did]] not leave.","Marianne [[been]] not leave.",0.012292563915252686,0.9604288935661316,1,0,1,34,"Successful"
"He could not] have been working.","He could not] have been working.",0.6855069398880005,0.6855069398880005,0,0,1,1,"Skipped"
"He can not [[have]] been working.","He can not [[was]] been working.",0.01582622528076172,0.9642072916030884,1,0,1,37,"Successful"
"You will believe [[Bob]].","You will believe [[Pope]].",0.019509494304656982,0.7637311220169067,1,0,1,20,"Successful"
"John has not [[kissed]] Mary.","John has not [[leaned]] Mary.",0.023652493953704834,0.9363447427749634,1,0,1,44,"Successful"
"I [[said]] that never in my life had I seen a place like Bangor.","I [[telling]] that never in my life had I seen a place like Bangor.",0.03129148483276367,0.9031914472579956,1,0,1,59,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.7574032545089722,0.7574032545089722,1,1,0,1,"Skipped"
"There tended to be a lot of [[discussion]].","There tended to be a lot of [[exam]].",0.020565927028656006,0.9303150773048401,1,0,1,53,"Successful"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.022768259048461914,0.9469194412231445,1,0,1,42,"Successful"
"[[John]] is [[eager]].","[[June]] is [[wish]].",0.03256875276565552,0.9468669295310974,1,0,1,50,"Successful"
"We [[want]] John to win.","We [[does]] John to win.",0.011197268962860107,0.9548236131668091,1,0,1,53,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.7091298699378967,0.7091298699378967,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.8760907053947449,0.8760907053947449,1,1,0,1,"Skipped"
"[[Water]] bubbled up out of the [[kettle]].","[[Aqueduct]] bubbled up out of the [[fours]].",0.013634324073791504,0.7708211541175842,1,0,1,50,"Successful"
"The tub [[leaked]] water.","The tub [[sneaked]] water.",0.011122405529022217,0.9590033888816833,1,0,1,30,"Successful"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.938031017780304,0.938031017780304,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.8854424953460693,0.8854424953460693,1,1,0,1,"Skipped"
"The tank [[leaked]] the fluid free.","The tank [[flee]] the fluid free.",0.4380088448524475,0.9554585218429565,1,0,1,32,"Successful"
"John [[lay]] the ball in the box.","John [[unscientific]] the ball in the box.",0.14074194431304932,0.942472517490387,1,0,1,9,"Successful"
"John [[owns]] the book.","John [[possessing]] the book.",0.01804429292678833,0.9553722143173218,1,0,1,45,"Successful"
"We persuaded [[Mary]] to leave and Sue to stay.","We persuaded [[Remarried]] to leave and Sue to stay.",0.11951607465744019,0.7751387357711792,1,0,1,28,"Successful"
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.","Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",0.9128002524375916,0.9128002524375916,0,0,1,1,"Skipped"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.9534938335418701,0.9534938335418701,1,1,0,1,"Skipped"
"Clearly, [[John]] probably will immediately learn French perfectly.","Clearly, [[Jan]] probably will immediately learn French perfectly.",0.22847968339920044,0.6599084734916687,1,0,1,28,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.7550656199455261,0.7550656199455261,1,1,0,1,"Skipped"
"The [[men]] will all leave.","The [[mankind]] will all leave.",0.012193739414215088,0.627554178237915,1,0,1,40,"Successful"
"John [[went]] home.","John [[transpired]] home.",0.010573744773864746,0.953045129776001,1,0,1,34,"Successful"
"They represented [[seriously]] to the dean [[Mary]] as a genuine linguist.","They represented [[strenuously]] to the dean [[Wedlock]] as a genuine linguist.",0.10525524616241455,0.741912841796875,0,1,0,73,"Successful"
"Us [[love]] they.","Us [[adore]] they.",0.2975015640258789,0.5252598524093628,0,1,0,12,"Successful"
"It is [[nice]] to go abroad.","It is [[charmer]] to go abroad.",0.015951156616210938,0.8678048849105835,1,0,1,48,"Successful"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.988804280757904,0.988804280757904,1,1,0,1,"Skipped"
"I remembered [[having]] kissed Mary.","I remembered [[afterwards]] kissed Mary.",0.013128876686096191,0.9592191576957703,1,0,1,18,"Successful"
"I can't [[believe]] [[Fred]] won't, either.","I can't [[seeing]] [[Fareed]] won't, either.",0.02850651741027832,0.8294548988342285,1,0,1,47,"Successful"
"John [[wants]] to read Fred's story, and I also want to.","John [[gonna]] to read Fred's story, and I also want to.",0.03029036521911621,0.9493422508239746,1,0,1,55,"Successful"
"We wanted to invite someone, but we couldn't decide who to.","We wanted to invite someone, but we couldn't decide who to.",0.5981185436248779,0.5981185436248779,1,1,0,1,"Skipped"
"Mary will [[read]] Fred's story, and Joe will read Holly's.","Mary will [[reading]] Fred's story, and Joe will read Holly's.",0.019645273685455322,0.8792871832847595,1,0,1,28,"Successful"
"Mary [[claimed]] that eating cabbage, Holly shouldn't.","Mary [[sought]] that eating cabbage, Holly shouldn't.",0.14214646816253662,0.9472848176956177,1,0,1,56,"Successful"
"[[Mary]] came to be [[introduced]] by the bartender and [[I]] also came to [[be]].","[[Mari]] came to be [[initiated]] by the bartender and [[me]] also came to [[worden]].",0.09825509786605835,0.7127182483673096,0,1,0,112,"Successful"
"If I can, I will [[work]] on it.","If I can, I will [[operates]] on it.",0.018362581729888916,0.9064605832099915,1,0,1,56,"Successful"
"Joe's [[neuroses]] bother his [[patrons]], and Sally does too.","Joe's [[paranoid]] bother his [[diners]], and Sally does too.",0.024174928665161133,0.8610509634017944,1,0,1,57,"Successful"
"I know which book José didn't read for class, and which [[book]] Lilly did it for him.","I know which book José didn't read for class, and which [[books]] Lilly did it for him.",0.49856072664260864,0.5822470188140869,0,1,0,47,"Successful"
"This is the book which Bob reviewed, and this is the one which Fred won't do it.","This is the book which Bob reviewed, and this is the one which Fred won't do it.",0.5148812532424927,0.5148812532424927,1,1,0,1,"Skipped"
"I know which book Mag read, and which book Bob said that you hadn't.","I know which book Mag read, and which book Bob said that you hadn't.",0.8811411261558533,0.8811411261558533,0,0,1,1,"Skipped"
"I know which [[book]] [[Mag]] read, and which [[book]] Bob [[read]] my report that you hadn't.","I know which [[pamphlets]] [[Loader]] read, and which [[books]] Bob [[reads]] my report that you hadn't.",0.07638567686080933,0.5156722068786621,0,1,0,95,"Successful"
"I'm sure I would [[like]] him to eat fruit more than I would cookies.","I'm sure I would [[enjoying]] him to eat fruit more than I would cookies.",0.058976590633392334,0.8980152606964111,1,0,1,36,"Successful"
"Rusty talked about himself only after [[Mary]] did talk about him.","Rusty talked about himself only after [[Marrying]] did talk about him.",0.36509084701538086,0.8754369616508484,1,0,1,27,"Successful"
"Fred talked about everything before [[Rusty]] [[did]] talk about something.","Fred talked about everything before [[Corroded]] [[has]] talk about something.",0.08865708112716675,0.9518010020256042,1,0,1,45,"Successful"
"John often [[meets]] Mary.","John often [[react]] Mary.",0.011615276336669922,0.9596099853515625,1,0,1,31,"Successful"
"The problem [[perceives]] easily.","The problem [[got]] easily.",0.06659770011901855,0.8383055925369263,0,1,0,42,"Successful"
"A hundred men [[surrounded]] the [[fort]].","A hundred men [[girded]] the [[loud]].",0.015114903450012207,0.8205258250236511,1,0,1,45,"Successful"
"We elected me.","We elected me.",0.841156005859375,0.841156005859375,0,0,1,1,"Skipped"
"Which report that John was incompetent did he submit?","Which report that John was incompetent did he submit?",0.5542479753494263,0.5542479753494263,1,1,0,1,"Skipped"
"Mary has always [[preferred]] lemons to limes.","Mary has always [[favour]] lemons to limes.",0.022738754749298096,0.9299469590187073,1,0,1,41,"Successful"
"He [[let]] the cats which were whining out.","He [[going]] the cats which were whining out.",0.17731451988220215,0.9513911604881287,1,0,1,54,"Successful"
"What did Bill [[buy]]?","What did Bill [[procuring]]?",0.012881875038146973,0.8126412630081177,1,0,1,40,"Successful"
"Mary [[saw]] the boy walking toward the railroad station.","Mary [[been]] the boy walking toward the railroad station.",0.0109330415725708,0.9560878276824951,1,0,1,47,"Successful"
"[[A]] [[proof]] that the [[claim]] had been. [[made]] was [[giver]] that [[John]] [[had]] lied.","[[another]] [[manifestation]] that the [[claiming]] had been. [[realized]] was [[donate]] that [[Nguyen]] [[assumed]] lied.",0.052691102027893066,0.20553803443908691,0,0,0,262,"Failed"
"He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.","He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.",0.9357810616493225,0.9357810616493225,0,0,1,1,"Skipped"
"The mayor regarded as being [[absurd]] the proposal to build a sidewalk from Dartmouth to Smith.","The mayor regarded as being [[brainless]] the proposal to build a sidewalk from Dartmouth to Smith.",0.16624361276626587,0.5997809171676636,0,1,0,28,"Successful"
"I want that Bill left to remain a secret.","I want that Bill left to remain a secret.",0.9459138512611389,0.9459138512611389,1,1,0,1,"Skipped"
"I know a man who [[Tom]] drives as [[drives]].","I know a man who [[Tum]] drives as [[rotors]].",0.12421762943267822,0.744523286819458,0,1,0,31,"Successful"
"Drowning cats, which is against the law, are hard to rescue.","Drowning cats, which is against the law, are hard to rescue.",0.9433133006095886,0.9433133006095886,1,1,0,1,"Skipped"
"Muriel said nothing else than that she had been insulted.","Muriel said nothing else than that she had been insulted.",0.5733784437179565,0.5733784437179565,0,0,1,1,"Skipped"
"[[Himself]] is understood by Rutherford.","[[Ourself]] is understood by Rutherford.",0.09190791845321655,0.8668110370635986,0,1,0,13,"Successful"
"I [[feel]] that Arch will show up.","I [[seeing]] that Arch will show up.",0.012707948684692383,0.9542277455329895,1,0,1,56,"Successful"
"The proof this set is recursive is difficult.","The proof this set is recursive is difficult.",0.9065771698951721,0.9065771698951721,1,1,0,1,"Skipped"
"The madrigals which [[Henry]] [[plays]] the [[lute]] and [[sings]] sound lousy.","The madrigals which [[Gustaf]] [[play]] the [[stringed]] and [[tsung]] sound lousy.",0.05977219343185425,0.5557271242141724,0,1,0,89,"Successful"
"Tom picked these grapes, and I washed some turnips, and Suzie [[will]] prepare these grapes.","Tom picked these grapes, and I washed some turnips, and Suzie [[goes]] prepare these grapes.",0.017822861671447754,0.5979999303817749,1,0,1,41,"Successful"
"Where did you go and who ate what?","Where did you go and who ate what?",0.7570056319236755,0.7570056319236755,0,0,1,1,"Skipped"
"Which boy's [[did]] we [[elect]] guardian's [[employer]] [[president]]?","Which boy's [[got]] we [[option]] guardian's [[employers]] [[chaired]]?",0.06538832187652588,0.2825677990913391,0,0,0,115,"Failed"
"[[How]] sane is [[Peter]]?","[[Why]] sane is [[Pierre]]?",0.04752469062805176,0.7439390420913696,1,0,1,18,"Successful"
