"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the panther's the [[coat]] is dark black.","the panther's the [[capa]] is dark black.",0.06923562288284302,0.5007947087287903,0,1,0,55,"Successful"
"It would be [[unwise]] for there to be no fire exit.","It would be [[unconscious]] for there to be no fire exit.",0.05934774875640869,0.8650630712509155,1,0,1,45,"Successful"
"John [[left]] us orders to follow Pete.","John [[going]] us orders to follow Pete.",0.11918443441390991,0.9344536066055298,1,0,1,28,"Successful"
"[[The]] mechanical doll wriggled itself loose.","[[Both]] mechanical doll wriggled itself loose.",0.12182623147964478,0.9172350168228149,1,0,1,7,"Successful"
"Frances [[hid]] the presents in the drawer.","Frances [[concealing]] the presents in the drawer.",0.017227470874786377,0.917392373085022,1,0,1,53,"Successful"
"[[That]] dogs [[bark]] annoys [[people]].","[[This]] dogs [[crust]] annoys [[sexes]].",0.038906216621398926,0.7641023397445679,1,0,1,51,"Successful"
"Carla [[shoveled]] the walk.","Carla [[shoveling]] the walk.",0.09283876419067383,0.9339105486869812,1,0,1,43,"Successful"
"The birds [[give]] the worm a tug.","The birds [[enables]] the worm a tug.",0.03344243764877319,0.9317471981048584,1,0,1,42,"Successful"
"[[Michelle]] [[kept]] the desk with the [[papers]].","[[Micheal]] [[protected]] the desk with the [[handouts]].",0.08997154235839844,0.9521803855895996,0,1,0,94,"Successful"
"Sandy is wondering whether there will be students who have to drop the class for a certain reason, but she won't [[reveal]] what.","Sandy is wondering whether there will be students who have to drop the class for a certain reason, but she won't [[betrays]] what.",0.02806144952774048,0.5002578496932983,1,0,1,57,"Successful"
"I [[hit]] that you [[knew]] the [[answer]].","I [[befallen]] that you [[reckon]] the [[tackle]].",0.0654420256614685,0.3231324553489685,0,0,0,140,"Failed"
"I [[dislike]] the company in which we placed our trust.","I [[unpleasantness]] the company in which we placed our trust.",0.03630506992340088,0.805463433265686,1,0,1,56,"Successful"
"The patient was [[died]].","The patient was [[dying]].",0.06840115785598755,0.9860842823982239,0,1,0,44,"Successful"
"I dislike the people in who we placed our trust.","I dislike the people in who we placed our trust.",0.8502158522605896,0.8502158522605896,1,1,0,1,"Skipped"
"You [[should]] sit before there.","You [[wouldnt]] sit before there.",0.4418864846229553,0.8586356043815613,0,1,0,43,"Successful"
"I would [[prefer]] for [[John]] to leave.","I would [[favouring]] for [[June]] to leave.",0.02004450559616089,0.9392003417015076,1,0,1,57,"Successful"
"Heidi [[thinks]] that [[Andy]] should eat salmon flavored candy bars.","Heidi [[cru]] that [[Indie]] should eat salmon flavored candy bars.",0.015905559062957764,0.9320381879806519,1,0,1,63,"Successful"
"Bill's wine from France and Ted's from California cannot [[be]] compared.","Bill's wine from France and Ted's from California cannot [[exists]] compared.",0.11069667339324951,0.8949947357177734,1,0,1,38,"Successful"
"Us [[love]] they.","Us [[adore]] they.",0.2352283000946045,0.4863547086715698,0,0,0,12,"Failed"
"The bed was slept in.","The bed was slept in.",0.9251851439476013,0.9251851439476013,0,0,1,1,"Skipped"
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.","Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0.9236607551574707,0.9236607551574707,1,1,0,1,"Skipped"
"The cat was [[bitten]] the mouse by the dog.","The cat was [[piqued]] the mouse by the dog.",0.03616809844970703,0.5138716697692871,0,1,0,16,"Successful"
"John [[tried]] to be a good boy.","John [[pursued]] to be a good boy.",0.0312536358833313,0.9543811678886414,1,0,1,42,"Successful"
"We wanted to invite [[someone]], but we couldn't decide who to.","We wanted to invite [[everyone]], but we couldn't decide who to.",0.3903375267982483,0.504233717918396,0,1,0,24,"Successful"
"John [[finished]] the [[cake]] and drank the lemonade.","John [[finalizing]] the [[shoemaker]] and drank the lemonade.",0.015166163444519043,0.9434120655059814,1,0,1,105,"Successful"
"Some people [[consider]] noisy dogs in my neighborhood dangerous.","Some people [[explores]] noisy dogs in my neighborhood dangerous.",0.02166193723678589,0.8769960999488831,1,0,1,58,"Successful"
"Everyone [[relies]] on someone. It's unclear who.","Everyone [[employs]] on someone. It's unclear who.",0.27434414625167847,0.9555743336677551,1,0,1,25,"Successful"
"Captain Wentworth [[wrote]] a letter to Anne Elliott.","Captain Wentworth [[literary]] a letter to Anne Elliott.",0.014404296875,0.803754985332489,1,0,1,39,"Successful"
