"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.011990725994110107,0.9191222786903381,1,0,1,4,"Successful"
"The [[weights]] [[made]] the rope stretch over the pulley.","The [[weigh]] [[brought]] the rope stretch over the pulley.",0.016762912273406982,0.6171640157699585,1,0,1,7,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.5545748472213745,0.5545748472213745,0,0,1,1,"Skipped"
"If you had eaten more, you would [[want]] less.","If you had eaten more, you would [[wants]] less.",0.011160671710968018,0.7993923425674438,1,0,1,8,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.5104260444641113,0.5104260444641113,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9183728694915771,0.9183728694915771,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.9012706279754639,0.9012706279754639,1,1,0,1,"Skipped"
"Mary listens to the Grateful Dead, she [[gets]] [[depressed]].","Mary listens to the Grateful Dead, she [[get]] [[depressive]].",0.2508150339126587,0.9532231092453003,1,0,1,6,"Successful"
"The angrier Mary [[got]], the more she looked at pictures.","The angrier Mary [[get]], the more she looked at pictures.",0.04161190986633301,0.6120418310165405,1,0,1,5,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[prognosis]] are.",0.05141448974609375,0.4618726372718811,1,1,1,5,"Failed"
"The more [[Fred]] is obnoxious, the less attention you should [[pay]] to him.","The more [[Freda]] is obnoxious, the less attention you should [[remuneration]] to him.",0.03474271297454834,0.8791478276252747,1,0,1,12,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[batch]] more obnoxious than Fred.",0.018668293952941895,0.9222962856292725,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[gets]] [[sickly]].",0.009213507175445557,0.6759872436523438,1,0,1,8,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.5073176622390747,0.5073176622390747,1,1,0,1,"Skipped"
"The more pictures of him that [[appear]] in the news, the more [[embarrassed]] John [[becomes]].","The more pictures of him that [[appearing]] in the news, the more [[ashamed]] John [[become]].",0.015395820140838623,0.9444165229797363,1,0,1,6,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[talk]] to more lobbyists.",0.03179013729095459,0.6868061423301697,1,0,1,11,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.5620532035827637,0.5620532035827637,1,1,0,1,"Skipped"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.009087562561035156,0.9704777598381042,1,0,1,2,"Successful"
"He [[could]] not] have been [[working]].","He [[would]] not] have been [[worked]].",0.26994484663009644,0.7360309362411499,1,0,1,3,"Successful"
"He can not have been [[working]].","He can not have been [[worked]].",0.013782858848571777,0.5284227132797241,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.012909948825836182,0.9720059037208557,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.012967467308044434,0.9347643852233887,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I seen a place like Bangor.","I [[told]] that never in my [[living]] had I seen a place like Bangor.",0.04671865701675415,0.5343524217605591,1,0,1,14,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.6824021339416504,0.6824021339416504,1,1,0,1,"Skipped"
"There [[tended]] to be a lot of [[discussion]].","There [[tending]] to be a lot of [[discuss]].",0.019328713417053223,0.7249677181243896,1,0,1,10,"Successful"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.01027536392211914,0.9434563517570496,1,0,1,3,"Successful"
"John is eager.","John is eager.",0.011926591396331787,0.011926591396331787,1,1,1,1,"Failed"
"We want John to [[win]].","We want John to [[winning]].",0.009501755237579346,0.9414359331130981,1,0,1,6,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.5787690877914429,0.5787690877914429,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.8266217708587646,0.8266217708587646,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.01461338996887207,0.01461338996887207,1,1,1,1,"Failed"
"The [[tub]] leaked water.","The [[bath]] leaked water.",0.014945924282073975,0.01561051607131958,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.9407877922058105,0.9407877922058105,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.9138588905334473,0.9138588905334473,1,1,0,1,"Skipped"
"The tank leaked the fluid free.","The tank leaked the fluid free.",0.7711356282234192,0.7711356282234192,0,0,1,1,"Skipped"
"John lay the ball in the box.","John lay the ball in the box.",0.012466192245483398,0.012466192245483398,1,1,1,1,"Failed"
"John owns the book.","John owns the book.",0.013002634048461914,0.013002634048461914,1,1,1,3,"Failed"
"We [[persuaded]] Mary to leave and Sue to stay.","We [[confident]] Mary to leave and Sue to stay.",0.043752968311309814,0.9480231404304504,1,0,1,3,"Successful"
"Most people probably [[consider]], even though the courts didn't actually find, Klaus guilty of murder.","Most people probably [[considering]], even though the courts didn't actually find, Klaus guilty of murder.",0.0326840877532959,0.8137394785881042,1,0,1,8,"Successful"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.8734086155891418,0.8734086155891418,1,1,0,1,"Skipped"
"Clearly, John [[probably]] will immediately learn French perfectly.","Clearly, John [[maybe]] will immediately learn French perfectly.",0.10385167598724365,0.7844705581665039,1,0,1,16,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.9426559805870056,0.9426559805870056,1,1,0,1,"Skipped"
"The [[men]] will all [[leave]].","The [[mens]] will all [[leaving]].",0.008366823196411133,0.9549528360366821,1,0,1,6,"Successful"
"John went home.","John went home.",0.007336020469665527,0.007336020469665527,1,1,1,1,"Failed"
"They [[represented]] [[seriously]] to the dean [[Mary]] as a genuine linguist.","They [[represent]] [[conscientiously]] to the dean [[Maryam]] as a genuine linguist.",0.03445017337799072,0.13282102346420288,0,0,0,19,"Failed"
"Us love they.","Us love they.",0.05086618661880493,0.05086618661880493,0,0,0,1,"Failed"
"It is [[nice]] to [[go]] abroad.","It is [[handsome]] to [[going]] abroad.",0.01098322868347168,0.8978173732757568,1,0,1,7,"Successful"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.9811640381813049,0.9811640381813049,1,1,0,1,"Skipped"
"I remembered having [[kissed]] Mary.","I remembered having [[kissing]] Mary.",0.009294450283050537,0.8960981369018555,1,0,1,2,"Successful"
"I can't [[believe]] Fred won't, either.","I can't [[believing]] Fred won't, either.",0.015293300151824951,0.9181357026100159,1,0,1,3,"Successful"
"John [[wants]] to read Fred's [[story]], and I also want to.","John [[want]] to read Fred's [[conte]], and I also want to.",0.010538160800933838,0.8323853015899658,1,0,1,12,"Successful"
"We wanted to invite someone, but we couldn't decide who to.","We wanted to invite someone, but we couldn't decide who to.",0.8649938106536865,0.8649938106536865,1,1,0,1,"Skipped"
"Mary will read Fred's story, and [[Joe]] will read Holly's.","Mary will read Fred's story, and [[Kawa]] will read Holly's.",0.01003175973892212,0.011691451072692871,1,1,1,7,"Failed"
"Mary claimed that eating [[cabbage]], [[Holly]] shouldn't.","Mary claimed that eating [[cabbages]], [[Hol]] shouldn't.",0.06692999601364136,0.3898056745529175,1,1,1,4,"Failed"
"[[Mary]] came to be introduced by the bartender and I [[also]] [[came]] to be.","[[Maryam]] came to be introduced by the bartender and I [[moreover]] [[became]] to be.",0.08941429853439331,0.15374547243118286,0,0,0,18,"Failed"
"If I can, I will [[work]] on it.","If I can, I will [[working]] on it.",0.009527325630187988,0.9030426144599915,1,0,1,4,"Successful"
"Joe's neuroses bother his patrons, and [[Sally]] does too.","Joe's neuroses bother his patrons, and [[Solly]] does too.",0.017380952835083008,0.022397220134735107,1,1,1,3,"Failed"
"I know which book José didn't read for [[class]], and which book Lilly did it for him.","I know which book José didn't read for [[homeroom]], and which book Lilly did it for him.",0.46316444873809814,0.47592484951019287,0,0,0,13,"Failed"
"This is the book which Bob [[reviewed]], and this is the one which Fred won't do it.","This is the book which Bob [[reconsidered]], and this is the one which Fred won't do it.",0.200609028339386,0.2667759656906128,0,0,0,9,"Failed"
"I know which book Mag read, and which book Bob [[said]] that you hadn't.","I know which book Mag read, and which book Bob [[told]] that you hadn't.",0.3853987455368042,0.6493884325027466,1,0,1,8,"Successful"
"I know which book Mag read, and which [[book]] [[Bob]] read my [[report]] that you hadn't.","I know which book Mag read, and which [[books]] [[Boba]] read my [[reports]] that you hadn't.",0.11970484256744385,0.1485944390296936,0,0,0,5,"Failed"
"I'm sure I would like him to eat fruit more than I [[would]] [[cookies]].","I'm sure I would like him to eat fruit more than I [[ought]] [[biscuit]].",0.014967560768127441,0.7837525606155396,1,0,1,13,"Successful"
"Rusty talked about himself only after Mary did [[talk]] about him.","Rusty talked about himself only after Mary did [[talking]] about him.",0.2630500793457031,0.9370771646499634,1,0,1,10,"Successful"
"Fred talked about everything before [[Rusty]] did [[talk]] about something.","Fred talked about everything before [[Rusted]] did [[talking]] about something.",0.1650315523147583,0.8104465007781982,1,0,1,5,"Successful"
"John [[often]] [[meets]] Mary.","John [[usually]] [[fulfills]] Mary.",0.00830620527267456,0.480679988861084,1,1,1,4,"Failed"
"The [[problem]] perceives [[easily]].","The [[problems]] perceives [[readily]].",0.029408693313598633,0.031192123889923096,0,0,0,6,"Failed"
"A hundred [[men]] [[surrounded]] the fort.","A hundred [[male]] [[encircled]] the fort.",0.008269011974334717,0.6223112344741821,1,0,1,6,"Successful"
"We elected me.","We elected me.",0.6100161075592041,0.6100161075592041,0,0,1,1,"Skipped"
"Which report that John was incompetent did he submit?","Which report that John was incompetent did he submit?",0.86683189868927,0.86683189868927,1,1,0,1,"Skipped"
"Mary has always [[preferred]] lemons to limes.","Mary has always [[favorites]] lemons to limes.",0.012436211109161377,0.2677389979362488,1,1,1,4,"Failed"
"He [[let]] the cats which were whining out.","He [[letting]] the cats which were whining out.",0.038368940353393555,0.934075117111206,1,0,1,5,"Successful"
"What did Bill [[buy]]?","What did Bill [[purchasing]]?",0.007624685764312744,0.7426635026931763,1,0,1,5,"Successful"
"[[Mary]] [[saw]] the [[boy]] [[walking]] toward the railroad station.","[[Mariam]] [[noticed]] the [[boys]] [[walks]] toward the railroad station.",0.008350491523742676,0.6318066120147705,1,0,1,8,"Successful"
"A [[proof]] that the [[claim]] had been. [[made]] was giver that John had lied.","A [[prove]] that the [[claims]] had been. [[introduced]] was giver that John had lied.",0.033967018127441406,0.052429139614105225,0,0,0,14,"Failed"
"He [[attributed]] to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.","He [[allotted]] to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.",0.16079503297805786,0.5354719161987305,1,0,1,10,"Successful"
"The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.","The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.",0.9569305181503296,0.9569305181503296,1,1,0,1,"Skipped"
"I want that Bill left to remain a secret.","I want that Bill left to remain a secret.",0.8101303577423096,0.8101303577423096,1,1,0,1,"Skipped"
"I know a [[man]] who Tom drives as drives.","I know a [[guy]] who Tom drives as drives.",0.1598680019378662,0.2027500867843628,0,0,0,7,"Failed"
