"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.003465414047241211,0.9836716055870056,1,0,1,4,"Successful"
"The [[weights]] made the rope stretch over the [[pulley]].","The [[weigh]] made the rope stretch over the [[puller]].",0.004617631435394287,0.29417330026626587,1,1,1,8,"Failed"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.07000881433486938,0.07000881433486938,1,1,1,1,"Failed"
"If you had [[eaten]] more, you would [[want]] less.","If you had [[eat]] more, you would [[wants]] less.",0.005745351314544678,0.9802267551422119,1,0,1,13,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.6611064672470093,0.6611064672470093,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9774975776672363,0.9774975776672363,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.8943959474563599,0.8943959474563599,1,1,0,1,"Skipped"
"Mary listens to the Grateful Dead, she [[gets]] [[depressed]].","Mary listens to the Grateful Dead, she [[got]] [[despondent]].",0.08509683609008789,0.6306502819061279,1,0,1,8,"Successful"
"The angrier Mary [[got]], the more she looked at pictures.","The angrier Mary [[get]], the more she looked at pictures.",0.016951322555541992,0.8324412107467651,1,0,1,6,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[outlook]] are.",0.00909411907196045,0.06490594148635864,1,1,1,5,"Failed"
"The more [[Fred]] is obnoxious, the less attention you should [[pay]] to him.","The more [[Freda]] is obnoxious, the less attention you should [[remuneration]] to him.",0.02005469799041748,0.9563314914703369,1,0,1,12,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[batch]] more obnoxious than Fred.",0.009130477905273438,0.9843918681144714,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[obtain]] [[ill]].",0.010111629962921143,0.9066712260246277,1,0,1,8,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.8011714220046997,0.8011714220046997,1,1,0,1,"Skipped"
"The more [[pictures]] of him that appear in the news, the more [[embarrassed]] John [[becomes]].","The more [[photographed]] of him that appear in the news, the more [[ashamed]] John [[become]].",0.006798803806304932,0.6752986907958984,1,0,1,14,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[talk]] to more lobbyists.",0.022980868816375732,0.822811484336853,1,0,1,12,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.9749559760093689,0.9749559760093689,1,1,0,1,"Skipped"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.005172908306121826,0.9927821755409241,1,0,1,2,"Successful"
"He could not] have been [[working]].","He could not] have been [[worked]].",0.39468711614608765,0.9221594333648682,1,0,1,3,"Successful"
"He can not have been [[working]].","He can not have been [[worked]].",0.007355213165283203,0.5458202362060547,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.004338204860687256,0.989155650138855,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.007052958011627197,0.6861990094184875,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I [[seen]] a place like Bangor.","I [[told]] that never in my [[iife]] had I [[noticed]] a place like Bangor.",0.0056937336921691895,0.4246595501899719,1,1,1,16,"Failed"
"Mickey looked up it.","Mickey looked up it.",0.9641057848930359,0.9641057848930359,1,1,0,1,"Skipped"
"There [[tended]] to be a lot of [[discussion]].","There [[tending]] to be a lot of [[talks]].",0.003994286060333252,0.6470950841903687,1,0,1,9,"Successful"
"John tried to be a good [[boy]].","John tried to be a good [[boys]].",0.004964470863342285,0.9250837564468384,1,0,1,3,"Successful"
"John is eager.","John is eager.",0.006341278553009033,0.006341278553009033,1,1,1,1,"Failed"
"We [[want]] John to win.","We [[wanting]] John to win.",0.00944429636001587,0.9436173439025879,1,0,1,7,"Successful"
"The box [[contained]] the ball from the tree.","The box [[containing]] the ball from the tree.",0.4042311906814575,0.7381343841552734,0,1,0,3,"Successful"
"The tube was escaped by gas.","The tube was escaped by gas.",0.9915342926979065,0.9915342926979065,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.0036927461624145508,0.0036927461624145508,1,1,1,1,"Failed"
"The [[tub]] leaked water.","The [[bath]] leaked water.",0.00367891788482666,0.0038837194442749023,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.9192842245101929,0.9192842245101929,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.8835194706916809,0.8835194706916809,1,1,0,1,"Skipped"
"The tank [[leaked]] the fluid free.","The tank [[leaking]] the fluid free.",0.23076939582824707,0.9858281016349792,1,0,1,4,"Successful"
"John lay the ball in the box.","John lay the ball in the box.",0.002825021743774414,0.002825021743774414,1,1,1,1,"Failed"
"John owns the [[book]].","John owns the [[workbook]].",0.005602598190307617,0.00621342658996582,1,1,1,3,"Failed"
"We persuaded Mary to leave and [[Sue]] to stay.","We persuaded Mary to leave and [[Sues]] to stay.",0.00877225399017334,0.8850997090339661,1,0,1,2,"Successful"
"Most people probably consider, even though the courts didn't actually [[find]], Klaus guilty of murder.","Most people probably consider, even though the courts didn't actually [[finds]], Klaus guilty of murder.",0.05538672208786011,0.6963570713996887,1,0,1,3,"Successful"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.99065762758255,0.99065762758255,1,1,0,1,"Skipped"
"Clearly, John [[probably]] will immediately learn French perfectly.","Clearly, John [[maybe]] will immediately learn French perfectly.",0.05088520050048828,0.9534461498260498,1,0,1,16,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.9865004420280457,0.9865004420280457,1,1,0,1,"Skipped"
"The [[men]] will all [[leave]].","The [[man]] will all [[leaving]].",0.003450632095336914,0.9921401739120483,1,0,1,6,"Successful"
"John went home.","John went home.",0.004054725170135498,0.004054725170135498,1,1,1,1,"Failed"
"They [[represented]] [[seriously]] to the dean [[Mary]] as a [[genuine]] linguist.","They [[represent]] [[deeply]] to the dean [[Maryam]] as a [[authentic]] linguist.",0.005956113338470459,0.057851970195770264,0,0,0,18,"Failed"
"Us love they.","Us love they.",0.013269424438476562,0.013269424438476562,0,0,0,1,"Failed"
"It is nice to [[go]] abroad.","It is nice to [[going]] abroad.",0.007295072078704834,0.741010844707489,1,0,1,7,"Successful"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.5370715856552124,0.5370715856552124,1,1,0,1,"Skipped"
"I [[remembered]] having kissed Mary.","I [[reminds]] having kissed Mary.",0.0038826465606689453,0.9862332344055176,1,0,1,9,"Successful"
"I can't [[believe]] Fred won't, either.","I can't [[believing]] Fred won't, either.",0.008195042610168457,0.9507356286048889,1,0,1,3,"Successful"
"John [[wants]] to read Fred's story, and I also want to.","John [[wanting]] to read Fred's story, and I also want to.",0.00836479663848877,0.9182829856872559,1,0,1,5,"Successful"
"We [[wanted]] to invite someone, but we couldn't decide who to.","We [[wished]] to invite someone, but we couldn't decide who to.",0.04596114158630371,0.047775983810424805,0,0,0,21,"Failed"
"[[Mary]] will read Fred's story, and Joe will read Holly's.","[[Mari]] will read Fred's story, and Joe will read Holly's.",0.007246434688568115,0.0076718926429748535,1,1,1,5,"Failed"
"Mary claimed that eating [[cabbage]], [[Holly]] shouldn't.","Mary claimed that eating [[cabbages]], [[Hol]] shouldn't.",0.022172391414642334,0.2292851209640503,1,1,1,5,"Failed"
"[[Mary]] came to be introduced by the bartender and I [[also]] came to be.","[[Maryam]] came to be introduced by the bartender and I [[similarly]] came to be.",0.09492677450180054,0.46176064014434814,0,0,0,17,"Failed"
"If I can, I will [[work]] on it.","If I can, I will [[working]] on it.",0.005567371845245361,0.6255322098731995,1,0,1,4,"Successful"
"Joe's neuroses bother his patrons, and [[Sally]] does too.","Joe's neuroses bother his patrons, and [[Suzie]] does too.",0.015900850296020508,0.017447471618652344,1,1,1,3,"Failed"
"I know which book José didn't read for class, and which book Lilly did it for him.","I know which book José didn't read for class, and which book Lilly did it for him.",0.7922987937927246,0.7922987937927246,1,1,0,1,"Skipped"
"This is the book which [[Bob]] [[reviewed]], and this is the one which Fred won't do it.","This is the book which [[Boba]] [[scrutinized]], and this is the one which Fred won't do it.",0.3215980529785156,0.7750328183174133,0,1,0,7,"Successful"
"I know which book Mag read, and which [[book]] Bob [[said]] that you hadn't.","I know which book Mag read, and which [[books]] Bob [[told]] that you hadn't.",0.14085286855697632,0.30104541778564453,1,1,1,11,"Failed"
"I know which [[book]] Mag read, and which book [[Bob]] read my [[report]] that you hadn't.","I know which [[books]] Mag read, and which book [[Boba]] read my [[reporting]] that you hadn't.",0.115203857421875,0.4464419484138489,0,0,0,5,"Failed"
"I'm sure I would like him to [[eat]] [[fruit]] more than I would [[cookies]].","I'm sure I would like him to [[eating]] [[fruition]] more than I would [[biscuit]].",0.007413804531097412,0.9469110369682312,1,0,1,13,"Successful"
"Rusty talked about himself only after [[Mary]] did [[talk]] about him.","Rusty talked about himself only after [[Maryam]] did [[talking]] about him.",0.15993207693099976,0.895645260810852,1,0,1,12,"Successful"
"Fred talked about everything before Rusty did [[talk]] about something.","Fred talked about everything before Rusty did [[speaks]] about something.",0.041105449199676514,0.9673460721969604,1,0,1,11,"Successful"
"John often meets [[Mary]].","John often meets [[Maryam]].",0.007409453392028809,0.007691860198974609,1,1,1,2,"Failed"
"The problem perceives [[easily]].","The problem perceives [[readily]].",0.004576385021209717,0.0049163103103637695,0,0,0,6,"Failed"
"A hundred [[men]] [[surrounded]] the fort.","A hundred [[man]] [[encircled]] the fort.",0.0038802623748779297,0.5310084819793701,1,0,1,6,"Successful"
"We elected me.","We elected me.",0.8259415626525879,0.8259415626525879,0,0,1,1,"Skipped"
"Which report that John was incompetent did he submit?","Which report that John was incompetent did he submit?",0.9869588613510132,0.9869588613510132,1,1,0,1,"Skipped"
"Mary has always [[preferred]] lemons to limes.","Mary has always [[favorites]] lemons to limes.",0.019246995449066162,0.17796462774276733,1,1,1,4,"Failed"
"He [[let]] the cats which were whining out.","He [[letting]] the cats which were whining out.",0.028033435344696045,0.9918839931488037,1,0,1,5,"Successful"
"What did Bill [[buy]]?","What did Bill [[purchasing]]?",0.0037751197814941406,0.7763286828994751,1,0,1,5,"Successful"
"[[Mary]] saw the boy walking toward the [[railroad]] station.","[[Mari]] saw the boy walking toward the [[railways]] station.",0.002617061138153076,0.003928661346435547,1,1,1,9,"Failed"
"A [[proof]] that the [[claim]] had been. [[made]] was giver that John had lied.","A [[prove]] that the [[claiming]] had been. [[effected]] was giver that John had lied.",0.006788492202758789,0.012724578380584717,0,0,0,15,"Failed"
"He [[attributed]] to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.","He [[assigned]] to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.",0.06002378463745117,0.6113764047622681,1,0,1,10,"Successful"
"The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.","The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.",0.9908401370048523,0.9908401370048523,1,1,0,1,"Skipped"
"I want that Bill left to remain a secret.","I want that Bill left to remain a secret.",0.9765936136245728,0.9765936136245728,1,1,0,1,"Skipped"
"I know a [[man]] who Tom drives as drives.","I know a [[guy]] who Tom drives as drives.",0.06584817171096802,0.06663089990615845,0,0,0,7,"Failed"
"Drowning cats, which is against the law, are hard to rescue.","Drowning cats, which is against the law, are hard to rescue.",0.9930985569953918,0.9930985569953918,1,1,0,1,"Skipped"
"Muriel said [[nothing]] else than that she had been insulted.","Muriel said [[none]] else than that she had been insulted.",0.3614383339881897,0.6619254350662231,1,0,1,3,"Successful"
"[[Himself]] is understood by Rutherford.","[[Oneself]] is understood by Rutherford.",0.009186804294586182,0.36800616979599,0,0,0,5,"Failed"
"I feel that Arch will [[show]] up.","I feel that Arch will [[showing]] up.",0.00621718168258667,0.9849810004234314,1,0,1,18,"Successful"
"The proof this set is recursive is difficult.","The proof this set is recursive is difficult.",0.9914225339889526,0.9914225339889526,1,1,0,1,"Skipped"
"The madrigals which Henry plays the lute and sings sound lousy.","The madrigals which Henry plays the lute and sings sound lousy.",0.6532647609710693,0.6532647609710693,1,1,0,1,"Skipped"
"Tom picked these grapes, and I [[washed]] some turnips, and Suzie will [[prepare]] these grapes.","Tom picked these grapes, and I [[cleansed]] some turnips, and Suzie will [[preparing]] these grapes.",0.006196737289428711,0.8925681114196777,1,0,1,12,"Successful"
"Where did you go and who [[ate]] what?","Where did you go and who [[eaten]] what?",0.08020585775375366,0.7361646890640259,1,0,1,4,"Successful"
"Which boy's did we elect guardian's employer [[president]]?","Which boy's did we elect guardian's employer [[presidents]]?",0.016695499420166016,0.029487550258636475,0,0,0,8,"Failed"
"How sane is Peter?","How sane is Peter?",0.008888781070709229,0.008888781070709229,1,1,1,1,"Failed"
"I [[live]] at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.","I [[inhabit]] at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.",0.009064018726348877,0.9725831151008606,1,0,1,7,"Successful"
"I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.","I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.",0.9806932806968689,0.9806932806968689,1,1,0,1,"Skipped"
"Who is she [[trying]] to make up to now?","Who is she [[try]] to make up to now?",0.45494186878204346,0.8487404584884644,1,0,1,6,"Successful"
"[[Wind]] was gotten of a plot to [[negotiate]] an [[honorable]] end to the war in [[Vietnam]].","[[Windward]] was gotten of a plot to [[bargain]] an [[honourable]] end to the war in [[Hanoi]].",0.008408665657043457,0.022923529148101807,0,0,0,16,"Failed"
"Mike [[talked]] about [[politics]] [[yesterday]] to my friends.","Mike [[mentioned]] about [[politician]] [[today]] to my friends.",0.00531536340713501,0.8993422389030457,1,0,1,8,"Successful"
"It was expected by the [[reporters]] that the principal would [[fire]] some [[teacher]].","It was expected by the [[journalists]] that the principal would [[wildfire]] some [[teachers]].",0.0050858259201049805,0.1671231985092163,1,1,1,4,"Failed"
"Which hat did Mike quip that she never wore?","Which hat did Mike quip that she never wore?",0.9931262135505676,0.9931262135505676,1,1,0,1,"Skipped"
"[[Which]] [[girl]] did Mike quip never wore this hat?","[[Whose]] [[daughter]] did Mike quip never wore this hat?",0.06521046161651611,0.12929779291152954,0,0,0,14,"Failed"
"We [[donated]] wire for the convicts to build cages with.","We [[donating]] wire for the convicts to build cages with.",0.16329854726791382,0.9820780158042908,1,0,1,9,"Successful"
"I won't have some money.","I won't have some money.",0.9954968690872192,0.9954968690872192,1,1,0,1,"Skipped"
"Do you believe the [[claim]] that somebody was looking for something?","Do you believe the [[allege]] that somebody was looking for something?",0.09131383895874023,0.947564959526062,1,0,1,4,"Successful"
"I won't [[ask]] you to believe that he tried to force me to give her any [[money]].","I won't [[requested]] you to believe that he tried to force me to give her any [[moneys]].",0.009531915187835693,0.8351367712020874,1,0,1,11,"Successful"
"That Sam [[sometimes]] didn't sleep must have pleased somebody.","That Sam [[sometime]] didn't sleep must have pleased somebody.",0.011339068412780762,0.9284249544143677,1,0,1,4,"Successful"
"I [[talked]] to Winston about himself.","I [[spoken]] to Winston about himself.",0.3191434144973755,0.8205609321594238,1,0,1,6,"Successful"
"That the fuzz wanted him worried John, but that the fuzz wanted her didn't [[worry]] Mary.","That the fuzz wanted him worried John, but that the fuzz wanted her didn't [[wory]] Mary.",0.01219940185546875,0.5813900232315063,1,0,1,4,"Successful"
"I'll work on it if Sam will be [[working]] on it.","I'll work on it if Sam will be [[worked]] on it.",0.18543553352355957,0.9733875393867493,1,0,1,7,"Successful"
"I'll work on it if I can.","I'll work on it if I can.",0.0055699944496154785,0.0055699944496154785,1,1,1,1,"Failed"
"Here's a knife with which for you to cut up the onions.","Here's a knife with which for you to cut up the onions.",0.9900970458984375,0.9900970458984375,1,1,0,1,"Skipped"
"Fluffy is sick, which not [[everybody]] knows.","Fluffy is sick, which not [[someone]] knows.",0.006970107555389404,0.6400408744812012,1,0,1,6,"Successful"
"Maxwell is quite a [[doctor]].","Maxwell is quite a [[doctors]].",0.005985915660858154,0.9782243967056274,1,0,1,2,"Successful"
"The younger woman might have been tall and, and the older one definitely was, blond.","The younger woman might have been tall and, and the older one definitely was, blond.",0.9844635128974915,0.9844635128974915,1,1,0,1,"Skipped"
"Sally is tall, and may be blond, and Sheila is short, and [[definitely]] is, blond.","Sally is tall, and may be blond, and Sheila is short, and [[obviously]] is, blond.",0.4244641065597534,0.7172935009002686,1,0,1,15,"Successful"
