"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"unpretentious , charming , [[quirky]] , original","unpretentious , charming , [[fickle]] , original",0.0027303099632263184,0.03403067588806152,1,1,1,5,"Failed"
"a film really has to be [[exceptional]] to [[justify]] a three [[hour]] running time , and this isn't .","a film really has to be [[magnificent]] to [[justifiable]] a three [[hora]] running time , and this isn't .",0.013604402542114258,0.03404289484024048,0,0,0,23,"Failed"
"working from a [[surprisingly]] [[sensitive]] [[script]] co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .","working from a [[alarmingly]] [[touchy]] [[screenplay]] co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .",0.2544271945953369,0.5480526685714722,1,0,1,27,"Successful"
"it may not be particularly innovative , but the film's crisp , [[unaffected]] style and air of gentle [[longing]] make it [[unexpectedly]] [[rewarding]] .","it may not be particularly innovative , but the film's crisp , [[undamaged]] style and air of gentle [[yearning]] make it [[abruptly]] [[reward]] .",0.0026169419288635254,0.010325372219085693,1,1,1,16,"Failed"
"such a [[premise]] is [[ripe]] for all [[manner]] of [[lunacy]] , but kaufman and gondry rarely seem sure of where it should go .","such a [[prerequisite]] is [[ripen]] for all [[ways]] of [[foolishness]] , but kaufman and gondry rarely seem sure of where it should go .",0.013000905513763428,0.061914920806884766,0,0,0,12,"Failed"
"the lead [[actors]] share no [[chemistry]] or [[engaging]] charisma . we don't even like their [[characters]] .","the lead [[players]] share no [[chemist]] or [[engage]] charisma . we don't even like their [[character]] .",0.006246030330657959,0.009920120239257812,0,0,0,9,"Failed"
"we [[started]] to wonder if  some unpaid intern had just typed '[[chris]] rock , ' '[[anthony]] hopkins' and 'terrorists' into some univac-like [[script]] machine .","we [[initiated]] to wonder if  some unpaid intern had just typed '[[chrissy]] rock , ' '[[antoine]] hopkins' and 'terrorists' into some univac-like [[hyphen]] machine .",0.009914994239807129,0.018359839916229248,0,0,0,34,"Failed"
"the metaphors are provocative , but too [[often]] , the [[viewer]] is left [[puzzled]] by the mechanics of the delivery .","the metaphors are provocative , but too [[usually]] , the [[bystander]] is left [[bemused]] by the mechanics of the delivery .",0.07679218053817749,0.33474135398864746,0,0,0,19,"Failed"
"marinated in [[clichés]] and mawkish [[dialogue]] .","marinated in [[cliché]] and mawkish [[conversations]] .",0.004696369171142578,0.007786810398101807,0,0,0,9,"Failed"
"an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .","an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .",0.8358078002929688,0.8358078002929688,1,1,0,1,"Skipped"
"it has the right approach and the right opening premise , but it [[lacks]] the [[zest]] and it goes for a plot twist instead of [[trusting]] the material .","it has the right approach and the right opening premise , but it [[shortage]] the [[fervour]] and it goes for a plot twist instead of [[relying]] the material .",0.008588552474975586,0.13034653663635254,0,0,0,19,"Failed"
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[problem]] with the film is whether these [[ambitions]] , laudable in themselves , justify a [[theatrical]] [[simulation]] of the death camp of auschwitz ii-birkenau .","the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[difficulties]] with the film is whether these [[objectives]] , laudable in themselves , justify a [[dramas]] [[simulating]] of the death camp of auschwitz ii-birkenau .",0.03467416763305664,0.12303286790847778,0,0,0,26,"Failed"
"as it stands , crocodile hunter has the [[hurried]] , [[badly]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with [[canned]] [[shots]] of raymond burr commenting on the monster's path of destruction .","as it stands , crocodile hunter has the [[raced]] , [[desperately]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with [[tinned]] [[beatings]] of raymond burr commenting on the monster's path of destruction .",0.013517498970031738,0.027670085430145264,0,0,0,12,"Failed"
"there is more than one [[joke]] about putting the [[toilet]] seat down . and that should tell you everything you [[need]] to know about all the queen's men .","there is more than one [[farce]] about putting the [[bathroom]] seat down . and that should tell you everything you [[needs]] to know about all the queen's men .",0.23002207279205322,0.44350212812423706,0,0,0,15,"Failed"
"[[fails]] in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film [[grows]] as [[dull]] as its [[characters]] , about whose fate it is hard to care .","[[fail]] in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film [[increasing]] as [[uninspiring]] as its [[trait]] , about whose fate it is hard to care .",0.005448639392852783,0.009945869445800781,0,0,0,15,"Failed"
"the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be [[emphasized]] enough .","the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be [[highlighted]] enough .",0.1468336582183838,0.798659086227417,1,0,1,9,"Successful"
"a [[charming]] and funny story of clashing cultures and a clashing mother/daughter [[relationship]] .","a [[ravishing]] and funny story of clashing cultures and a clashing mother/daughter [[nexus]] .",0.002209305763244629,0.0022707581520080566,1,1,1,19,"Failed"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.85997474193573,0.85997474193573,0,0,1,1,"Skipped"
"what ensues are much blood-splattering , mass drug-induced bowel [[evacuations]] , and none-too-funny [[commentary]] on the cultural [[distinctions]] between americans and [[brits]] .","what ensues are much blood-splattering , mass drug-induced bowel [[evac]] , and none-too-funny [[remarks]] on the cultural [[distinction]] between americans and [[britons]] .",0.015284180641174316,0.04058164358139038,0,0,0,23,"Failed"
