"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"unpretentious , [[charming]] , quirky , original","unpretentious , [[boring]] , quirky , original",0.07722854614257812,0.680322527885437,1,0,1,29,"Successful"
"a film really has to be exceptional to [[justify]] a three hour running time , and this isn't .","a film really has to be exceptional to [[achieve]] a three hour running time , and this isn't .",0.03716164827346802,0.04952305555343628,0,0,0,40,"Failed"
"working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[avoids]] most of the pitfalls you'd expect in such a potentially sudsy set-up .","working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[lacks]] most of the pitfalls you'd expect in such a potentially sudsy set-up .",0.33386653661727905,0.6048978567123413,1,0,1,18,"Successful"
"it [[may]] not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly [[rewarding]] .","it [[do]] not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly [[sad]] .",0.008121252059936523,0.5849193334579468,1,0,1,58,"Successful"
"such a premise is ripe for all [[manner]] of lunacy , but kaufman and gondry [[rarely]] seem sure of where it should go .","such a premise is ripe for all [[ways]] of lunacy , but kaufman and gondry [[often]] seem sure of where it should go .",0.05892425775527954,0.3724673390388489,0,0,0,16,"Failed"
"the lead actors share no chemistry or [[engaging]] charisma . we don't [[even]] like their characters .","the lead actors share no chemistry or [[set]] charisma . we don't [[just]] like their characters .",0.027982056140899658,0.7486627101898193,0,1,0,45,"Successful"
"we [[started]] to [[wonder]] if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some [[univac-like]] script machine .","we [[got]] to [[understand]] if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some [[universal]] script machine .",0.019778311252593994,0.4624292254447937,0,0,0,152,"Failed"
"the metaphors are provocative , but too [[often]] , the viewer is left puzzled by the mechanics of the delivery .","the metaphors are provocative , but too [[occasionally]] , the viewer is left puzzled by the mechanics of the delivery .",0.08192110061645508,0.2044684886932373,0,0,0,19,"Failed"
"marinated in [[clichés]] and mawkish dialogue .","marinated in [[witty]] and mawkish dialogue .",0.0738869309425354,0.7912275791168213,0,1,0,34,"Successful"
"an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .","an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .",0.8676872253417969,0.8676872253417969,1,1,0,1,"Skipped"
"it has the right approach and the right opening premise , but it [[lacks]] the zest and it [[goes]] for a plot twist instead of trusting the material .","it has the right approach and the right opening premise , but it [[misses]] the zest and it [[reaches]] for a plot twist instead of trusting the material .",0.027146756649017334,0.05037599802017212,0,0,0,22,"Failed"
