"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.06283658742904663,0.5922404527664185,1,0,1,4,"Successful"
"The [[weights]] [[made]] the rope stretch over the pulley.","The [[weighs]] [[effected]] the rope stretch over the pulley.",0.0782575011253357,0.8028466105461121,1,0,1,8,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.11398327350616455,0.11398327350616455,1,1,1,1,"Failed"
"If you had [[eaten]] more, you would want less.","If you had [[eat]] more, you would want less.",0.04732435941696167,0.5334678292274475,1,0,1,6,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.5633862018585205,0.5633862018585205,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.7991684675216675,0.7991684675216675,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.8346760272979736,0.8346760272979736,1,1,0,1,"Skipped"
"Mary listens to the [[Grateful]] Dead, she gets depressed.","Mary listens to the [[Appreciate]] Dead, she gets depressed.",0.14695096015930176,0.5454107522964478,1,0,1,4,"Successful"
"The angrier [[Mary]] [[got]], the more she looked at [[pictures]].","The angrier [[Maryam]] [[get]], the more she looked at [[photograph]].",0.10028082132339478,0.8263459205627441,1,0,1,8,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[outlook]] are.",0.08787107467651367,0.2596513032913208,1,1,1,5,"Failed"
"The more [[Fred]] is obnoxious, the less attention you should [[pay]] to him.","The more [[Freda]] is obnoxious, the less attention you should [[remuneration]] to him.",0.12127387523651123,0.6258518695831299,1,0,1,12,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[batch]] more obnoxious than Fred.",0.07795596122741699,0.8706390857696533,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[obtain]] [[ill]].",0.07281625270843506,0.5916339159011841,1,0,1,8,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.5412893295288086,0.5412893295288086,1,1,0,1,"Skipped"
"The more [[pictures]] of him that appear in the news, the more [[embarrassed]] John [[becomes]].","The more [[photographed]] of him that appear in the news, the more [[ashamed]] John [[become]].",0.0826447606086731,0.7862614393234253,1,0,1,14,"Successful"
"Every [[senator]] seems to [[become]] more corrupt, as he talks to more lobbyists.","Every [[senators]] seems to [[becomes]] more corrupt, as he talks to more lobbyists.",0.1290392279624939,0.7554148435592651,1,0,1,7,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.5317475199699402,0.5317475199699402,1,1,0,1,"Skipped"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.04262822866439819,0.8989953398704529,1,0,1,2,"Successful"
"He could not] have been [[working]].","He could not] have been [[worked]].",0.45993489027023315,0.6630226373672485,1,0,1,3,"Successful"
"He can not have been [[working]].","He can not have been [[worked]].",0.09094780683517456,0.46673381328582764,1,1,1,4,"Failed"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.03172588348388672,0.8860330581665039,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.06771200895309448,0.7348359823226929,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I [[seen]] a place like Bangor.","I [[told]] that never in my [[living]] had I [[noticed]] a place like Bangor.",0.06281518936157227,0.5420452356338501,1,0,1,16,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.9421139359474182,0.9421139359474182,1,1,0,1,"Skipped"
"There [[tended]] to be a lot of [[discussion]].","There [[tending]] to be a lot of [[discuss]].",0.05013030767440796,0.6205919981002808,1,0,1,10,"Successful"
"John [[tried]] to be a good [[boy]].","John [[attempting]] to be a good [[boys]].",0.05609261989593506,0.7022842168807983,1,0,1,4,"Successful"
"John is eager.","John is eager.",0.07867997884750366,0.07867997884750366,1,1,1,1,"Failed"
"We [[want]] John to win.","We [[wants]] John to win.",0.030270874500274658,0.5791710615158081,1,0,1,7,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.4891577959060669,0.4891577959060669,0,0,0,4,"Failed"
"The tube was escaped by gas.","The tube was escaped by gas.",0.8044690489768982,0.8044690489768982,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.030585885047912598,0.030585885047912598,1,1,1,1,"Failed"
"The [[tub]] leaked water.","The [[bath]] leaked water.",0.05072718858718872,0.059864938259124756,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.7823547124862671,0.7823547124862671,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.8260155916213989,0.8260155916213989,1,1,0,1,"Skipped"
"The tank leaked the fluid free.","The tank leaked the fluid free.",0.793768048286438,0.793768048286438,0,0,1,1,"Skipped"
"John lay the ball in the box.","John lay the ball in the box.",0.03687530755996704,0.03687530755996704,1,1,1,1,"Failed"
"John owns the [[book]].","John owns the [[workbook]].",0.03213858604431152,0.03351503610610962,1,1,1,3,"Failed"
"We [[persuaded]] Mary to leave and Sue to stay.","We [[confident]] Mary to leave and Sue to stay.",0.20394694805145264,0.7777011394500732,1,0,1,3,"Successful"
"Most people probably [[consider]], even though the courts didn't actually find, Klaus guilty of murder.","Most people probably [[considering]], even though the courts didn't actually find, Klaus guilty of murder.",0.22753411531448364,0.6108493804931641,1,0,1,8,"Successful"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.9441060423851013,0.9441060423851013,1,1,0,1,"Skipped"
"[[Clearly]], John [[probably]] will immediately learn French perfectly.","[[Definitely]], John [[maybe]] will immediately learn French perfectly.",0.09068185091018677,0.6366943120956421,1,0,1,30,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.8513858318328857,0.8513858318328857,1,1,0,1,"Skipped"
"The [[men]] will all [[leave]].","The [[mens]] will all [[leaving]].",0.02642834186553955,0.8650723695755005,1,0,1,6,"Successful"
"John went home.","John went home.",0.027914702892303467,0.027914702892303467,1,1,1,1,"Failed"
"They [[represented]] [[seriously]] to the dean [[Mary]] as a [[genuine]] linguist.","They [[represent]] [[profoundly]] to the dean [[Maryam]] as a [[authentic]] linguist.",0.10252463817596436,0.25741666555404663,0,0,0,17,"Failed"
"Us love they.","Us love they.",0.26689451932907104,0.26689451932907104,0,0,0,1,"Failed"
"It is [[nice]] to [[go]] abroad.","It is [[handsome]] to [[going]] abroad.",0.03800642490386963,0.8501572608947754,1,0,1,7,"Successful"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.9347900748252869,0.9347900748252869,1,1,0,1,"Skipped"
"I remembered having [[kissed]] Mary.","I remembered having [[kissing]] Mary.",0.03923159837722778,0.6495641469955444,1,0,1,2,"Successful"
"I can't [[believe]] Fred won't, either.","I can't [[believing]] Fred won't, either.",0.09283500909805298,0.8759461045265198,1,0,1,3,"Successful"
"John [[wants]] to read Fred's story, and I also want to.","John [[wanting]] to read Fred's story, and I also want to.",0.0367087721824646,0.5422293543815613,1,0,1,5,"Successful"
"We wanted to invite someone, but we couldn't decide who to.","We wanted to invite someone, but we couldn't decide who to.",0.2336665391921997,0.2336665391921997,0,0,0,21,"Failed"
"Mary will read Fred's story, and [[Joe]] will read Holly's.","Mary will read Fred's story, and [[Evel]] will read Holly's.",0.030810773372650146,0.0335698127746582,1,1,1,7,"Failed"
"Mary [[claimed]] that eating cabbage, [[Holly]] shouldn't.","Mary [[asserted]] that eating cabbage, [[Hol]] shouldn't.",0.26699262857437134,0.4517531991004944,1,1,1,6,"Failed"
"Mary came to be [[introduced]] by the bartender and I [[also]] came to be.","Mary came to be [[tabled]] by the bartender and I [[similarly]] came to be.",0.2523074746131897,0.31059402227401733,0,0,0,14,"Failed"
"If I can, I will [[work]] on it.","If I can, I will [[working]] on it.",0.029280424118041992,0.43666112422943115,1,1,1,4,"Failed"
"Joe's neuroses bother his patrons, and [[Sally]] does too.","Joe's neuroses bother his patrons, and [[Solly]] does too.",0.06177926063537598,0.07724529504776001,1,1,1,3,"Failed"
"I know which book José didn't read for class, and which book Lilly did it for him.","I know which book José didn't read for class, and which book Lilly did it for him.",0.7139226794242859,0.7139226794242859,1,1,0,1,"Skipped"
