"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.06568968296051025,0.5605504512786865,1,0,1,4,"Successful"
"The weights [[made]] the rope stretch over the pulley.","The weights [[effected]] the rope stretch over the pulley.",0.022585153579711914,0.5947983860969543,1,0,1,5,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.4692133665084839,0.4692133665084839,1,1,1,1,"Failed"
"If you had eaten more, you would [[want]] less.","If you had eaten more, you would [[wants]] less.",0.019833862781524658,0.6014739274978638,1,0,1,8,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.6319777965545654,0.6319777965545654,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.981099009513855,0.981099009513855,1,1,0,1,"Skipped"
"I demand that the more John [[eat]], the more he pays.","I demand that the more John [[eaten]], the more he pays.",0.40942054986953735,0.6239917874336243,0,1,0,6,"Successful"
"Mary listens to the Grateful Dead, she [[gets]] depressed.","Mary listens to the Grateful Dead, she [[get]] depressed.",0.15110516548156738,0.7670383453369141,1,0,1,6,"Successful"
"The angrier [[Mary]] got, the more she [[looked]] at pictures.","The angrier [[Maryam]] got, the more she [[seemed]] at pictures.",0.028742551803588867,0.5693318843841553,1,0,1,3,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[outlook]] are.",0.023531079292297363,0.2715785503387451,1,1,1,5,"Failed"
"The more [[Fred]] is obnoxious, the less attention you should [[pay]] to him.","The more [[Freda]] is obnoxious, the less attention you should [[payrolls]] to him.",0.2570623755455017,0.4702799320220947,1,1,1,12,"Failed"
"John was [[lots]] more obnoxious than Fred.","John was [[batch]] more obnoxious than Fred.",0.03919309377670288,0.522116482257843,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[obtain]] [[ill]].",0.021221637725830078,0.6061806678771973,1,0,1,8,"Successful"
"The more does Bill [[smoke]], the more [[Susan]] [[hates]] him.","The more does Bill [[smokes]], the more [[Suzan]] [[dislikes]] him.",0.08940905332565308,0.16138958930969238,0,0,0,15,"Failed"
"The more [[pictures]] of him that appear in the news, the more [[embarrassed]] John [[becomes]].","The more [[photograph]] of him that appear in the news, the more [[ashamed]] John [[become]].",0.03506171703338623,0.7828201651573181,1,0,1,14,"Successful"
"Every senator seems to become more [[corrupt]], as he [[talks]] to more lobbyists.","Every senator seems to become more [[corrupted]], as he [[talk]] to more lobbyists.",0.08959108591079712,0.5530501008033752,1,0,1,12,"Successful"
"Who does John visit Sally because he [[likes]]?","Who does John visit Sally because he [[adores]]?",0.45055681467056274,0.5203806161880493,0,1,0,7,"Successful"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.014730393886566162,0.8654699325561523,1,0,1,2,"Successful"
"He could not] have been working.","He could not] have been working.",0.6769744157791138,0.6769744157791138,0,0,1,1,"Skipped"
"He can not have been [[working]].","He can not have been [[collaborated]].",0.022760212421417236,0.6883022785186768,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.020267963409423828,0.9038535356521606,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.02403879165649414,0.6970999240875244,1,0,1,3,"Successful"
