"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors <font color = green>rode</font> the breeze clear of the rocks.","The sailors <font color = red>went</font> the breeze clear of the rocks.",0.15155738592147827,0.6242855787277222,1,0,1,52,"Successful"
"The mechanical doll wriggled itself <font color = green>loose</font>.","The mechanical doll wriggled itself <font color = red>loosened</font>.",0.1482810378074646,0.5871635675430298,1,0,1,49,"Successful"
"If you had <font color = green>eaten</font> more, you would want less.","If you had <font color = red>eats</font> more, you would want less.",0.0919809341430664,0.5605194568634033,1,0,1,53,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.594814658164978,0.594814658164978,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.6464444398880005,0.6464444398880005,1,1,0,1,"Skipped"
"I demand that the more <font color = red>John</font> eat, the more he pays.","I demand that the more <font color = green>we</font> eat, the more he pays.",0.4273793697357178,0.6118192672729492,0,1,0,53,"Successful"
"The weights <font color = green>made</font> the rope stretch over the pulley.","The weights <font color = red>had</font> the rope stretch over the pulley.",0.11260688304901123,0.5461827516555786,1,0,1,52,"Successful"
"The angrier Mary <font color = green>got</font>, the more she looked at pictures.","The angrier Mary <font color = red>being</font>, the more she looked at pictures.",0.16365790367126465,0.7351903915405273,1,0,1,51,"Successful"
"The <font color = green>higher</font> the stakes, the lower his expectations are.","The <font color = red>over</font> the stakes, the lower his expectations are.",0.10915607213973999,0.5664994716644287,1,0,1,49,"Successful"
"The more Fred is obnoxious, the <font color = green>less</font> attention you should pay to him.","The more Fred is obnoxious, the <font color = red>least</font> attention you should pay to him.",0.45440441370010376,0.6753517389297485,1,0,1,42,"Successful"
"The more people you <font color = green>give</font> beer to, the more people get sick.","The more people you <font color = red>giving</font> beer to, the more people get sick.",0.21764659881591797,0.537792444229126,1,0,1,55,"Successful"
"The more does Bill smoke, the more <font color = red>Susan</font> hates him.","The more does Bill smoke, the more <font color = green>i</font> hates him.",0.47752314805984497,0.514512300491333,0,1,0,47,"Successful"
"Mary <font color = green>listens</font> to the Grateful Dead, she gets depressed.","Mary <font color = red>listen</font>? to the Grateful Dead, she gets depressed.",0.41855937242507935,0.6001119613647461,1,0,1,53,"Successful"
"The more <font color = green>pictures</font> of him that appear in the news, the more embarrassed John becomes.","The more <font color = red>all</font> of him that appear in the news, the more embarrassed John becomes.",0.2237018346786499,0.5017555952072144,1,0,1,54,"Successful"
"Every senator <font color = green>seems</font> to become more corrupt, as he talks to more lobbyists.","Every senator <font color = red>is</font> to become more corrupt, as he talks to more lobbyists.",0.31347227096557617,0.5286111235618591,1,0,1,46,"Successful"
"<font color = red>Who</font> does John visit Sally because he likes?","<font color = green>how</font> does John visit Sally because he likes?",0.3865017890930176,0.6540024280548096,0,1,0,44,"Successful"
"Marianne did not <font color = green>leave</font>.","Marianne did not <font color = red>leaving</font>.",0.0590895414352417,0.604455292224884,1,0,1,49,"Successful"
"He <font color = green>could</font> not] have been working.","He <font color = red>was</font> not] have been working.",0.13343411684036255,0.6295667290687561,1,0,1,40,"Successful"
"He can not have been <font color = green>working</font>.","He can not have been <font color = red>being</font>.",0.05574291944503784,0.5323983430862427,1,0,1,47,"Successful"
"You will <font color = green>believe</font> Bob.","You will <font color = red>believed</font> Bob.",0.06907850503921509,0.694694995880127,1,0,1,51,"Successful"
"John has not <font color = green>kissed</font> Mary.","John has not <font color = red>brushed</font> Mary.",0.07414746284484863,0.5886693000793457,1,0,1,50,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.6622529625892639,0.6622529625892639,1,1,0,1,"Skipped"
"I <font color = green>said</font> that never in my life had I seen a place like Bangor.","I <font color = red>saying</font> that never in my life had I seen a place like Bangor.",0.3597739338874817,0.6922347545623779,1,0,1,55,"Successful"
"There <font color = green>tended</font> to be a lot of discussion.","There <font color = red>tendency</font> to be a lot of discussion.",0.09187674522399902,0.5071308612823486,1,0,1,46,"Successful"
"John <font color = green>tried</font> to be a good boy.","John <font color = red>took</font> to be a good boy.",0.07020300626754761,0.8165165185928345,1,0,1,51,"Successful"
"John is <font color = green>eager</font>.","John is <font color = red>eagerly</font>.",0.12270820140838623,0.5873591899871826,1,0,1,45,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.5881407260894775,0.5881407260894775,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.5606743097305298,0.5606743097305298,1,1,0,1,"Skipped"
"We <font color = green>want</font> John to win.","We <font color = red>wanting</font> John to win.",0.06037747859954834,0.8339791297912598,1,0,1,50,"Successful"
"<font color = green>Water</font> bubbled up out of the kettle.","<font color = red>over</font> bubbled up out of the kettle.",0.09973615407943726,0.6866599321365356,1,0,1,43,"Successful"
"<font color = green>The</font> tub leaked water.","<font color = red>on</font> tub leaked water.",0.464569091796875,0.6841240525245667,1,0,1,48,"Successful"
"What the water did to the <font color = red>bottle</font> was fill it.","What the water did to the <font color = green>can</font> was fill it.",0.46504098176956177,0.5138556361198425,0,1,0,52,"Successful"
