"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The only redeeming scene in this movie is when the robots are sent out to fight 'karate style', there was one good spinning side-kick... and that is the best 3 [[seconds]] of the movie. [[Unfortunately]], the rest of the movie has very little to recommend it -- there are better spoofs out there.","The only redeeming scene in this movie is when the robots are sent out to fight 'karate style', there was one good spinning side-kick... and that is the best 3 [[minute]] of the movie. [[Sadly]], the rest of the movie has very little to recommend it -- there are better spoofs out there.",0.0996854305267334,0.6613051891326904,0,1,0,40,"Successful"
"I looked forward to seeing this movie, because the trailer made it look so cool. [[But]] the fact is that this movie is [[boring]], and totally [[muddled]]. There is no [[plot]], and half the movie is fast flashing shots from football games. Zoomed in shots, that gives you no overview of the games. I was constantly looking at the timer, to see when the movie was over!<br /><br />There's only ONE good thing about this movie. The sound!! The soundtrack is awesome! .............Don't expect anything from this movie.","I looked forward to seeing this movie, because the trailer made it look so cool. [[Yet]] the fact is that this movie is [[dull]], and totally [[intrigued]]. There is no [[conspiracy]], and half the movie is fast flashing shots from football games. Zoomed in shots, that gives you no overview of the games. I was constantly looking at the timer, to see when the movie was over!<br /><br />There's only ONE good thing about this movie. The sound!! The soundtrack is awesome! .............Don't expect anything from this movie.",0.006121575832366943,0.5702177882194519,0,1,0,119,"Successful"
"As [[bad]] as they [[get]]. This [[film]] commits the fatal error of making the viewer not care what happens to [[characters]]. The two women in this flick are [[so]] [[stupid]] that you [[begin]] to [[root]] for the bad [[guys]] so this [[thing]] would [[end]].<br /><br />This film is one of the few that was so [[bad]] that [[I]] [[had]] to [[turn]] to another [[channel]]. <br /><br />[[Put]] in [[highbrow]] language, this film lacks verisimilitude. [[People]], not even [[people]] from Ohio, [[simply]] do not [[act]] [[like]] this. [[Well]], [[maybe]] the [[writers]] do.<br /><br />There is not enough [[beer]] in the world to make this film bearable.<br /><br />F903","As [[injurious]] as they [[achieves]]. This [[teatro]] commits the fatal error of making the viewer not care what happens to [[personalities]]. The two women in this flick are [[once]] [[punchy]] that you [[incur]] to [[rooted]] for the bad [[man]] so this [[facet]] would [[discontinue]].<br /><br />This film is one of the few that was so [[untoward]] that [[me]] [[enjoys]] to [[twist]] to another [[conduit]]. <br /><br />[[Presents]] in [[preachy]] language, this film lacks verisimilitude. [[Mankind]], not even [[man]] from Ohio, [[only]] do not [[deeds]] [[lover]] this. [[Best]], [[ultimately]] the [[novelists]] do.<br /><br />There is not enough [[bier]] in the world to make this film bearable.<br /><br />F903",0.0050109028816223145,0.5272030830383301,0,1,0,822,"Successful"
"Corey Haim plays a kid who teams up with a dog to take out a giant troll and OSA hit-man (Michael Ironside) with a 30/30 and homemade bombs (Which plays plausible considering Haim) Oh and he also protects his mother and girlfriend as well in this watchable yet [[disappointing]] adaption of a decent story. Corey Haim is terrible, of course but the movie's sheer momentum as well as Ironside's imposing presence make this at least a modestly effective film. Still the plot is [[ridiculous]] and it would've been nicer if we could've seen a monster or at least more gore. At least it's something different. Also it's fairly likely that this film will be the last teen movie for awhile to show a teenager making pipe bombs.<br /><br />Matt Bronson 2/5","Corey Haim plays a kid who teams up with a dog to take out a giant troll and OSA hit-man (Michael Ironside) with a 30/30 and homemade bombs (Which plays plausible considering Haim) Oh and he also protects his mother and girlfriend as well in this watchable yet [[sorrowful]] adaption of a decent story. Corey Haim is terrible, of course but the movie's sheer momentum as well as Ironside's imposing presence make this at least a modestly effective film. Still the plot is [[nutty]] and it would've been nicer if we could've seen a monster or at least more gore. At least it's something different. Also it's fairly likely that this film will be the last teen movie for awhile to show a teenager making pipe bombs.<br /><br />Matt Bronson 2/5",0.0060364603996276855,0.5032553672790527,0,1,0,147,"Successful"
"There are lot of [[similarities]] between Never Say Never Again and Thunderball not only on Sean Connery but also the story and plot. except the actors all other are same like hijacking Atomic bombs, asking for ransom, trafficking nukes in a ship, etc only difference are place of occurrence in thunder ball plot it is in Bahamas in Never Say Never Again it is over North Africa. And in thunder ball the NATO / RAF itself loads the nukes into plane and in Never Say Never Again it is changed by an ""rouge arm of the Axe"" and air dropped over US and stolen in Caribbean. Almost 99% is same.If anybody wants to dispute this they are most [[welcome]].","There are lot of [[similarity]] between Never Say Never Again and Thunderball not only on Sean Connery but also the story and plot. except the actors all other are same like hijacking Atomic bombs, asking for ransom, trafficking nukes in a ship, etc only difference are place of occurrence in thunder ball plot it is in Bahamas in Never Say Never Again it is over North Africa. And in thunder ball the NATO / RAF itself loads the nukes into plane and in Never Say Never Again it is changed by an ""rouge arm of the Axe"" and air dropped over US and stolen in Caribbean. Almost 99% is same.If anybody wants to dispute this they are most [[bienvenue]].",0.3125185966491699,0.5061028599739075,1,0,1,100,"Successful"
"I actually liked this movie even though this movie seems to be so hated and i think it's even better then The Deer Hunter, which was overrated. Both this movie and Year Of The Dragon are very underrated although i could see why someone would not like this movie. At three and a half hours the movie just goes on too long and the second half of the movie is much better than the first half. Kris Kristofferson and Christopher Walken are fighting over Isabelle Huppert but she can't make up her mind about which one to be with. Sam Waterston is the villain who has a list of 125 people to be killed who is says are anarchists and thieves. There is a [[great]] cast that also has Jeff Bridges, Brad Dourif and a young Mickey Rourke.","I actually liked this movie even though this movie seems to be so hated and i think it's even better then The Deer Hunter, which was overrated. Both this movie and Year Of The Dragon are very underrated although i could see why someone would not like this movie. At three and a half hours the movie just goes on too long and the second half of the movie is much better than the first half. Kris Kristofferson and Christopher Walken are fighting over Isabelle Huppert but she can't make up her mind about which one to be with. Sam Waterston is the villain who has a list of 125 people to be killed who is says are anarchists and thieves. There is a [[huge]] cast that also has Jeff Bridges, Brad Dourif and a young Mickey Rourke.",0.4712800979614258,0.8371602296829224,1,0,1,126,"Successful"
"I hated it. I hate self-aware pretentious inanity that masquerades as [[art]]. [[This]] [[film]] is either stupidly [[inane]] or inanely stupid. After the first half hour, I fastfowarded through the DVD version, and [[saw]] the same [[juvenile]] shennanigans over and over and over. I [[became]] [[angered]] that I had spent hard-earned money for sophomoric clap-trap. Tinting [[drivel]] in [[sepia]] or blue does not [[make]] something a movie, let alone art.","I hated it. I hate self-aware pretentious inanity that masquerades as [[artsy]]. [[These]] [[scorsese]] is either stupidly [[insignificant]] or inanely stupid. After the first half hour, I fastfowarded through the DVD version, and [[enjoyed]] the same [[youthfulness]] shennanigans over and over and over. I [[happened]] [[unnerved]] that I had spent hard-earned money for sophomoric clap-trap. Tinting [[fantasy]] in [[tints]] or blue does not [[exert]] something a movie, let alone art.",0.008905291557312012,0.5689352750778198,0,1,0,303,"Successful"
"I was fortunate enough to see this movie on pre-release last night and, though I wasn't expecting to, actually really [[enjoyed]] the movie for the most part. The rescues and sea effects were [[amazing]] to watch and [[definitely]] provided edge of the seat tense moments, probably all the more so knowing that there are guys who do this for a living. The weaker parts of the movie revolve largely around using stereotypical set scenes. I'm not going to spoil the movie but this really follows along the lines of An Officer and a Gentleman and those moments give it a little bit of a cheesy aftertaste.<br /><br />Like I said over all this movie is pretty good and worth checking out as long as you can get past the clichés.","I was fortunate enough to see this movie on pre-release last night and, though I wasn't expecting to, actually really [[iike]] the movie for the most part. The rescues and sea effects were [[whopping]] to watch and [[notoriously]] provided edge of the seat tense moments, probably all the more so knowing that there are guys who do this for a living. The weaker parts of the movie revolve largely around using stereotypical set scenes. I'm not going to spoil the movie but this really follows along the lines of An Officer and a Gentleman and those moments give it a little bit of a cheesy aftertaste.<br /><br />Like I said over all this movie is pretty good and worth checking out as long as you can get past the clichés.",0.007199764251708984,0.6408567428588867,1,0,1,157,"Successful"
"What an original piece of work. I've always enjoyed Liev Schreiber the ""actor"", but now one must appreciate the man on a multi-dimensional level . How did he get that field of sunflowers? Was it computerize, it sure looked real. And how do you audition a dog knowing you are going to get that kind of performance? Does the academy have a category for animals? I guess what I'm saying is that I really, really [[enjoyed]] this [[quirky]], offbeat, little indie film. From the excellent cast (one would never know Eugene Hutz was not a pro actor) to the cinematographer (some beautiful shots) the music (bought the CD when exiting the theater) and of course the two ""D's"" (direction and the DOG). All in all a ""10"".<br /><br />/","What an original piece of work. I've always enjoyed Liev Schreiber the ""actor"", but now one must appreciate the man on a multi-dimensional level . How did he get that field of sunflowers? Was it computerize, it sure looked real. And how do you audition a dog knowing you are going to get that kind of performance? Does the academy have a category for animals? I guess what I'm saying is that I really, really [[undergone]] this [[outlandish]], offbeat, little indie film. From the excellent cast (one would never know Eugene Hutz was not a pro actor) to the cinematographer (some beautiful shots) the music (bought the CD when exiting the theater) and of course the two ""D's"" (direction and the DOG). All in all a ""10"".<br /><br />/",0.0073493123054504395,0.7121573090553284,1,0,1,144,"Successful"
"How [[sad]] it is when a [[film]] as [[wonderful]] as ""[[Jurassic]] [[Park]]"" slowly nosedives into hackneyed and [[mediocre]] territory throughout its franchise. [[The]] newest sequel, Jurassic Park III, has given no thought to characters, a story, or pretty much a [[script]], and instead relies on non-stop dinosaur action, which is neither thrilling nor very interesting to watch. The dinosaurs [[seemed]] to [[look]] incredibly [[fake]] [[compared]] to the 1993 technology, after 7 years of CGI advancements, it only gives you more of the feeling that the film was pumped out for the summer relying only on its [[name]]. [[The]] introduction of a [[pterodactyl]] does not a great movie [[make]].<br /><br />[[Go]] see ""Shrek"" again.<br /><br />","How [[sorrowful]] it is when a [[scene]] as [[remarkable]] as ""[[Dinosaurs]] [[Yuen]]"" slowly nosedives into hackneyed and [[uninspired]] territory throughout its franchise. [[Both]] newest sequel, Jurassic Park III, has given no thought to characters, a story, or pretty much a [[command]], and instead relies on non-stop dinosaur action, which is neither thrilling nor very interesting to watch. The dinosaurs [[rang]] to [[listens]] incredibly [[forged]] [[comparing]] to the 1993 technology, after 7 years of CGI advancements, it only gives you more of the feeling that the film was pumped out for the summer relying only on its [[named]]. [[Both]] introduction of a [[tyrannosaurus]] does not a great movie [[introducing]].<br /><br />[[Vaya]] see ""Shrek"" again.<br /><br />",0.006167888641357422,0.5606072545051575,0,1,0,436,"Successful"
