"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"unpretentious , [[charming]] , [[quirky]] , original","unpretentious , [[leggy]] , [[screwy]] , original",0.0027303099632263184,0.9610106945037842,1,0,1,56,"Successful"
"a film [[really]] [[has]] to [[be]] exceptional to justify a three hour running time , and this isn't .","a film [[efficiently]] [[enjoy]] to [[worden]] exceptional to justify a three hour running time , and this isn't .",0.013604402542114258,0.6336761713027954,0,1,0,102,"Successful"
"working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[avoids]] most of the pitfalls you'd expect in such a potentially sudsy set-up .","working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[precludes]] most of the pitfalls you'd expect in such a potentially sudsy set-up .",0.2544271945953369,0.8700581789016724,1,0,1,61,"Successful"
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle [[longing]] make it unexpectedly [[rewarding]] .","it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle [[wanted]] make it unexpectedly [[fecund]] .",0.0026169419288635254,0.7964179515838623,1,0,1,89,"Successful"
"such a premise is ripe for all manner of lunacy , but kaufman and gondry [[rarely]] seem sure of where it should go .","such a premise is ripe for all manner of lunacy , but kaufman and gondry [[generally]] seem sure of where it should go .",0.013000905513763428,0.567438542842865,0,1,0,34,"Successful"
"the [[lead]] [[actors]] [[share]] no [[chemistry]] or [[engaging]] [[charisma]] . we don't even like their [[characters]] .","the [[directing]] [[partner]] [[ratio]] no [[chemical]] or [[implicating]] [[allure]] . we don't even like their [[ascribe]] .",0.006246030330657959,0.08536148071289062,0,0,0,210,"Failed"
"we [[started]] to [[wonder]] if  some [[unpaid]] intern [[had]] just [[typed]] '[[chris]] [[rock]] , ' '[[anthony]] hopkins' and 'terrorists' into some univac-like [[script]] [[machine]] .","we [[initiated]] to [[amazed]] if  some [[unsettled]] intern [[enjoys]] just [[proofread]] '[[brandon]] [[shaking]] , ' '[[antonius]] hopkins' and 'terrorists' into some univac-like [[commands]] [[mechanism]] .",0.009914994239807129,0.3818468451499939,0,0,0,271,"Failed"
"the metaphors are provocative , but too often , the viewer is left [[puzzled]] by the mechanics of the delivery .","the metaphors are provocative , but too often , the viewer is left [[astonished]] by the mechanics of the delivery .",0.07679218053817749,0.7029922604560852,0,1,0,50,"Successful"
"[[marinated]] in [[clichés]] and mawkish [[dialogue]] .","[[spiced]] in [[schmaltz]] and mawkish [[debate]] .",0.004696369171142578,0.7781212329864502,0,1,0,120,"Successful"
"an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .","an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .",0.8358078002929688,0.8358078002929688,1,1,0,1,"Skipped"
"it [[has]] the right approach and the right opening premise , but it [[lacks]] the zest and it goes for a plot twist [[instead]] of trusting the material .","it [[enjoys]] the right approach and the right opening premise , but it [[omission]] the zest and it goes for a plot twist [[yet]] of trusting the material .",0.008588552474975586,0.8322998881340027,0,1,0,86,"Successful"
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[problem]] with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[things]] with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0.03467416763305664,0.7660467028617859,0,1,0,60,"Successful"
"as it stands , crocodile hunter [[has]] the hurried , [[badly]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with [[canned]] shots of raymond burr commenting on the monster's path of destruction .","as it stands , crocodile hunter [[haya]] the hurried , [[spectacularly]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with [[maintained]] shots of raymond burr commenting on the monster's path of destruction .",0.013517498970031738,0.5302661657333374,0,1,0,77,"Successful"
"there is more than one joke about putting the toilet seat down . and that [[should]] tell you everything you need to know about all the queen's men .","there is more than one joke about putting the toilet seat down . and that [[shall]] tell you everything you need to know about all the queen's men .",0.23002207279205322,0.5407829284667969,0,1,0,49,"Successful"
"[[fails]] in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film grows as [[dull]] as its characters , about whose fate it is hard to care .","[[overlooking]] in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film grows as [[galling]] as its characters , about whose fate it is hard to care .",0.005448639392852783,0.6114317178726196,0,1,0,89,"Successful"
"the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be [[emphasized]] enough .","the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be [[remarked]] enough .",0.1468336582183838,0.6902247667312622,1,0,1,53,"Successful"
"a [[charming]] and funny [[story]] of [[clashing]] cultures and a clashing mother/daughter relationship .","a [[purty]] and funny [[floors]] of [[colliding]] cultures and a clashing mother/daughter relationship .",0.002209305763244629,0.5751557350158691,1,0,1,91,"Successful"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.85997474193573,0.85997474193573,0,0,1,1,"Skipped"
"what [[ensues]] are much blood-splattering , [[mass]] drug-induced bowel [[evacuations]] , and none-too-funny commentary on the cultural [[distinctions]] between [[americans]] and [[brits]] .","what [[merriment]] are much blood-splattering , [[masses]] drug-induced bowel [[expel]] , and none-too-funny commentary on the cultural [[compliments]] between [[americas]] and [[eng]] .",0.015284180641174316,0.5172256231307983,0,1,0,138,"Successful"
"director lee has a true cinematic knack , but it's also nice to [[see]] a movie with its [[heart]] so [[thoroughly]] , unabashedly on its sleeve .","director lee has a true cinematic knack , but it's also nice to [[presume]] a movie with its [[coeur]] so [[harshly]] , unabashedly on its sleeve .",0.0026695728302001953,0.5272073745727539,1,0,1,124,"Successful"
"the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .","the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .",0.9905344247817993,0.9905344247817993,1,1,0,1,"Skipped"
"goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .","goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .",0.5369772911071777,0.5369772911071777,0,0,1,1,"Skipped"
"an [[unsophisticated]] sci-fi [[drama]] that [[takes]] itself all too [[seriously]] .","an [[impressionable]] sci-fi [[cataclysmic]] that [[elects]] itself all too [[attentively]] .",0.0047348737716674805,0.11946356296539307,0,0,0,164,"Failed"
"an [[original]] and [[highly]] cerebral examination of the psychopathic mind","an [[rudimentary]] and [[excessively]] cerebral examination of the psychopathic mind",0.0022206902503967285,0.9132516980171204,1,0,1,60,"Successful"
"[[death]] to smoochy [[tells]] a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is [[joke]] . over and over again .","[[muerte]] to smoochy [[directs]] a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is [[chuckle]] . over and over again .",0.0188789963722229,0.07709717750549316,0,0,0,87,"Failed"
"i prefer soderbergh's [[concentration]] on his two lovers over tarkovsky's mostly male , mostly patriarchal debating societies .","i prefer soderbergh's [[concentrated]] on his two lovers over tarkovsky's mostly male , mostly patriarchal debating societies .",0.3123731017112732,0.5731399059295654,1,0,1,37,"Successful"
"[[meticulously]] uncovers a trail of outrageous force and craven concealment .","[[severely]] uncovers a trail of outrageous force and craven concealment .",0.03788948059082031,0.9682068228721619,1,0,1,51,"Successful"
"a rip-off [[twice]] [[removed]] , [[modeled]] after [seagal's] earlier [[copycat]] under siege , [[sometimes]] [[referred]] to as [[die]] [[hard]] on a [[boat]] .","a rip-off [[threefold]] [[cleared]] , [[simulation]] after [seagal's] earlier [[photocopied]] under siege , [[seldom]] [[termed]] to as [[muerte]] [[intense]] on a [[warships]] .",0.025987684726715088,0.5055913329124451,0,1,0,255,"Successful"
"one of those [[joyous]] films that leaps over national boundaries and celebrates universal human nature .","one of those [[chipper]] films that leaps over national boundaries and celebrates universal human nature .",0.002154111862182617,0.586851954460144,1,0,1,54,"Successful"
"if you're [[looking]] for an [[intelligent]] movie in which you can release your pent up anger , enough is just the ticket you need .","if you're [[find]] for an [[brainy]] movie in which you can release your pent up anger , enough is just the ticket you need .",0.07213443517684937,0.519073486328125,1,0,1,66,"Successful"
"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a [[surprising]] , subtle turn at the midway point .","what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a [[whopping]] , subtle turn at the midway point .",0.07726407051086426,0.5542489290237427,1,0,1,61,"Successful"
"one [[gets]] the [[impression]] the creators of don't ask don't tell laughed a hell of a lot at their own jokes . too bad none of it is [[funny]] .","one [[obtains]] the [[senses]] the creators of don't ask don't tell laughed a hell of a lot at their own jokes . too bad none of it is [[offbeat]] .",0.00999152660369873,0.5539442300796509,0,1,0,115,"Successful"
"the dialogue is [[cumbersome]] , the [[simpering]] soundtrack and editing more so .","the dialogue is [[painstaking]] , the [[prattling]] soundtrack and editing more so .",0.004190206527709961,0.9878935217857361,0,1,0,52,"Successful"
"less cinematically powerful than [[quietly]] and deeply moving , which is [[powerful]] in itself .","less cinematically powerful than [[nicely]] and deeply moving , which is [[pompous]] in itself .",0.058676183223724365,0.98298180103302,1,0,1,73,"Successful"
"[[master]] of [[disguise]] [[runs]] for only 71 [[minutes]] and [[feels]] like [[three]] [[hours]] .","[[monsieur]] of [[mendacity]] [[extends]] for only 71 [[minute]] and [[discoveries]] like [[two]] [[moment]] .",0.010288834571838379,0.19888901710510254,0,0,0,196,"Failed"
"a [[moving]] and not infrequently [[breathtaking]] film .","a [[wiggle]] and not infrequently [[striking]] film .",0.002708613872528076,0.839702844619751,1,0,1,68,"Successful"
"a so-so , made-for-tv something [[posing]] as a real [[movie]] .","a so-so , made-for-tv something [[parading]] as a real [[filmmakers]] .",0.031946539878845215,0.7925059795379639,0,1,0,53,"Successful"
"pratfalls aside , barbershop gets its greatest play from the [[timeless]] spectacle of people really talking to each other .","pratfalls aside , barbershop gets its greatest play from the [[bottomless]] spectacle of people really talking to each other .",0.0031571388244628906,0.8525553345680237,1,0,1,50,"Successful"
"an [[engrossing]] story that combines psychological drama , sociological reflection , and high-octane thriller .","an [[puzzling]] story that combines psychological drama , sociological reflection , and high-octane thriller .",0.0021812915802001953,0.9926149845123291,1,0,1,34,"Successful"
"in imax in short , it's just as [[wonderful]] on the big [[screen]] .","in imax in short , it's just as [[sumptuous]] on the big [[filtration]] .",0.006843149662017822,0.621855616569519,1,0,1,48,"Successful"
"steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .","steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .",0.7438474893569946,0.7438474893569946,0,0,1,1,"Skipped"
"a dreadful day in irish history is given [[passionate]] , if somewhat flawed , treatment .","a dreadful day in irish history is given [[greedy]] , if somewhat flawed , treatment .",0.015050709247589111,0.8099180459976196,1,0,1,50,"Successful"
"[[fans]] of the [[modern]] day hong kong action film finally have the [[worthy]] successor to a better tomorrow and the killer which they have been patiently waiting for .","[[amateur]] of the [[retrofitted]] day hong kong action film finally have the [[reputable]] successor to a better tomorrow and the killer which they have been patiently waiting for .",0.005611717700958252,0.6776589751243591,1,0,1,103,"Successful"
"a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an event .","a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an event .",0.6629858016967773,0.6629858016967773,0,0,1,1,"Skipped"
"even fans of ismail merchant's work , i suspect , would have a [[hard]] time sitting through this one .","even fans of ismail merchant's work , i suspect , would have a [[assiduously]] time sitting through this one .",0.08275771141052246,0.7019349932670593,0,1,0,53,"Successful"
"an odd [[drama]] set in the [[world]] of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .","an odd [[theatres]] set in the [[worid]] of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .",0.04705989360809326,0.5163477659225464,1,0,1,61,"Successful"
"the rules of attraction [[gets]] us too [[drunk]] on the party favors to sober us up with the transparent [[attempts]] at moralizing .","the rules of attraction [[enjoys]] us too [[drank]] on the party favors to sober us up with the transparent [[initiative]] at moralizing .",0.007882773876190186,0.8568357229232788,0,1,0,138,"Successful"
"'dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and [[sappy]] dialogue .","'dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and [[viscous]] dialogue .",0.005226433277130127,0.7582948207855225,0,1,0,27,"Successful"
"[[manages]] to [[accomplish]] what [[few]] sequels can -- it equals the original and in some ways even betters it .","[[administration]] to [[finalize]] what [[scant]] sequels can -- it equals the original and in some ways even betters it .",0.009853899478912354,0.5595502257347107,1,0,1,108,"Successful"
"twohy [[knows]] how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .","twohy [[knowing]] how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .",0.41243237257003784,0.5399399995803833,1,0,1,31,"Successful"
"a [[film]] of delicate interpersonal dances . caine makes us watch as his [[character]] awakens to the notion that to be human is eventually to have to choose . it's a [[sight]] to [[behold]] .","a [[scorsese]] of delicate interpersonal dances . caine makes us watch as his [[specifications]] awakens to the notion that to be human is eventually to have to choose . it's a [[hunch]] to [[presume]] .",0.002440929412841797,0.5026527643203735,1,0,1,165,"Successful"
"nothing but an [[episode]] of smackdown ! in [[period]] [[costume]] and with a [[bigger]] [[budget]] .","nothing but an [[phenomena]] of smackdown ! in [[moments]] [[conceals]] and with a [[strongest]] [[estimation]] .",0.0065531134605407715,0.8495408296585083,0,1,0,139,"Successful"
"too [[slick]] and [[manufactured]] to [[claim]] [[street]] [[credibility]] .","too [[tint]] and [[established]] to [[claiming]] [[boardwalk]] [[renown]] .",0.00782167911529541,0.27391642332077026,0,0,0,135,"Failed"
""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",0.8276044130325317,0.8276044130325317,0,0,1,1,"Skipped"
"supposedly authentic account of a historical event that's far too tragic to [[merit]] such superficial treatment .","supposedly authentic account of a historical event that's far too tragic to [[deserve]] such superficial treatment .",0.2232961654663086,0.5184458494186401,0,1,0,32,"Successful"
"you [[come]] [[away]] thinking not only that kate isn't [[very]] bright , but that she hasn't been [[worth]] caring about and that [[maybe]] she , janine and molly -- an all-woman dysfunctional [[family]] -- deserve one another .","you [[entrance]] [[externally]] thinking not only that kate isn't [[too]] bright , but that she hasn't been [[chastisement]] caring about and that [[perhaps]] she , janine and molly -- an all-woman dysfunctional [[kinship]] -- deserve one another .",0.01294851303100586,0.5452553033828735,0,1,0,161,"Successful"
"connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[withered]] during his enforced hiatus .","connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not [[flowered]] during his enforced hiatus .",0.01565706729888916,0.6303805112838745,1,0,1,48,"Successful"
"[[cherry]] [[orchard]] is [[badly]] [[edited]] , [[often]] [[awkwardly]] [[directed]] and [[suffers]] from the [[addition]] of a [[wholly]] unnecessary pre-credit [[sequence]] [[designed]] to [[give]] some of the characters a 'back [[story]] . '","[[sheri]] [[gardens]] is [[naughty]] [[revised]] , [[seldom]] [[unpleasantly]] [[orientation]] and [[experiencing]] from the [[longer]] of a [[strictly]] unnecessary pre-credit [[sequences]] [[focused]] to [[delivers]] some of the characters a 'back [[legend]] . '",0.010164320468902588,0.5035099983215332,0,1,0,415,"Successful"
"a rehash of every gangster [[movie]] from the past decade .","a rehash of every gangster [[cinema]] from the past decade .",0.242908775806427,0.9256157279014587,0,1,0,54,"Successful"
