"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[red]] the breeze clear of the rocks.",0.21259737014770508,0.5753492116928101,1,0,1,17,"Successful"
"The weights [[made]] the rope stretch over the pulley.","The weights [[been]] the rope stretch over the pulley.",0.09478366374969482,0.9228902459144592,1,0,1,57,"Successful"
"[[The]] mechanical [[doll]] wriggled itself loose.","[[Both]] mechanical [[beloved]] wriggled itself loose.",0.30285894870758057,0.9345380067825317,1,0,1,41,"Successful"
"If you had eaten more, you would want [[less]].","If you had eaten more, you would want [[smallest]].",0.07379657030105591,0.8153488636016846,1,0,1,28,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.5178653001785278,0.5178653001785278,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.7812389135360718,0.7812389135360718,1,1,0,1,"Skipped"
"I demand that the more [[John]] eat, the more he pays.","I demand that the more [[Jun]] eat, the more he pays.",0.49186384677886963,0.5455443859100342,0,1,0,18,"Successful"
"Mary listens to the Grateful Dead, she [[gets]] depressed.","Mary listens to the Grateful Dead, she [[have]] depressed.",0.28157103061676025,0.94078129529953,1,0,1,57,"Successful"
"The angrier Mary got, the more she [[looked]] at pictures.","The angrier Mary got, the more she [[review]] at pictures.",0.10683655738830566,0.9315387010574341,1,0,1,56,"Successful"
"The higher the [[stakes]], the lower his expectations are.","The higher the [[challenging]], the lower his expectations are.",0.17279702425003052,0.6591494083404541,1,0,1,26,"Successful"
"The more [[Fred]] is obnoxious, the less attention you should pay to him.","The more [[Fareed]] is obnoxious, the less attention you should pay to him.",0.29649579524993896,0.7515997886657715,1,0,1,14,"Successful"
"[[John]] was lots more obnoxious than Fred.","[[Johns]] was lots more obnoxious than Fred.",0.2571234703063965,0.8744215965270996,1,0,1,24,"Successful"
"The more [[people]] you give beer to, the more people get sick.","The more [[man]] you give beer to, the more people get sick.",0.06732434034347534,0.7969556450843811,1,0,1,46,"Successful"
"The more [[does]] Bill smoke, the more [[Susan]] hates him.","The more [[desires]] Bill smoke, the more [[Cathy]] hates him.",0.3799194097518921,0.5522046685218811,0,1,0,35,"Successful"
"The more [[pictures]] of him that appear in the news, the more embarrassed [[John]] becomes.","The more [[photo]] of him that appear in the news, the more embarrassed [[Johns]] becomes.",0.06075388193130493,0.584336519241333,1,0,1,52,"Successful"
"Every senator [[seems]] to become more corrupt, as he talks to more lobbyists.","Every senator [[appearing]] to become more corrupt, as he talks to more lobbyists.",0.32453012466430664,0.8881446123123169,1,0,1,25,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.5477734804153442,0.5477734804153442,1,1,0,1,"Skipped"
"Marianne [[did]] not leave.","Marianne [[doing]] not leave.",0.017304956912994385,0.9423313736915588,1,0,1,34,"Successful"
"He could not] [[have]] been working.","He could not] [[was]] been working.",0.4492989778518677,0.9457352161407471,1,0,1,37,"Successful"
"[[He]] can not have been working.","[[Her]] can not have been working.",0.1306551694869995,0.9102997183799744,1,0,1,7,"Successful"
"You will [[believe]] Bob.","You will [[visualizing]] Bob.",0.03785175085067749,0.955840528011322,1,0,1,55,"Successful"
"John [[has]] not kissed Mary.","John [[maintains]] not kissed Mary.",0.05312114953994751,0.9543366432189941,1,0,1,28,"Successful"
"[[I]] [[said]] that never in my [[life]] had I seen a place like Bangor.","[[me]] [[submits]] that never in my [[resident]] had I seen a place like Bangor.",0.0900123119354248,0.9418060779571533,1,0,1,98,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.7574241757392883,0.7574241757392883,1,1,0,1,"Skipped"
"There [[tended]] to be a lot of discussion.","There [[predisposition]] to be a lot of discussion.",0.06181526184082031,0.944817304611206,1,0,1,39,"Successful"
"John [[tried]] to be a good boy.","John [[prosecuted]] to be a good boy.",0.032990872859954834,0.949030876159668,1,0,1,42,"Successful"
"[[John]] is eager.","[[Johns]] is eager.",0.05050617456436157,0.9293099641799927,1,0,1,22,"Successful"
"We [[want]] John to win.","We [[going]] John to win.",0.02500438690185547,0.962253212928772,1,0,1,53,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.8733623027801514,0.8733623027801514,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.8595218658447266,0.8595218658447266,1,1,0,1,"Skipped"
"[[Water]] bubbled up out of the [[kettle]].","[[Aqueduct]] bubbled up out of the [[wok]].",0.027579009532928467,0.5418804883956909,1,0,1,50,"Successful"
"[[The]] tub leaked water.","[[Both]] tub leaked water.",0.4054673910140991,0.592024564743042,1,0,1,6,"Successful"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.6937789916992188,0.6937789916992188,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.7030209302902222,0.7030209302902222,1,1,0,1,"Skipped"
"The tank leaked the fluid free.","The tank leaked the fluid free.",0.8072370886802673,0.8072370886802673,0,0,1,1,"Skipped"
"John [[lay]] the [[ball]] in the box.","John [[unscientific]] the [[bowler]] in the box.",0.0661919116973877,0.9161014556884766,1,0,1,30,"Successful"
"John [[owns]] the book.","John [[possessor]] the book.",0.027815699577331543,0.940710186958313,1,0,1,45,"Successful"
"We persuaded Mary to leave and Sue to stay.","We persuaded Mary to leave and Sue to stay.",0.529008150100708,0.529008150100708,0,0,1,1,"Skipped"
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of [[murder]].","Most people probably consider, even though the courts didn't actually find, Klaus guilty of [[killing]].",0.3670233488082886,0.7387598156929016,1,0,1,49,"Successful"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.9480671882629395,0.9480671882629395,1,1,0,1,"Skipped"
"Clearly, John probably will immediately [[learn]] French perfectly.","Clearly, John probably will immediately [[getting]] French perfectly.",0.2815173864364624,0.9453107118606567,1,0,1,53,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.9564585089683533,0.9564585089683533,1,1,0,1,"Skipped"
"The men will all [[leave]].","The men will all [[authorizing]].",0.05737334489822388,0.9503077268600464,1,0,1,55,"Successful"
"John [[went]] home.","John [[were]] home.",0.03344893455505371,0.9199856519699097,1,0,1,34,"Successful"
"They [[represented]] seriously to the dean [[Mary]] as a genuine linguist.","They [[reflect]] seriously to the dean [[Wedding]] as a genuine linguist.",0.06214660406112671,0.5753270387649536,0,1,0,73,"Successful"
"Us love they.","Us love they.",0.7315285205841064,0.7315285205841064,1,1,0,1,"Skipped"
"It is nice to [[go]] abroad.","It is nice to [[going]] abroad.",0.01698172092437744,0.8773967623710632,1,0,1,23,"Successful"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.8203434944152832,0.8203434944152832,1,1,0,1,"Skipped"
"I remembered [[having]] kissed Mary.","I remembered [[making]] kissed Mary.",0.10324198007583618,0.9479773640632629,1,0,1,18,"Successful"
"I can't believe [[Fred]] won't, either.","I can't believe [[Fareed]] won't, either.",0.21556001901626587,0.7472341060638428,1,0,1,11,"Successful"
"John [[wants]] to read Fred's story, and I also want to.","John [[did]] to read Fred's story, and I also want to.",0.028869450092315674,0.9320045709609985,1,0,1,55,"Successful"
"We wanted to invite someone, but we couldn't decide who to.","We wanted to invite someone, but we couldn't decide who to.",0.7593472599983215,0.7593472599983215,1,1,0,1,"Skipped"
"Mary will [[read]] Fred's story, and Joe will read Holly's.","Mary will [[reads]] Fred's story, and Joe will read Holly's.",0.03699362277984619,0.832783043384552,1,0,1,28,"Successful"
"Mary claimed that eating cabbage, Holly shouldn't.","Mary claimed that eating cabbage, Holly shouldn't.",0.5823277235031128,0.5823277235031128,0,0,1,1,"Skipped"
"Mary came to be [[introduced]] by the bartender and I also came to [[be]].","Mary came to be [[executed]] by the bartender and I also came to [[remain]].",0.470611572265625,0.7403439283370972,0,1,0,91,"Successful"
"If [[I]] can, I will work on it.","If [[me]] can, I will work on it.",0.05907982587814331,0.8960530757904053,1,0,1,7,"Successful"
