"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[sailors]] [[rode]] the breeze clear of the rocks.","The [[marine]] [[straddled]] the breeze clear of the rocks.",0.11952346563339233,0.7200019359588623,1,0,1,12,"Successful"
"The [[weights]] [[made]] the rope stretch over the pulley.","The [[weighs]] [[effected]] the rope stretch over the pulley.",0.09359616041183472,0.7768949866294861,1,0,1,8,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.20540499687194824,0.20540499687194824,1,1,1,1,"Failed"
"[[If]] you had [[eaten]] more, you [[would]] [[want]] less.","[[Though]] you had [[eat]] more, you [[ought]] [[wants]] less.",0.08806651830673218,0.9472339749336243,1,0,1,14,"Successful"
"As you eat the most, you want the [[least]].","As you eat the most, you want the [[lowest]].",0.4268426299095154,0.49345237016677856,0,0,0,11,"Failed"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.8864419460296631,0.8864419460296631,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.8481535911560059,0.8481535911560059,1,1,0,1,"Skipped"
"Mary [[listens]] to the Grateful Dead, she gets depressed.","Mary [[listen]] to the Grateful Dead, she gets depressed.",0.2557312250137329,0.5481948852539062,1,0,1,3,"Successful"
"The angrier [[Mary]] [[got]], the more she looked at pictures.","The angrier [[Maryam]] [[get]], the more she looked at pictures.",0.15427273511886597,0.6779950261116028,1,0,1,5,"Successful"
"The [[higher]] the stakes, the lower his expectations are.","The [[highest]] the stakes, the lower his expectations are.",0.12337857484817505,0.5246111750602722,1,0,1,3,"Successful"
"The more [[Fred]] is obnoxious, the less attention you should [[pay]] to him.","The more [[Freda]] is obnoxious, the less attention you should [[paying]] to him.",0.10711300373077393,0.7294455766677856,1,0,1,12,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[lot]] more obnoxious than Fred.",0.26892757415771484,0.5011608600616455,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] sick.","The more people you [[confer]] beer to, the more people [[obtain]] sick.",0.0974496603012085,0.8001282215118408,1,0,1,6,"Successful"
"The more does Bill smoke, the more [[Susan]] hates him.","The more does Bill smoke, the more [[Susanne]] hates him.",0.3798207640647888,0.4019610285758972,0,0,0,17,"Failed"
"The more [[pictures]] of him that appear in the news, the more embarrassed John becomes.","The more [[photographed]] of him that appear in the news, the more embarrassed John becomes.",0.12682980298995972,0.529671847820282,1,0,1,14,"Successful"
"[[Every]] senator seems to become more corrupt, as he talks to more lobbyists.","[[All]] senator seems to become more corrupt, as he talks to more lobbyists.",0.33457058668136597,0.7271063923835754,1,0,1,4,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.4796699285507202,0.4796699285507202,0,0,0,7,"Failed"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.08536827564239502,0.8922063112258911,1,0,1,2,"Successful"
