"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the panther's the coat is dark black.","the panther's the coat is dark black.",0.665593683719635,0.665593683719635,1,1,0,1,"Skipped"
"It would be [[unwise]] for there to be no fire exit.","It would be [[lucky]] for there to be no fire exit.",0.05539405345916748,0.7394251823425293,1,0,1,51,"Successful"
"John [[left]] us orders to follow Pete.","John [[had]] us orders to follow Pete.",0.03825271129608154,0.5343952775001526,1,0,1,56,"Successful"
"The mechanical doll [[wriggled]] itself loose.","The mechanical doll [[shuddered]] itself loose.",0.062407612800598145,0.7884888648986816,1,0,1,56,"Successful"
"Frances [[hid]] the [[presents]] in the drawer.","Frances [[arranged]] the [[box]] in the drawer.",0.04506784677505493,0.8051599860191345,1,0,1,104,"Successful"
"That dogs bark [[annoys]] people.","That dogs bark [[towards]] people.",0.03705453872680664,0.635304868221283,1,0,1,8,"Successful"
"[[Carla]] [[shoveled]] the walk.","[[will]] [[eyed]] the walk.",0.03825843334197998,0.9501069784164429,1,0,1,91,"Successful"
"The birds [[give]] the worm a tug.","The birds [[would]] the worm a tug.",0.025129318237304688,0.871893048286438,1,0,1,55,"Successful"
"Michelle kept the desk with the [[papers]].","Michelle kept the desk with the [[remote]].",0.05690431594848633,0.5341895818710327,0,1,0,54,"Successful"
"Sandy is [[wondering]] whether there will be students who have to drop the class for a certain reason, but she won't [[reveal]] what.","Sandy is [[wondered]] whether there will be students who have to drop the class for a certain reason, but she won't [[revealed]] what.",0.029519319534301758,0.6326614618301392,1,0,1,21,"Successful"
"I [[hit]] that you knew the [[answer]].","I [[suspect]] that you knew the [[thing]].",0.04048442840576172,0.9769902229309082,0,1,0,102,"Successful"
"I [[dislike]] the company in which we placed our trust.","I [[think]] the company in which we placed our trust.",0.17421191930770874,0.8831547498703003,1,0,1,55,"Successful"
"The patient was [[died]].","The patient was [[sleeping]].",0.3069930672645569,0.978530764579773,0,1,0,24,"Successful"
"I dislike the people in who we [[placed]] our trust.","I dislike the people in who we [[gain]] our trust.",0.14793044328689575,0.5148423910140991,0,1,0,55,"Successful"
"You should sit before there.","You should sit before there.",0.9295451641082764,0.9295451641082764,1,1,0,1,"Skipped"
"I would [[prefer]] for John to leave.","I would [[waiting]] for John to leave.",0.02289760112762451,0.9551780819892883,1,0,1,54,"Successful"
"[[Heidi]] [[thinks]] that [[Andy]] should [[eat]] salmon flavored candy [[bars]].","[[others]] [[announced]] that [[anyone]] should [[ordered]] salmon flavored candy [[drink]].",0.016496658325195312,0.9087125658988953,1,0,1,208,"Successful"
"Bill's wine from [[France]] and Ted's from California cannot be [[compared]].","Bill's wine from [[america]] and Ted's from California cannot be [[coincidence]].",0.15085554122924805,0.5037256479263306,1,0,1,100,"Successful"
"Us [[love]] they.","Us [[like]] they.",0.0444951057434082,0.12071669101715088,0,0,0,16,"Failed"
"The [[bed]] was slept in.","The [[place]] was slept in.",0.12227684259414673,0.8301166892051697,1,0,1,53,"Successful"
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.","Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0.9414807558059692,0.9414807558059692,1,1,0,1,"Skipped"
"The cat was bitten the [[mouse]] by the dog.","The cat was bitten the [[hardest]] by the dog.",0.056301772594451904,0.9429494738578796,0,1,0,46,"Successful"
"John [[tried]] to be a good boy.","John [[said]] to be a good boy.",0.054414331912994385,0.9118101000785828,1,0,1,54,"Successful"
"We wanted to invite [[someone]], but we couldn't [[decide]] who to.","We wanted to invite [[attention]], but we couldn't [[move]] who to.",0.237557053565979,0.5065619945526123,0,1,0,88,"Successful"
"John [[finished]] the [[cake]] and drank the lemonade.","John [[grill]] the [[meat]] and drank the lemonade.",0.12103205919265747,0.7007501125335693,1,0,1,104,"Successful"
"Some people [[consider]] noisy dogs in my neighborhood dangerous.","Some people [[liked]] noisy dogs in my neighborhood dangerous.",0.029769062995910645,0.9650782942771912,1,0,1,54,"Successful"
"Everyone [[relies]] on someone. It's unclear who.","Everyone [[knows]] on someone. It's unclear who.",0.08460325002670288,0.9341617226600647,1,0,1,55,"Successful"
"Captain Wentworth [[wrote]] a [[letter]] to Anne Elliott.","Captain Wentworth [[completed]] a [[letters]] to Anne Elliott.",0.02833932638168335,0.8895986080169678,1,0,1,98,"Successful"
"Whenever [[Russia]] has [[made]] a major political [[blunder]], the U.S. has too.","Whenever [[someone]] has [[suffering]] a major political [[loss]], the U.S. has too.",0.0611424446105957,0.551538348197937,1,0,1,152,"Successful"
"Some people [[consider]] the dogs dangerous.","Some people [[fear]] the dogs dangerous.",0.025960862636566162,0.7676909565925598,1,0,1,54,"Successful"
"The defendant [[denied]] the accusation.","The defendant [[denying]] the accusation.",0.0328790545463562,0.8782504796981812,1,0,1,54,"Successful"
"We [[created]] a monster.","We [[is]] a monster.",0.035856008529663086,0.9649414420127869,1,0,1,53,"Successful"
"John said Joan [[saw]] someone from her graduating class.","John said Joan [[were]] someone from her graduating class.",0.05335336923599243,0.8027105927467346,1,0,1,56,"Successful"
"John is tall on several occasions.","John is tall on several occasions.",0.8534748554229736,0.8534748554229736,1,1,0,1,"Skipped"
"I [[dislike]] the [[people]] in whose house we stayed.","I [[thought]] the [[sort]] in whose house we stayed.",0.05477619171142578,0.9075316786766052,1,0,1,106,"Successful"
"[[That]] Fido barks annoys me.","[[a]] Fido barks annoys me.",0.0807420015335083,0.8973474502563477,1,0,1,19,"Successful"
"Bill [[ate]] more peaches than Harry did grapes.","Bill [[was]] more peaches than Harry did grapes.",0.22571301460266113,0.6607264280319214,1,0,1,55,"Successful"
"Nobody [[told]] Susan.","Nobody [[said]] Susan.",0.04376566410064697,0.6703212261199951,1,0,1,36,"Successful"
"His or her least known [[work]].","His or her least known [[line]].",0.38002628087997437,0.871493399143219,1,0,1,54,"Successful"
"We believed John to be a fountain in the [[park]].","We believed John to be a fountain in the [[dark]].",0.26528602838516235,0.7654719352722168,0,1,0,55,"Successful"
"Will he can do it?","Will he can do it?",0.83310467004776,0.83310467004776,0,0,1,1,"Skipped"
"[[Kim]] and Terry is [[happy]].","[[phil]] and Terry is [[fine]].",0.15049195289611816,0.6112797260284424,0,1,0,69,"Successful"
"Fanny regretted having to [[talk]] to Aunt Norris.","Fanny regretted having to [[see]] to Aunt Norris.",0.04262882471084595,0.6442968845367432,1,0,1,55,"Successful"
"Clinton is anxious to [[find]] out which budget dilemmas Panetta would be willing to [[tackle]] in a certain way, but he won't say in which.","Clinton is anxious to [[figuring]] out which budget dilemmas Panetta would be willing to [[handle]] in a certain way, but he won't say in which.",0.20378005504608154,0.5062590837478638,1,0,1,59,"Successful"
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.","That the cops spoke to the janitor about it yesterday is terrible, that robbery.",0.8357017040252686,0.8357017040252686,1,1,0,1,"Skipped"
"Fiona [[might]] be here by [[5]] o'clock.","Fiona [[scheduled]] be here by [[two]] o'clock.",0.055643320083618164,0.9601373076438904,1,0,1,55,"Successful"
"Vote for you!","Vote for you!",0.8363924026489258,0.8363924026489258,1,1,0,1,"Skipped"
"[[John]] is sick.","[[something]] is sick.",0.05316871404647827,0.8017765879631042,1,0,1,47,"Successful"
"They [[knew]] that pictures of each other would be on sale.","They [[wanted]] that pictures of each other would be on sale.",0.025515735149383545,0.5807914733886719,1,0,1,55,"Successful"
"I [[mixed]] the sugar into the butter.","I [[dipping]] the sugar into the butter.",0.023619771003723145,0.9588971138000488,1,0,1,54,"Successful"
"Anson [[believed]] himself to be handsome.","Anson [[hid]] himself to be handsome.",0.039260685443878174,0.8668438196182251,1,0,1,53,"Successful"
"The boat seen down the [[river]] sank.","The boat seen down the [[water]] sank.",0.4294218420982361,0.7593216896057129,1,0,1,53,"Successful"
"John bought a dog for himself to play with.","John bought a dog for himself to play with.",0.9688498973846436,0.9688498973846436,1,1,0,1,"Skipped"
"[[That]] [[Sam]] sometimes didn't sleep must have pleased somebody.","[[the]] [[beth]] sometimes didn't sleep must have pleased somebody.",0.06426966190338135,0.6619181632995605,1,0,1,50,"Successful"
"I'm [[sure]] we even [[got]] these tickets!","I'm [[wonder]] we even [[knew]] these tickets!",0.033062636852264404,0.8091542720794678,1,0,1,97,"Successful"
"I lent the [[book]] [[partway]] to Tony.","I lent the [[sword]] [[bracelet]] to Tony.",0.11257576942443848,0.639487087726593,0,1,0,75,"Successful"
"[[You]] kicked yourselves","[[she]] kicked yourselves",0.47879618406295776,0.9530221819877625,1,0,1,10,"Successful"
"She can [[run]] an [[accelerator]].","She can [[be]] an [[bitch]].",0.019508719444274902,0.5449419021606445,1,0,1,101,"Successful"
"The cat slept soundly and furry.","The cat slept soundly and furry.",0.7286645174026489,0.7286645174026489,1,1,0,1,"Skipped"
"Do you believe the claim that [[somebody]] was looking for something?","Do you believe the claim that [[death]] was looking for something?",0.060279786586761475,0.5364140272140503,1,0,1,50,"Successful"
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of [[murder]].","Most people probably consider, even though the courts didn't actually find, Klaus guilty of [[killing]].",0.40556567907333374,0.6589665412902832,1,0,1,17,"Successful"
"Mary [[asked]] me if, in St. Louis, John could rent a house cheap.","Mary [[asking]] me if, in St. Louis, John could rent a house cheap.",0.3665153384208679,0.9522637128829956,1,0,1,57,"Successful"
"[[Kim]] put in the box.","[[be]] put in the box.",0.037753164768218994,0.8923345804214478,0,1,0,35,"Successful"
"John was [[believed]] by Mary to be telling the truth.","John was [[believing]] by Mary to be telling the truth.",0.028549611568450928,0.7743352651596069,1,0,1,55,"Successful"
"Some people [[consider]] the dogs in my neighborhood dangerous.","Some people [[got]] the dogs in my neighborhood dangerous.",0.03008866310119629,0.9680206775665283,1,0,1,55,"Successful"
"John [[tried]] to leave.","John [[made]] to leave.",0.020388305187225342,0.9683343768119812,1,0,1,52,"Successful"
"He [[washed]] her.","He [[was]] her.",0.11014622449874878,0.6128678321838379,1,0,1,53,"Successful"
"I [[borrowed]] Fred's diagram of a snake's eye because Steve's had been stolen.","I [[thought]] Fred's diagram of a snake's eye because Steve's had been stolen.",0.19390755891799927,0.8374162316322327,1,0,1,58,"Successful"
"I [[bought]] [[three]] [[quarts]] of wine and [[two]] of [[Clorox]].","I [[was]] [[two]] [[tasted]] of wine and [[one]] of [[wine]].",0.047019362449645996,0.8858927488327026,1,0,1,217,"Successful"
"[[Dave]], Dan, Erin, Jaime, and [[Alina]] [[left]].","[[will]], Dan, Erin, Jaime, and [[dan]] [[embraced]].",0.023913860321044922,0.8556620478630066,1,0,1,164,"Successful"
"Brian threw the fence with the stick.","Brian threw the fence with the stick.",0.7095634937286377,0.7095634937286377,1,1,0,1,"Skipped"
"Each student [[wrote]] a paper on a Mayan language, but I don't remember which [[one]].","Each student [[submit]] a paper on a Mayan language, but I don't remember which [[is]].",0.0313144326210022,0.7199763059616089,1,0,1,57,"Successful"
"[[Which]] book did each author recommend?","[[many]] book did each author recommend?",0.02088099718093872,0.9540722966194153,1,0,1,12,"Successful"
"The [[soup]] cooks, [[thickens]].","The [[world]] cooks, [[pub]].",0.02284419536590576,0.9435051083564758,1,0,1,84,"Successful"
"They may grow as [[high]] as [[bamboo]].","They may grow as [[much]] as [[grown]].",0.04570716619491577,0.6859654188156128,1,0,1,63,"Successful"
"Mary listens to the Grateful Dead, she [[gets]] [[depressed]].","Mary listens to the Grateful Dead, she [[u]] [[cha]].",0.053967833518981934,0.8002881407737732,1,0,1,77,"Successful"
"You may pick every flower, but leave a few for Mary.","You may pick every flower, but leave a few for Mary.",0.9623399376869202,0.9623399376869202,1,1,0,1,"Skipped"
"The [[bucket]] was kicked by Pat.","The [[incident]] was kicked by Pat.",0.03867614269256592,0.6432790756225586,1,0,1,51,"Successful"
"The children are [[happy]] of ice cream.","The children are [[hungry]] of ice cream.",0.11946296691894531,0.9805517196655273,0,1,0,15,"Successful"
"[[This]] proved a decisive factor.","[[which]] proved a decisive factor.",0.06740105152130127,0.8037513494491577,1,0,1,9,"Successful"
