"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The only [[redeeming]] scene in this movie is when the robots are sent out to fight 'karate style', there was one good spinning side-kick... and that is the best 3 seconds of the movie. Unfortunately, the rest of the movie has very little to recommend it -- there are better spoofs out there.","The only [[action]] scene in this movie is when the robots are sent out to fight 'karate style', there was one good spinning side-kick... and that is the best 3 seconds of the movie. Unfortunately, the rest of the movie has very little to recommend it -- there are better spoofs out there.",0.2756587266921997,0.5970598459243774,0,1,0,28,"Successful"
"I [[looked]] forward to seeing this [[movie]], because the trailer made it look so cool. But the fact is that this movie is [[boring]], and [[totally]] muddled. There is no plot, and half the movie is fast flashing shots from football games. Zoomed in shots, that gives you no overview of the games. I was constantly looking at the timer, to see when the movie was over!<br /><br />There's only ONE [[good]] thing about this movie. The sound!! The soundtrack is awesome! .............Don't expect anything from this movie.","I [[glanced]] forward to seeing this [[film]], because the trailer made it look so cool. But the fact is that this movie is [[great]], and [[not]] muddled. There is no plot, and half the movie is fast flashing shots from football games. Zoomed in shots, that gives you no overview of the games. I was constantly looking at the timer, to see when the movie was over!<br /><br />There's only ONE [[better]] thing about this movie. The sound!! The soundtrack is awesome! .............Don't expect anything from this movie.",0.005908787250518799,0.5017892122268677,0,1,0,136,"Successful"
"As bad as they get. [[This]] film commits the fatal error of making the viewer not care what happens to characters. [[The]] two women in this flick are so stupid that you [[begin]] to root for the bad guys so this thing would end.<br /><br />This [[film]] is one of the few that was so [[bad]] that I had to turn to another channel. <[[br]] /><[[br]] />Put in highbrow language, this film lacks [[verisimilitude]]. People, not even people from Ohio, simply do not [[act]] like this. Well, maybe the writers do.<[[br]] /><br />There is not [[enough]] beer in the world to make this film bearable.<[[br]] /><br />[[F903]]","As bad as they get. [[some]] film commits the fatal error of making the viewer not care what happens to characters. [[which]] two women in this flick are so stupid that you [[want]] to root for the bad guys so this thing would end.<br /><br />This [[films]] is one of the few that was so [[much]] that I had to turn to another channel. <[[http]] /><[[d]] />Put in highbrow language, this film lacks [[authority]]. People, not even people from Ohio, simply do not [[come]] like this. Well, maybe the writers do.<[[com]] /><br />There is not [[like]] beer in the world to make this film bearable.<[[org]] /><br />[[refrain]]",0.006130695343017578,0.012274324893951416,0,0,0,277,"Failed"
"Corey Haim plays a kid who teams up with a dog to take out a giant troll and OSA hit-man (Michael Ironside) with a 30/30 and homemade bombs (Which plays plausible considering Haim) Oh and he also protects his mother and girlfriend as well in this watchable yet [[disappointing]] adaption of a decent story. Corey Haim is terrible, of course but the movie's sheer momentum as well as Ironside's imposing presence make this at least a modestly effective film. Still the plot is ridiculous and it would've been nicer if we could've seen a monster or at least more gore. At least it's something different. Also it's fairly likely that this film will be the last teen movie for awhile to show a teenager making pipe bombs.<br /><br />Matt Bronson 2/5","Corey Haim plays a kid who teams up with a dog to take out a giant troll and OSA hit-man (Michael Ironside) with a 30/30 and homemade bombs (Which plays plausible considering Haim) Oh and he also protects his mother and girlfriend as well in this watchable yet [[good]] adaption of a decent story. Corey Haim is terrible, of course but the movie's sheer momentum as well as Ironside's imposing presence make this at least a modestly effective film. Still the plot is ridiculous and it would've been nicer if we could've seen a monster or at least more gore. At least it's something different. Also it's fairly likely that this film will be the last teen movie for awhile to show a teenager making pipe bombs.<br /><br />Matt Bronson 2/5",0.09755939245223999,0.641255259513855,0,1,0,93,"Successful"
"There are [[lot]] of similarities between [[Never]] Say Never Again and [[Thunderball]] not only on Sean Connery but also the [[story]] and [[plot]]. except the actors all other are same [[like]] [[hijacking]] Atomic bombs, [[asking]] for ransom, trafficking nukes in a ship, etc only difference are place of [[occurrence]] in thunder ball plot it is in Bahamas in [[Never]] Say Never Again it is over North [[Africa]]. And in thunder ball the NATO / RAF itself loads the nukes into [[plane]] and in [[Never]] Say Never Again it is changed by an ""rouge [[arm]] of the Axe"" and air dropped over [[US]] and stolen in Caribbean. Almost 99% is same.If [[anybody]] [[wants]] to dispute this they are most welcome.","There are [[sort]] of similarities between [[ne]] Say Never Again and [[films]] not only on Sean Connery but also the [[plot]] and [[director]]. except the actors all other are same [[out]] [[using]] Atomic bombs, [[demands]] for ransom, trafficking nukes in a ship, etc only difference are place of [[take]] in thunder ball plot it is in Bahamas in [[sooner]] Say Never Again it is over North [[sea]]. And in thunder ball the NATO / RAF itself loads the nukes into [[ground]] and in [[aye]] Say Never Again it is changed by an ""rouge [[made]] of the Axe"" and air dropped over [[ship]] and stolen in Caribbean. Almost 99% is same.If [[anyone]] [[likes]] to dispute this they are most welcome.",0.05163294076919556,0.3010045289993286,1,1,1,306,"Failed"
"I actually liked this movie even though this movie seems to be so hated and i think it's even better then The Deer Hunter, which was overrated. Both this movie and Year Of The Dragon are very underrated although i could see why someone would not like this movie. At three and a half hours the movie just goes on too long and the second half of the movie is much [[better]] than the first half. Kris Kristofferson and Christopher Walken are fighting over Isabelle Huppert but she can't make up her mind about which one to be with. Sam Waterston is the villain who has a list of 125 people to be killed who is says are anarchists and thieves. There is a great cast that also has Jeff Bridges, Brad Dourif and a young Mickey Rourke.","I actually liked this movie even though this movie seems to be so hated and i think it's even better then The Deer Hunter, which was overrated. Both this movie and Year Of The Dragon are very underrated although i could see why someone would not like this movie. At three and a half hours the movie just goes on too long and the second half of the movie is much [[more]] than the first half. Kris Kristofferson and Christopher Walken are fighting over Isabelle Huppert but she can't make up her mind about which one to be with. Sam Waterston is the villain who has a list of 125 people to be killed who is says are anarchists and thieves. There is a great cast that also has Jeff Bridges, Brad Dourif and a young Mickey Rourke.",0.2287483811378479,0.5940102338790894,1,0,1,98,"Successful"
"[[I]] [[hated]] it. I hate self-aware pretentious inanity that masquerades as art. This film is either stupidly [[inane]] or inanely stupid. After the first half hour, I fastfowarded through the DVD version, and saw the same juvenile shennanigans over and over and over. [[I]] became angered that I had [[spent]] hard-earned money for sophomoric clap-trap. Tinting drivel in sepia or blue does not make something a movie, let alone art.","[[you]] [[loved]] it. I hate self-aware pretentious inanity that masquerades as art. This film is either stupidly [[amusing]] or inanely stupid. After the first half hour, I fastfowarded through the DVD version, and saw the same juvenile shennanigans over and over and over. [[my]] became angered that I had [[collected]] hard-earned money for sophomoric clap-trap. Tinting drivel in sepia or blue does not make something a movie, let alone art.",0.0049332380294799805,0.7083109617233276,0,1,0,105,"Successful"
"I was fortunate enough to [[see]] this [[movie]] on pre-release last night and, [[though]] I wasn't expecting to, actually really [[enjoyed]] the movie for the most part. The rescues and sea effects were [[amazing]] to watch and [[definitely]] provided edge of the seat tense moments, probably all the more so knowing that there are guys who do this for a living. The weaker parts of the movie revolve largely [[around]] using stereotypical set scenes. [[I'm]] not going to spoil the movie but this [[really]] follows along the lines of An Officer and a [[Gentleman]] and those moments [[give]] it a little [[bit]] of a cheesy [[aftertaste]].<br /><br />Like I said over all this movie is pretty [[good]] and worth checking out as long as you can get past the clichés.","I was fortunate enough to [[put]] this [[film]] on pre-release last night and, [[while]] I wasn't expecting to, actually really [[did]] the movie for the most part. The rescues and sea effects were [[interesting]] to watch and [[certainly]] provided edge of the seat tense moments, probably all the more so knowing that there are guys who do this for a living. The weaker parts of the movie revolve largely [[up]] using stereotypical set scenes. [[try]] not going to spoil the movie but this [[just]] follows along the lines of An Officer and a [[gentleman]] and those moments [[make]] it a little [[sort]] of a cheesy [[ride]].<br /><br />Like I said over all this movie is pretty [[simple]] and worth checking out as long as you can get past the clichés.",0.02238619327545166,0.5329197645187378,1,0,1,209,"Successful"
"What an original [[piece]] of work. I've always enjoyed Liev Schreiber the ""actor"", but now one must appreciate the man on a multi-dimensional level . How did he get that field of sunflowers? Was it computerize, it sure looked real. And how do you audition a dog knowing you are going to get that kind of performance? Does the academy have a category for animals? I guess what I'm saying is that I really, really [[enjoyed]] this quirky, offbeat, little indie film. From the [[excellent]] cast (one would never know Eugene Hutz was not a pro actor) to the cinematographer (some beautiful shots) the music (bought the CD when exiting the theater) and of course the two ""D's"" (direction and the DOG). All in all a ""10"".<br /><br />/","What an original [[sort]] of work. I've always enjoyed Liev Schreiber the ""actor"", but now one must appreciate the man on a multi-dimensional level . How did he get that field of sunflowers? Was it computerize, it sure looked real. And how do you audition a dog knowing you are going to get that kind of performance? Does the academy have a category for animals? I guess what I'm saying is that I really, really [[hated]] this quirky, offbeat, little indie film. From the [[usual]] cast (one would never know Eugene Hutz was not a pro actor) to the cinematographer (some beautiful shots) the music (bought the CD when exiting the theater) and of course the two ""D's"" (direction and the DOG). All in all a ""10"".<br /><br />/",0.01297605037689209,0.6416884660720825,1,0,1,182,"Successful"
"How [[sad]] it is when a [[film]] as wonderful as ""Jurassic Park"" slowly nosedives into hackneyed and [[mediocre]] territory throughout its franchise. The [[newest]] sequel, Jurassic Park [[III]], has [[given]] no [[thought]] to characters, a story, or [[pretty]] much a script, and instead relies on [[non-stop]] dinosaur action, which is [[neither]] thrilling nor very interesting to watch. The dinosaurs [[seemed]] to look [[incredibly]] fake compared to the 1993 technology, after 7 years of CGI advancements, it only [[gives]] you more of the [[feeling]] that the film was pumped out for the summer [[relying]] only on its name. The introduction of a pterodactyl does not a [[great]] movie make.<br /><br />[[Go]] see ""Shrek"" again.<br /><br />","How [[tragic]] it is when a [[movie]] as wonderful as ""Jurassic Park"" slowly nosedives into hackneyed and [[funny]] territory throughout its franchise. The [[latest]] sequel, Jurassic Park [[iii]], has [[used]] no [[regard]] to characters, a story, or [[therefore]] much a script, and instead relies on [[actual]] dinosaur action, which is [[nor]] thrilling nor very interesting to watch. The dinosaurs [[use]] to look [[somewhat]] fake compared to the 1993 technology, after 7 years of CGI advancements, it only [[give]] you more of the [[fact]] that the film was pumped out for the summer [[focusing]] only on its name. The introduction of a pterodactyl does not a [[terrible]] movie make.<br /><br />[[may]] see ""Shrek"" again.<br /><br />",0.011913895606994629,0.4122591018676758,0,0,0,339,"Failed"
