"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"unpretentious , [[charming]] , quirky , original","unpretentious , [[leggy]] , quirky , original",0.010381162166595459,0.6391483545303345,1,0,1,30,"Successful"
"a [[film]] [[really]] [[has]] to be exceptional to justify a three [[hour]] [[running]] time , and this isn't .","a [[teatro]] [[heartily]] [[enjoy]] to be exceptional to justify a three [[time]] [[managed]] time , and this isn't .",0.06359237432479858,0.5877530574798584,0,1,0,140,"Successful"
"working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[avoids]] most of the pitfalls you'd expect in such a potentially sudsy set-up .","working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[impede]] most of the pitfalls you'd expect in such a potentially sudsy set-up .",0.045994341373443604,0.8200348019599915,1,0,1,61,"Successful"
"it may not be particularly innovative , but the film's crisp , unaffected style and air of [[gentle]] longing [[make]] it unexpectedly [[rewarding]] .","it may not be particularly innovative , but the film's crisp , unaffected style and air of [[limp]] longing [[making]] it unexpectedly [[bounties]] .",0.004018187522888184,0.5180488228797913,1,0,1,114,"Successful"
"such a premise is ripe for all manner of lunacy , but kaufman and gondry [[rarely]] seem sure of where it should go .","such a premise is ripe for all manner of lunacy , but kaufman and gondry [[fluently]] seem sure of where it should go .",0.018948674201965332,0.8661584854125977,0,1,0,34,"Successful"
"the [[lead]] [[actors]] [[share]] no [[chemistry]] or [[engaging]] charisma . we don't even like their [[characters]] .","the [[culminating]] [[partner]] [[communicate]] no [[chemicals]] or [[presence]] charisma . we don't even like their [[peculiarity]] .",0.011888504028320312,0.09840047359466553,0,0,0,199,"Failed"
"we [[started]] to [[wonder]] if  some [[unpaid]] intern had just [[typed]] 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like [[script]] machine .","we [[open]] to [[astounded]] if  some [[admirable]] intern had just [[proofread]] 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like [[command]] machine .",0.012203693389892578,0.7048642039299011,0,1,0,161,"Successful"
"the metaphors are provocative , but too [[often]] , the viewer is left [[puzzled]] by the mechanics of the delivery .","the metaphors are provocative , but too [[seldom]] , the viewer is left [[perturbed]] by the mechanics of the delivery .",0.032383620738983154,0.5774960517883301,0,1,0,82,"Successful"
"marinated in [[clichés]] and mawkish dialogue .","marinated in [[maudlin]] and mawkish dialogue .",0.009207963943481445,0.7156240344047546,0,1,0,40,"Successful"
"an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .","an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .",0.9475855231285095,0.9475855231285095,1,1,0,1,"Skipped"
"it has the right approach and the right opening premise , but it [[lacks]] the zest and it goes for a plot twist [[instead]] of trusting the material .","it has the right approach and the right opening premise , but it [[unaccounted]] the zest and it goes for a plot twist [[even]] of trusting the material .",0.015212178230285645,0.7244290709495544,0,1,0,66,"Successful"
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[problem]] with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[matter]] with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0.03579914569854736,0.5881476402282715,0,1,0,60,"Successful"
"as it stands , crocodile hunter has the hurried , [[badly]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .","as it stands , crocodile hunter has the hurried , [[spectacularly]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .",0.048506081104278564,0.8093335628509521,0,1,0,47,"Successful"
"there is more than one joke about putting the toilet seat down . and that [[should]] tell you everything you need to know about all the queen's men .","there is more than one joke about putting the toilet seat down . and that [[shall]] tell you everything you need to know about all the queen's men .",0.27659183740615845,0.6431107521057129,0,1,0,49,"Successful"
"[[fails]] in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film grows as [[dull]] as its characters , about whose fate it is hard to care .","[[aground]] in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film grows as [[exasperating]] as its characters , about whose fate it is hard to care .",0.007417917251586914,0.547337532043457,0,1,0,89,"Successful"
"the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be [[emphasized]] enough .","the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be [[highlighted]] enough .",0.10371589660644531,0.5308056473731995,1,0,1,53,"Successful"
"a charming and [[funny]] [[story]] of clashing [[cultures]] and a [[clashing]] [[mother]]/[[daughter]] [[relationship]] .","a charming and [[nosy]] [[conte]] of clashing [[crops]] and a [[jarring]] [[bosom]]/[[cheerleader]] [[report]] .",0.0037845969200134277,0.9331124424934387,1,0,1,233,"Successful"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.7687177658081055,0.7687177658081055,0,0,1,1,"Skipped"
"what ensues are [[much]] blood-splattering , [[mass]] drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits .","what ensues are [[mucho]] blood-splattering , [[weighty]] drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits .",0.17608177661895752,0.6293607950210571,0,1,0,31,"Successful"
"director lee has a [[true]] [[cinematic]] knack , but it's also nice to see a movie with its [[heart]] so [[thoroughly]] , unabashedly on its sleeve .","director lee has a [[actual]] [[theatrical]] knack , but it's also nice to see a movie with its [[cardiology]] so [[harshly]] , unabashedly on its sleeve .",0.00610584020614624,0.5524249076843262,1,0,1,110,"Successful"
"the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .","the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .",0.971075177192688,0.971075177192688,1,1,0,1,"Skipped"
"goldmember is [[funny]] enough to justify the embarrassment of bringing a barf bag to the moviehouse .","goldmember is [[comical]] enough to justify the embarrassment of bringing a barf bag to the moviehouse .",0.07931768894195557,0.8548924922943115,1,0,1,42,"Successful"
"an [[unsophisticated]] sci-fi [[drama]] that [[takes]] itself all too [[seriously]] .","an [[impressionable]] sci-fi [[spectacular]] that [[toma]] itself all too [[keenly]] .",0.009368836879730225,0.5260937213897705,0,1,0,164,"Successful"
"an [[original]] and [[highly]] cerebral examination of the psychopathic mind","an [[rudimentary]] and [[excessively]] cerebral examination of the psychopathic mind",0.004452824592590332,0.9707022309303284,1,0,1,60,"Successful"
"death to smoochy [[tells]] a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is [[joke]] . over and over again .","death to smoochy [[recounts]] a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is [[funny]] . over and over again .",0.058555424213409424,0.21064841747283936,0,0,0,88,"Failed"
"i prefer soderbergh's [[concentration]] on his two lovers over tarkovsky's mostly male , mostly patriarchal debating societies .","i prefer soderbergh's [[concentrated]] on his two lovers over tarkovsky's mostly male , mostly patriarchal debating societies .",0.31674033403396606,0.6733143925666809,1,0,1,37,"Successful"
"[[meticulously]] uncovers a trail of outrageous force and craven concealment .","[[seriously]] uncovers a trail of outrageous force and craven concealment .",0.06486064195632935,0.751987099647522,1,0,1,51,"Successful"
"a rip-off [[twice]] [[removed]] , [[modeled]] after [seagal's] earlier [[copycat]] under siege , sometimes referred to as [[die]] [[hard]] on a [[boat]] .","a rip-off [[twofold]] [[dismounted]] , [[simulation]] after [seagal's] earlier [[photocopied]] under siege , sometimes referred to as [[perish]] [[painstaking]] on a [[seafaring]] .",0.016454577445983887,0.7221469879150391,0,1,0,194,"Successful"
"one of those [[joyous]] [[films]] that [[leaps]] over national boundaries and celebrates universal human nature .","one of those [[chipper]] [[filming]] that [[leaping]] over national boundaries and celebrates universal human nature .",0.004122495651245117,0.8263463973999023,1,0,1,136,"Successful"
"if you're looking for an [[intelligent]] movie in which you can [[release]] your pent up anger , enough is just the ticket you need .","if you're looking for an [[discerning]] movie in which you can [[released]] your pent up anger , enough is just the ticket you need .",0.3711356520652771,0.5134674310684204,1,0,1,70,"Successful"
"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , [[subtle]] turn at the midway point .","what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , [[convoluted]] turn at the midway point .",0.015317440032958984,0.6134172081947327,1,0,1,49,"Successful"
"one gets the impression the creators of don't [[ask]] don't tell laughed a hell of a [[lot]] at their [[own]] jokes . too bad none of it is [[funny]] .","one gets the impression the creators of don't [[demand]] don't tell laughed a hell of a [[myriad]] at their [[unique]] jokes . too bad none of it is [[offbeat]] .",0.016234219074249268,0.5454798936843872,0,1,0,87,"Successful"
"the dialogue is [[cumbersome]] , the [[simpering]] soundtrack and editing more so .","the dialogue is [[painstaking]] , the [[milksop]] soundtrack and editing more so .",0.00795215368270874,0.8315122723579407,0,1,0,52,"Successful"
"less cinematically powerful than quietly and deeply moving , which is [[powerful]] in itself .","less cinematically powerful than quietly and deeply moving , which is [[pompous]] in itself .",0.2980915904045105,0.9721365571022034,1,0,1,28,"Successful"
"[[master]] of [[disguise]] [[runs]] for only 71 [[minutes]] and [[feels]] like three [[hours]] .","[[ruler]] of [[mendacity]] [[extends]] for only 71 [[record]] and [[discovers]] like three [[h]] .",0.014816701412200928,0.3651970624923706,0,0,0,196,"Failed"
"a [[moving]] and not infrequently breathtaking [[film]] .","a [[wiggle]] and not infrequently breathtaking [[scene]] .",0.031965434551239014,0.9805340766906738,1,0,1,94,"Successful"
"a so-so , made-for-tv something [[posing]] as a [[real]] [[movie]] .","a so-so , made-for-tv something [[parading]] as a [[authentic]] [[panorama]] .",0.044442176818847656,0.910673975944519,0,1,0,72,"Successful"
"pratfalls aside , barbershop [[gets]] its [[greatest]] play from the timeless spectacle of people really talking to each other .","pratfalls aside , barbershop [[perceive]] its [[worst]] play from the timeless spectacle of people really talking to each other .",0.007733404636383057,0.9855847954750061,1,0,1,94,"Successful"
"an [[engrossing]] story that combines psychological drama , sociological reflection , and high-octane thriller .","an [[puzzling]] story that combines psychological drama , sociological reflection , and high-octane thriller .",0.0035620927810668945,0.5668284893035889,1,0,1,34,"Successful"
"in imax in short , it's just as [[wonderful]] on the big screen .","in imax in short , it's just as [[glamorous]] on the big screen .",0.00795668363571167,0.6035126447677612,1,0,1,35,"Successful"
"steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .","steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .",0.7739399671554565,0.7739399671554565,0,0,1,1,"Skipped"
"a dreadful day in irish history is given [[passionate]] , if somewhat flawed , treatment .","a dreadful day in irish history is given [[voracious]] , if somewhat flawed , treatment .",0.47886908054351807,0.900444507598877,1,0,1,50,"Successful"
"[[fans]] of the [[modern]] day hong kong action film finally have the [[worthy]] [[successor]] to a better tomorrow and the killer which they have been patiently waiting for .","[[partisans]] of the [[fashionable]] day hong kong action film finally have the [[appropriate]] [[bequest]] to a better tomorrow and the killer which they have been patiently waiting for .",0.03244900703430176,0.6163703203201294,1,0,1,117,"Successful"
"a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an [[event]] .","a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an [[protest]] .",0.013437211513519287,0.5021347999572754,1,0,1,45,"Successful"
"even fans of ismail merchant's work , i suspect , would have a [[hard]] time sitting through this one .","even fans of ismail merchant's work , i suspect , would have a [[challenging]] time sitting through this one .",0.021656811237335205,0.6208332180976868,0,1,0,53,"Successful"
"an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't [[try]] to .","an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't [[attempting]] to .",0.2700973153114319,0.6782959699630737,1,0,1,61,"Successful"
"the rules of [[attraction]] [[gets]] us too drunk on the party favors to sober us up with the transparent [[attempts]] at moralizing .","the rules of [[enticing]] [[getting]] us too drunk on the party favors to sober us up with the transparent [[effort]] at moralizing .",0.03471142053604126,0.5112662315368652,0,1,0,119,"Successful"
"'dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and [[sappy]] [[dialogue]] .","'dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and [[romantic]] [[deliberation]] .",0.02065056562423706,0.8849321603775024,0,1,0,57,"Successful"
"[[manages]] to [[accomplish]] what few sequels can -- it equals the original and in some ways even betters it .","[[administers]] to [[finalizing]] what few sequels can -- it equals the original and in some ways even betters it .",0.0389024019241333,0.5152847170829773,1,0,1,81,"Successful"
"twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .","twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .",0.5092771053314209,0.5092771053314209,0,0,1,1,"Skipped"
"a film of [[delicate]] interpersonal dances . caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose . it's a sight to behold .","a film of [[clumsy]] interpersonal dances . caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose . it's a sight to behold .",0.005158960819244385,0.5877896547317505,1,0,1,62,"Successful"
"nothing but an [[episode]] of smackdown ! in [[period]] [[costume]] and with a bigger [[budget]] .","nothing but an [[phenomena]] of smackdown ! in [[moments]] [[toga]] and with a bigger [[priced]] .",0.01572251319885254,0.8114046454429626,0,1,0,116,"Successful"
"too [[slick]] and [[manufactured]] to [[claim]] [[street]] [[credibility]] .","too [[tint]] and [[developed]] to [[allegations]] [[causeway]] [[trust]] .",0.008770227432250977,0.021009981632232666,0,0,0,135,"Failed"
""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",0.9723095893859863,0.9723095893859863,0,0,1,1,"Skipped"
"[[supposedly]] authentic account of a historical event that's far too tragic to merit such superficial treatment .","[[patently]] authentic account of a historical event that's far too tragic to merit such superficial treatment .",0.0658574104309082,0.6386909484863281,0,1,0,39,"Successful"
"you come away [[thinking]] not only that kate isn't very bright , but that she hasn't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another .","you come away [[minds]] not only that kate isn't very bright , but that she hasn't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another .",0.4001457095146179,0.612033486366272,0,1,0,53,"Successful"
"connoisseurs of chinese film will be [[pleased]] to discover that tian's meticulous talent has not [[withered]] during his enforced hiatus .","connoisseurs of chinese film will be [[flattered]] to discover that tian's meticulous talent has not [[bough]] during his enforced hiatus .",0.02874445915222168,0.5409711599349976,1,0,1,76,"Successful"
