"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the panther's the coat is dark black.","the panther's the coat is dark black.",0.665593683719635,0.665593683719635,1,1,0,1,"Skipped"
"It would be unwise for there to [[be]] no fire exit.","It would be unwise for there to [[coming]] no fire exit.",0.05539405345916748,0.9623347520828247,1,0,1,37,"Successful"
"John [[left]] us orders to follow Pete.","John [[resignation]] us orders to follow Pete.",0.03825271129608154,0.9630988240242004,1,0,1,28,"Successful"
"[[The]] mechanical [[doll]] wriggled itself loose.","[[Both]] mechanical [[dear]] wriggled itself loose.",0.062407612800598145,0.87967848777771,1,0,1,41,"Successful"
"Frances [[hid]] the presents in the drawer.","Frances [[concealment]] the presents in the drawer.",0.04506784677505493,0.9619001746177673,1,0,1,53,"Successful"
"That dogs bark [[annoys]] people.","That dogs bark [[fears]] people.",0.03705453872680664,0.685091495513916,1,0,1,50,"Successful"
"Carla [[shoveled]] the walk.","Carla [[shovelling]] the walk.",0.03825843334197998,0.6750099658966064,1,0,1,43,"Successful"
"The birds [[give]] the worm a tug.","The birds [[furnishes]] the worm a tug.",0.025129318237304688,0.96632319688797,1,0,1,42,"Successful"
"Michelle kept the [[desk]] with the [[papers]].","Michelle kept the [[documentary]] with the [[dossiers]].",0.05690431594848633,0.6849204301834106,0,1,0,49,"Successful"
"Sandy is [[wondering]] whether there will be students who have to drop the class for a certain reason, but she won't reveal what.","Sandy is [[requisition]] whether there will be students who have to drop the class for a certain reason, but she won't reveal what.",0.029519319534301758,0.6498514413833618,1,0,1,39,"Successful"
"I [[hit]] that you knew the [[answer]].","I [[patting]] that you knew the [[referee]].",0.04048442840576172,0.8763794898986816,0,1,0,92,"Successful"
"I [[dislike]] the company in which we placed our trust.","I [[antipathy]] the company in which we placed our trust.",0.17421191930770874,0.9606950879096985,1,0,1,56,"Successful"
"The patient was [[died]].","The patient was [[dying]].",0.3069930672645569,0.9781395792961121,0,1,0,44,"Successful"
"I dislike the [[people]] in who we [[placed]] our trust.","I dislike the [[countries]] in who we [[deposited]] our trust.",0.14793044328689575,0.8968445062637329,0,1,0,99,"Successful"
"You should sit before there.","You should sit before there.",0.9295451641082764,0.9295451641082764,1,1,0,1,"Skipped"
"I would [[prefer]] for John to leave.","I would [[favoring]] for John to leave.",0.02289760112762451,0.9703475832939148,1,0,1,38,"Successful"
"Heidi [[thinks]] that [[Andy]] should eat salmon flavored candy bars.","Heidi [[believing]] that [[Indie]] should eat salmon flavored candy bars.",0.016496658325195312,0.935480535030365,1,0,1,63,"Successful"
"Bill's wine from France and Ted's from California cannot be [[compared]].","Bill's wine from France and Ted's from California cannot be [[versus]].",0.15085554122924805,0.8657064437866211,1,0,1,16,"Successful"
"Us [[love]] they.","Us [[like]] they.",0.0444951057434082,0.12071603536605835,0,0,0,12,"Failed"
"The [[bed]] was slept in.","The [[sor]] was slept in.",0.12227684259414673,0.9630598425865173,1,0,1,40,"Successful"
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.","Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0.9414807558059692,0.9414807558059692,1,1,0,1,"Skipped"
"The cat was bitten the [[mouse]] by the [[dog]].","The cat was bitten the [[grinning]] by the [[dachshund]].",0.056301772594451904,0.30796414613723755,0,0,0,97,"Failed"
"John [[tried]] to be a good boy.","John [[prosecuted]] to be a good boy.",0.054414331912994385,0.9665122032165527,1,0,1,42,"Successful"
"We [[wanted]] to invite [[someone]], but we couldn't [[decide]] who to.","We [[liked]] to invite [[allen]], but we couldn't [[define]] who to.",0.237557053565979,0.5251107811927795,0,1,0,170,"Successful"
"John [[finished]] the [[cake]] and drank the lemonade.","John [[priming]] the [[shoemaker]] and drank the lemonade.",0.12103205919265747,0.9664735794067383,1,0,1,105,"Successful"
"Some people [[consider]] noisy dogs in my neighborhood dangerous.","Some people [[contemplate]] noisy dogs in my neighborhood dangerous.",0.029769062995910645,0.9666165709495544,1,0,1,58,"Successful"
"Everyone [[relies]] on someone. It's unclear who.","Everyone [[uses]] on someone. It's unclear who.",0.08460325002670288,0.9571055769920349,1,0,1,25,"Successful"
"Captain Wentworth wrote a [[letter]] to Anne Elliott.","Captain Wentworth wrote a [[charters]] to Anne Elliott.",0.02833932638168335,0.8045367002487183,1,0,1,23,"Successful"
"Whenever [[Russia]] [[has]] made a major political blunder, the U.S. has too.","Whenever [[Ukrainian]] [[owns]] made a major political blunder, the U.S. has too.",0.0611424446105957,0.846103310585022,1,0,1,55,"Successful"
"Some people [[consider]] the dogs dangerous.","Some people [[revisiting]] the dogs dangerous.",0.025960862636566162,0.9687482118606567,1,0,1,56,"Successful"
"The defendant [[denied]] the accusation.","The defendant [[denial]] the accusation.",0.0328790545463562,0.9439829587936401,1,0,1,53,"Successful"
"We [[created]] a monster.","We [[creating]] a monster.",0.035856008529663086,0.9681666493415833,1,0,1,54,"Successful"
"John said Joan [[saw]] someone from her graduating class.","John said Joan [[been]] someone from her graduating class.",0.05335336923599243,0.9453151822090149,1,0,1,47,"Successful"
"John is tall on several occasions.","John is tall on several occasions.",0.8534748554229736,0.8534748554229736,1,1,0,1,"Skipped"
"I dislike the [[people]] in whose house we stayed.","I dislike the [[public]] in whose house we stayed.",0.05477619171142578,0.6080254316329956,1,0,1,49,"Successful"
"[[That]] Fido barks [[annoys]] me.","[[This]] Fido barks [[bother]] me.",0.0807420015335083,0.8107049465179443,1,0,1,10,"Successful"
"Bill [[ate]] more peaches than Harry did grapes.","Bill [[suppertime]] more peaches than Harry did grapes.",0.22571301460266113,0.9493381977081299,1,0,1,57,"Successful"
"Nobody [[told]] Susan.","Nobody [[saying]] Susan.",0.04376566410064697,0.9708933234214783,1,0,1,53,"Successful"
"His or her least known [[work]].","His or her least known [[collaborating]].",0.38002628087997437,0.9474567770957947,1,0,1,52,"Successful"
"We believed [[John]] to be a fountain in the [[park]].","We believed [[Juni]] to be a fountain in the [[yuen]].",0.26528602838516235,0.9570122957229614,0,1,0,40,"Successful"
"Will he can do it?","Will he can do it?",0.83310467004776,0.83310467004776,0,0,1,1,"Skipped"
"[[Kim]] and Terry is [[happy]].","[[Kym]] and Terry is [[welcome]].",0.15049195289611816,0.2597883939743042,0,0,0,44,"Failed"
"Fanny regretted having to [[talk]] to Aunt Norris.","Fanny regretted having to [[mentioning]] to Aunt Norris.",0.04262882471084595,0.8731026649475098,1,0,1,57,"Successful"
"[[Clinton]] is anxious to [[find]] out which budget dilemmas Panetta would be willing to tackle in a certain way, but he won't say in which.","[[Hilary]] is anxious to [[researching]] out which budget dilemmas Panetta would be willing to tackle in a certain way, but he won't say in which.",0.20378005504608154,0.6596477031707764,1,0,1,65,"Successful"
