"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the panther's the [[coat]] is [[dark]] black.","the panther's the [[toga]] is [[opaque]] black.",0.031378746032714844,0.18633949756622314,0,0,0,100,"Failed"
"It would be unwise for there to [[be]] no fire exit.","It would be unwise for there to [[worden]] no fire exit.",0.007185637950897217,0.9117690920829773,1,0,1,37,"Successful"
"John left us orders to follow Pete.","John left us orders to follow Pete.",0.55922532081604,0.55922532081604,0,0,1,1,"Skipped"
"[[The]] mechanical doll wriggled itself loose.","[[Both]] mechanical doll wriggled itself loose.",0.015335381031036377,0.938401997089386,1,0,1,7,"Successful"
"Frances [[hid]] the presents in the drawer.","Frances [[mendacity]] the presents in the drawer.",0.005842685699462891,0.97892165184021,1,0,1,53,"Successful"
"That dogs bark [[annoys]] [[people]].","That dogs bark [[bother]] [[populace]].",0.008564531803131104,0.9672207832336426,1,0,1,91,"Successful"
"Carla [[shoveled]] the walk.","Carla [[shovelling]] the walk.",0.04842191934585571,0.9601104259490967,1,0,1,43,"Successful"
"The birds [[give]] the worm a tug.","The birds [[furnished]] the worm a tug.",0.02006155252456665,0.978142261505127,1,0,1,42,"Successful"
"Michelle kept the desk with the [[papers]].","Michelle kept the desk with the [[handouts]].",0.32416385412216187,0.7864169478416443,0,1,0,32,"Successful"
"Sandy is [[wondering]] whether there will be students who have to drop the class for a certain reason, but she won't reveal what.","Sandy is [[wondered]] whether there will be students who have to drop the class for a certain reason, but she won't reveal what.",0.024706006050109863,0.8462560176849365,1,0,1,39,"Successful"
"[[I]] [[hit]] that you [[knew]] the [[answer]].","[[me]] [[befallen]] that you [[construed]] the [[responses]].",0.022648513317108154,0.2002650499343872,0,0,0,140,"Failed"
"I [[dislike]] the company in which we placed our trust.","I [[dissatisfaction]] the company in which we placed our trust.",0.05671286582946777,0.943522036075592,1,0,1,56,"Successful"
"The patient was [[died]].","The patient was [[murdered]].",0.21967405080795288,0.9947299957275391,0,1,0,44,"Successful"
"I [[dislike]] the [[people]] in who we [[placed]] our trust.","I [[animus]] the [[compatriots]] in who we [[enshrined]] our trust.",0.04520994424819946,0.4074132442474365,0,0,0,163,"Failed"
"You [[should]] sit before there.","You [[shouldnt]] sit before there.",0.36377960443496704,0.7658212780952454,0,1,0,43,"Successful"
"I would [[prefer]] for John to leave.","I would [[fostered]] for John to leave.",0.004553794860839844,0.9521687030792236,1,0,1,38,"Successful"
"Heidi [[thinks]] that Andy should eat salmon flavored candy bars.","Heidi [[idea]] that Andy should eat salmon flavored candy bars.",0.006048023700714111,0.948557436466217,1,0,1,59,"Successful"
"Bill's wine from [[France]] and Ted's from California cannot be [[compared]].","Bill's wine from [[Francie]] and Ted's from California cannot be [[regarding]].",0.12738841772079468,0.8780607581138611,1,0,1,19,"Successful"
"Us [[love]] they.","Us [[iike]] they.",0.03147155046463013,0.1141819953918457,0,0,0,12,"Failed"
"The bed was slept in.","The bed was slept in.",0.580497145652771,0.580497145652771,0,0,1,1,"Skipped"
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.","Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0.967261016368866,0.967261016368866,1,1,0,1,"Skipped"
"The cat was [[bitten]] the [[mouse]] by the [[dog]].","The cat was [[stung]] the [[mice]] by the [[bulldog]].",0.08039432764053345,0.4065486788749695,0,0,0,97,"Failed"
"John [[tried]] to be a good boy.","John [[tempt]] to be a good boy.",0.0087394118309021,0.978406548500061,1,0,1,42,"Successful"
"We [[wanted]] to [[invite]] [[someone]], but we couldn't decide who to.","We [[loved]] to [[please]] [[everyone]], but we couldn't decide who to.",0.1893368363380432,0.45783907175064087,0,0,0,170,"Failed"
"John [[finished]] the cake and drank the lemonade.","John [[done]] the cake and drank the lemonade.",0.006160557270050049,0.9656304121017456,1,0,1,55,"Successful"
"Some people [[consider]] noisy dogs in my neighborhood dangerous.","Some people [[explorations]] noisy dogs in my neighborhood dangerous.",0.01259523630142212,0.9628832340240479,1,0,1,58,"Successful"
"Everyone [[relies]] on someone. It's unclear who.","Everyone [[use]] on someone. It's unclear who.",0.08218961954116821,0.969359278678894,1,0,1,25,"Successful"
"Captain Wentworth [[wrote]] a letter to Anne Elliott.","Captain Wentworth [[prose]] a letter to Anne Elliott.",0.006097197532653809,0.9718201160430908,1,0,1,39,"Successful"
"Whenever [[Russia]] has made a major political blunder, the U.S. has too.","Whenever [[Soviet]] has made a major political blunder, the U.S. has too.",0.10176783800125122,0.722028374671936,1,0,1,32,"Successful"
"Some people [[consider]] the [[dogs]] dangerous.","Some people [[deliberation]] the [[cabot]] dangerous.",0.006355762481689453,0.976773738861084,1,0,1,102,"Successful"
"The defendant [[denied]] the accusation.","The defendant [[deniability]] the accusation.",0.006052851676940918,0.9693202972412109,1,0,1,53,"Successful"
"We [[created]] a monster.","We [[inception]] a monster.",0.009342432022094727,0.9799037575721741,1,0,1,54,"Successful"
"John said Joan [[saw]] someone from her graduating class.","John said Joan [[undergone]] someone from her graduating class.",0.007142782211303711,0.9756856560707092,1,0,1,47,"Successful"
"John is tall on several occasions.","John is tall on several occasions.",0.9227057695388794,0.9227057695388794,1,1,0,1,"Skipped"
