"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the panther's the coat is [[dark]] black.","the panther's the coat is [[blackness]] black.",0.031378746032714844,0.03871196508407593,0,0,0,9,"Failed"
"It would be unwise for there to be no fire [[exit]].","It would be unwise for there to be no fire [[egress]].",0.007185637950897217,0.019186794757843018,1,1,1,4,"Failed"
"John left us orders to follow Pete.","John left us orders to follow Pete.",0.55922532081604,0.55922532081604,0,0,1,1,"Skipped"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.015335381031036377,0.015335381031036377,1,1,1,1,"Failed"
"Frances [[hid]] the presents in the drawer.","Frances [[hiding]] the presents in the drawer.",0.005842685699462891,0.906708300113678,1,0,1,14,"Successful"
"That dogs bark [[annoys]] people.","That dogs bark [[bothers]] people.",0.008564531803131104,0.010021686553955078,1,1,1,3,"Failed"
"Carla shoveled the [[walk]].","Carla shoveled the [[stroll]].",0.04842191934585571,0.605824887752533,1,0,1,3,"Successful"
"The birds give the worm a [[tug]].","The birds give the worm a [[tugs]].",0.02006155252456665,0.7960702180862427,1,0,1,3,"Successful"
"Michelle kept the desk with the [[papers]].","Michelle kept the desk with the [[documentation]].",0.32416385412216187,0.5920344591140747,0,1,0,3,"Successful"
"Sandy is [[wondering]] whether there will be students who have to drop the class for a certain reason, but she won't [[reveal]] what.","Sandy is [[requests]] whether there will be students who have to drop the class for a certain reason, but she won't [[unmask]] what.",0.024706006050109863,0.9324609637260437,1,0,1,13,"Successful"
"I [[hit]] that you knew the answer.","I [[strike]] that you knew the answer.",0.022648513317108154,0.4777843952178955,0,0,0,4,"Failed"
"I dislike the company in which we placed our [[trust]].","I dislike the company in which we placed our [[trusting]].",0.05671286582946777,0.55746990442276,1,0,1,3,"Successful"
"The patient was died.","The patient was died.",0.21967405080795288,0.21967405080795288,0,0,0,2,"Failed"
"I dislike the people in who we placed our [[trust]].","I dislike the people in who we placed our [[trusts]].",0.04520994424819946,0.061289191246032715,0,0,0,3,"Failed"
"You should sit before there.","You should sit before there.",0.36377960443496704,0.36377960443496704,0,0,0,4,"Failed"
"I would [[prefer]] for John to leave.","I would [[preferential]] for John to leave.",0.004553794860839844,0.6528582572937012,1,0,1,6,"Successful"
"Heidi [[thinks]] that [[Andy]] should [[eat]] salmon flavored candy bars.","Heidi [[think]] that [[Indie]] should [[eating]] salmon flavored candy bars.",0.006048023700714111,0.9660388827323914,1,0,1,12,"Successful"
"Bill's wine from France and Ted's from [[California]] cannot be [[compared]].","Bill's wine from France and Ted's from [[Californian]] cannot be [[comparing]].",0.12738841772079468,0.7753995060920715,1,0,1,6,"Successful"
"Us love they.","Us love they.",0.03147155046463013,0.03147155046463013,0,0,0,1,"Failed"
"The bed was slept in.","The bed was slept in.",0.580497145652771,0.580497145652771,0,0,1,1,"Skipped"
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.","Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0.967261016368866,0.967261016368866,1,1,0,1,"Skipped"
"The [[cat]] was bitten the mouse by the dog.","The [[pussycat]] was bitten the mouse by the dog.",0.08039432764053345,0.09751176834106445,0,0,0,4,"Failed"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.0087394118309021,0.9631902575492859,1,0,1,3,"Successful"
"We [[wanted]] to invite someone, but we couldn't decide who to.","We [[want]] to invite someone, but we couldn't decide who to.",0.1893368363380432,0.20955491065979004,0,0,0,21,"Failed"
"John finished the cake and [[drank]] the lemonade.","John finished the cake and [[drinking]] the lemonade.",0.006160557270050049,0.9558411836624146,1,0,1,6,"Successful"
"Some people [[consider]] [[noisy]] dogs in my [[neighborhood]] [[dangerous]].","Some people [[contemplate]] [[loud]] dogs in my [[neighbourhoods]] [[hazardous]].",0.01259523630142212,0.6370632648468018,1,0,1,14,"Successful"
"Everyone relies on someone. It's [[unclear]] who.","Everyone relies on someone. It's [[ambiguous]] who.",0.08218961954116821,0.768465518951416,1,0,1,4,"Successful"
"Captain Wentworth [[wrote]] a letter to [[Anne]] Elliott.","Captain Wentworth [[written]] a letter to [[Anna]] Elliott.",0.006097197532653809,0.3738182783126831,1,1,1,4,"Failed"
"Whenever [[Russia]] has [[made]] a [[major]] political blunder, the U.S. has too.","Whenever [[Russian]] has [[brought]] a [[grandes]] political blunder, the U.S. has too.",0.10176783800125122,0.5020167231559753,1,0,1,20,"Successful"
"Some people consider the [[dogs]] dangerous.","Some people consider the [[hounds]] dangerous.",0.006355762481689453,0.00727391242980957,1,1,1,2,"Failed"
"The defendant [[denied]] the accusation.","The defendant [[refusing]] the accusation.",0.006052851676940918,0.5241789817810059,1,0,1,12,"Successful"
"We created a [[monster]].","We created a [[monsters]].",0.009342432022094727,0.9337801337242126,1,0,1,2,"Successful"
"John [[said]] [[Joan]] saw someone from her graduating class.","John [[told]] [[Joana]] saw someone from her graduating class.",0.007142782211303711,0.5159225463867188,1,0,1,8,"Successful"
"John is tall on several occasions.","John is tall on several occasions.",0.9227057695388794,0.9227057695388794,1,1,0,1,"Skipped"
"I dislike the people in [[whose]] house we stayed.","I dislike the people in [[whom]] house we stayed.",0.015393972396850586,0.9340270757675171,1,0,1,3,"Successful"
"That Fido barks annoys me.","That Fido barks annoys me.",0.01534348726272583,0.01534348726272583,1,1,1,1,"Failed"
"Bill [[ate]] more peaches than [[Harry]] did [[grapes]].","Bill [[eaten]] more peaches than [[Harri]] did [[vines]].",0.05230271816253662,0.6437503099441528,1,0,1,11,"Successful"
"Nobody told [[Susan]].","Nobody told [[Susanne]].",0.006635308265686035,0.007139623165130615,1,1,1,2,"Failed"
"His or her least [[known]] work.","His or her least [[familiar]] work.",0.07982820272445679,0.13242435455322266,1,1,1,3,"Failed"
"We believed John to be a fountain in the park.","We believed John to be a fountain in the park.",0.10402929782867432,0.10402929782867432,0,0,0,2,"Failed"
"Will he can do it?","Will he can do it?",0.4804278612136841,0.4804278612136841,1,1,1,1,"Failed"
"Kim and Terry is happy.","Kim and Terry is happy.",0.5176369547843933,0.5176369547843933,1,1,0,1,"Skipped"
"Fanny regretted having to [[talk]] to Aunt Norris.","Fanny regretted having to [[talking]] to Aunt Norris.",0.00725167989730835,0.8971222639083862,1,0,1,10,"Successful"
"Clinton is [[anxious]] to [[find]] out which budget dilemmas Panetta would be willing to [[tackle]] in a certain way, but he won't [[say]] in which.","Clinton is [[apprehensive]] to [[found]] out which budget dilemmas Panetta would be willing to [[addressing]] in a certain way, but he won't [[told]] in which.",0.01313793659210205,0.8523958921432495,1,0,1,17,"Successful"
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.","That the cops spoke to the janitor about it yesterday is terrible, that robbery.",0.8840218782424927,0.8840218782424927,1,1,0,1,"Skipped"
"Fiona might be here by 5 o'clock.","Fiona might be here by 5 o'clock.",0.01176595687866211,0.01176595687866211,1,1,1,1,"Failed"
"Vote for you!","Vote for you!",0.9595613479614258,0.9595613479614258,1,1,0,1,"Skipped"
"John is sick.","John is sick.",0.006423056125640869,0.006423056125640869,1,1,1,2,"Failed"
"They knew that [[pictures]] of each other would be on [[sale]].","They knew that [[picture]] of each other would be on [[sell]].",0.009516239166259766,0.08479630947113037,1,1,1,9,"Failed"
"I [[mixed]] the sugar into the butter.","I [[blended]] the sugar into the butter.",0.008882880210876465,0.02101081609725952,1,1,1,3,"Failed"
"Anson believed himself to be [[handsome]].","Anson believed himself to be [[splendid]].",0.009589552879333496,0.023459017276763916,1,1,1,11,"Failed"
"The boat [[seen]] down the river sank.","The boat [[saw]] down the river sank.",0.15232378244400024,0.8910229206085205,1,0,1,3,"Successful"
"John bought a dog for himself to play with.","John bought a dog for himself to play with.",0.9935475587844849,0.9935475587844849,1,1,0,1,"Skipped"
"That Sam sometimes didn't [[sleep]] must have [[pleased]] somebody.","That Sam sometimes didn't [[slumber]] must have [[glad]] somebody.",0.027942419052124023,0.8668429255485535,1,0,1,7,"Successful"
"I'm sure we even [[got]] these [[tickets]]!","I'm sure we even [[gets]] these [[ticket]]!",0.14467895030975342,0.8393444418907166,1,0,1,6,"Successful"
"I lent the [[book]] partway to Tony.","I lent the [[workbook]] partway to Tony.",0.1106482744216919,0.27377891540527344,0,0,0,3,"Failed"
"You kicked yourselves","You kicked yourselves",0.10868704319000244,0.10868704319000244,1,1,1,1,"Failed"
"She can [[run]] an accelerator.","She can [[running]] an accelerator.",0.020993530750274658,0.966905415058136,1,0,1,5,"Successful"
"The [[cat]] slept soundly and furry.","The [[kitten]] slept soundly and furry.",0.3112070560455322,0.5132232904434204,0,1,0,5,"Successful"
"Do you [[believe]] the claim that somebody was looking for something?","Do you [[believing]] the claim that somebody was looking for something?",0.035626113414764404,0.9409276247024536,1,0,1,4,"Successful"
"Most people probably [[consider]], even though the courts didn't actually find, Klaus guilty of murder.","Most people probably [[considering]], even though the courts didn't actually find, Klaus guilty of murder.",0.1567007303237915,0.7000254392623901,1,0,1,8,"Successful"
"Mary [[asked]] me if, in St. Louis, John could rent a house cheap.","Mary [[inquired]] me if, in St. Louis, John could rent a house cheap.",0.032594501972198486,0.6146939992904663,1,0,1,14,"Successful"
"Kim put in the box.","Kim put in the box.",0.023679614067077637,0.023679614067077637,0,0,0,1,"Failed"
