"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"unpretentious , [[charming]] , quirky , original","unpretentious , [[enchanting]] , quirky , original",0.07722854614257812,0.09582340717315674,1,1,1,2,"Failed"
"a [[film]] [[really]] has to be exceptional to [[justify]] a three hour running [[time]] , and this isn't .","a [[cinema]] [[truthfully]] has to be exceptional to [[justifying]] a three hour running [[moment]] , and this isn't .",0.03716164827346802,0.0550689697265625,0,0,0,17,"Failed"
"working from a [[surprisingly]] sensitive script co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .","working from a [[unimaginably]] sensitive script co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .",0.33386653661727905,0.554574728012085,1,0,1,21,"Successful"
"it may not be [[particularly]] innovative , but the film's [[crisp]] , [[unaffected]] [[style]] and air of gentle longing make it unexpectedly rewarding .","it may not be [[namely]] innovative , but the film's [[crunchy]] , [[untouched]] [[styling]] and air of gentle longing make it unexpectedly rewarding .",0.008121252059936523,0.010419189929962158,1,1,1,19,"Failed"
"such a [[premise]] is [[ripe]] for all [[manner]] of [[lunacy]] , but kaufman and gondry rarely seem sure of where it should go .","such a [[supposition]] is [[ripen]] for all [[fashion]] of [[craziness]] , but kaufman and gondry rarely seem sure of where it should go .",0.05892425775527954,0.22241997718811035,0,0,0,18,"Failed"
"the lead [[actors]] share no [[chemistry]] or [[engaging]] charisma . we don't [[even]] like their characters .","the lead [[protagonists]] share no [[chemist]] or [[engage]] charisma . we don't [[yet]] like their characters .",0.027982056140899658,0.06914770603179932,0,0,0,11,"Failed"
"we [[started]] to wonder if  some [[unpaid]] intern had just [[typed]] '[[chris]] rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .","we [[initiated]] to wonder if  some [[outstanding]] intern had just [[writes]] '[[chrissy]] rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",0.019778311252593994,0.053333818912506104,0,0,0,26,"Failed"
"the metaphors are provocative , but too [[often]] , the viewer is [[left]] [[puzzled]] by the mechanics of the delivery .","the metaphors are provocative , but too [[usually]] , the viewer is [[exited]] [[mystified]] by the mechanics of the delivery .",0.08192110061645508,0.15059572458267212,0,0,0,28,"Failed"
"marinated in [[clichés]] and mawkish [[dialogue]] .","marinated in [[cliché]] and mawkish [[discussions]] .",0.0738869309425354,0.11230504512786865,0,0,0,9,"Failed"
"an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .","an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .",0.8676872253417969,0.8676872253417969,1,1,0,1,"Skipped"
"it has the right approach and the right opening premise , but it [[lacks]] the zest and it goes for a plot twist instead of trusting the material .","it has the right approach and the right opening premise , but it [[absence]] the zest and it goes for a plot twist instead of trusting the material .",0.027146756649017334,0.5190763473510742,0,1,0,18,"Successful"
"the [[film]] . . . presents classic moral-condundrum [[drama]] : what would you have [[done]] to survive ? the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the [[death]] camp of auschwitz ii-birkenau .","the [[cinematography]] . . . presents classic moral-condundrum [[theater]] : what would you have [[performed]] to survive ? the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the [[mortality]] camp of auschwitz ii-birkenau .",0.08273416757583618,0.17971378564834595,0,0,0,28,"Failed"
"as it [[stands]] , crocodile hunter has the [[hurried]] , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster [[flick]] with canned shots of raymond burr [[commenting]] on the monster's path of destruction .","as it [[stand]] , crocodile hunter has the [[raced]] , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster [[gesture]] with canned shots of raymond burr [[alluding]] on the monster's path of destruction .",0.1508658528327942,0.3927351236343384,0,0,0,19,"Failed"
"there is more than one [[joke]] about putting the toilet seat down . and that should [[tell]] you everything you [[need]] to [[know]] about all the queen's men .","there is more than one [[farce]] about putting the toilet seat down . and that should [[say]] you everything you [[requisite]] to [[savoir]] about all the queen's men .",0.10506260395050049,0.5285612344741821,0,1,0,22,"Successful"
"[[fails]] in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film [[grows]] as [[dull]] as its [[characters]] , about whose fate it is hard to care .","[[fail]] in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film [[grew]] as [[tiresome]] as its [[hallmarks]] , about whose fate it is hard to care .",0.027392327785491943,0.04756385087966919,0,0,0,22,"Failed"
"the [[wild]] thornberrys [[movie]] is [[pleasant]] [[enough]] and the message of our close ties with animals can certainly not be emphasized enough .","the [[feral]] thornberrys [[kino]] is [[agreeable]] [[suitably]] and the message of our close ties with animals can certainly not be emphasized enough .",0.01224452257156372,0.018138647079467773,1,1,1,21,"Failed"
"a [[charming]] and [[funny]] [[story]] of clashing cultures and a clashing mother/[[daughter]] relationship .","a [[cute]] and [[comical]] [[conte]] of clashing cultures and a clashing mother/[[giri]] relationship .",0.008783817291259766,0.0464743971824646,1,1,1,19,"Failed"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.9493695497512817,0.9493695497512817,0,0,1,1,"Skipped"
