"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The <font color = green>sailors</font> <font color = green>rode</font> the breeze clear of the rocks.","The <font color = green>mariner</font> <font color = green>khmer</font> the breeze clear of the rocks.",0.09609073400497437,0.43618375062942505,1,1,1,11,"Failed"
"The <font color = green>weights</font> made the rope stretch over the pulley.","The <font color = red>weighs</font> made the rope stretch over the pulley.",0.23790884017944336,0.5011439919471741,1,0,1,5,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.1527872085571289,0.1527872085571289,1,1,1,1,"Failed"
"<font color = green>If</font> you had <font color = green>eaten</font> more, you <font color = green>would</font> <font color = green>want</font> less.","<font color = red>Unless</font> you had <font color = red>eat</font> more, you <font color = red>ought</font> <font color = red>wanna</font> less.",0.04857957363128662,0.5734622478485107,1,0,1,15,"Successful"
"As you eat the most, you want the <font color = red>least</font>.","As you eat the most, you want the <font color = green>lowest</font>.",0.46185529232025146,0.576539158821106,0,1,0,2,"Successful"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.88374924659729,0.88374924659729,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.5543530583381653,0.5543530583381653,1,1,0,1,"Skipped"
"Mary <font color = green>listens</font> to the Grateful Dead, she gets depressed.","Mary <font color = red>listen</font> to the Grateful Dead, she gets depressed.",0.4007280468940735,0.5440583229064941,1,0,1,3,"Successful"
"The angrier <font color = green>Mary</font> <font color = green>got</font>, the more she looked at pictures.","The angrier <font color = red>Maryam</font> <font color = red>get</font>, the more she looked at pictures.",0.12501609325408936,0.5914313793182373,1,0,1,5,"Successful"
"The <font color = green>higher</font> the stakes, the lower his expectations are.","The <font color = green>highest</font> the stakes, the lower his expectations are.",0.08289861679077148,0.3983207941055298,1,1,1,3,"Failed"
"The more Fred is <font color = green>obnoxious</font>, the less attention you should <font color = green>pay</font> to him.","The more Fred is <font color = red>outrageous</font>, the less attention you should <font color = red>salaried</font> to him.",0.22043871879577637,0.5367969274520874,1,0,1,25,"Successful"
"John was <font color = green>lots</font> more obnoxious than <font color = green>Fred</font>.","John was <font color = green>batch</font> more obnoxious than <font color = green>Freda</font>.",0.22942769527435303,0.3693739175796509,1,1,1,6,"Failed"
"The more people you <font color = green>give</font> beer to, the more people <font color = green>get</font> <font color = green>sick</font>.","The more people you <font color = red>confer</font> beer to, the more people <font color = red>obtain</font> <font color = red>ill</font>.",0.04083716869354248,0.5162316560745239,1,0,1,8,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.6563233137130737,0.6563233137130737,1,1,0,1,"Skipped"
"The more <font color = green>pictures</font> of him that <font color = green>appear</font> in the news, the more embarrassed John becomes.","The more <font color = red>photographed</font> of him that <font color = red>appears</font> in the news, the more embarrassed John becomes.",0.07707107067108154,0.5935549736022949,1,0,1,17,"Successful"
"<font color = green>Every</font> senator seems to become more corrupt, as he talks to more lobbyists.","<font color = red>All</font> senator seems to become more corrupt, as he talks to more lobbyists.",0.2583175301551819,0.5844491720199585,1,0,1,4,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.4871116280555725,0.4871116280555725,0,0,0,7,"Failed"
"Marianne did not <font color = green>leave</font>.","Marianne did not <font color = red>leaving</font>.",0.061460793018341064,0.8989115357398987,1,0,1,2,"Successful"
"He <font color = green>could</font> not] have been <font color = green>working</font>.","He <font color = green>would</font> not] have been <font color = green>worked</font>.",0.21428054571151733,0.46293002367019653,1,1,1,3,"Failed"
"He can not have been <font color = green>working</font>.","He can not have been <font color = green>collaborated</font>.",0.07249760627746582,0.3069682717323303,1,1,1,4,"Failed"
"You will <font color = green>believe</font> Bob.","You will <font color = red>believing</font> Bob.",0.2963307499885559,0.8900443315505981,1,0,1,4,"Successful"
"John has not <font color = green>kissed</font> Mary.","John has not <font color = red>kissing</font> Mary.",0.06968879699707031,0.8987612128257751,1,0,1,3,"Successful"
"I <font color = green>said</font> that never in my <font color = green>life</font> had I <font color = green>seen</font> a place like Bangor.","I <font color = green>says</font> that never in my <font color = green>vie</font> had I <font color = green>saw</font> a place like Bangor.",0.07718002796173096,0.4674874544143677,1,1,1,15,"Failed"
"Mickey looked up it.","Mickey looked up it.",0.6249550580978394,0.6249550580978394,1,1,0,1,"Skipped"
"There <font color = green>tended</font> to be a lot of discussion.","There <font color = red>tend</font> to be a lot of discussion.",0.3305618166923523,0.6110662221908569,1,0,1,4,"Successful"
"John <font color = green>tried</font> to be a good boy.","John <font color = red>attempting</font> to be a good boy.",0.05842548608779907,0.7516789436340332,1,0,1,3,"Successful"
"John is eager.","John is eager.",0.08751887083053589,0.08751887083053589,1,1,1,1,"Failed"
"We <font color = green>want</font> John to win.","We <font color = red>wanting</font> John to win.",0.029663920402526855,0.779915452003479,1,0,1,7,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.5863139629364014,0.5863139629364014,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.8436630368232727,0.8436630368232727,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.07479161024093628,0.07479161024093628,1,1,1,1,"Failed"
"The tub leaked water.","The tub leaked water.",0.0444602370262146,0.0444602370262146,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.6542887091636658,0.6542887091636658,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.6328614950180054,0.6328614950180054,1,1,0,1,"Skipped"
"The tank leaked the fluid free.","The tank leaked the fluid free.",0.8400870561599731,0.8400870561599731,0,0,1,1,"Skipped"
"John lay the ball in the box.","John lay the ball in the box.",0.3353123664855957,0.3353123664855957,1,1,1,1,"Failed"
"John owns the book.","John owns the book.",0.045983731746673584,0.045983731746673584,1,1,1,3,"Failed"
"We <font color = green>persuaded</font> Mary to leave and Sue to stay.","We <font color = red>confident</font> Mary to leave and Sue to stay.",0.4256504774093628,0.8361102342605591,1,0,1,3,"Successful"
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.","Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",0.5262666940689087,0.5262666940689087,0,0,1,1,"Skipped"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.881755530834198,0.881755530834198,1,1,0,1,"Skipped"
"Clearly, John probably will immediately learn French perfectly.","Clearly, John probably will immediately learn French perfectly.",0.8038492798805237,0.8038492798805237,0,0,1,1,"Skipped"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.6521040201187134,0.6521040201187134,1,1,0,1,"Skipped"
"The <font color = green>men</font> will all leave.","The <font color = red>man</font> will all leave.",0.26069504022598267,0.7070473432540894,1,0,1,5,"Successful"
"John went home.","John went home.",0.035394489765167236,0.035394489765167236,1,1,1,1,"Failed"
"They <font color = red>represented</font> <font color = red>seriously</font> to the dean <font color = red>Mary</font> as a genuine linguist.","They <font color = green>represent</font> <font color = green>profoundly</font> to the dean <font color = green>Marie</font> as a genuine linguist.",0.14994484186172485,0.6229854822158813,0,1,0,14,"Successful"
"Us love they.","Us love they.",0.17683839797973633,0.17683839797973633,0,0,0,1,"Failed"
"It is <font color = green>nice</font> to <font color = green>go</font> abroad.","It is <font color = red>handsome</font> to <font color = red>going</font> abroad.",0.028961181640625,0.6144856214523315,1,0,1,7,"Successful"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.660615086555481,0.660615086555481,1,1,0,1,"Skipped"
"I <font color = green>remembered</font> having kissed Mary.","I <font color = red>remembering</font> having kissed Mary.",0.10832816362380981,0.8559266328811646,1,0,1,9,"Successful"
"I can't <font color = green>believe</font> Fred won't, <font color = green>either</font>.","I can't <font color = red>believing</font> Fred won't, <font color = red>nor</font>.",0.23604750633239746,0.789567232131958,1,0,1,5,"Successful"
"John <font color = green>wants</font> to read Fred's <font color = green>story</font>, and I <font color = green>also</font> want to.","John <font color = red>wanting</font> to read Fred's <font color = red>narratives</font>, and I <font color = red>further</font> want to.",0.08618170022964478,0.5836522579193115,1,0,1,16,"Successful"
"We <font color = red>wanted</font> to invite <font color = red>someone</font>, but we couldn't decide who to.","We <font color = red>want</font> to invite <font color = red>somebody</font>, but we couldn't decide who to.",0.4094342589378357,0.41679680347442627,0,0,0,17,"Failed"
"<font color = green>Mary</font> will read Fred's <font color = green>story</font>, and Joe will read Holly's.","<font color = green>Maryam</font> will read Fred's <font color = green>conte</font>, and Joe will read Holly's.",0.06700319051742554,0.15531408786773682,1,1,1,10,"Failed"
"<font color = green>Mary</font> claimed that eating cabbage, Holly shouldn't.","<font color = red>Mariam</font> claimed that eating cabbage, Holly shouldn't.",0.4771437644958496,0.5162612199783325,1,0,1,5,"Successful"
"Mary came to be introduced by the bartender and I also came to be.","Mary came to be introduced by the bartender and I also came to be.",0.7670725584030151,0.7670725584030151,1,1,0,1,"Skipped"
"If I can, I will <font color = green>work</font> on it.","If I can, I will <font color = green>working</font> on it.",0.084808349609375,0.35062241554260254,1,1,1,4,"Failed"
"Joe's neuroses bother his patrons, and <font color = green>Sally</font> does too.","Joe's neuroses bother his patrons, and <font color = green>Solly</font> does too.",0.08421480655670166,0.09043538570404053,1,1,1,3,"Failed"
"I know which book José didn't read for class, and which book Lilly did it for him.","I know which book José didn't read for class, and which book Lilly did it for him.",0.5837371349334717,0.5837371349334717,1,1,0,1,"Skipped"
"This is the book which Bob <font color = red>reviewed</font>, and this is the one which Fred won't do it.","This is the book which Bob <font color = green>revisited</font>, and this is the one which Fred won't do it.",0.4992835521697998,0.5272526144981384,0,1,0,11,"Successful"
"I <font color = green>know</font> which book Mag read, and which book Bob said that you hadn't.","I <font color = red>savoir</font> which book Mag read, and which book Bob said that you hadn't.",0.45716631412506104,0.7325732707977295,1,0,1,2,"Successful"
"I know which <font color = red>book</font> Mag read, and which <font color = red>book</font> <font color = red>Bob</font> read my report that you hadn't.","I know which <font color = red>books</font> Mag read, and which <font color = red>books</font> <font color = red>Boba</font> read my report that you hadn't.",0.34797823429107666,0.4672059416770935,0,0,0,5,"Failed"
"I'm sure I <font color = green>would</font> like him to eat fruit more than I would cookies.","I'm sure I <font color = red>ought</font> like him to eat fruit more than I would cookies.",0.3213881254196167,0.5376971960067749,1,0,1,4,"Successful"
"Rusty <font color = green>talked</font> about himself only after Mary did <font color = green>talk</font> about him.","Rusty <font color = red>mentioned</font> about himself only after Mary did <font color = red>talking</font> about him.",0.27442020177841187,0.7066748142242432,1,0,1,19,"Successful"
"Fred <font color = green>talked</font> about everything before Rusty did talk about something.","Fred <font color = red>mentioned</font> about everything before Rusty did talk about something.",0.19459885358810425,0.5404798984527588,1,0,1,6,"Successful"
"John <font color = green>often</font> meets Mary.","John <font color = green>commonly</font> meets Mary.",0.054566025733947754,0.11114728450775146,1,1,1,8,"Failed"
"The <font color = red>problem</font> perceives <font color = red>easily</font>.","The <font color = red>problems</font> perceives <font color = red>readily</font>.",0.09960108995437622,0.16970354318618774,0,0,0,6,"Failed"
"A hundred <font color = green>men</font> surrounded the fort.","A hundred <font color = red>man</font> surrounded the fort.",0.056426167488098145,0.7536866068840027,1,0,1,5,"Successful"
"We elected me.","We elected me.",0.11905395984649658,0.11905395984649658,1,1,1,1,"Failed"
"Which report that John was incompetent did he submit?","Which report that John was incompetent did he submit?",0.779460072517395,0.779460072517395,1,1,0,1,"Skipped"
"<font color = green>Mary</font> has <font color = green>always</font> <font color = green>preferred</font> lemons to limes.","<font color = red>Mariam</font> has <font color = red>continuously</font> <font color = red>prefer</font> lemons to limes.",0.03486078977584839,0.6447473764419556,1,0,1,11,"Successful"
"He <font color = green>let</font> the cats which were <font color = green>whining</font> out.","He <font color = red>letting</font> the cats which were <font color = red>blubbering</font> out.",0.40129244327545166,0.7387382984161377,1,0,1,3,"Successful"
"What did Bill <font color = green>buy</font>?","What did Bill <font color = red>purchasing</font>?",0.04503524303436279,0.7077074646949768,1,0,1,5,"Successful"
"<font color = green>Mary</font> <font color = green>saw</font> the <font color = green>boy</font> walking toward the <font color = green>railroad</font> station.","<font color = green>Mariam</font> <font color = green>seen</font> the <font color = green>boys</font> walking toward the <font color = green>railroads</font> station.",0.03837573528289795,0.1819307804107666,1,1,1,11,"Failed"
"A proof that the <font color = red>claim</font> had been. <font color = red>made</font> was giver that John had lied.","A proof that the <font color = red>claims</font> had been. <font color = red>introduced</font> was giver that John had lied.",0.29439008235931396,0.3251129984855652,0,0,0,14,"Failed"
"He <font color = green>attributed</font> to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.","He <font color = red>allotted</font> to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.",0.41368567943573,0.6816555857658386,1,0,1,10,"Successful"
"The <font color = red>mayor</font> <font color = red>regarded</font> as being absurd the proposal to build a sidewalk from Dartmouth to Smith.","The <font color = green>alcalde</font> <font color = green>considered</font> as being absurd the proposal to build a sidewalk from Dartmouth to Smith.",0.45325160026550293,0.5055407881736755,0,1,0,5,"Successful"
"I want that Bill left to remain a secret.","I want that Bill left to remain a secret.",0.5861293077468872,0.5861293077468872,1,1,0,1,"Skipped"
"I know a <font color = red>man</font> who Tom <font color = red>drives</font> as <font color = red>drives</font>.","I know a <font color = red>dude</font> who Tom <font color = red>driving</font> as <font color = red>driving</font>.",0.13464128971099854,0.22435390949249268,0,0,0,7,"Failed"
"Drowning cats, which is against the law, are hard to rescue.","Drowning cats, which is against the law, are hard to rescue.",0.9420828819274902,0.9420828819274902,1,1,0,1,"Skipped"
"Muriel <font color = green>said</font> <font color = green>nothing</font> <font color = green>else</font> than that she had been insulted.","Muriel <font color = red>say</font> <font color = red>none</font> <font color = red>otherwise</font> than that she had been insulted.",0.09297972917556763,0.6535388827323914,1,0,1,13,"Successful"
"<font color = red>Himself</font> is understood by Rutherford.","<font color = red>Oneself</font> is understood by Rutherford.",0.2837682366371155,0.3968110680580139,0,0,0,5,"Failed"
"I feel that Arch will <font color = green>show</font> up.","I feel that Arch will <font color = red>showing</font> up.",0.21637219190597534,0.6690074801445007,1,0,1,18,"Successful"
"The proof this set is recursive is difficult.","The proof this set is recursive is difficult.",0.7191507816314697,0.7191507816314697,1,1,0,1,"Skipped"
"The madrigals which <font color = red>Henry</font> plays the lute and sings <font color = red>sound</font> lousy.","The madrigals which <font color = red>Hendrick</font> plays the lute and sings <font color = red>sounds</font> lousy.",0.20564430952072144,0.26299619674682617,0,0,0,11,"Failed"
"Tom <font color = green>picked</font> these grapes, and I washed some turnips, and <font color = green>Suzie</font> will prepare these grapes.","Tom <font color = red>taking</font> these grapes, and I washed some turnips, and <font color = red>Susie</font> will prepare these grapes.",0.11292368173599243,0.5316583514213562,1,0,1,17,"Successful"
"Where did you go and who <font color = green>ate</font> what?","Where did you go and who <font color = red>eatin</font> what?",0.0915103554725647,0.5014333724975586,1,0,1,4,"Successful"
"Which boy's did we <font color = red>elect</font> guardian's <font color = red>employer</font> president?","Which boy's did we <font color = red>pick</font> guardian's <font color = red>employers</font> president?",0.26117271184921265,0.3221890926361084,0,0,0,16,"Failed"
"How sane is Peter?","How sane is Peter?",0.40478450059890747,0.40478450059890747,1,1,1,1,"Failed"
"I <font color = green>live</font> at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.","I <font color = red>living</font> at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.",0.10434520244598389,0.5919092893600464,1,0,1,7,"Successful"
"I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.","I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.",0.7964600324630737,0.7964600324630737,1,1,0,1,"Skipped"
"Who is she <font color = green>trying</font> to make up to now?","Who is she <font color = red>try</font> to make up to now?",0.17312103509902954,0.5227470993995667,1,0,1,6,"Successful"
"<font color = red>Wind</font> was gotten of a plot to <font color = red>negotiate</font> an honorable end to the war in Vietnam.","<font color = red>Turbine</font> was gotten of a plot to <font color = red>negotiation</font> an honorable end to the war in Vietnam.",0.11145561933517456,0.16296613216400146,0,0,0,12,"Failed"
"Mike <font color = green>talked</font> about <font color = green>politics</font> yesterday to my friends.","Mike <font color = red>mentioned</font> about <font color = red>politician</font> yesterday to my friends.",0.043958425521850586,0.7711228728294373,1,0,1,8,"Successful"
"It was <font color = green>expected</font> by the reporters that the principal would fire some <font color = green>teacher</font>.","It was <font color = green>anticipate</font> by the reporters that the principal would fire some <font color = green>educator</font>.",0.05221450328826904,0.22605156898498535,1,1,1,15,"Failed"
"Which hat did Mike quip that she never wore?","Which hat did Mike quip that she never wore?",0.8985673785209656,0.8985673785209656,1,1,0,1,"Skipped"
"Which girl did Mike quip never wore this hat?","Which girl did Mike quip never wore this hat?",0.570461630821228,0.570461630821228,1,1,0,1,"Skipped"
"We <font color = green>donated</font> wire for the convicts to build cages with.","We <font color = red>donating</font> wire for the convicts to build cages with.",0.40909701585769653,0.7575127482414246,1,0,1,6,"Successful"
"I won't have some money.","I won't have some money.",0.8315002918243408,0.8315002918243408,1,1,0,1,"Skipped"
"<font color = green>Do</font> you <font color = green>believe</font> the claim that somebody was looking for something?","<font color = red>Doing</font> you <font color = red>think</font> the claim that somebody was looking for something?",0.10064101219177246,0.710424542427063,1,0,1,5,"Successful"
"I won't ask you to believe that he <font color = green>tried</font> to force me to give her any money.","I won't ask you to believe that he <font color = red>attempting</font> to force me to give her any money.",0.13397133350372314,0.6133190393447876,1,0,1,7,"Successful"
"That <font color = green>Sam</font> <font color = green>sometimes</font> didn't <font color = green>sleep</font> must have pleased <font color = green>somebody</font>.","That <font color = red>Sams</font> <font color = red>sometime</font> didn't <font color = red>slumber</font> must have pleased <font color = red>person</font>.",0.0683591365814209,0.5475585460662842,1,0,1,8,"Successful"
"I <font color = green>talked</font> to Winston about himself.","I <font color = red>mentioned</font> to Winston about himself.",0.39359205961227417,0.7866340279579163,1,0,1,6,"Successful"
"That the fuzz <font color = green>wanted</font> him <font color = green>worried</font> John, but that the fuzz wanted her didn't worry Mary.","That the fuzz <font color = red>wanna</font> him <font color = red>anxious</font> John, but that the fuzz wanted her didn't worry Mary.",0.10087275505065918,0.7356823682785034,1,0,1,13,"Successful"
"I'll <font color = green>work</font> on it if Sam will be working on it.","I'll <font color = red>jobs</font> on it if Sam will be working on it.",0.44729411602020264,0.5624371767044067,1,0,1,4,"Successful"
"I'll work on it if I can.","I'll work on it if I can.",0.11053752899169922,0.11053752899169922,1,1,1,1,"Failed"
"Here's a knife with which for you to cut up the onions.","Here's a knife with which for you to cut up the onions.",0.8161402344703674,0.8161402344703674,1,1,0,1,"Skipped"
"Fluffy is sick, which not everybody knows.","Fluffy is sick, which not everybody knows.",0.5885589718818665,0.5885589718818665,0,0,1,1,"Skipped"
"Maxwell is <font color = green>quite</font> a doctor.","Maxwell is <font color = red>very</font> a doctor.",0.07453685998916626,0.7305171489715576,1,0,1,3,"Successful"
"The younger woman might have been tall and, and the older one definitely was, blond.","The younger woman might have been tall and, and the older one definitely was, blond.",0.7508318424224854,0.7508318424224854,1,1,0,1,"Skipped"
"Sally is tall, and may be <font color = green>blond</font>, and Sheila is short, and definitely is, blond.","Sally is tall, and may be <font color = red>blonds</font>, and Sheila is short, and definitely is, blond.",0.42312294244766235,0.6133151054382324,1,0,1,2,"Successful"
"I have to <font color = green>try</font> to finish grading some papers.","I have to <font color = red>attempting</font> to finish grading some papers.",0.22337281703948975,0.5008730292320251,1,0,1,10,"Successful"
"The socks are ready for for you to put on to be planned.","The socks are ready for for you to put on to be planned.",0.3380846381187439,0.3380846381187439,0,0,0,7,"Failed"
"It is <font color = green>easy</font> to <font color = green>play</font> sonatas on this <font color = green>violin</font>.","It is <font color = red>simple</font> to <font color = red>playing</font> sonatas on this <font color = red>violinist</font>.",0.0377231240272522,0.5100687742233276,1,0,1,6,"Successful"
"This <font color = green>violin</font> is <font color = green>difficult</font> to <font color = green>play</font> sonatas on.","This <font color = green>violinist</font> is <font color = green>tricky</font> to <font color = green>playing</font> sonatas on.",0.05986684560775757,0.3576904535293579,1,1,1,6,"Failed"
"My <font color = red>mother</font> is easy to please my <font color = red>father</font> and.","My <font color = red>momma</font> is easy to please my <font color = red>fathers</font> and.",0.09981507062911987,0.19906574487686157,0,0,0,11,"Failed"
"<font color = green>Poor</font> Bill, it had started to rain and he had no umbrella.","<font color = red>Pauper</font> Bill, it had started to rain and he had no umbrella.",0.15362095832824707,0.7481873035430908,1,0,1,3,"Successful"
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.","That the cops spoke to the janitor about it yesterday is terrible, that robbery.",0.6139668226242065,0.6139668226242065,1,1,0,1,"Skipped"
"<font color = red>Every</font> student, and he wears socks, is a swinger.","<font color = red>Each</font> student, and he wears socks, is a swinger.",0.30612868070602417,0.428494393825531,0,0,0,7,"Failed"
