"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.1669321060180664,0.7843128442764282,1,0,1,4,"Successful"
"The weights [[made]] the rope stretch over the pulley.","The weights [[effected]] the rope stretch over the pulley.",0.010617733001708984,0.8995319604873657,1,0,1,5,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.09232831001281738,0.09232831001281738,1,1,1,1,"Failed"
"[[If]] you had [[eaten]] more, you [[would]] want less.","[[Unless]] you had [[eat]] more, you [[ought]] want less.",0.005870342254638672,0.5786983966827393,1,0,1,8,"Successful"
"As you eat the most, you [[want]] the least.","As you eat the most, you [[wish]] the least.",0.2729310393333435,0.4570460319519043,0,0,0,11,"Failed"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.993094801902771,0.993094801902771,1,1,0,1,"Skipped"
"I demand that the more John [[eat]], the more he [[pays]].","I demand that the more John [[ate]], the more he [[paid]].",0.1362529993057251,0.575639009475708,0,1,0,24,"Successful"
"Mary listens to the [[Grateful]] Dead, she gets depressed.","Mary listens to the [[Thankful]] Dead, she gets depressed.",0.3641119599342346,0.9128482341766357,1,0,1,4,"Successful"
"The angrier Mary got, the more she [[looked]] at pictures.","The angrier Mary got, the more she [[seemed]] at pictures.",0.01870650053024292,0.8564175367355347,1,0,1,2,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[outlook]] are.",0.01046067476272583,0.42036962509155273,1,1,1,5,"Failed"
"The more Fred is obnoxious, the [[less]] attention you should pay to him.","The more Fred is obnoxious, the [[least]] attention you should pay to him.",0.4060744047164917,0.8890093564987183,1,0,1,6,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[alot]] more obnoxious than Fred.",0.013041913509368896,0.9407420754432678,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[obtain]] [[ill]].",0.007977604866027832,0.7383629083633423,1,0,1,8,"Successful"
"The more does Bill [[smoke]], the more [[Susan]] hates him.","The more does Bill [[smokes]], the more [[Suzan]] hates him.",0.07121992111206055,0.10773986577987671,0,0,0,12,"Failed"
"The more pictures of him that [[appear]] in the news, the more [[embarrassed]] John [[becomes]].","The more pictures of him that [[appearing]] in the news, the more [[ashamed]] John [[become]].",0.013677835464477539,0.779407799243927,1,0,1,6,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[talking]] to more lobbyists.",0.04587137699127197,0.9363593459129333,1,0,1,11,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.8020861148834229,0.8020861148834229,1,1,0,1,"Skipped"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.006217062473297119,0.9839994311332703,1,0,1,2,"Successful"
"He could not] have been working.","He could not] have been working.",0.7081372737884521,0.7081372737884521,0,0,1,1,"Skipped"
"He can not have been [[working]].","He can not have been [[collaborated]].",0.009534001350402832,0.8136236667633057,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.007625401020050049,0.9839724898338318,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.01215451955795288,0.9662052989006042,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I [[seen]] a place like Bangor.","I [[indicated]] that never in my [[vida]] had I [[watched]] a place like Bangor.",0.026897132396697998,0.10237300395965576,1,1,1,15,"Failed"
"Mickey looked up it.","Mickey looked up it.",0.01976478099822998,0.01976478099822998,0,0,0,2,"Failed"
"There [[tended]] to be a lot of discussion.","There [[inclined]] to be a lot of discussion.",0.0063623785972595215,0.7390938997268677,1,0,1,4,"Successful"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.00519484281539917,0.9821085333824158,1,0,1,3,"Successful"
"John is eager.","John is eager.",0.021306276321411133,0.021306276321411133,1,1,1,1,"Failed"
"We [[want]] John to win.","We [[wanting]] John to win.",0.006197690963745117,0.9689742922782898,1,0,1,7,"Successful"
"The box contained the ball from the [[tree]].","The box contained the ball from the [[trees]].",0.47385138273239136,0.47428882122039795,0,0,0,4,"Failed"
"The tube was escaped by gas.","The tube was escaped by gas.",0.5890837907791138,0.5890837907791138,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.006827175617218018,0.006827175617218018,1,1,1,1,"Failed"
"The tub leaked water.","The tub leaked water.",0.005130410194396973,0.005130410194396973,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.9692960977554321,0.9692960977554321,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.96817946434021,0.96817946434021,1,1,0,1,"Skipped"
"The tank leaked the fluid free.","The tank leaked the fluid free.",0.750778079032898,0.750778079032898,0,0,1,1,"Skipped"
"John lay the ball in the box.","John lay the ball in the box.",0.012152314186096191,0.012152314186096191,1,1,1,1,"Failed"
"John owns the [[book]].","John owns the [[books]].",0.007103025913238525,0.007169067859649658,1,1,1,3,"Failed"
"We [[persuaded]] Mary to leave and Sue to stay.","We [[confident]] Mary to leave and Sue to stay.",0.2177135944366455,0.8971810936927795,1,0,1,3,"Successful"
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.","Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",0.883395254611969,0.883395254611969,0,0,1,1,"Skipped"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.953812837600708,0.953812837600708,1,1,0,1,"Skipped"
"Clearly, John [[probably]] will [[immediately]] learn French perfectly.","Clearly, John [[potentially]] will [[directly]] learn French perfectly.",0.052186012268066406,0.909516453742981,1,0,1,24,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.8820096254348755,0.8820096254348755,1,1,0,1,"Skipped"
"The [[men]] will all [[leave]].","The [[mens]] will all [[leaving]].",0.0055849552154541016,0.9292170405387878,1,0,1,6,"Successful"
"John went home.","John went home.",0.006178915500640869,0.006178915500640869,1,1,1,1,"Failed"
"They [[represented]] [[seriously]] to the dean [[Mary]] as a genuine linguist.","They [[represent]] [[conscientiously]] to the dean [[Maryam]] as a genuine linguist.",0.030084073543548584,0.6803346276283264,0,1,0,14,"Successful"
"Us love they.","Us love they.",0.11782556772232056,0.11782556772232056,0,0,0,1,"Failed"
