"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[turned]] the breeze clear of the rocks.",0.04125481843948364,0.6903917789459229,1,0,1,56,"Successful"
"The [[weights]] made the rope [[stretch]] over the pulley.","The [[hands]] made the rope [[draped]] over the pulley.",0.23754221200942993,0.7918651103973389,1,0,1,102,"Successful"
"The mechanical doll [[wriggled]] itself loose.","The mechanical doll [[shuddered]] itself loose.",0.03827708959579468,0.5537996888160706,1,0,1,56,"Successful"
"If you had eaten more, you would [[want]] [[less]].","If you had eaten more, you would [[were]] [[different]].",0.05775409936904907,0.698145866394043,1,0,1,62,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.7490763664245605,0.7490763664245605,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.8221205472946167,0.8221205472946167,1,1,0,1,"Skipped"
"[[I]] demand that the more [[John]] eat, the more he pays.","[[you]] demand that the more [[guests]] eat, the more he pays.",0.3715450167655945,0.5417404174804688,0,1,0,41,"Successful"
"Mary [[listens]] to the Grateful Dead, she gets depressed.","Mary [[listening]] to the Grateful Dead, she gets depressed.",0.0683470368385315,0.6786073446273804,1,0,1,57,"Successful"
"The angrier Mary got, the more she [[looked]] at pictures.","The angrier Mary got, the more she [[kept]] at pictures.",0.3254663348197937,0.5043735504150391,1,0,1,55,"Successful"
"The higher the stakes, the [[lower]] his [[expectations]] are.","The higher the stakes, the [[lier]] his [[rates]] are.",0.0515131950378418,0.6879762411117554,1,0,1,90,"Successful"
"The more [[Fred]] is obnoxious, the less attention you should pay to him.","The more [[guy]] is obnoxious, the less attention you should pay to him.",0.45957809686660767,0.5742779970169067,1,0,1,43,"Successful"
"[[John]] was lots more obnoxious than [[Fred]].","[[i]] was lots more obnoxious than [[i]].",0.08000844717025757,0.5760416388511658,1,0,1,76,"Successful"
"The more [[people]] you give beer to, the more [[people]] get sick.","The more [[man]] you give beer to, the more [[will]] get sick.",0.07875847816467285,0.8829856514930725,1,0,1,78,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.5691652297973633,0.5691652297973633,1,1,0,1,"Skipped"
"The more pictures of him that appear in the news, the more embarrassed John [[becomes]].","The more pictures of him that appear in the news, the more embarrassed John [[getting]].",0.04961204528808594,0.5466216802597046,1,0,1,44,"Successful"
"Every senator [[seems]] to become more corrupt, as he talks to more lobbyists.","Every senator [[becomes]] to become more corrupt, as he talks to more lobbyists.",0.343628466129303,0.6582813858985901,1,0,1,57,"Successful"
"[[Who]] does John visit Sally because he likes?","[[she]] does John visit Sally because he likes?",0.21853500604629517,0.7201911211013794,0,1,0,13,"Successful"
"Marianne did not [[leave]].","Marianne did not [[response]].",0.051903605461120605,0.6371666193008423,1,0,1,51,"Successful"
"He could not] have been working.","He could not] have been working.",0.707761287689209,0.707761287689209,0,0,1,1,"Skipped"
"[[He]] can not have been working.","[[her]] can not have been working.",0.052027881145477295,0.7994398474693298,1,0,1,13,"Successful"
"You will [[believe]] Bob.","You will [[stay]] Bob.",0.033958494663238525,0.655515730381012,1,0,1,52,"Successful"
"John has not [[kissed]] Mary.","John has not [[had]] Mary.",0.06479108333587646,0.8866028189659119,1,0,1,53,"Successful"
"I [[said]] that never in my life had I seen a place like Bangor.","I [[found]] that never in my life had I seen a place like Bangor.",0.08199787139892578,0.5066008567810059,1,0,1,59,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.9469788074493408,0.9469788074493408,1,1,0,1,"Skipped"
"There tended to be a [[lot]] of [[discussion]].","There tended to be a [[lots]] of [[things]].",0.05914062261581421,0.5700568556785583,1,0,1,92,"Successful"
"John [[tried]] to be a good boy.","John [[said]] to be a good boy.",0.05219709873199463,0.9415758848190308,1,0,1,54,"Successful"
"[[John]] is eager.","[[everything]] is eager.",0.07689434289932251,0.940099835395813,1,0,1,48,"Successful"
"We [[want]] John to [[win]].","We [[killed]] John to [[be]].",0.02577376365661621,0.9729002714157104,1,0,1,103,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.6007000803947449,0.6007000803947449,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.921135425567627,0.921135425567627,1,1,0,1,"Skipped"
"Water [[bubbled]] up out of the kettle.","Water [[steam]] up out of the kettle.",0.03532683849334717,0.5432107448577881,1,0,1,54,"Successful"
"The tub leaked water.","The tub leaked water.",0.7215281128883362,0.7215281128883362,0,0,1,1,"Skipped"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.7487572431564331,0.7487572431564331,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.7564173936843872,0.7564173936843872,1,1,0,1,"Skipped"
"The tank leaked the fluid free.","The tank leaked the fluid free.",0.9413822889328003,0.9413822889328003,0,0,1,1,"Skipped"
"John [[lay]] the [[ball]] in the box.","John [[was]] the [[box]] in the box.",0.044760048389434814,0.9712274074554443,1,0,1,104,"Successful"
"John [[owns]] the book.","John [[turned]] the book.",0.03656095266342163,0.6427822113037109,1,0,1,54,"Successful"
"We persuaded [[Mary]] to leave and Sue to stay.","We persuaded [[everyone]] to leave and Sue to stay.",0.3651973605155945,0.5553772449493408,1,0,1,48,"Successful"
"Most people probably [[consider]], even though the courts didn't actually find, Klaus guilty of [[murder]].","Most people probably [[considered]], even though the courts didn't actually find, Klaus guilty of [[murdering]].",0.4193205237388611,0.5971803665161133,1,0,1,21,"Successful"
