"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"unpretentious , [[charming]] , [[quirky]] , original","unpretentious , [[mignon]] , [[screwy]] , original",0.07722854614257812,0.8620343804359436,1,0,1,56,"Successful"
"a [[film]] [[really]] [[has]] to [[be]] [[exceptional]] to [[justify]] a three [[hour]] [[running]] [[time]] , and this isn't .","a [[theatre]] [[assuredly]] [[possessed]] to [[remain]] [[resplendent]] to [[defensible]] a three [[time]] [[implemented]] [[date]] , and this isn't .",0.03716164827346802,0.2280961275100708,0,0,0,287,"Failed"
"working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[avoids]] most of the pitfalls you'd expect in such a potentially sudsy set-up .","working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[avoidance]] most of the pitfalls you'd expect in such a potentially sudsy set-up .",0.33386653661727905,0.866296112537384,1,0,1,61,"Successful"
"it may not be particularly innovative , but the film's [[crisp]] , unaffected style and air of gentle longing make it unexpectedly [[rewarding]] .","it may not be particularly innovative , but the film's [[brusque]] , unaffected style and air of gentle longing make it unexpectedly [[gratuity]] .",0.008121252059936523,0.501278281211853,1,0,1,59,"Successful"
"such a premise is ripe for all manner of lunacy , but kaufman and gondry [[rarely]] [[seem]] sure of where it should go .","such a premise is ripe for all manner of lunacy , but kaufman and gondry [[fluently]] [[look]] sure of where it should go .",0.05892425775527954,0.6810680031776428,0,1,0,41,"Successful"
"the [[lead]] [[actors]] [[share]] no [[chemistry]] or [[engaging]] charisma . we don't even like their [[characters]] .","the [[promote]] [[actresses]] [[commons]] no [[chemicals]] or [[hires]] charisma . we don't even like their [[hallmarks]] .",0.027982056140899658,0.2518689036369324,0,0,0,215,"Failed"
"we [[started]] to [[wonder]] if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .","we [[began]] to [[amaze]] if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",0.019778311252593994,0.5662826299667358,0,1,0,86,"Successful"
"the [[metaphors]] are [[provocative]] , but too [[often]] , the viewer is [[left]] puzzled by the [[mechanics]] of the delivery .","the [[evocative]] are [[problematic]] , but too [[occasionally]] , the viewer is [[leave]] puzzled by the [[mechanized]] of the delivery .",0.08192110061645508,0.5331208109855652,0,1,0,108,"Successful"
"[[marinated]] in [[clichés]] and mawkish [[dialogue]] .","[[tangy]] in [[generalities]] and mawkish [[discussion]] .",0.0738869309425354,0.9537239670753479,0,1,0,120,"Successful"
"an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .","an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .",0.8676872253417969,0.8676872253417969,1,1,0,1,"Skipped"
