"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.06960010528564453,0.8069100379943848,1,0,1,4,"Successful"
"The weights [[made]] the rope stretch over the pulley.","The weights [[accomplished]] the rope stretch over the pulley.",0.01107800006866455,0.9383304119110107,1,0,1,5,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.6988502144813538,0.6988502144813538,0,0,1,1,"Skipped"
"If you had [[eaten]] more, you would want [[less]].","If you had [[eat]] more, you would want [[lowest]].",0.01360994577407837,0.9496686458587646,1,0,1,8,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.5400497317314148,0.5400497317314148,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9873334169387817,0.9873334169387817,1,1,0,1,"Skipped"
"I demand that the more John [[eat]], the more he pays.","I demand that the more John [[ate]], the more he pays.",0.14939117431640625,0.963767945766449,0,1,0,6,"Successful"
"Mary listens to the Grateful Dead, she [[gets]] [[depressed]].","Mary listens to the Grateful Dead, she [[get]] [[depressive]].",0.10349643230438232,0.9483528137207031,1,0,1,6,"Successful"
"The angrier Mary got, the more she [[looked]] at pictures.","The angrier Mary got, the more she [[seemed]] at pictures.",0.015747249126434326,0.5397148728370667,1,0,1,2,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[prognosis]] are.",0.01536637544631958,0.20243054628372192,1,1,1,5,"Failed"
"The more [[Fred]] is obnoxious, the less attention you should [[pay]] to him.","The more [[Freda]] is obnoxious, the less attention you should [[remuneration]] to him.",0.01714944839477539,0.6381131410598755,1,0,1,12,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[batch]] more obnoxious than Fred.",0.04041165113449097,0.8646445274353027,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[obtain]] [[ill]].",0.013183653354644775,0.76244056224823,1,0,1,8,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.6764110326766968,0.6764110326766968,1,1,0,1,"Skipped"
"The more [[pictures]] of him that appear in the news, the more embarrassed John becomes.","The more [[photograph]] of him that appear in the news, the more embarrassed John becomes.",0.015301525592803955,0.8983127474784851,1,0,1,14,"Successful"
"Every senator seems to [[become]] more [[corrupt]], as he talks to more lobbyists.","Every senator seems to [[gotten]] more [[corrupted]], as he talks to more lobbyists.",0.15567326545715332,0.6150886416435242,1,0,1,5,"Successful"
"Who does John visit Sally because he [[likes]]?","Who does John visit Sally because he [[adores]]?",0.3633025884628296,0.5797902345657349,0,1,0,7,"Successful"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.007077574729919434,0.9844767451286316,1,0,1,2,"Successful"
"He could not] have been working.","He could not] have been working.",0.7171823978424072,0.7171823978424072,0,0,1,1,"Skipped"
"He can not have been [[working]].","He can not have been [[collaborated]].",0.00950324535369873,0.8708972334861755,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.008752405643463135,0.9737430810928345,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.018545329570770264,0.9839518666267395,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I [[seen]] a place like Bangor.","I [[told]] that never in my [[iife]] had I [[watched]] a place like Bangor.",0.01967144012451172,0.3144243359565735,1,1,1,16,"Failed"
"Mickey looked up it.","Mickey looked up it.",0.9623488783836365,0.9623488783836365,1,1,0,1,"Skipped"
"There [[tended]] to be a lot of discussion.","There [[tending]] to be a lot of discussion.",0.012567222118377686,0.865702748298645,1,0,1,4,"Successful"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.012415170669555664,0.9807079434394836,1,0,1,3,"Successful"
"John is eager.","John is eager.",0.020499825477600098,0.020499825477600098,1,1,1,1,"Failed"
"We want John to [[win]].","We want John to [[winning]].",0.007267892360687256,0.975460946559906,1,0,1,6,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.603156566619873,0.603156566619873,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.8429336547851562,0.8429336547851562,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.006705105304718018,0.006705105304718018,1,1,1,1,"Failed"
"The [[tub]] leaked water.","The [[bath]] leaked water.",0.006273806095123291,0.0064817070960998535,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.9874350428581238,0.9874350428581238,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.9846365451812744,0.9846365451812744,1,1,0,1,"Skipped"
"The tank [[leaked]] the fluid free.","The tank [[leaking]] the fluid free.",0.16064095497131348,0.7819626927375793,1,0,1,4,"Successful"
"John lay the ball in the box.","John lay the ball in the box.",0.010018646717071533,0.010018646717071533,1,1,1,1,"Failed"
"John owns the book.","John owns the book.",0.007975220680236816,0.007975220680236816,1,1,1,3,"Failed"
"We persuaded Mary to leave and Sue to [[stay]].","We persuaded Mary to leave and Sue to [[staying]].",0.29410266876220703,0.9308694005012512,1,0,1,9,"Successful"
