"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[sailors]] rode the breeze clear of the rocks.","The [[tree]] rode the breeze clear of the rocks.",0.17794883251190186,0.7620315551757812,1,0,1,52,"Successful"
"The [[weights]] made the rope stretch over the [[pulley]].","The [[hands]] made the rope stretch over the [[door]].",0.04032975435256958,0.5598096251487732,1,0,1,104,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.5692586898803711,0.5692586898803711,0,0,1,1,"Skipped"
"If you had eaten more, you [[would]] want less.","If you had eaten more, you [[were]] want less.",0.014619171619415283,0.9234477877616882,1,0,1,27,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.8494884967803955,0.8494884967803955,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9856777191162109,0.9856777191162109,1,1,0,1,"Skipped"
"I demand that the more [[John]] eat, the more he pays.","I demand that the more [[men]] eat, the more he pays.",0.41246938705444336,0.9584766030311584,0,1,0,26,"Successful"
"Mary [[listens]] to the Grateful Dead, she gets depressed.","Mary [[listening]] to the Grateful Dead, she gets depressed.",0.21353888511657715,0.9319720268249512,1,0,1,57,"Successful"
"The [[angrier]] Mary got, the more she [[looked]] at pictures.","The [[stranger]] Mary got, the more she [[looking]] at pictures.",0.03144025802612305,0.9144119024276733,1,0,1,81,"Successful"
"The [[higher]] the stakes, the lower his expectations are.","The [[earlier]] the stakes, the lower his expectations are.",0.027360618114471436,0.8772721290588379,1,0,1,38,"Successful"
"The more [[Fred]] is obnoxious, the less attention you should pay to him.","The more [[guy]] is obnoxious, the less attention you should pay to him.",0.2096807360649109,0.8697195649147034,1,0,1,43,"Successful"
"John was lots more [[obnoxious]] than [[Fred]].","John was lots more [[beautiful]] than [[john]].",0.09288233518600464,0.43234938383102417,1,1,1,170,"Failed"
"The more people you [[give]] beer to, the more people get sick.","The more people you [[have]] beer to, the more people get sick.",0.019612550735473633,0.8048444390296936,1,0,1,57,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.7812230587005615,0.7812230587005615,1,1,0,1,"Skipped"
"The more [[pictures]] of him that appear in the news, the more embarrassed John becomes.","The more [[photo]] of him that appear in the news, the more embarrassed John becomes.",0.031248092651367188,0.7247700691223145,1,0,1,13,"Successful"
"Every senator [[seems]] to become more corrupt, as he talks to more lobbyists.","Every senator [[becomes]] to become more corrupt, as he talks to more lobbyists.",0.18688863515853882,0.7745404839515686,1,0,1,57,"Successful"
"[[Who]] does John visit Sally because he likes?","[[whom]] does John visit Sally because he likes?",0.21813541650772095,0.7595228552818298,0,1,0,13,"Successful"
"[[Marianne]] did not [[leave]].","[[mother]] did not [[response]].",0.013763606548309326,0.772722065448761,1,0,1,89,"Successful"
"He could not] have been working.","He could not] have been working.",0.6734277009963989,0.6734277009963989,0,0,1,1,"Skipped"
"[[He]] can not have been working.","[[her]] can not have been working.",0.023494064807891846,0.9581608772277832,1,0,1,13,"Successful"
"[[You]] will believe [[Bob]].","[[him]] will believe [[i]].",0.018454134464263916,0.9704413414001465,1,0,1,28,"Successful"
"John has not [[kissed]] Mary.","John has not [[returned]] Mary.",0.021984636783599854,0.966397225856781,1,0,1,53,"Successful"
"I [[said]] that [[never]] in my life had I seen a place like Bangor.","I [[considered]] that [[when]] in my life had I seen a place like Bangor.",0.03292900323867798,0.6293965578079224,1,0,1,84,"Successful"
"[[Mickey]] [[looked]] up it.","[[roland]] [[picked]] up it.",0.20363587141036987,0.9609529972076416,0,1,0,96,"Successful"
"There tended to be a [[lot]] of [[discussion]].","There tended to be a [[plenty]] of [[money]].",0.013911902904510498,0.8683391213417053,1,0,1,97,"Successful"
"John [[tried]] to be a good boy.","John [[trying]] to be a good boy.",0.033416748046875,0.9642602205276489,1,0,1,54,"Successful"
"[[John]] is eager.","[[everything]] is eager.",0.1192747950553894,0.9319853782653809,1,0,1,48,"Successful"
"We [[want]] John to win.","We [[are]] John to win.",0.01501929759979248,0.9575812220573425,1,0,1,54,"Successful"
"The box contained the ball from the [[tree]].","The box contained the ball from the [[pitcher]].",0.3673033118247986,0.6327753067016602,0,1,0,54,"Successful"
"The tube was escaped by gas.","The tube was escaped by gas.",0.9474502801895142,0.9474502801895142,1,1,0,1,"Skipped"
"Water [[bubbled]] up out of the kettle.","Water [[come]] up out of the kettle.",0.018992960453033447,0.8436681032180786,1,0,1,54,"Successful"
"The tub [[leaked]] water.","The tub [[said]] water.",0.013918280601501465,0.9548079967498779,1,0,1,51,"Successful"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.92221999168396,0.92221999168396,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.8359268307685852,0.8359268307685852,1,1,0,1,"Skipped"
"The tank [[leaked]] the fluid free.","The tank [[burst]] the fluid free.",0.22702163457870483,0.9187992811203003,1,0,1,56,"Successful"
"John [[lay]] the ball in the box.","John [[was]] the ball in the box.",0.029985249042510986,0.5961549878120422,1,0,1,54,"Successful"
"John [[owns]] the book.","John [[paused]] the book.",0.017779290676116943,0.9041478633880615,1,0,1,54,"Successful"
"We [[persuaded]] [[Mary]] to leave and Sue to stay.","We [[said]] [[ed]] to leave and Sue to stay.",0.06504112482070923,0.9483475089073181,1,0,1,97,"Successful"
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.","Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",0.922370195388794,0.922370195388794,0,0,1,1,"Skipped"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.9494431018829346,0.9494431018829346,1,1,0,1,"Skipped"
"Clearly, [[John]] probably will immediately learn French perfectly.","Clearly, [[will]] probably will immediately learn French perfectly.",0.20577865839004517,0.8442807197570801,1,0,1,46,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.6334016919136047,0.6334016919136047,1,1,0,1,"Skipped"
"The [[men]] will all [[leave]].","The [[council]] will all [[be]].",0.01546388864517212,0.9139068722724915,1,0,1,101,"Successful"
"John [[went]] home.","John [[gone]] home.",0.011493921279907227,0.9695547819137573,1,0,1,52,"Successful"
"They represented [[seriously]] to the [[dean]] [[Mary]] as a genuine linguist.","They represented [[up]] to the [[same]] [[family]] as a genuine linguist.",0.06331521272659302,0.8272263407707214,0,1,0,56,"Successful"
"[[Us]] [[love]] they.","[[oh]] [[dear]] they.",0.14991986751556396,0.2723196744918823,0,0,0,9,"Failed"
"It is [[nice]] to go abroad.","It is [[ready]] to go abroad.",0.015566229820251465,0.8590435981750488,1,0,1,33,"Successful"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.9543127417564392,0.9543127417564392,1,1,0,1,"Skipped"
"I [[remembered]] having kissed Mary.","I [[could]] having kissed Mary.",0.01141059398651123,0.9577142000198364,1,0,1,54,"Successful"
"I can't [[believe]] Fred won't, either.","I can't [[said]] Fred won't, either.",0.02867370843887329,0.7043773531913757,1,0,1,26,"Successful"
"John [[wants]] to read Fred's story, and I also want to.","John [[said]] to read Fred's story, and I also want to.",0.017785847187042236,0.9107975959777832,1,0,1,57,"Successful"
"We wanted to invite someone, but we couldn't decide who to.","We wanted to invite someone, but we couldn't decide who to.",0.905667245388031,0.905667245388031,1,1,0,1,"Skipped"
"Mary will [[read]] Fred's story, and Joe will read Holly's.","Mary will [[reading]] Fred's story, and Joe will read Holly's.",0.03246718645095825,0.9075340032577515,1,0,1,57,"Successful"
"Mary [[claimed]] that eating cabbage, Holly shouldn't.","Mary [[was]] that eating cabbage, Holly shouldn't.",0.025011837482452393,0.6644902229309082,1,0,1,55,"Successful"
"[[Mary]] came to be [[introduced]] by the [[bartender]] and I [[also]] came to be.","[[i]] came to be [[loved]] by the [[world]] and I [[truly]] came to be.",0.07285034656524658,0.677039623260498,0,1,0,183,"Successful"
"If I can, I will [[work]] on it.","If I can, I will [[make]] on it.",0.018004417419433594,0.8182175159454346,1,0,1,54,"Successful"
"Joe's [[neuroses]] bother his [[patrons]], and Sally does too.","Joe's [[drinking]] bother his [[drinking]], and Sally does too.",0.023951470851898193,0.8786441087722778,1,0,1,106,"Successful"
"I know which book José didn't read for class, and which [[book]] Lilly did it for him.","I know which book José didn't read for class, and which [[times]] Lilly did it for him.",0.31273525953292847,0.5968871116638184,0,1,0,23,"Successful"
"This is the book which Bob reviewed, and this is the one which Fred won't do it.","This is the book which Bob reviewed, and this is the one which Fred won't do it.",0.7160699367523193,0.7160699367523193,1,1,0,1,"Skipped"
"I know which book Mag read, and which book Bob said that you hadn't.","I know which book Mag read, and which book Bob said that you hadn't.",0.8789875507354736,0.8789875507354736,0,0,1,1,"Skipped"
"[[I]] know which book Mag [[read]], and which [[book]] Bob read my report that you hadn't.","[[you]] know which book Mag [[wanted]], and which [[books]] Bob read my report that you hadn't.",0.0850173830986023,0.26787835359573364,0,0,0,57,"Failed"
"I'm sure I would [[like]] him to eat fruit more than I would cookies.","I'm sure I would [[pick]] him to eat fruit more than I would cookies.",0.103054940700531,0.8443465232849121,1,0,1,59,"Successful"
"Rusty talked about himself only after [[Mary]] did talk about him.","Rusty talked about himself only after [[anybody]] did talk about him.",0.37000441551208496,0.5230515003204346,1,0,1,47,"Successful"
"Fred [[talked]] about everything before [[Rusty]] did talk about something.","Fred [[known]] about everything before [[anybody]] did talk about something.",0.06637173891067505,0.8421391844749451,1,0,1,98,"Successful"
"John often [[meets]] Mary.","John often [[wrote]] Mary.",0.014737129211425781,0.8141112327575684,1,0,1,55,"Successful"
"The problem [[perceives]] easily.","The problem [[escalated]] easily.",0.09370553493499756,0.9849038124084473,0,1,0,55,"Successful"
"A [[hundred]] men [[surrounded]] the fort.","A [[detachment]] men [[manning]] the fort.",0.021062791347503662,0.7319368124008179,1,0,1,70,"Successful"
"We elected me.","We elected me.",0.6757238507270813,0.6757238507270813,0,0,1,1,"Skipped"
"Which report that John was incompetent did he submit?","Which report that John was incompetent did he submit?",0.7231189012527466,0.7231189012527466,1,1,0,1,"Skipped"
"Mary has always [[preferred]] lemons to limes.","Mary has always [[been]] lemons to limes.",0.01925480365753174,0.8399550914764404,1,0,1,51,"Successful"
"He [[let]] the cats which were [[whining]] out.","He [[said]] the cats which were [[getting]] out.",0.06853604316711426,0.8132955431938171,1,0,1,92,"Successful"
"What did [[Bill]] [[buy]]?","What did [[money]] [[care]]?",0.011100828647613525,0.8294581770896912,1,0,1,78,"Successful"
"Mary [[saw]] the boy walking toward the railroad station.","Mary [[watching]] the boy walking toward the railroad station.",0.012023746967315674,0.9289334416389465,1,0,1,56,"Successful"
