"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"unpretentious , [[charming]] , [[quirky]] , original","unpretentious , [[fake]] , [[original]] , original",0.0027303099632263184,0.9370548725128174,1,0,1,59,"Successful"
"a film [[really]] has to be exceptional to [[justify]] a three hour running time , and this isn't .","a film [[sometimes]] has to be exceptional to [[warrant]] a three hour running time , and this isn't .",0.013604402542114258,0.03537493944168091,0,0,0,27,"Failed"
"working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[avoids]] most of the pitfalls you'd expect in such a potentially sudsy set-up .","working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[lacks]] most of the pitfalls you'd expect in such a potentially sudsy set-up .",0.2544271945953369,0.8724243640899658,1,0,1,18,"Successful"
"it [[may]] not be particularly innovative , but the film's [[crisp]] , unaffected style and air of gentle longing make it unexpectedly [[rewarding]] .","it [[does]] not be particularly innovative , but the film's [[mild]] , unaffected style and air of gentle longing make it unexpectedly [[sad]] .",0.0026169419288635254,0.04860907793045044,1,1,1,73,"Failed"
"such a premise is ripe for all manner of lunacy , but kaufman and gondry [[rarely]] seem sure of where it should go .","such a premise is ripe for all manner of lunacy , but kaufman and gondry [[always]] seem sure of where it should go .",0.013000905513763428,0.8584381341934204,0,1,0,15,"Successful"
"the [[lead]] [[actors]] share no chemistry or engaging charisma . we don't [[even]] like their characters .","the [[leading]] [[actor]] share no chemistry or engaging charisma . we don't [[overly]] like their characters .",0.006246030330657959,0.020254075527191162,0,0,0,48,"Failed"
"we [[started]] to wonder if  some unpaid intern had just typed 'chris [[rock]] , ' 'anthony hopkins' and 'terrorists' into some univac-like [[script]] machine .","we [[loved]] to wonder if  some unpaid intern had just typed 'chris [[sy]] , ' 'anthony hopkins' and 'terrorists' into some univac-like [[speaking]] machine .",0.009914994239807129,0.06513452529907227,0,0,0,73,"Failed"
"the metaphors are provocative , but too often , the viewer is left [[puzzled]] by the mechanics of the delivery .","the metaphors are provocative , but too often , the viewer is left [[astonished]] by the mechanics of the delivery .",0.07679218053817749,0.7029927968978882,0,1,0,22,"Successful"
"marinated in [[clichés]] and mawkish dialogue .","marinated in [[sexy]] and mawkish dialogue .",0.004696369171142578,0.9778149127960205,0,1,0,34,"Successful"
"an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .","an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .",0.8358078002929688,0.8358078002929688,1,1,0,1,"Skipped"
"it has the [[right]] approach and the right opening premise , but it [[lacks]] the zest and it [[goes]] for a plot twist instead of trusting the material .","it has the [[correct]] approach and the right opening premise , but it [[lack]] the zest and it [[allows]] for a plot twist instead of trusting the material .",0.008588552474975586,0.011500418186187744,0,0,0,35,"Failed"
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[problem]] with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[deal]] with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0.03467416763305664,0.8640640377998352,0,1,0,35,"Successful"
"as it stands , crocodile hunter has the hurried , [[badly]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with [[canned]] shots of raymond burr commenting on the monster's path of destruction .","as it stands , crocodile hunter has the hurried , [[beautifully]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with [[sharp]] shots of raymond burr commenting on the monster's path of destruction .",0.013517498970031738,0.6110988259315491,0,1,0,75,"Successful"
