"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.006631076335906982,0.9752824306488037,1,0,1,4,"Successful"
"The [[weights]] [[made]] the rope stretch over the pulley.","The [[weighs]] [[effected]] the rope stretch over the pulley.",0.0062833428382873535,0.9877359867095947,1,0,1,9,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.2408784031867981,0.2408784031867981,1,1,1,1,"Failed"
"If you had [[eaten]] more, you would want less.","If you had [[eat]] more, you would want less.",0.00506669282913208,0.5826709270477295,1,0,1,6,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.5709681510925293,0.5709681510925293,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9925212860107422,0.9925212860107422,1,1,0,1,"Skipped"
"I demand that the more John [[eat]], the more he pays.","I demand that the more John [[ate]], the more he pays.",0.15512293577194214,0.9392597675323486,0,1,0,6,"Successful"
"Mary listens to the Grateful Dead, she [[gets]] [[depressed]].","Mary listens to the Grateful Dead, she [[got]] [[despondent]].",0.04897373914718628,0.5303986072540283,1,0,1,8,"Successful"
"The angrier Mary got, the more she looked at [[pictures]].","The angrier Mary got, the more she looked at [[picture]].",0.020297229290008545,0.9823126792907715,1,0,1,10,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[outlook]] are.",0.01802074909210205,0.7273057103157043,1,0,1,5,"Successful"
"The more [[Fred]] is obnoxious, the less attention you should [[pay]] to him.","The more [[Freda]] is obnoxious, the less attention you should [[remuneration]] to him.",0.012810766696929932,0.9732356667518616,1,0,1,12,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[batch]] more obnoxious than Fred.",0.009725749492645264,0.9902652502059937,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[gets]] [[ill]].",0.00558096170425415,0.8729463815689087,1,0,1,9,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.9226502776145935,0.9226502776145935,1,1,0,1,"Skipped"
"The more pictures of him that [[appear]] in the news, the more [[embarrassed]] John [[becomes]].","The more pictures of him that [[appearing]] in the news, the more [[ashamed]] John [[become]].",0.004893064498901367,0.9789777994155884,1,0,1,6,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[talk]] to more lobbyists.",0.012790322303771973,0.6717379093170166,1,0,1,11,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.8653623461723328,0.8653623461723328,1,1,0,1,"Skipped"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.0050612688064575195,0.9961889982223511,1,0,1,2,"Successful"
"He [[could]] not] have been [[working]].","He [[would]] not] have been [[worked]].",0.25890177488327026,0.8769273161888123,1,0,1,3,"Successful"
"He can not have been [[working]].","He can not have been [[collaborated]].",0.008637189865112305,0.8611484169960022,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.004067718982696533,0.9955642819404602,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.005937755107879639,0.9739243388175964,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I [[seen]] a place like Bangor.","I [[told]] that never in my [[iife]] had I [[noticed]] a place like Bangor.",0.006696164608001709,0.602282702922821,1,0,1,16,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.9820787906646729,0.9820787906646729,1,1,0,1,"Skipped"
"There [[tended]] to be a lot of [[discussion]].","There [[inclined]] to be a lot of [[discuss]].",0.0047432780265808105,0.9496613144874573,1,0,1,10,"Successful"
"John tried to be a good [[boy]].","John tried to be a good [[boys]].",0.0035881400108337402,0.5408327579498291,1,0,1,3,"Successful"
"John is eager.","John is eager.",0.0038745999336242676,0.0038745999336242676,1,1,1,1,"Failed"
"We [[want]] John to win.","We [[wants]] John to win.",0.0037469863891601562,0.5923172235488892,1,0,1,7,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.5500520467758179,0.5500520467758179,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.9571826457977295,0.9571826457977295,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.0057329535484313965,0.0057329535484313965,1,1,1,1,"Failed"
"The [[tub]] leaked water.","The [[bath]] leaked water.",0.005227506160736084,0.007489800453186035,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.9931316375732422,0.9931316375732422,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.9890363812446594,0.9890363812446594,1,1,0,1,"Skipped"
"The tank leaked the fluid free.","The tank leaked the fluid free.",0.5215265154838562,0.5215265154838562,0,0,1,1,"Skipped"
"John lay the ball in the box.","John lay the ball in the box.",0.0038710832595825195,0.0038710832595825195,1,1,1,1,"Failed"
"John owns the [[book]].","John owns the [[books]].",0.0031633377075195312,0.0035052895545959473,1,1,1,3,"Failed"
"We [[persuaded]] Mary to leave and Sue to stay.","We [[confident]] Mary to leave and Sue to stay.",0.015286386013031006,0.9764829874038696,1,0,1,3,"Successful"
"Most people probably [[consider]], even though the courts didn't actually find, Klaus guilty of murder.","Most people probably [[considering]], even though the courts didn't actually find, Klaus guilty of murder.",0.11006122827529907,0.933498203754425,1,0,1,8,"Successful"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.7496852874755859,0.7496852874755859,1,1,0,1,"Skipped"
"Clearly, John [[probably]] will immediately learn French perfectly.","Clearly, John [[potentially]] will immediately learn French perfectly.",0.30733782052993774,0.659713625907898,1,0,1,16,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.9788570404052734,0.9788570404052734,1,1,0,1,"Skipped"
"The [[men]] will all [[leave]].","The [[mens]] will all [[leaving]].",0.005239546298980713,0.9949836134910583,1,0,1,6,"Successful"
