"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The only [[redeeming]] scene in this movie is when the robots are sent out to fight 'karate style', there was one good spinning side-kick... and that is the best 3 seconds of the movie. Unfortunately, the rest of the movie has very little to recommend it -- there are better spoofs out there.","The only [[redemption]] scene in this movie is when the robots are sent out to fight 'karate style', there was one good spinning side-kick... and that is the best 3 seconds of the movie. Unfortunately, the rest of the movie has very little to recommend it -- there are better spoofs out there.",0.2756587266921997,0.6000254154205322,0,1,0,31,"Successful"
"I [[looked]] forward to seeing this [[movie]], because the trailer made it look so cool. [[But]] the fact is that this movie is [[boring]], and [[totally]] [[muddled]]. There is no plot, and half the movie is fast [[flashing]] shots from football games. Zoomed in shots, that gives you no overview of the games. I was constantly looking at the timer, to see when the movie was over!<br /><br />There's only ONE [[good]] thing about this movie. The sound!! The soundtrack is awesome! .............Don't expect anything from this movie.","I [[found]] forward to seeing this [[filmmaking]], because the trailer made it look so cool. [[Yet]] the fact is that this movie is [[blunt]], and [[vitally]] [[intrigued]]. There is no plot, and half the movie is fast [[flashes]] shots from football games. Zoomed in shots, that gives you no overview of the games. I was constantly looking at the timer, to see when the movie was over!<br /><br />There's only ONE [[better]] thing about this movie. The sound!! The soundtrack is awesome! .............Don't expect anything from this movie.",0.005908787250518799,0.5068783164024353,0,1,0,256,"Successful"
"As [[bad]] as they [[get]]. [[This]] [[film]] [[commits]] the [[fatal]] [[error]] of [[making]] the [[viewer]] not [[care]] what [[happens]] to [[characters]]. The two [[women]] in this [[flick]] are [[so]] [[stupid]] that you [[begin]] to [[root]] for the [[bad]] [[guys]] [[so]] this [[thing]] would [[end]].<br /><br />This [[film]] is one of the [[few]] that was [[so]] [[bad]] that I [[had]] to [[turn]] to another [[channel]]. <[[br]] /><br />[[Put]] in [[highbrow]] [[language]], this [[film]] [[lacks]] verisimilitude. [[People]], not even [[people]] from [[Ohio]], [[simply]] [[do]] not [[act]] [[like]] this. [[Well]], [[maybe]] the [[writers]] [[do]].<[[br]] /><br />There is not enough [[beer]] in the [[world]] to [[make]] this [[film]] [[bearable]].<[[br]] /><br />F903","As [[untoward]] as they [[learn]]. [[That]] [[cinematographer]] [[agrees]] the [[reputed]] [[mistake]] of [[having]] the [[spectators]] not [[zorg]] what [[enters]] to [[letters]]. The two [[girls]] in this [[gesture]] are [[subsequently]] [[foolish]] that you [[boot]] to [[racine]] for the [[untoward]] [[friend]] [[however]] this [[trick]] would [[concludes]].<br /><br />This [[filmmakers]] is one of the [[unusual]] that was [[why]] [[unfavorable]] that I [[possess]] to [[conversion]] to another [[conduit]]. <[[ab]] /><br />[[Make]] in [[hoity]] [[dialects]], this [[teatro]] [[impossibility]] verisimilitude. [[Pueblo]], not even [[persons]] from [[Pennsylvania]], [[overtly]] [[done]] not [[statutes]] [[lover]] this. [[Allright]], [[ultimately]] the [[authors]] [[achieve]].<[[ab]] /><br />There is not enough [[heineken]] in the [[mundos]] to [[introduce]] this [[cinema]] [[doable]].<[[brit]] /><br />F903",0.006130695343017578,0.39977896213531494,0,0,0,1439,"Failed"
"Corey Haim plays a kid who teams up with a dog to take out a giant troll and OSA hit-man (Michael Ironside) with a 30/30 and homemade bombs (Which plays plausible considering Haim) Oh and he also protects his mother and girlfriend as well in this watchable yet [[disappointing]] adaption of a decent story. Corey Haim is terrible, of course but the movie's sheer momentum as well as Ironside's imposing presence make this at least a modestly effective film. Still the plot is ridiculous and it would've been nicer if we could've seen a monster or at least more gore. At least it's something different. Also it's fairly likely that this film will be the last teen movie for awhile to show a teenager making pipe bombs.<br /><br />Matt Bronson 2/5","Corey Haim plays a kid who teams up with a dog to take out a giant troll and OSA hit-man (Michael Ironside) with a 30/30 and homemade bombs (Which plays plausible considering Haim) Oh and he also protects his mother and girlfriend as well in this watchable yet [[lamentable]] adaption of a decent story. Corey Haim is terrible, of course but the movie's sheer momentum as well as Ironside's imposing presence make this at least a modestly effective film. Still the plot is ridiculous and it would've been nicer if we could've seen a monster or at least more gore. At least it's something different. Also it's fairly likely that this film will be the last teen movie for awhile to show a teenager making pipe bombs.<br /><br />Matt Bronson 2/5",0.09755939245223999,0.614712655544281,0,1,0,106,"Successful"
"There are lot of similarities between Never Say Never Again and Thunderball not only on Sean Connery but also the story and plot. except the actors all other are same like hijacking Atomic bombs, asking for ransom, trafficking nukes in a ship, etc only difference are place of occurrence in thunder ball plot it is in Bahamas in Never Say Never Again it is over North Africa. And in thunder ball the NATO / RAF itself loads the nukes into plane and in Never Say Never Again it is changed by an ""rouge arm of the Axe"" and air dropped over US and stolen in Caribbean. [[Almost]] 99% is same.If anybody wants to dispute this they are most [[welcome]].","There are lot of similarities between Never Say Never Again and Thunderball not only on Sean Connery but also the story and plot. except the actors all other are same like hijacking Atomic bombs, asking for ransom, trafficking nukes in a ship, etc only difference are place of occurrence in thunder ball plot it is in Bahamas in Never Say Never Again it is over North Africa. And in thunder ball the NATO / RAF itself loads the nukes into plane and in Never Say Never Again it is changed by an ""rouge arm of the Axe"" and air dropped over US and stolen in Caribbean. [[Hardly]] 99% is same.If anybody wants to dispute this they are most [[bienvenidos]].",0.05163294076919556,0.5645444393157959,1,0,1,135,"Successful"
"I actually liked this movie even though this movie seems to be so hated and i think it's even better then The Deer Hunter, which was overrated. Both this movie and Year Of The Dragon are very underrated although i could see why someone would not like this movie. At three and a half hours the movie just goes on too long and the second half of the movie is much [[better]] than the first half. Kris Kristofferson and Christopher Walken are fighting over Isabelle Huppert but she can't make up her mind about which one to be with. Sam Waterston is the villain who has a list of 125 people to be killed who is says are anarchists and thieves. There is a great cast that also has Jeff Bridges, Brad Dourif and a young Mickey Rourke.","I actually liked this movie even though this movie seems to be so hated and i think it's even better then The Deer Hunter, which was overrated. Both this movie and Year Of The Dragon are very underrated although i could see why someone would not like this movie. At three and a half hours the movie just goes on too long and the second half of the movie is much [[more]] than the first half. Kris Kristofferson and Christopher Walken are fighting over Isabelle Huppert but she can't make up her mind about which one to be with. Sam Waterston is the villain who has a list of 125 people to be killed who is says are anarchists and thieves. There is a great cast that also has Jeff Bridges, Brad Dourif and a young Mickey Rourke.",0.2287483811378479,0.5940091609954834,1,0,1,112,"Successful"
"I [[hated]] it. I [[hate]] self-aware pretentious inanity that masquerades as art. This [[film]] is either stupidly [[inane]] or inanely stupid. [[After]] the first [[half]] hour, [[I]] fastfowarded through the DVD [[version]], and saw the same juvenile shennanigans over and over and over. [[I]] became [[angered]] that I [[had]] [[spent]] hard-earned [[money]] for sophomoric clap-trap. Tinting [[drivel]] in [[sepia]] or blue [[does]] not make something a movie, let alone [[art]].","I [[abhors]] it. I [[rancour]] self-aware pretentious inanity that masquerades as art. This [[theatrical]] is either stupidly [[commonplace]] or inanely stupid. [[Since]] the first [[media]] hour, [[me]] fastfowarded through the DVD [[stepping]], and saw the same juvenile shennanigans over and over and over. [[me]] became [[irked]] that I [[enjoys]] [[earmarked]] hard-earned [[qian]] for sophomoric clap-trap. Tinting [[wishful]] in [[watercolours]] or blue [[wanting]] not make something a movie, let alone [[painters]].",0.0049332380294799805,0.5097762942314148,0,1,0,386,"Successful"
"I was fortunate enough to see this movie on pre-release last night and, though I wasn't expecting to, actually really [[enjoyed]] the movie for the most part. The rescues and sea effects were [[amazing]] to watch and definitely provided edge of the seat tense moments, probably all the more so knowing that there are guys who do this for a living. The weaker parts of the movie revolve largely around using stereotypical set scenes. I'm not going to spoil the movie but this really follows along the lines of An Officer and a Gentleman and those moments give it a little bit of a cheesy [[aftertaste]].<br /><br />Like I said over all this movie is pretty [[good]] and [[worth]] checking out as long as you can get past the clichés.","I was fortunate enough to see this movie on pre-release last night and, though I wasn't expecting to, actually really [[benefitted]] the movie for the most part. The rescues and sea effects were [[whopping]] to watch and definitely provided edge of the seat tense moments, probably all the more so knowing that there are guys who do this for a living. The weaker parts of the movie revolve largely around using stereotypical set scenes. I'm not going to spoil the movie but this really follows along the lines of An Officer and a Gentleman and those moments give it a little bit of a cheesy [[flavoured]].<br /><br />Like I said over all this movie is pretty [[ok]] and [[chastisement]] checking out as long as you can get past the clichés.",0.02238619327545166,0.5711437463760376,1,0,1,205,"Successful"
"What an original piece of work. I've always enjoyed Liev Schreiber the ""actor"", but now one must appreciate the man on a multi-dimensional level . How did he get that field of sunflowers? Was it computerize, it sure looked real. And how do you audition a dog knowing you are going to get that kind of performance? Does the academy have a category for animals? I guess what I'm saying is that I really, really [[enjoyed]] this [[quirky]], offbeat, little indie film. From the [[excellent]] cast (one would never know Eugene Hutz was not a pro actor) to the cinematographer (some beautiful shots) the music (bought the CD when exiting the theater) and of course the two ""D's"" (direction and the DOG). All in all a ""10"".<br /><br />/","What an original piece of work. I've always enjoyed Liev Schreiber the ""actor"", but now one must appreciate the man on a multi-dimensional level . How did he get that field of sunflowers? Was it computerize, it sure looked real. And how do you audition a dog knowing you are going to get that kind of performance? Does the academy have a category for animals? I guess what I'm saying is that I really, really [[noticed]] this [[screwy]], offbeat, little indie film. From the [[grandiose]] cast (one would never know Eugene Hutz was not a pro actor) to the cinematographer (some beautiful shots) the music (bought the CD when exiting the theater) and of course the two ""D's"" (direction and the DOG). All in all a ""10"".<br /><br />/",0.01297605037689209,0.6362240314483643,1,0,1,183,"Successful"
"How sad it is when a [[film]] as wonderful as ""Jurassic Park"" [[slowly]] nosedives into hackneyed and [[mediocre]] [[territory]] throughout its [[franchise]]. The newest [[sequel]], Jurassic Park III, has given no thought to characters, a story, or pretty much a script, and instead [[relies]] on non-stop dinosaur [[action]], which is neither thrilling nor [[very]] interesting to watch. The dinosaurs [[seemed]] to [[look]] [[incredibly]] [[fake]] compared to the 1993 [[technology]], after 7 years of CGI advancements, it only gives you more of the [[feeling]] that the [[film]] was [[pumped]] out for the summer [[relying]] only on its name. The [[introduction]] of a [[pterodactyl]] [[does]] not a [[great]] movie make.<br /><br />[[Go]] see ""Shrek"" again.<br /><br />","How sad it is when a [[imagery]] as wonderful as ""Jurassic Park"" [[softly]] nosedives into hackneyed and [[frail]] [[iand]] throughout its [[openness]]. The newest [[continuation]], Jurassic Park III, has given no thought to characters, a story, or pretty much a script, and instead [[utilise]] on non-stop dinosaur [[activities]], which is neither thrilling nor [[eminently]] interesting to watch. The dinosaurs [[noticed]] to [[admire]] [[amazingly]] [[waltz]] compared to the 1993 [[technique]], after 7 years of CGI advancements, it only gives you more of the [[sensations]] that the [[theatres]] was [[agitated]] out for the summer [[conforming]] only on its name. The [[introductions]] of a [[pteranodon]] [[wantto]] not a [[splendid]] movie make.<br /><br />[[Will]] see ""Shrek"" again.<br /><br />",0.011913895606994629,0.5123456716537476,0,1,0,665,"Successful"
"The animal-eating (geek) scenes were not as bad as you would think. After having watched Mondo Cane and Mondo Magic, these scenes are average. The grossest one was when the guy ate the head off the mouse. But they were so fast and few that they didn't bother me.<br /><br />Otherwise, the film was just sort of interesting. I always like hearing the silly voice-overs. They never sound like what you think the actor/actress would sound like in real life. I liked the bright colors worn by the princesses. The shots of weird looking bugs were cool too. The youngest princess looked REALLY young, almost 14 or something. The fight scenes were not as long and boring as most fight scenes, so that was good.<br /><br />3/10.","The animal-eating (geek) scenes were not as bad as you would think. After having watched Mondo Cane and Mondo Magic, these scenes are average. The grossest one was when the guy ate the head off the mouse. But they were so fast and few that they didn't bother me.<br /><br />Otherwise, the film was just sort of interesting. I always like hearing the silly voice-overs. They never sound like what you think the actor/actress would sound like in real life. I liked the bright colors worn by the princesses. The shots of weird looking bugs were cool too. The youngest princess looked REALLY young, almost 14 or something. The fight scenes were not as long and boring as most fight scenes, so that was good.<br /><br />3/10.",0.7842057943344116,0.7842057943344116,1,1,0,1,"Skipped"
"[[Piece]] of [[junk]], would've [[given]] it a 0 if I could [[have]]. Animation is [[good]], but not [[quite]] [[good]] enough. [[Storyline]] is [[absolutely]] THE most [[ridiculous]] I've ever [[come]] across, and that's saying a lot! [[This]] 'movie' [[tried]] [[so]] [[hard]] to [[be]] [[interesting]], but [[failed]] [[miserably]]. It's almost as if the [[writer]] [[started]] one [[story]], then [[got]] another [[idea]], and [[attempted]] to [[mesh]] the two [[together]]. Don't waste your time on this; believe me, you'll [[be]] as [[ticked]] off with yourself as I was. The only actor of any [[note]] in this was [[James]] [[Woods]], and his [[part]] was [[peripheral]] at best. I'm all for [[doing]] [[stuff]] that is edgy, that pushes the envelopes, but this [[simply]] didn't [[cut]] it.","[[Bit]] of [[jingles]], would've [[provided]] it a 0 if I could [[receive]]. Animation is [[pleasant]], but not [[highly]] [[pleasant]] enough. [[Narrative]] is [[thoroughly]] THE most [[laughingstock]] I've ever [[arrives]] across, and that's saying a lot! [[These]] 'movie' [[endeavour]] [[upon]] [[challenge]] to [[is]] [[remarkable]], but [[missed]] [[terrifically]]. It's almost as if the [[editor]] [[commences]] one [[history]], then [[learn]] another [[inkling]], and [[tempted]] to [[interlocking]] the two [[collectively]]. Don't waste your time on this; believe me, you'll [[viens]] as [[verifies]] off with yourself as I was. The only actor of any [[commentaries]] in this was [[Jacques]] [[Forests]], and his [[faction]] was [[adjacent]] at best. I'm all for [[does]] [[artifice]] that is edgy, that pushes the envelopes, but this [[scarcely]] didn't [[shorten]] it.",0.005793929100036621,0.5062177181243896,0,1,0,1158,"Successful"
"This [[movie]] was [[terrible]]. It was so very [[terrible]].<br /><br />Most [[annoying]] was the way the trial was conducted. The defense attorney is allowed to ramble on and on when questioning a witness without the prosecution making any objections. He attacks the children brought to give testimony with cruel ferociousness and repeatedly yells at them that they're lying. These just aren't things that they subject children who have been sexually abused to. The trial is silly and it ruins the whole movie...(Law & Order has spoiled me for courtroom accuracy-ness).","This [[film]] was [[scary]]. It was so very [[appalling]].<br /><br />Most [[uninspiring]] was the way the trial was conducted. The defense attorney is allowed to ramble on and on when questioning a witness without the prosecution making any objections. He attacks the children brought to give testimony with cruel ferociousness and repeatedly yells at them that they're lying. These just aren't things that they subject children who have been sexually abused to. The trial is silly and it ruins the whole movie...(Law & Order has spoiled me for courtroom accuracy-ness).",0.004010617733001709,0.5116548538208008,0,1,0,172,"Successful"
"After seeing Meredith in ""Beyond the Prairie"" I had to buy another film with her staring. I cannot believe how she let herself into this teenage flick. It's best to watch this one with the sound off but just concentrate on Meredith as she moves across the screen. Save your money until the TV network comes out with a DVD on ""Beyond the Prairie"". It's worth it at any price, this one needs to pay you to see. <br /><br />This pretty lady needs someone to put her into a script that can use both her talent as an actress and her beauty as a woman. Perhaps some of her latest might fit but I haven't seen them. She has the smile of a Cathrine Bell and eyes of Dana Delany with a much younger body.<br /><br />","After seeing Meredith in ""Beyond the Prairie"" I had to buy another film with her staring. I cannot believe how she let herself into this teenage flick. It's best to watch this one with the sound off but just concentrate on Meredith as she moves across the screen. Save your money until the TV network comes out with a DVD on ""Beyond the Prairie"". It's worth it at any price, this one needs to pay you to see. <br /><br />This pretty lady needs someone to put her into a script that can use both her talent as an actress and her beauty as a woman. Perhaps some of her latest might fit but I haven't seen them. She has the smile of a Cathrine Bell and eyes of Dana Delany with a much younger body.<br /><br />",0.7611695528030396,0.7611695528030396,0,0,1,1,"Skipped"
"Most of this film is an alternately [[hilarious]] and brutal satire on Nazism and Fascism, made at the height of those movements' success.<br /><br />Sadly, in the final moments of the film, Chaplin abandons all pretense of making art (not to mention comedy) and switches completely to propaganda. And not anti-Nazi propaganda, either, but some of the most mawkish and idiotic ""progressive"" propaganda ever to ooze out of Hollywood.<br /><br />Never mind that nothing we have seen so far indicates that the barber is even capable of giving the speech we see him give (delivered, ironically, with a disturbing wild-eyed fanaticism); such trivialities must not be permitted to interfere with The Message.","Most of this film is an alternately [[comical]] and brutal satire on Nazism and Fascism, made at the height of those movements' success.<br /><br />Sadly, in the final moments of the film, Chaplin abandons all pretense of making art (not to mention comedy) and switches completely to propaganda. And not anti-Nazi propaganda, either, but some of the most mawkish and idiotic ""progressive"" propaganda ever to ooze out of Hollywood.<br /><br />Never mind that nothing we have seen so far indicates that the barber is even capable of giving the speech we see him give (delivered, ironically, with a disturbing wild-eyed fanaticism); such trivialities must not be permitted to interfere with The Message.",0.3170679211616516,0.5339869260787964,1,0,1,79,"Successful"
"From today's point of view it is quite ridiculous to rate this film 18 (or X in the US). The film has a sexual, yet [[sublime]] erotic story to tell, but the pictures are rather innocent. Throughout the movie you feel and see the spirit of the late 60s and early 70s in the fashion, the dialogues and the typical experimental cinematography and lighting. And this is exactly the part that makes it [[worth]] seeing.","From today's point of view it is quite ridiculous to rate this film 18 (or X in the US). The film has a sexual, yet [[stupendous]] erotic story to tell, but the pictures are rather innocent. Throughout the movie you feel and see the spirit of the late 60s and early 70s in the fashion, the dialogues and the typical experimental cinematography and lighting. And this is exactly the part that makes it [[laudable]] seeing.",0.03103536367416382,0.5580087900161743,1,0,1,94,"Successful"
"This is indeed the film that popularized kung fu in the 1970s. However, if it ever had any kind of excitement or even halfway interesting plot, it doesn't [[seem]] to have aged very well.<br /><br />Long story [[short]]: [[extremely]] drawn out, slow-moving, [[confusing]] plot with run-of-the-mill choreography, typically [[annoying]] and exaggerated whiplash sounds with [[every]] punch and kick, and constant ""plot twists"" that never come to an end. By the time the film reaches its emotional climax, I had long had all the wind knocked out of me to actually [[care]].<br /><br />Watch it for its historical value as a milestone of Chinese kung fu cinema -- just leave your expectations at the door, or you'll be bitterly disappointed.<br /><br />For hardcore fans only.","This is indeed the film that popularized kung fu in the 1970s. However, if it ever had any kind of excitement or even halfway interesting plot, it doesn't [[noises]] to have aged very well.<br /><br />Long story [[few]]: [[amazingly]] drawn out, slow-moving, [[confusion]] plot with run-of-the-mill choreography, typically [[discouraging]] and exaggerated whiplash sounds with [[all]] punch and kick, and constant ""plot twists"" that never come to an end. By the time the film reaches its emotional climax, I had long had all the wind knocked out of me to actually [[affectionate]].<br /><br />Watch it for its historical value as a milestone of Chinese kung fu cinema -- just leave your expectations at the door, or you'll be bitterly disappointed.<br /><br />For hardcore fans only.",0.010132312774658203,0.7286683320999146,0,1,0,208,"Successful"
"This movie reminds me of Harry Potter - not the style but the marketing strategy. There may be part 2 , part three...until one day the product life cycle finishs, of course on the condition that the part one has a commercial success. so many things seems to be hidden and thus the story looks quite [[incomplete]]. the action design is [[boring]]. set design is ok but not [[fine]]. perhaps Edison Chen would be a big star one day. [[He]] really looks charming even on big screen. The most impressive is still Anthony Wong. 4/10<br /><br />","This movie reminds me of Harry Potter - not the style but the marketing strategy. There may be part 2 , part three...until one day the product life cycle finishs, of course on the condition that the part one has a commercial success. so many things seems to be hidden and thus the story looks quite [[sketchy]]. the action design is [[irksome]]. set design is ok but not [[allright]]. perhaps Edison Chen would be a big star one day. [[It]] really looks charming even on big screen. The most impressive is still Anthony Wong. 4/10<br /><br />",0.012979090213775635,0.5166324377059937,0,1,0,147,"Successful"
"I guess by the time I saw this episode, I had seen enough Twilight Zones to have it figured out ahead of time. There is this odd assemblage of characters who find themselves at the bottom of a cylinder. They are fine until an overzealous soldier shows up in their midst. It is his prime directive to escape and so he garners the forces and puts them to work to reach the top of the cylinder. There is much discussion about purpose and reason and speculation on their pasts, but no one can [[remember]] anything. They represent different jobs: a piper, a ballerina, a clown, a man in a tattered hat. Why are they there? It leads to an adventure and is resolved at the end, but I guess I had a pretty good idea before it all happened.","I guess by the time I saw this episode, I had seen enough Twilight Zones to have it figured out ahead of time. There is this odd assemblage of characters who find themselves at the bottom of a cylinder. They are fine until an overzealous soldier shows up in their midst. It is his prime directive to escape and so he garners the forces and puts them to work to reach the top of the cylinder. There is much discussion about purpose and reason and speculation on their pasts, but no one can [[mentioning]] anything. They represent different jobs: a piper, a ballerina, a clown, a man in a tattered hat. Why are they there? It leads to an adventure and is resolved at the end, but I guess I had a pretty good idea before it all happened.",0.34868913888931274,0.513114333152771,1,0,1,109,"Successful"
"As is frequently the case when Manga is translated into live action, there is quite a bit lost in the translation. However, this remains a highly [[entertaining]] film. The premise is unusual and it is presented in the quiet, understated style so prevalent in Japanese films (ha!). The special effects are a little 70s camp but, it adds to the comic book feel of the film. I wouldn't recommend this film to everyone but, if you are familiar with (and enjoyed) other Japanese horror films like ""Evil Dead's Trap"", this film will appeal to you.","As is frequently the case when Manga is translated into live action, there is quite a bit lost in the translation. However, this remains a highly [[fooling]] film. The premise is unusual and it is presented in the quiet, understated style so prevalent in Japanese films (ha!). The special effects are a little 70s camp but, it adds to the comic book feel of the film. I wouldn't recommend this film to everyone but, if you are familiar with (and enjoyed) other Japanese horror films like ""Evil Dead's Trap"", this film will appeal to you.",0.014827609062194824,0.6992065906524658,1,0,1,78,"Successful"
"what a waste of [[time]]! i [[expected]] [[better]] from [[cameron]] diaz! i guess it wasn't really her fault for being in a [[terrible]] [[film]]. the film [[does]] not capture the beauty of europe.....and wasn't [[successful]] in [[leading]] the [[audience]] into suspense or wonder. [[weak]] [[attempt]] at storytelling and [[narrating]] -- [[dialogue]] is [[dull]] and wasn't [[able]] to convey what i [[sometimes]] [[think]] simplicity is [[beauty]]. no love, energy, [[electricity]] on [[screen]]. too [[bad]]!!!!!!!!1","what a waste of [[timeline]]! i [[predictions]] [[finest]] from [[bullock]] diaz! i guess it wasn't really her fault for being in a [[tragic]] [[cinematographer]]. the film [[wishes]] not capture the beauty of europe.....and wasn't [[auspicious]] in [[culminating]] the [[listeners]] into suspense or wonder. [[delicate]] [[seeks]] at storytelling and [[recounted]] -- [[debated]] is [[beard]] and wasn't [[prospective]] to convey what i [[always]] [[feel]] simplicity is [[splendid]]. no love, energy, [[electric]] on [[visor]]. too [[untoward]]!!!!!!!!1",0.005963921546936035,0.5514612197875977,0,1,0,644,"Successful"
"[[I]] cannot [[believe]] that the [[actors]] [[agreed]] to [[do]] this ""[[film]]"". [[I]] could not [[stand]] to even [[watch]] it for [[very]] [[long]] for [[fear]] of [[losing]] I.Q. [[points]] for [[each]] [[passing]] second. I [[guess]] that nobody at the [[network]] that [[aired]] this dribble [[watched]] it before [[putting]] it on. IMDB [[ratings]] only [[go]] as [[low]] 1 for [[awful]], it's [[time]] to [[get]] some [[negative]] numbers in there for cases such as these.","[[me]] cannot [[opinion]] that the [[contributors]] [[negotiated]] to [[doing]] this ""[[filmmakers]]"". [[me]] could not [[remain]] to even [[observer]] it for [[uncommonly]] [[along]] for [[frighten]] of [[forfeit]] I.Q. [[considerations]] for [[both]] [[cross]] second. I [[supposing]] that nobody at the [[networking]] that [[issued]] this dribble [[supervise]] it before [[placing]] it on. IMDB [[cote]] only [[will]] as [[smaller]] 1 for [[loathsome]], it's [[occasion]] to [[achieving]] some [[unsavory]] numbers in there for cases such as these.",0.006226301193237305,0.5031405687332153,0,1,0,761,"Successful"
"An unbelievable plot, laughable characters, and obvious errors (in one scene where several grass huts are supposed to be burning, a gas torch can be seen repeatedly trying to ignite one of the huts), this film is a real dog.","An unbelievable plot, laughable characters, and obvious errors (in one scene where several grass huts are supposed to be burning, a gas torch can be seen repeatedly trying to ignite one of the huts), this film is a real dog.",0.8928321003913879,0.8928321003913879,1,1,0,1,"Skipped"
