"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.011990725994110107,0.9191219806671143,1,0,1,17,"Successful"
"The weights made the rope [[stretch]] over the pulley.","The weights made the rope [[prolonging]] over the pulley.",0.016762912273406982,0.9023716449737549,1,0,1,47,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.5545748472213745,0.5545748472213745,0,0,1,1,"Skipped"
"If you had eaten more, you would [[want]] less.","If you had eaten more, you would [[gonna]] less.",0.011160671710968018,0.9394767880439758,1,0,1,56,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.5104260444641113,0.5104260444641113,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9183728694915771,0.9183728694915771,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.9012706279754639,0.9012706279754639,1,1,0,1,"Skipped"
"Mary listens to the Grateful Dead, she [[gets]] depressed.","Mary listens to the Grateful Dead, she [[obtain]] depressed.",0.2508150339126587,0.9690473675727844,1,0,1,57,"Successful"
"The angrier Mary got, the more she [[looked]] at pictures.","The angrier Mary got, the more she [[examine]] at pictures.",0.04161190986633301,0.9714359045028687,1,0,1,56,"Successful"
"The [[higher]] the stakes, the lower his expectations are.","The [[senior]] the stakes, the lower his expectations are.",0.05141448974609375,0.6592317819595337,1,0,1,34,"Successful"
"The more [[Fred]] is obnoxious, the less attention you should pay to him.","The more [[Fried]] is obnoxious, the less attention you should pay to him.",0.03474271297454834,0.7121509313583374,1,0,1,14,"Successful"
"[[John]] was lots more obnoxious than [[Fred]].","[[Juana]] was lots more obnoxious than [[Fried]].",0.018668293952941895,0.5505287647247314,1,0,1,30,"Successful"
"The more people you give [[beer]] to, the more people get sick.","The more people you give [[drinkin]] to, the more people get sick.",0.009213507175445557,0.6387099027633667,1,0,1,36,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.5073176622390747,0.5073176622390747,1,1,0,1,"Skipped"
"The more pictures of him that [[appear]] in the news, the more embarrassed John becomes.","The more pictures of him that [[appearing]] in the news, the more embarrassed John becomes.",0.015395820140838623,0.9410306811332703,1,0,1,49,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[interviewing]] to more lobbyists.",0.03179013729095459,0.9675626754760742,1,0,1,58,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.5620532035827637,0.5620532035827637,1,1,0,1,"Skipped"
"Marianne [[did]] not leave.","Marianne [[been]] not leave.",0.009087562561035156,0.9763386845588684,1,0,1,34,"Successful"
