"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors <font color = green>rode</font> the breeze clear of the rocks.","The sailors <font color = red>khmer</font> the breeze clear of the rocks.",0.006631076335906982,0.9752824306488037,1,0,1,4,"Successful"
"The <font color = green>weights</font> <font color = green>made</font> the rope stretch over the pulley.","The <font color = red>weighs</font> <font color = red>effected</font> the rope stretch over the pulley.",0.0062833428382873535,0.9877359867095947,1,0,1,9,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.2408784031867981,0.2408784031867981,1,1,1,1,"Failed"
"If you had <font color = green>eaten</font> more, you would want less.","If you had <font color = red>eat</font> more, you would want less.",0.00506669282913208,0.5826709270477295,1,0,1,6,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.5709681510925293,0.5709681510925293,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9925212860107422,0.9925212860107422,1,1,0,1,"Skipped"
"I demand that the more John <font color = red>eat</font>, the more he pays.","I demand that the more John <font color = green>ate</font>, the more he pays.",0.15512293577194214,0.9392597675323486,0,1,0,6,"Successful"
"Mary listens to the Grateful Dead, she <font color = green>gets</font> <font color = green>depressed</font>.","Mary listens to the Grateful Dead, she <font color = red>got</font> <font color = red>despondent</font>.",0.04897373914718628,0.5303986072540283,1,0,1,8,"Successful"
"The angrier Mary got, the more she looked at <font color = green>pictures</font>.","The angrier Mary got, the more she looked at <font color = red>picture</font>.",0.020297229290008545,0.9823126792907715,1,0,1,10,"Successful"
"The higher the stakes, the lower his <font color = green>expectations</font> are.","The higher the stakes, the lower his <font color = red>outlook</font> are.",0.01802074909210205,0.7273057103157043,1,0,1,5,"Successful"
"The more <font color = green>Fred</font> is obnoxious, the less attention you should <font color = green>pay</font> to him.","The more <font color = red>Freda</font> is obnoxious, the less attention you should <font color = red>remuneration</font> to him.",0.012810766696929932,0.9732356667518616,1,0,1,12,"Successful"
"John was <font color = green>lots</font> more obnoxious than Fred.","John was <font color = red>batch</font> more obnoxious than Fred.",0.009725749492645264,0.9902652502059937,1,0,1,4,"Successful"
"The more people you <font color = green>give</font> beer to, the more people <font color = green>get</font> <font color = green>sick</font>.","The more people you <font color = red>confer</font> beer to, the more people <font color = red>gets</font> <font color = red>ill</font>.",0.00558096170425415,0.8729463815689087,1,0,1,9,"Successful"
