"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[sailors]] [[rode]] the breeze clear of the rocks.","The [[mariner]] [[khmer]] the breeze clear of the rocks.",0.09609073400497437,0.43618375062942505,1,1,1,11,"Failed"
"The [[weights]] made the rope stretch over the pulley.","The [[weighs]] made the rope stretch over the pulley.",0.23790884017944336,0.5011439919471741,1,0,1,5,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.1527872085571289,0.1527872085571289,1,1,1,1,"Failed"
"[[If]] you had [[eaten]] more, you [[would]] [[want]] less.","[[Unless]] you had [[eat]] more, you [[ought]] [[wanna]] less.",0.04857957363128662,0.5734622478485107,1,0,1,15,"Successful"
"As you eat the most, you want the [[least]].","As you eat the most, you want the [[lowest]].",0.46185529232025146,0.576539158821106,0,1,0,2,"Successful"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.88374924659729,0.88374924659729,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.5543530583381653,0.5543530583381653,1,1,0,1,"Skipped"
"Mary [[listens]] to the Grateful Dead, she gets depressed.","Mary [[listen]] to the Grateful Dead, she gets depressed.",0.4007280468940735,0.5440583229064941,1,0,1,3,"Successful"
"The angrier [[Mary]] [[got]], the more she looked at pictures.","The angrier [[Maryam]] [[get]], the more she looked at pictures.",0.12501609325408936,0.5914313793182373,1,0,1,5,"Successful"
"The [[higher]] the stakes, the lower his expectations are.","The [[highest]] the stakes, the lower his expectations are.",0.08289861679077148,0.3983207941055298,1,1,1,3,"Failed"
"The more Fred is [[obnoxious]], the less attention you should [[pay]] to him.","The more Fred is [[outrageous]], the less attention you should [[salaried]] to him.",0.22043871879577637,0.5367969274520874,1,0,1,25,"Successful"
"John was [[lots]] more obnoxious than [[Fred]].","John was [[batch]] more obnoxious than [[Freda]].",0.22942769527435303,0.3693739175796509,1,1,1,6,"Failed"
