"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[sailors]] rode the breeze clear of the rocks.","The [[maritime]] rode the breeze clear of the rocks.",0.17794883251190186,0.9107514023780823,1,0,1,35,"Successful"
"The [[weights]] made the rope stretch over the [[pulley]].","The [[masses]] made the rope stretch over the [[winch]].",0.04032975435256958,0.5379352569580078,1,0,1,34,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.5692586898803711,0.5692586898803711,0,0,1,1,"Skipped"
"[[If]] you had eaten more, you would want less.","[[Upon]] you had eaten more, you would want less.",0.014619171619415283,0.9600763320922852,1,0,1,20,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.8494884967803955,0.8494884967803955,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9856777191162109,0.9856777191162109,1,1,0,1,"Skipped"
"I demand that the more [[John]] eat, the more he pays.","I demand that the more [[Joon]] eat, the more he pays.",0.41246938705444336,0.9689669609069824,0,1,0,18,"Successful"
"Mary [[listens]] to the Grateful Dead, she gets depressed.","Mary [[consider]] to the Grateful Dead, she gets depressed.",0.21353888511657715,0.9640905261039734,1,0,1,38,"Successful"
"The [[angrier]] Mary got, the more she [[looked]] at pictures.","The [[sorrier]] Mary got, the more she [[considered]] at pictures.",0.03144025802612305,0.9336045384407043,1,0,1,94,"Successful"
"The [[higher]] the stakes, the lower his expectations are.","The [[senior]] the stakes, the lower his expectations are.",0.027360618114471436,0.9445540904998779,1,0,1,34,"Successful"
"The more [[Fred]] is obnoxious, the less attention you should pay to him.","The more [[Fareed]] is obnoxious, the less attention you should pay to him.",0.2096807360649109,0.8851568698883057,1,0,1,14,"Successful"
"John was lots more [[obnoxious]] than [[Fred]].","John was lots more [[dreadful]] than [[Fried]].",0.09288233518600464,0.6242817044258118,1,0,1,56,"Successful"
"The more people you [[give]] beer to, the more people get sick.","The more people you [[allowing]] beer to, the more people get sick.",0.019612550735473633,0.9353036284446716,1,0,1,46,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.7812230587005615,0.7812230587005615,1,1,0,1,"Skipped"
"The more [[pictures]] of him that appear in the news, the more embarrassed [[John]] becomes.","The more [[photo]] of him that appear in the news, the more embarrassed [[Johns]] becomes.",0.031248092651367188,0.6983016729354858,1,0,1,52,"Successful"
"Every senator [[seems]] to become more corrupt, as he talks to more lobbyists.","Every senator [[gaze]] to become more corrupt, as he talks to more lobbyists.",0.18688863515853882,0.9238981604576111,1,0,1,25,"Successful"
"Who does John visit [[Sally]] because he likes?","Who does John visit [[Solly]] because he likes?",0.21813541650772095,0.7074213027954102,0,1,0,9,"Successful"
