"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors <font color = green>rode</font> the breeze clear of the rocks.","The sailors <font color = red>khmer</font> the breeze clear of the rocks.",0.06960010528564453,0.8069100379943848,1,0,1,4,"Successful"
"The weights <font color = green>made</font> the rope stretch over the pulley.","The weights <font color = red>accomplished</font> the rope stretch over the pulley.",0.01107800006866455,0.9383304119110107,1,0,1,5,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.6988502144813538,0.6988502144813538,0,0,1,1,"Skipped"
"If you had <font color = green>eaten</font> more, you would want <font color = green>less</font>.","If you had <font color = red>eat</font> more, you would want <font color = red>lowest</font>.",0.01360994577407837,0.9496686458587646,1,0,1,8,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.5400497317314148,0.5400497317314148,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9873334169387817,0.9873334169387817,1,1,0,1,"Skipped"
"I demand that the more John <font color = red>eat</font>, the more he pays.","I demand that the more John <font color = green>ate</font>, the more he pays.",0.14939117431640625,0.963767945766449,0,1,0,6,"Successful"
"Mary listens to the Grateful Dead, she <font color = green>gets</font> <font color = green>depressed</font>.","Mary listens to the Grateful Dead, she <font color = red>get</font> <font color = red>depressive</font>.",0.10349643230438232,0.9483528137207031,1,0,1,6,"Successful"
"The angrier Mary got, the more she <font color = green>looked</font> at pictures.","The angrier Mary got, the more she <font color = red>seemed</font> at pictures.",0.015747249126434326,0.5397148728370667,1,0,1,2,"Successful"
"The higher the stakes, the lower his <font color = green>expectations</font> are.","The higher the stakes, the lower his <font color = green>prognosis</font> are.",0.01536637544631958,0.20243054628372192,1,1,1,5,"Failed"
"The more <font color = green>Fred</font> is obnoxious, the less attention you should <font color = green>pay</font> to him.","The more <font color = red>Freda</font> is obnoxious, the less attention you should <font color = red>remuneration</font> to him.",0.01714944839477539,0.6381131410598755,1,0,1,12,"Successful"
"John was <font color = green>lots</font> more obnoxious than Fred.","John was <font color = red>batch</font> more obnoxious than Fred.",0.04041165113449097,0.8646445274353027,1,0,1,4,"Successful"
"The more people you <font color = green>give</font> beer to, the more people <font color = green>get</font> <font color = green>sick</font>.","The more people you <font color = red>confer</font> beer to, the more people <font color = red>obtain</font> <font color = red>ill</font>.",0.013183653354644775,0.76244056224823,1,0,1,8,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.6764110326766968,0.6764110326766968,1,1,0,1,"Skipped"
"The more <font color = green>pictures</font> of him that appear in the news, the more embarrassed John becomes.","The more <font color = red>photograph</font> of him that appear in the news, the more embarrassed John becomes.",0.015301525592803955,0.8983127474784851,1,0,1,14,"Successful"
"Every senator seems to <font color = green>become</font> more <font color = green>corrupt</font>, as he talks to more lobbyists.","Every senator seems to <font color = red>gotten</font> more <font color = red>corrupted</font>, as he talks to more lobbyists.",0.15567326545715332,0.6150886416435242,1,0,1,5,"Successful"
