"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[sailors]] [[rode]] the breeze clear of the rocks.","The [[mariner]] [[khmer]] the breeze clear of the rocks.",0.21259737014770508,0.9293562173843384,1,0,1,11,"Successful"
"The [[weights]] [[made]] the rope stretch over the pulley.","The [[weigh]] [[brought]] the rope stretch over the pulley.",0.09478366374969482,0.9466826915740967,1,0,1,6,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.30285894870758057,0.30285894870758057,1,1,1,1,"Failed"
"[[If]] you had [[eaten]] more, you [[would]] [[want]] less.","[[Unless]] you had [[eat]] more, you [[ought]] [[wanna]] less.",0.07379657030105591,0.7305393218994141,1,0,1,15,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.5178653001785278,0.5178653001785278,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.7812389135360718,0.7812389135360718,1,1,0,1,"Skipped"
"I [[demand]] that the more John eat, the more he pays.","I [[require]] that the more John eat, the more he pays.",0.49186384677886963,0.5407193899154663,0,1,0,15,"Successful"
"Mary [[listens]] to the Grateful Dead, she gets depressed.","Mary [[listen]] to the Grateful Dead, she gets depressed.",0.28157103061676025,0.5674354434013367,1,0,1,3,"Successful"
"The angrier Mary [[got]], the more she looked at pictures.","The angrier Mary [[ai]], the more she looked at pictures.",0.10683655738830566,0.5917425751686096,1,0,1,6,"Successful"
"The [[higher]] the stakes, the lower his expectations are.","The [[highest]] the stakes, the lower his expectations are.",0.17279702425003052,0.3729318380355835,1,1,1,3,"Failed"
"The more [[Fred]] is obnoxious, the less attention you should [[pay]] to him.","The more [[Freda]] is obnoxious, the less attention you should [[remuneration]] to him.",0.29649579524993896,0.5914731025695801,1,0,1,12,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[lot]] more obnoxious than Fred.",0.2571234703063965,0.5895688533782959,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] sick.","The more people you [[confer]] beer to, the more people [[gets]] sick.",0.06732434034347534,0.5376198291778564,1,0,1,6,"Successful"
"The more does Bill smoke, the more [[Susan]] hates him.","The more does Bill smoke, the more [[Suzan]] hates him.",0.3799194097518921,0.448946475982666,0,0,0,14,"Failed"
"The more [[pictures]] of him that appear in the news, the more embarrassed John becomes.","The more [[photographed]] of him that appear in the news, the more embarrassed John becomes.",0.06075388193130493,0.7272362112998962,1,0,1,14,"Successful"
"[[Every]] senator seems to become more corrupt, as he talks to more lobbyists.","[[All]] senator seems to become more corrupt, as he talks to more lobbyists.",0.32453012466430664,0.6073307991027832,1,0,1,4,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.5477734804153442,0.5477734804153442,1,1,0,1,"Skipped"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.017304956912994385,0.8505985140800476,1,0,1,2,"Successful"
"He could not] have been [[working]].","He could not] have been [[worked]].",0.4492989778518677,0.5930904150009155,1,0,1,3,"Successful"
"He can not have been [[working]].","He can not have been [[collaborated]].",0.1306551694869995,0.6604897975921631,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.03785175085067749,0.9209142923355103,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.05312114953994751,0.9577137231826782,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I seen a place like Bangor.","I [[told]] that never in my [[living]] had I seen a place like Bangor.",0.0900123119354248,0.5576180219650269,1,0,1,14,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.7574241757392883,0.7574241757392883,1,1,0,1,"Skipped"
"There [[tended]] to be a lot of discussion.","There [[inclined]] to be a lot of discussion.",0.06181526184082031,0.8335882425308228,1,0,1,4,"Successful"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.032990872859954834,0.9120309352874756,1,0,1,3,"Successful"
"John is eager.","John is eager.",0.05050617456436157,0.05050617456436157,1,1,1,1,"Failed"
"We [[want]] John to win.","We [[wanting]] John to win.",0.02500438690185547,0.9490631818771362,1,0,1,7,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.8733623027801514,0.8733623027801514,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.8595218658447266,0.8595218658447266,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.027579009532928467,0.027579009532928467,1,1,1,1,"Failed"
"The [[tub]] leaked water.","The [[bath]] leaked water.",0.4054673910140991,0.44539040327072144,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.6937789916992188,0.6937789916992188,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.7030209302902222,0.7030209302902222,1,1,0,1,"Skipped"
"The tank leaked the fluid free.","The tank leaked the fluid free.",0.8072370886802673,0.8072370886802673,0,0,1,1,"Skipped"
"John lay the ball in the box.","John lay the ball in the box.",0.0661919116973877,0.0661919116973877,1,1,1,1,"Failed"
"John owns the book.","John owns the book.",0.027815699577331543,0.027815699577331543,1,1,1,3,"Failed"
"We persuaded Mary to leave and Sue to stay.","We persuaded Mary to leave and Sue to stay.",0.529008150100708,0.529008150100708,0,0,1,1,"Skipped"
"Most people probably consider, even [[though]] the courts didn't actually find, Klaus guilty of murder.","Most people probably consider, even [[despite]] the courts didn't actually find, Klaus guilty of murder.",0.3670233488082886,0.7374328374862671,1,0,1,6,"Successful"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.9480671882629395,0.9480671882629395,1,1,0,1,"Skipped"
"[[Clearly]], John probably will immediately learn French perfectly.","[[Definitely]], John probably will immediately learn French perfectly.",0.2815173864364624,0.5470595955848694,1,0,1,15,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.9564585089683533,0.9564585089683533,1,1,0,1,"Skipped"
"The [[men]] will all leave.","The [[man]] will all leave.",0.05737334489822388,0.6447551250457764,1,0,1,5,"Successful"
"John went home.","John went home.",0.03344893455505371,0.03344893455505371,1,1,1,1,"Failed"
"They [[represented]] [[seriously]] to the dean Mary as a [[genuine]] linguist.","They [[constituted]] [[profoundly]] to the dean Mary as a [[true]] linguist.",0.06214660406112671,0.07566064596176147,0,0,0,19,"Failed"
"Us love they.","Us love they.",0.7315285205841064,0.7315285205841064,1,1,0,1,"Skipped"
