"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"unpretentious , [[charming]] , quirky , original","unpretentious , [[boring]] , quirky , original",0.010381162166595459,0.9851141571998596,1,0,1,29,"Successful"
"a film [[really]] has to be exceptional to justify a three [[hour]] running time , and this isn't .","a film [[still]] has to be exceptional to justify a three [[hours]] running time , and this isn't .",0.06359237432479858,0.08404672145843506,0,0,0,24,"Failed"
"working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[avoids]] most of the pitfalls you'd expect in such a potentially sudsy set-up .","working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek [[lacks]] most of the pitfalls you'd expect in such a potentially sudsy set-up .",0.045994341373443604,0.3637779951095581,1,1,1,18,"Failed"
"it [[may]] not be particularly innovative , but the film's [[crisp]] , unaffected style and air of gentle longing make it unexpectedly [[rewarding]] .","it [[proved]] not be particularly innovative , but the film's [[mild]] , unaffected style and air of gentle longing make it unexpectedly [[sad]] .",0.004018187522888184,0.013451159000396729,1,1,1,76,"Failed"
"such a premise is ripe for all manner of lunacy , but kaufman and gondry [[rarely]] seem sure of where it should go .","such a premise is ripe for all manner of lunacy , but kaufman and gondry [[always]] seem sure of where it should go .",0.018948674201965332,0.8526967763900757,0,1,0,15,"Successful"
"the lead actors share no chemistry or engaging charisma . we don't even like their [[characters]] .","the lead actors share no chemistry or engaging charisma . we don't even like their [[presence]] .",0.011888504028320312,0.017577171325683594,0,0,0,46,"Failed"
"we [[started]] to wonder if  some unpaid intern had just [[typed]] 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .","we [[kept]] to wonder if  some unpaid intern had just [[transformed]] 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",0.012203693389892578,0.025113344192504883,0,0,0,74,"Failed"
"the metaphors are provocative , but too [[often]] , the viewer is left puzzled by the mechanics of the delivery .","the metaphors are provocative , but too [[rarely]] , the viewer is left puzzled by the mechanics of the delivery .",0.032383620738983154,0.2487305998802185,0,0,0,19,"Failed"
"marinated in [[clichés]] and mawkish dialogue .","marinated in [[witty]] and mawkish dialogue .",0.009207963943481445,0.9827713966369629,0,1,0,34,"Successful"
"an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .","an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .",0.9475855231285095,0.9475855231285095,1,1,0,1,"Skipped"
"it has the [[right]] approach and the right opening premise , but it [[lacks]] the zest and it [[goes]] for a plot twist instead of trusting the material .","it has the [[best]] approach and the right opening premise , but it [[lacking]] the zest and it [[provides]] for a plot twist instead of trusting the material .",0.015212178230285645,0.040201425552368164,0,0,0,35,"Failed"
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[problem]] with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the [[matter]] with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0.03579914569854736,0.5881482362747192,0,1,0,35,"Successful"
"as it stands , crocodile hunter has the hurried , [[badly]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .","as it stands , crocodile hunter has the hurried , [[nicely]] cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .",0.048506081104278564,0.6676462888717651,0,1,0,61,"Successful"
"there is more than one joke about [[putting]] the toilet seat down . and that should [[tell]] you everything you [[need]] to know about all the queen's men .","there is more than one joke about [[breaking]] the toilet seat down . and that should [[tells]] you everything you [[desire]] to know about all the queen's men .",0.27659183740615845,0.5909732580184937,0,1,0,105,"Successful"
"[[fails]] in [[making]] this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film [[grows]] as dull as its characters , about whose fate it is hard to care .","[[succeeds]] in [[presenting]] this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film [[looked]] as dull as its characters , about whose fate it is hard to care .",0.007417917251586914,0.08389347791671753,0,0,0,110,"Failed"
"the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be [[emphasized]] enough .","the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be [[conveyed]] enough .",0.10371589660644531,0.6904067993164062,1,0,1,15,"Successful"
"a charming and [[funny]] story of clashing [[cultures]] and a [[clashing]] [[mother]]/[[daughter]] [[relationship]] .","a charming and [[predictable]] story of clashing [[neighbors]] and a [[messy]] [[chef]]/[[employee]] [[liaison]] .",0.0037845969200134277,0.5900158882141113,1,0,1,229,"Successful"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.7687177658081055,0.7687177658081055,0,0,1,1,"Skipped"
"what ensues are much blood-splattering , mass drug-induced bowel evacuations , and [[none-too-funny]] commentary on the cultural distinctions between americans and brits .","what ensues are much blood-splattering , mass drug-induced bowel evacuations , and [[further]] commentary on the cultural distinctions between americans and brits .",0.17608177661895752,0.6986413598060608,0,1,0,51,"Successful"
"director lee has a [[true]] cinematic knack , but it's also nice to [[see]] a movie with its heart so [[thoroughly]] , unabashedly on its sleeve .","director lee has a [[terrible]] cinematic knack , but it's also nice to [[have]] a movie with its heart so [[casually]] , unabashedly on its sleeve .",0.00610584020614624,0.02142709493637085,1,1,1,98,"Failed"
"the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .","the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .",0.971075177192688,0.971075177192688,1,1,0,1,"Skipped"
"goldmember is [[funny]] enough to justify the embarrassment of bringing a barf bag to the moviehouse .","goldmember is [[dumb]] enough to justify the embarrassment of bringing a barf bag to the moviehouse .",0.07931768894195557,0.9874926805496216,1,0,1,17,"Successful"
"an [[unsophisticated]] sci-fi drama that takes itself all too [[seriously]] .","an [[amazing]] sci-fi drama that takes itself all too [[gently]] .",0.009368836879730225,0.7402845621109009,0,1,0,80,"Successful"
"an [[original]] and [[highly]] cerebral [[examination]] of the psychopathic [[mind]]","an [[early]] and [[purely]] cerebral [[consequence]] of the psychopathic [[was]]",0.004452824592590332,0.802837610244751,1,0,1,135,"Successful"
"death to smoochy [[tells]] a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is joke . over and over again .","death to smoochy [[s]] a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is joke . over and over again .",0.058555424213409424,0.0650550127029419,0,0,0,14,"Failed"
"i prefer soderbergh's concentration on his two lovers over [[tarkovsky's]] mostly male , mostly patriarchal debating societies .","i prefer soderbergh's concentration on his two lovers over [[apparently]] mostly male , mostly patriarchal debating societies .",0.31674033403396606,0.6675968170166016,1,0,1,17,"Successful"
"meticulously [[uncovers]] a trail of outrageous force and craven concealment .","meticulously [[left]] a trail of outrageous force and craven concealment .",0.06486064195632935,0.7779102325439453,1,0,1,56,"Successful"
"a rip-off twice [[removed]] , [[modeled]] after [seagal's] earlier copycat under siege , sometimes [[referred]] to as die hard on a boat .","a rip-off twice [[done]] , [[modelled]] after [seagal's] earlier copycat under siege , sometimes [[called]] to as die hard on a boat .",0.016454577445983887,0.027067184448242188,0,0,0,59,"Failed"
"one of those [[joyous]] [[films]] that leaps over national boundaries and celebrates universal human nature .","one of those [[first]] [[movies]] that leaps over national boundaries and celebrates universal human nature .",0.004122495651245117,0.007691025733947754,1,1,1,26,"Failed"
"if you're looking for an intelligent movie in which you can [[release]] your pent up anger , enough is just the ticket you need .","if you're looking for an intelligent movie in which you can [[use]] your pent up anger , enough is just the ticket you need .",0.3711356520652771,0.4514675736427307,1,1,1,30,"Failed"
"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention [[takes]] a [[surprising]] , subtle turn at the midway point .","what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention [[prompted]] a [[slow]] , subtle turn at the midway point .",0.015317440032958984,0.5773752927780151,1,0,1,58,"Successful"
"one gets the impression the creators of don't ask don't [[tell]] laughed a hell of a lot at their own jokes . too bad [[none]] of it is [[funny]] .","one gets the impression the creators of don't ask don't [[be]] laughed a hell of a lot at their own jokes . too bad [[nothing]] of it is [[humorous]] .",0.016234219074249268,0.02954232692718506,0,0,0,24,"Failed"
"the dialogue is [[cumbersome]] , the [[simpering]] soundtrack and editing more so .","the dialogue is [[interesting]] , the [[sound]] soundtrack and editing more so .",0.00795215368270874,0.8749732971191406,0,1,0,26,"Successful"
"less cinematically powerful than quietly and deeply moving , which is [[powerful]] in itself .","less cinematically powerful than quietly and deeply moving , which is [[psychological]] in itself .",0.2980915904045105,0.9199614524841309,1,0,1,33,"Successful"
"master of disguise [[runs]] for only 71 [[minutes]] and [[feels]] like three hours .","master of disguise [[survived]] for only 71 [[years]] and [[i]] like three hours .",0.014816701412200928,0.6848145723342896,0,1,0,133,"Successful"
"a moving and not [[infrequently]] breathtaking film .","a moving and not [[enough]] breathtaking film .",0.031965434551239014,0.9816349744796753,1,0,1,38,"Successful"
"a so-so , [[made-for-tv]] something [[posing]] as a real movie .","a so-so , [[real]] something [[seen]] as a real movie .",0.044442176818847656,0.6773952841758728,0,1,0,45,"Successful"
"pratfalls [[aside]] , barbershop [[gets]] its greatest play from the timeless spectacle of people really talking to each other .","pratfalls [[ahead]] , barbershop [[deserved]] its greatest play from the timeless spectacle of people really talking to each other .",0.007733404636383057,0.09975850582122803,1,1,1,61,"Failed"
"an [[engrossing]] [[story]] that combines psychological [[drama]] , sociological reflection , and high-octane thriller .","an [[exploitation]] [[video]] that combines psychological [[assault]] , sociological reflection , and high-octane thriller .",0.0035620927810668945,0.6871951818466187,1,0,1,108,"Successful"
"in imax in short , it's just as [[wonderful]] on the big screen .","in imax in short , it's just as [[awful]] on the big screen .",0.00795668363571167,0.9914067387580872,1,0,1,41,"Successful"
"steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .","steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .",0.7739399671554565,0.7739399671554565,0,0,1,1,"Skipped"
"a dreadful day in irish history is given [[passionate]] , if somewhat flawed , treatment .","a dreadful day in irish history is given [[proper]] , if somewhat flawed , treatment .",0.47886908054351807,0.8689423203468323,1,0,1,50,"Successful"
"fans of the [[modern]] day hong kong action film finally have the [[worthy]] successor to a better tomorrow and the killer which they have been [[patiently]] [[waiting]] for .","fans of the [[better]] day hong kong action film finally have the [[better]] successor to a better tomorrow and the killer which they have been [[impatiently]] [[wait]] for .",0.03244900703430176,0.5125928521156311,1,0,1,77,"Successful"
"a big-budget/[[all-star]] movie as unblinkingly pure as the hours is a distinct rarity , and an [[event]] .","a big-budget/[[bad]] movie as unblinkingly pure as the hours is a distinct rarity , and an [[isance]] .",0.013437211513519287,0.6577743291854858,1,0,1,29,"Successful"
"even fans of ismail merchant's work , i suspect , [[would]] have a [[hard]] time sitting through this one .","even fans of ismail merchant's work , i suspect , [[could]] have a [[easier]] time sitting through this one .",0.021656811237335205,0.1748713254928589,0,0,0,22,"Failed"
"an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't [[try]] to .","an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't [[seem]] to .",0.2700973153114319,0.8722997307777405,1,0,1,55,"Successful"
"the rules of attraction [[gets]] us too drunk on the party favors to sober us up with the transparent [[attempts]] at moralizing .","the rules of attraction [[keeping]] us too drunk on the party favors to sober us up with the transparent [[effort]] at moralizing .",0.03471142053604126,0.5198902487754822,0,1,0,98,"Successful"
"'dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and [[sappy]] dialogue .","'dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and [[hilarious]] dialogue .",0.02065056562423706,0.9605551362037659,0,1,0,46,"Successful"
"[[manages]] to accomplish what few sequels can -- it equals the original and in some ways even betters it .","[[fails]] to accomplish what few sequels can -- it equals the original and in some ways even betters it .",0.0389024019241333,0.9784836173057556,1,0,1,32,"Successful"
"twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .","twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .",0.5092771053314209,0.5092771053314209,0,0,1,1,"Skipped"
"a film of [[delicate]] interpersonal dances . caine makes us watch as his character awakens to the [[notion]] that to be human is eventually to have to choose . it's a sight to [[behold]] .","a film of [[slow]] interpersonal dances . caine makes us watch as his character awakens to the [[premise]] that to be human is eventually to have to choose . it's a sight to [[sight]] .",0.005158960819244385,0.0935666561126709,1,1,1,71,"Failed"
"[[nothing]] but an episode of smackdown ! in period costume and with a bigger [[budget]] .","[[al]] but an episode of smackdown ! in period costume and with a bigger [[heart]] .",0.01572251319885254,0.9457289576530457,0,1,0,75,"Successful"
"too [[slick]] and [[manufactured]] to [[claim]] [[street]] [[credibility]] .","too [[sexy]] and [[tempting]] to [[feel]] [[burning]] [[heat]] .",0.008770227432250977,0.32359808683395386,0,0,0,166,"Failed"
""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",0.9723095893859863,0.9723095893859863,0,0,1,1,"Skipped"
"[[supposedly]] authentic account of a historical event that's far too tragic to merit such superficial treatment .","[[truly]] authentic account of a historical event that's far too tragic to merit such superficial treatment .",0.0658574104309082,0.9244130253791809,0,1,0,24,"Successful"
"you come away [[thinking]] not only that kate isn't very bright , but that she hasn't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another .","you come away [[knowing]] not only that kate isn't very bright , but that she hasn't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another .",0.4001457095146179,0.8130165338516235,0,1,0,39,"Successful"
"connoisseurs of chinese film will be [[pleased]] to discover that tian's meticulous talent has not [[withered]] during his enforced hiatus .","connoisseurs of chinese film will be [[thrilled]] to discover that tian's meticulous talent has not [[risen]] during his enforced hiatus .",0.02874445915222168,0.5376775860786438,1,0,1,70,"Successful"
"cherry orchard is [[badly]] edited , often awkwardly directed and suffers from the addition of a [[wholly]] unnecessary pre-credit sequence designed to [[give]] some of the characters a 'back story . '","cherry orchard is [[richly]] edited , often awkwardly directed and suffers from the addition of a [[fairly]] unnecessary pre-credit sequence designed to [[offer]] some of the characters a 'back story . '",0.00861281156539917,0.026707231998443604,0,0,0,82,"Failed"
"a rehash of every gangster movie from the past decade .","a rehash of every gangster movie from the past decade .",0.9459467530250549,0.9459467530250549,1,1,0,1,"Skipped"
""" one [[look]] at a girl in tight pants and [[big]] tits and you turn stupid ? "" um . . isn't that the [[basis]] for the entire plot ?",""" one [[glimpse]] at a girl in tight pants and [[good]] tits and you turn stupid ? "" um . . isn't that the [[case]] for the entire plot ?",0.024901092052459717,0.06548172235488892,0,0,0,73,"Failed"
"yes they can swim , the title is [[merely]] anne-sophie birot's off-handed way of saying girls find adolescence difficult to wade through .","yes they can swim , the title is [[definitely]] anne-sophie birot's off-handed way of saying girls find adolescence difficult to wade through .",0.03836870193481445,0.2970999479293823,0,0,0,34,"Failed"
"we get the comedy we settle for .","we get the comedy we settle for .",0.7902968525886536,0.7902968525886536,1,1,0,1,"Skipped"
"charly comes off as emotionally manipulative and [[sadly]] imitative of innumerable past love story derisions .","charly comes off as emotionally manipulative and [[also]] imitative of innumerable past love story derisions .",0.08031409978866577,0.563398003578186,0,1,0,50,"Successful"
