"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.01034778356552124,0.8366851210594177,1,0,1,4,"Successful"
"The [[weights]] made the [[rope]] stretch over the pulley.","The [[weigh]] made the [[ropes]] stretch over the pulley.",0.017189741134643555,0.25890910625457764,1,1,1,7,"Failed"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.13251334428787231,0.13251334428787231,1,1,1,1,"Failed"
"If you had eaten more, you would want [[less]].","If you had eaten more, you would want [[lowest]].",0.015648245811462402,0.8824306726455688,1,0,1,3,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.7640254497528076,0.7640254497528076,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.971011221408844,0.971011221408844,1,1,0,1,"Skipped"
"I demand that the more John [[eat]], the more he pays.","I demand that the more John [[ate]], the more he pays.",0.38132262229919434,0.8361285924911499,0,1,0,6,"Successful"
"Mary listens to the Grateful Dead, she [[gets]] [[depressed]].","Mary listens to the Grateful Dead, she [[get]] [[despondent]].",0.10147178173065186,0.9116172790527344,1,0,1,8,"Successful"
"The angrier Mary got, the more she looked at [[pictures]].","The angrier Mary got, the more she looked at [[picture]].",0.03983867168426514,0.9233160614967346,1,0,1,10,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[prognosis]] are.",0.054730892181396484,0.23793715238571167,1,1,1,5,"Failed"
"The more Fred is obnoxious, the [[less]] attention you should pay to him.","The more Fred is obnoxious, the [[least]] attention you should pay to him.",0.11951065063476562,0.7698861360549927,1,0,1,5,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[batch]] more obnoxious than Fred.",0.04308724403381348,0.9733485579490662,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[obtain]] [[sickly]].",0.012306749820709229,0.8023276329040527,1,0,1,8,"Successful"
"The more does Bill smoke, the more [[Susan]] [[hates]] him.","The more does Bill smoke, the more [[Susanne]] [[dislikes]] him.",0.3873811960220337,0.5240110754966736,0,1,0,18,"Successful"
"The more [[pictures]] of him that appear in the news, the more [[embarrassed]] John [[becomes]].","The more [[photographed]] of him that appear in the news, the more [[ashamed]] John [[become]].",0.02064436674118042,0.7847535610198975,1,0,1,14,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[talk]] to more lobbyists.",0.058470726013183594,0.5898293852806091,1,0,1,11,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.15744155645370483,0.15744155645370483,0,0,0,7,"Failed"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.015229284763336182,0.9788704514503479,1,0,1,2,"Successful"
"He [[could]] not] have been working.","He [[would]] not] have been working.",0.41489458084106445,0.5082359313964844,1,0,1,2,"Successful"
"He can not have been [[working]].","He can not have been [[worked]].",0.03585082292556763,0.5207342505455017,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.009141504764556885,0.9682510495185852,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.017290592193603516,0.9296789169311523,1,0,1,3,"Successful"
