"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.01034778356552124,0.836683988571167,1,0,1,17,"Successful"
"The weights made the rope [[stretch]] over the pulley.","The weights made the rope [[prolonging]] over the pulley.",0.017189741134643555,0.9628060460090637,1,0,1,47,"Successful"
"[[The]] mechanical doll wriggled itself loose.","[[Both]] mechanical doll wriggled itself loose.",0.13251334428787231,0.9688695669174194,1,0,1,7,"Successful"
"If you had eaten more, you would [[want]] less.","If you had eaten more, you would [[gonna]] less.",0.015648245811462402,0.9619166851043701,1,0,1,56,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.7640254497528076,0.7640254497528076,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.971011221408844,0.971011221408844,1,1,0,1,"Skipped"
"I demand that the more John [[eat]], the more he pays.","I demand that the more John [[lunches]], the more he pays.",0.38132262229919434,0.9518209099769592,0,1,0,56,"Successful"
"Mary listens to the Grateful Dead, she [[gets]] depressed.","Mary listens to the Grateful Dead, she [[acquire]] depressed.",0.10147178173065186,0.9747551679611206,1,0,1,57,"Successful"
"The angrier Mary got, the more she [[looked]] at pictures.","The angrier Mary got, the more she [[examine]] at pictures.",0.03983867168426514,0.9735248684883118,1,0,1,56,"Successful"
"The [[higher]] the stakes, the lower his expectations are.","The [[senior]] the stakes, the lower his expectations are.",0.054730892181396484,0.8493234515190125,1,0,1,34,"Successful"
"The more [[Fred]] is obnoxious, the less attention you should pay to him.","The more [[Fried]] is obnoxious, the less attention you should pay to him.",0.11951065063476562,0.7855527400970459,1,0,1,14,"Successful"
"[[John]] was lots more [[obnoxious]] than [[Fred]].","[[Joon]] was lots more [[dreadful]] than [[Fried]].",0.04308724403381348,0.6029137372970581,1,0,1,75,"Successful"
"The more people you [[give]] beer to, the more people get sick.","The more people you [[enabling]] beer to, the more people get sick.",0.012306749820709229,0.8764898777008057,1,0,1,46,"Successful"
"The more [[does]] [[Bill]] smoke, the more [[Susan]] hates him.","The more [[did]] [[Lois]] smoke, the more [[Becky]] hates him.",0.3873811960220337,0.52596515417099,0,1,0,75,"Successful"
"The more [[pictures]] of him that appear in the news, the more embarrassed John becomes.","The more [[photo]] of him that appear in the news, the more embarrassed John becomes.",0.02064436674118042,0.6237415075302124,1,0,1,38,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[interviewing]] to more lobbyists.",0.058470726013183594,0.9702320694923401,1,0,1,58,"Successful"
"Who does [[John]] visit [[Sally]] because he likes?","Who does [[Giovanni]] visit [[Solly]] because he likes?",0.15744155645370483,0.6090825796127319,0,1,0,28,"Successful"
"Marianne [[did]] not leave.","Marianne [[doing]] not leave.",0.015229284763336182,0.982790470123291,1,0,1,34,"Successful"
"He could not] [[have]] been working.","He could not] [[obtains]] been working.",0.41489458084106445,0.9803583025932312,1,0,1,37,"Successful"
"[[He]] can not have been working.","[[Her]] can not have been working.",0.03585082292556763,0.9773569703102112,1,0,1,7,"Successful"
"You will [[believe]] Bob.","You will [[imagines]] Bob.",0.009141504764556885,0.9797705411911011,1,0,1,55,"Successful"
"John [[has]] not kissed Mary.","John [[is]] not kissed Mary.",0.017290592193603516,0.9812324643135071,1,0,1,28,"Successful"
"I [[said]] that never in my life had I seen a place like Bangor.","I [[explaining]] that never in my life had I seen a place like Bangor.",0.01429671049118042,0.9533530473709106,1,0,1,59,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.7667505741119385,0.7667505741119385,1,1,0,1,"Skipped"
"There tended to be a [[lot]] of discussion.","There tended to be a [[multiple]] of discussion.",0.025966227054595947,0.8397226333618164,1,0,1,21,"Successful"
"John [[tried]] to be a good boy.","John [[tempt]] to be a good boy.",0.007002770900726318,0.9748495221138,1,0,1,42,"Successful"
"[[John]] is [[eager]].","[[Johns]] is [[wish]].",0.007568240165710449,0.9793215394020081,1,0,1,50,"Successful"
"We [[want]] John to win.","We [[going]] John to win.",0.0076424479484558105,0.9776979088783264,1,0,1,53,"Successful"
"The box contained the ball from the [[tree]].","The box contained the ball from the [[shu]].",0.19602668285369873,0.7084035873413086,0,1,0,18,"Successful"
"The tube was escaped by gas.","The tube was escaped by gas.",0.7612216472625732,0.7612216472625732,1,1,0,1,"Skipped"
"[[Water]] bubbled up out of the kettle.","[[Aquatic]] bubbled up out of the kettle.",0.007857561111450195,0.7293379306793213,1,0,1,14,"Successful"
"[[The]] tub leaked water.","[[Both]] tub leaked water.",0.007336854934692383,0.6789215803146362,1,0,1,6,"Successful"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.5575826168060303,0.5575826168060303,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.6010984778404236,0.6010984778404236,1,1,0,1,"Skipped"
"The tank leaked the [[fluid]] free.","The tank leaked the [[fluent]] free.",0.0665273666381836,0.9637464284896851,1,0,1,25,"Successful"
"John [[lay]] the ball in the box.","John [[unscientific]] the ball in the box.",0.008655190467834473,0.9803187847137451,1,0,1,9,"Successful"
"John [[owns]] the book.","John [[belonging]] the book.",0.007327914237976074,0.9804094433784485,1,0,1,45,"Successful"
"We persuaded [[Mary]] to leave and Sue to stay.","We persuaded [[Married]] to leave and Sue to stay.",0.018654048442840576,0.9703414440155029,1,0,1,28,"Successful"
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of [[murder]].","Most people probably consider, even though the courts didn't actually find, Klaus guilty of [[killed]].",0.0798758864402771,0.5779477953910828,1,0,1,49,"Successful"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.669876217842102,0.669876217842102,1,1,0,1,"Skipped"
"Clearly, John probably will immediately [[learn]] French perfectly.","Clearly, John probably will immediately [[getting]] French perfectly.",0.09239602088928223,0.9775339961051941,1,0,1,53,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.7875749468803406,0.7875749468803406,1,1,0,1,"Skipped"
"The [[men]] will all leave.","The [[manly]] will all leave.",0.008309602737426758,0.8869681358337402,1,0,1,40,"Successful"
"John [[went]] home.","John [[grabbed]] home.",0.007343769073486328,0.9777513146400452,1,0,1,34,"Successful"
"They [[represented]] [[seriously]] to the dean [[Mary]] as a [[genuine]] [[linguist]].","They [[pose]] [[greatly]] to the dean [[Matrimony]] as a [[pragmatic]] [[archaeologist]].",0.025680184364318848,0.5729569792747498,0,1,0,173,"Successful"
"Us [[love]] they.","Us [[like]] they.",0.020314037799835205,0.0506100058555603,0,0,0,12,"Failed"
"It is nice to [[go]] abroad.","It is nice to [[gonna]] abroad.",0.010211586952209473,0.9549278616905212,1,0,1,23,"Successful"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.9901148676872253,0.9901148676872253,1,1,0,1,"Skipped"
"I [[remembered]] having kissed Mary.","I [[commemorating]] having kissed Mary.",0.007738769054412842,0.9798473119735718,1,0,1,50,"Successful"
"I can't [[believe]] Fred won't, either.","I can't [[noticing]] Fred won't, either.",0.025229275226593018,0.979084849357605,1,0,1,41,"Successful"
"John [[wants]] to read Fred's story, and I also want to.","John [[gonna]] to read Fred's story, and I also want to.",0.011822402477264404,0.9716880321502686,1,0,1,55,"Successful"
"We wanted to [[invite]] [[someone]], but we couldn't [[decide]] who to.","We wanted to [[please]] [[everyone]], but we couldn't [[choose]] who to.",0.35645586252212524,0.5443079471588135,0,1,0,120,"Successful"
"Mary will [[read]] Fred's story, and Joe will read Holly's.","Mary will [[reading]] Fred's story, and Joe will read Holly's.",0.01148366928100586,0.9176003336906433,1,0,1,28,"Successful"
"Mary [[claimed]] that eating cabbage, Holly shouldn't.","Mary [[inquired]] that eating cabbage, Holly shouldn't.",0.06088322401046753,0.9597886800765991,1,0,1,56,"Successful"
"[[Mary]] came to be introduced by the bartender and I also came to [[be]].","[[Marija]] came to be introduced by the bartender and I also came to [[pose]].",0.059818148612976074,0.512466549873352,0,1,0,62,"Successful"
"If [[I]] can, I will work on it.","If [[me]] can, I will work on it.",0.012967705726623535,0.9571255445480347,1,0,1,7,"Successful"
"Joe's [[neuroses]] bother his [[patrons]], and Sally does too.","Joe's [[paranoid]] bother his [[eaters]], and Sally does too.",0.01864093542098999,0.8003353476524353,1,0,1,57,"Successful"
"I know which book José didn't read for class, and which [[book]] [[Lilly]] did it for him.","I know which book José didn't read for class, and which [[bookie]] [[Lys]] did it for him.",0.3854140043258667,0.5130486488342285,0,1,0,55,"Successful"
"This is the [[book]] which Bob [[reviewed]], and this is the one which Fred won't do it.","This is the [[textbook]] which Bob [[scrutinize]], and this is the one which Fred won't do it.",0.4011620879173279,0.5953233242034912,0,1,0,77,"Successful"
"I know which book Mag read, and which book Bob said that you hadn't.","I know which book Mag read, and which book Bob said that you hadn't.",0.5670239925384521,0.5670239925384521,0,0,1,1,"Skipped"
"I [[know]] which [[book]] Mag read, and which [[book]] Bob [[read]] my [[report]] that you hadn't.","I [[confess]] which [[pamphlets]] Mag read, and which [[guidebooks]] Bob [[reads]] my [[reports]] that you hadn't.",0.11315906047821045,0.44985926151275635,0,0,0,199,"Failed"
"I'm [[sure]] I would like him to eat fruit more than I would cookies.","I'm [[safest]] I would like him to eat fruit more than I would cookies.",0.023698389530181885,0.8161208033561707,1,0,1,13,"Successful"
"Rusty talked about himself only after Mary did talk about him.","Rusty talked about himself only after Mary did talk about him.",0.6021828651428223,0.6021828651428223,0,0,1,1,"Skipped"
"Fred talked about everything before [[Rusty]] did talk about something.","Fred talked about everything before [[Corroded]] did talk about something.",0.19530141353607178,0.6994278430938721,1,0,1,15,"Successful"
"John often [[meets]] Mary.","John often [[reacts]] Mary.",0.010333776473999023,0.9795101284980774,1,0,1,31,"Successful"
"The [[problem]] [[perceives]] easily.","The [[subjects]] [[recieve]] easily.",0.025390207767486572,0.9857780337333679,0,1,0,87,"Successful"
"A hundred men [[surrounded]] the fort.","A hundred men [[enclosing]] the fort.",0.011209964752197266,0.5298711061477661,1,0,1,29,"Successful"
"We [[elected]] me.","We [[taking]] me.",0.10493701696395874,0.979266881942749,1,0,1,44,"Successful"
"Which report that John was incompetent did he submit?","Which report that John was incompetent did he submit?",0.964600682258606,0.964600682258606,1,1,0,1,"Skipped"
"Mary has always [[preferred]] lemons to limes.","Mary has always [[lieber]] lemons to limes.",0.013582229614257812,0.9459843635559082,1,0,1,41,"Successful"
"He [[let]] the cats which were whining out.","He [[going]] the cats which were whining out.",0.1582903265953064,0.9739951491355896,1,0,1,54,"Successful"
"What [[did]] Bill buy?","What [[been]] Bill buy?",0.00836092233657837,0.9778565764427185,1,0,1,35,"Successful"
"Mary [[saw]] the [[boy]] walking toward the railroad station.","Mary [[been]] the [[chico]] walking toward the railroad station.",0.007050275802612305,0.9808613061904907,1,0,1,91,"Successful"
"A [[proof]] that the [[claim]] [[had]] been. [[made]] was [[giver]] that John [[had]] lied.","A [[probationary]] that the [[allegations]] [[assumed]] been. [[worded]] was [[donate]] that John [[acres]] lied.",0.025645673274993896,0.4116140604019165,0,0,0,262,"Failed"
