"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[sailors]] [[rode]] the breeze clear of the rocks.","The [[mariner]] [[khmer]] the breeze clear of the rocks.",0.16657668352127075,0.41182756423950195,1,1,1,11,"Failed"
"The [[weights]] [[made]] the rope stretch over the [[pulley]].","The [[weighing]] [[brought]] the rope stretch over the [[puller]].",0.24541246891021729,0.4717101454734802,1,1,1,11,"Failed"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.2789084315299988,0.2789084315299988,1,1,1,1,"Failed"
"If you had [[eaten]] more, you [[would]] [[want]] [[less]].","If you had [[ate]] more, you [[ought]] [[wantto]] [[fewer]].",0.3442232608795166,0.35587525367736816,1,1,1,19,"Failed"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.6625480651855469,0.6625480651855469,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.6246525049209595,0.6246525049209595,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.6847593188285828,0.6847593188285828,1,1,0,1,"Skipped"
"Mary [[listens]] to the [[Grateful]] Dead, she [[gets]] depressed.","Mary [[listen]] to the [[Appreciate]] Dead, she [[got]] depressed.",0.2047210931777954,0.3301096558570862,1,1,1,9,"Failed"
"The angrier Mary [[got]], the more she looked at [[pictures]].","The angrier Mary [[did]], the more she looked at [[photos]].",0.300603449344635,0.3035535216331482,1,1,1,16,"Failed"
"The higher the stakes, the lower his expectations are.","The higher the stakes, the lower his expectations are.",0.47664570808410645,0.47664570808410645,1,1,1,7,"Failed"
"The more [[Fred]] is obnoxious, the less attention you should [[pay]] to him.","The more [[Freda]] is obnoxious, the less attention you should [[payroll]] to him.",0.43773388862609863,0.45318371057510376,1,1,1,12,"Failed"
"John was [[lots]] more obnoxious than Fred.","John was [[batch]] more obnoxious than Fred.",0.32415831089019775,0.4171014428138733,1,1,1,6,"Failed"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[got]] [[sickly]].",0.4585227370262146,0.4873015284538269,1,1,1,8,"Failed"
"The more does Bill [[smoke]], the more Susan hates him.","The more does Bill [[smoker]], the more Susan hates him.",0.45833951234817505,0.6164689660072327,0,1,0,8,"Successful"
"The more [[pictures]] of him that [[appear]] in the news, the more embarrassed John becomes.","The more [[picture]] of him that [[appears]] in the news, the more embarrassed John becomes.",0.47742778062820435,0.49185144901275635,1,1,1,18,"Failed"
"[[Every]] senator [[seems]] to [[become]] more corrupt, as he [[talks]] to more lobbyists.","[[Any]] senator [[seem]] to [[gotten]] more corrupt, as he [[talking]] to more lobbyists.",0.26268428564071655,0.48231106996536255,1,1,1,22,"Failed"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.509872317314148,0.509872317314148,1,1,0,1,"Skipped"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.2190660834312439,0.2771601676940918,1,1,1,2,"Failed"
"He could not] have been working.","He could not] have been working.",0.2916697859764099,0.2916697859764099,1,1,1,3,"Failed"
"He can not have been working.","He can not have been working.",0.35167330503463745,0.35167330503463745,1,1,1,4,"Failed"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.3920506238937378,0.5596131682395935,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.3932931423187256,0.4790343642234802,1,1,1,4,"Failed"
"I [[said]] that never in my [[life]] had I [[seen]] a place like Bangor.","I [[says]] that never in my [[lives]] had I [[watched]] a place like Bangor.",0.3524865508079529,0.35949403047561646,1,1,1,17,"Failed"
"Mickey looked up it.","Mickey looked up it.",0.6797508597373962,0.6797508597373962,1,1,0,1,"Skipped"
"There [[tended]] to be a [[lot]] of [[discussion]].","There [[tend]] to be a [[lots]] of [[talks]].",0.3177010416984558,0.37316155433654785,1,1,1,9,"Failed"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.31619399785995483,0.48140954971313477,1,1,1,4,"Failed"
"John is eager.","John is eager.",0.37667131423950195,0.37667131423950195,1,1,1,1,"Failed"
"We [[want]] John to win.","We [[wanna]] John to win.",0.3813489079475403,0.515217661857605,1,0,1,7,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.6589276790618896,0.6589276790618896,1,1,0,1,"Skipped"
"The tube was escaped by gas.","The tube was escaped by gas.",0.7746132612228394,0.7746132612228394,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.20540660619735718,0.20540660619735718,1,1,1,1,"Failed"
"The [[tub]] leaked water.","The [[bathtub]] leaked water.",0.24287110567092896,0.26812052726745605,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.5889355540275574,0.5889355540275574,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.5901632308959961,0.5901632308959961,1,1,0,1,"Skipped"
"The tank [[leaked]] the [[fluid]] free.","The tank [[leaking]] the [[liquids]] free.",0.26212942600250244,0.29877805709838867,1,1,1,8,"Failed"
"John lay the ball in the box.","John lay the ball in the box.",0.21586531400680542,0.21586531400680542,1,1,1,1,"Failed"
"John owns the book.","John owns the book.",0.3108057379722595,0.3108057379722595,1,1,1,3,"Failed"
"We [[persuaded]] Mary to leave and Sue to stay.","We [[confident]] Mary to leave and Sue to stay.",0.3485836386680603,0.3925386071205139,1,1,1,3,"Failed"
"Most people [[probably]] [[consider]], [[even]] [[though]] the courts didn't actually find, Klaus guilty of murder.","Most people [[possibly]] [[examining]], [[yet]] [[if]] the courts didn't actually find, Klaus guilty of murder.",0.25710582733154297,0.3829873204231262,1,1,1,29,"Failed"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.6540794372558594,0.6540794372558594,1,1,0,1,"Skipped"
"[[Clearly]], [[John]] [[probably]] will immediately learn French perfectly.","[[Overtly]], [[Jon]] [[conceivably]] will immediately learn French perfectly.",0.2548906207084656,0.30290281772613525,1,1,1,23,"Failed"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.7406103610992432,0.7406103610992432,1,1,0,1,"Skipped"
"The [[men]] will all [[leave]].","The [[man]] will all [[leaving]].",0.2501339912414551,0.44626951217651367,1,1,1,6,"Failed"
"John went home.","John went home.",0.1652069091796875,0.1652069091796875,1,1,1,1,"Failed"
"They represented seriously to the dean Mary as a genuine linguist.","They represented seriously to the dean Mary as a genuine linguist.",0.7308445572853088,0.7308445572853088,1,1,0,1,"Skipped"
"Us love they.","Us love they.",0.668822169303894,0.668822169303894,1,1,0,1,"Skipped"
"It is [[nice]] to go abroad.","It is [[enjoyable]] to go abroad.",0.2470284104347229,0.3597581386566162,1,1,1,7,"Failed"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.602308988571167,0.602308988571167,1,1,0,1,"Skipped"
"I [[remembered]] having [[kissed]] Mary.","I [[recalling]] having [[kissing]] Mary.",0.3416016101837158,0.4771661162376404,1,1,1,10,"Failed"
"I can't [[believe]] Fred won't, either.","I can't [[believing]] Fred won't, either.",0.3313133120536804,0.35295945405960083,1,1,1,5,"Failed"
"[[John]] [[wants]] to read Fred's [[story]], and I also want to.","[[Jon]] [[want]] to read Fred's [[history]], and I also want to.",0.26819539070129395,0.33271414041519165,1,1,1,12,"Failed"
"We wanted to invite someone, but we couldn't decide who to.","We wanted to invite someone, but we couldn't decide who to.",0.6479865312576294,0.6479865312576294,1,1,0,1,"Skipped"
"Mary will read Fred's [[story]], and Joe will read Holly's.","Mary will read Fred's [[stories]], and Joe will read Holly's.",0.2590603232383728,0.29994964599609375,1,1,1,12,"Failed"
"Mary claimed that [[eating]] cabbage, Holly shouldn't.","Mary claimed that [[dining]] cabbage, Holly shouldn't.",0.34588754177093506,0.42355841398239136,1,1,1,11,"Failed"
"Mary came to be introduced by the bartender and I also came to be.","Mary came to be introduced by the bartender and I also came to be.",0.6636711359024048,0.6636711359024048,1,1,0,1,"Skipped"
"If I can, I will [[work]] on it.","If I can, I will [[worked]] on it.",0.3332666754722595,0.3394213318824768,1,1,1,4,"Failed"
"Joe's neuroses bother his patrons, and [[Sally]] does too.","Joe's neuroses bother his patrons, and [[Solly]] does too.",0.3302348256111145,0.34814542531967163,1,1,1,3,"Failed"
"I know which book José didn't read for class, and which book Lilly did it for him.","I know which book José didn't read for class, and which book Lilly did it for him.",0.6882579326629639,0.6882579326629639,1,1,0,1,"Skipped"
"This is the book which Bob reviewed, and this is the one which Fred won't do it.","This is the book which Bob reviewed, and this is the one which Fred won't do it.",0.723361074924469,0.723361074924469,1,1,0,1,"Skipped"
"I know which book Mag read, and which [[book]] Bob [[said]] that you hadn't.","I know which book Mag read, and which [[books]] Bob [[indicated]] that you hadn't.",0.31967735290527344,0.3468083143234253,1,1,1,12,"Failed"
"I know which book Mag read, and which book Bob read my report that you hadn't.","I know which book Mag read, and which book Bob read my report that you hadn't.",0.6937021017074585,0.6937021017074585,1,1,0,1,"Skipped"
"I'm sure I [[would]] like him to [[eat]] fruit more than I [[would]] [[cookies]].","I'm sure I [[ought]] like him to [[swallowed]] fruit more than I [[ought]] [[biscuit]].",0.35420554876327515,0.3584955334663391,1,1,1,27,"Failed"
"Rusty [[talked]] about himself only after [[Mary]] did [[talk]] about him.","Rusty [[spoken]] about himself only after [[Mari]] did [[speaks]] about him.",0.23867690563201904,0.3735705018043518,1,1,1,15,"Failed"
"Fred [[talked]] about everything before Rusty did [[talk]] about [[something]].","Fred [[mentioned]] about everything before Rusty did [[schmooze]] about [[somethin]].",0.2090182900428772,0.3102084994316101,1,1,1,17,"Failed"
"John [[often]] meets Mary.","John [[commonly]] meets Mary.",0.4077390432357788,0.4955904483795166,1,1,1,8,"Failed"
"The problem perceives easily.","The problem perceives easily.",0.7235483527183533,0.7235483527183533,1,1,0,1,"Skipped"
"A hundred men surrounded the fort.","A hundred men surrounded the fort.",0.4602229595184326,0.4602229595184326,1,1,1,6,"Failed"
"We elected me.","We elected me.",0.3293948173522949,0.3293948173522949,1,1,1,1,"Failed"
"Which report that John was incompetent did he submit?","Which report that John was incompetent did he submit?",0.5393551588058472,0.5393551588058472,1,1,0,1,"Skipped"
"[[Mary]] has always preferred lemons to limes.","[[Mariam]] has always preferred lemons to limes.",0.25683873891830444,0.2636669874191284,1,1,1,13,"Failed"
"He [[let]] the cats which were [[whining]] out.","He [[letting]] the cats which were [[blubbering]] out.",0.38045060634613037,0.4003227949142456,1,1,1,3,"Failed"
"What did Bill buy?","What did Bill buy?",0.5597528219223022,0.5597528219223022,0,0,1,1,"Skipped"
"[[Mary]] [[saw]] the [[boy]] walking toward the [[railroad]] station.","[[Mariam]] [[seen]] the [[boys]] walking toward the [[railroads]] station.",0.18138974905014038,0.3008372187614441,1,1,1,11,"Failed"
"A proof that the claim had been. made was giver that John had lied.","A proof that the claim had been. made was giver that John had lied.",0.6704531908035278,0.6704531908035278,1,1,0,1,"Skipped"
"He [[attributed]] to a short [[circuit]] which was [[caused]] by an overloaded transducer the [[fire]] which destroyed most of my factory.","He [[ascribed]] to a short [[circuitry]] which was [[induced]] by an overloaded transducer the [[wildfire]] which destroyed most of my factory.",0.3439902663230896,0.3498727083206177,1,1,1,29,"Failed"
"The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.","The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.",0.6823265552520752,0.6823265552520752,1,1,0,1,"Skipped"
"I want that Bill left to remain a secret.","I want that Bill left to remain a secret.",0.720506489276886,0.720506489276886,1,1,0,1,"Skipped"
"I know a man who Tom drives as drives.","I know a man who Tom drives as drives.",0.714781641960144,0.714781641960144,1,1,0,1,"Skipped"
"Drowning cats, which is against the law, are hard to rescue.","Drowning cats, which is against the law, are hard to rescue.",0.6847332119941711,0.6847332119941711,1,1,0,1,"Skipped"
"Muriel [[said]] [[nothing]] else than that she had been insulted.","Muriel [[avowed]] [[none]] else than that she had been insulted.",0.25233709812164307,0.41153883934020996,1,1,1,12,"Failed"
"Himself is understood by Rutherford.","Himself is understood by Rutherford.",0.6591113209724426,0.6591113209724426,1,1,0,1,"Skipped"
"I feel that Arch will [[show]] up.","I feel that Arch will [[exhibitions]] up.",0.250779926776886,0.25882214307785034,1,1,1,18,"Failed"
"The proof this set is recursive is difficult.","The proof this set is recursive is difficult.",0.5455008745193481,0.5455008745193481,1,1,0,1,"Skipped"
"The madrigals which Henry plays the lute and sings sound lousy.","The madrigals which Henry plays the lute and sings sound lousy.",0.7374239563941956,0.7374239563941956,1,1,0,1,"Skipped"
"Tom [[picked]] these [[grapes]], and I washed some turnips, and Suzie will [[prepare]] these grapes.","Tom [[opting]] these [[grape]], and I washed some turnips, and Suzie will [[prepared]] these grapes.",0.2577809691429138,0.47040224075317383,1,1,1,39,"Failed"
"Where did you [[go]] and who ate what?","Where did you [[going]] and who ate what?",0.3497510552406311,0.3947630524635315,1,1,1,6,"Failed"
"Which boy's did we elect guardian's employer president?","Which boy's did we elect guardian's employer president?",0.6424863338470459,0.6424863338470459,1,1,0,1,"Skipped"
"How sane is Peter?","How sane is Peter?",0.3295300006866455,0.3295300006866455,1,1,1,1,"Failed"
"I [[live]] at the place where Route 150 [[crosses]] the River and my dad lives at the place where [[Route]] 150 crosses the Hudson [[River]] too.","I [[iive]] at the place where Route 150 [[intersects]] the River and my dad lives at the place where [[Paths]] 150 crosses the Hudson [[Rivers]] too.",0.3332647681236267,0.4142117500305176,1,1,1,26,"Failed"
"I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.","I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.",0.6777967214584351,0.6777967214584351,1,1,0,1,"Skipped"
"Who is she [[trying]] to make up to now?","Who is she [[attempting]] to make up to now?",0.3173786997795105,0.369825541973114,1,1,1,6,"Failed"
"Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.","Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.",0.6760240793228149,0.6760240793228149,1,1,0,1,"Skipped"
"Mike [[talked]] about [[politics]] [[yesterday]] to my friends.","Mike [[spoken]] about [[politician]] [[today]] to my friends.",0.18728786706924438,0.44788503646850586,1,1,1,9,"Failed"
"It was [[expected]] by the [[reporters]] that the principal would fire some [[teacher]].","It was [[anticipate]] by the [[journalists]] that the principal would fire some [[educators]].",0.3403300642967224,0.3466535210609436,1,1,1,15,"Failed"
"Which hat did Mike quip that she never wore?","Which hat did Mike quip that she never wore?",0.5333343744277954,0.5333343744277954,1,1,0,1,"Skipped"
"Which girl did Mike quip never wore this hat?","Which girl did Mike quip never wore this hat?",0.5337793827056885,0.5337793827056885,1,1,0,1,"Skipped"
"We [[donated]] wire for the [[convicts]] to [[build]] cages with.","We [[gifts]] wire for the [[convict]] to [[building]] cages with.",0.29919296503067017,0.4228305220603943,1,1,1,12,"Failed"
"I won't have some money.","I won't have some money.",0.6573430299758911,0.6573430299758911,1,1,0,1,"Skipped"
"[[Do]] you [[believe]] the [[claim]] that somebody was [[looking]] for something?","[[Doing]] you [[believing]] the [[claims]] that somebody was [[searching]] for something?",0.284432590007782,0.5046865940093994,1,0,1,9,"Successful"
"I won't [[ask]] you to [[believe]] that he tried to force me to give her any money.","I won't [[asked]] you to [[think]] that he tried to force me to give her any money.",0.34719616174697876,0.34852737188339233,1,1,1,22,"Failed"
"That [[Sam]] [[sometimes]] didn't sleep must have pleased somebody.","That [[Sams]] [[intermittently]] didn't sleep must have pleased somebody.",0.4026520252227783,0.4525889754295349,1,1,1,5,"Failed"
"I talked to Winston about himself.","I talked to Winston about himself.",0.3478047847747803,0.3478047847747803,1,1,1,6,"Failed"
"That the fuzz [[wanted]] him worried John, but that the fuzz [[wanted]] her didn't [[worry]] [[Mary]].","That the fuzz [[wanting]] him worried John, but that the fuzz [[want]] her didn't [[disturb]] [[Mari]].",0.33969980478286743,0.3655134439468384,1,1,1,25,"Failed"
"I'll [[work]] on it if [[Sam]] will be working on it.","I'll [[jobs]] on it if [[Sams]] will be working on it.",0.31550776958465576,0.36682093143463135,1,1,1,6,"Failed"
"I'll work on it if I can.","I'll work on it if I can.",0.28713446855545044,0.28713446855545044,1,1,1,1,"Failed"
"Here's a knife with which for you to cut up the onions.","Here's a knife with which for you to cut up the onions.",0.6978276968002319,0.6978276968002319,1,1,0,1,"Skipped"
"Fluffy is [[sick]], which not [[everybody]] knows.","Fluffy is [[ill]], which not [[everyone]] knows.",0.2565476894378662,0.280614972114563,1,1,1,3,"Failed"
"Maxwell is [[quite]] a doctor.","Maxwell is [[very]] a doctor.",0.29624122381210327,0.29748016595840454,1,1,1,3,"Failed"
"The younger woman might have been tall and, and the older one definitely was, blond.","The younger woman might have been tall and, and the older one definitely was, blond.",0.7046757936477661,0.7046757936477661,1,1,0,1,"Skipped"
"Sally is tall, and may be blond, and [[Sheila]] is short, and [[definitely]] is, blond.","Sally is tall, and may be blond, and [[Shilla]] is short, and [[categorically]] is, blond.",0.3078896999359131,0.42509084939956665,1,1,1,18,"Failed"
"I have to [[try]] to [[finish]] grading some [[papers]].","I have to [[trying]] to [[complete]] grading some [[documentation]].",0.34298133850097656,0.40192270278930664,1,1,1,22,"Failed"
"The socks are ready for for you to put on to be planned.","The socks are ready for for you to put on to be planned.",0.7013970017433167,0.7013970017433167,1,1,0,1,"Skipped"
"It is [[easy]] to [[play]] sonatas on this violin.","It is [[easier]] to [[gaming]] sonatas on this violin.",0.282558798789978,0.31591492891311646,1,1,1,5,"Failed"
"This violin is difficult to play sonatas on.","This violin is difficult to play sonatas on.",0.21685636043548584,0.21685636043548584,1,1,1,9,"Failed"
"My mother is easy to please my father and.","My mother is easy to please my father and.",0.7373800277709961,0.7373800277709961,1,1,0,1,"Skipped"
"[[Poor]] Bill, it had [[started]] to rain and he had no umbrella.","[[Pauper]] Bill, it had [[start]] to rain and he had no umbrella.",0.35379892587661743,0.40815842151641846,1,1,1,22,"Failed"
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.","That the cops spoke to the janitor about it yesterday is terrible, that robbery.",0.6716208457946777,0.6716208457946777,1,1,0,1,"Skipped"
"Every student, and he wears socks, is a swinger.","Every student, and he wears socks, is a swinger.",0.7721100449562073,0.7721100449562073,1,1,0,1,"Skipped"
"That [[girl]] was [[given]] my binoculars by him.","That [[female]] was [[afforded]] my binoculars by him.",0.2925700545310974,0.5137434601783752,1,0,1,13,"Successful"
"[[Bill]] didn't allege that Roger had eaten anything.","[[Bills]] didn't allege that Roger had eaten anything.",0.2928559184074402,0.3028096556663513,1,1,1,7,"Failed"
"[[Nobody]] who [[hates]] to [[eat]] [[anything]] should work in a delicatessen.","[[Anyone]] who [[hate]] to [[ate]] [[nothing]] should work in a delicatessen.",0.38018226623535156,0.435757577419281,1,1,1,9,"Failed"
"[[Everybody]] [[around]] here who ever [[buys]] anything on credit talks in his [[sleep]].","[[Everyone]] [[about]] here who ever [[purchasing]] anything on credit talks in his [[slept]].",0.30738896131515503,0.48362213373184204,1,1,1,13,"Failed"
"I can't remember the name of somebody who had misgivings.","I can't remember the name of somebody who had misgivings.",0.6378291249275208,0.6378291249275208,1,1,0,1,"Skipped"
"No writer, and no playwright, meets in Vienna.","No writer, and no playwright, meets in Vienna.",0.7472165822982788,0.7472165822982788,1,1,0,1,"Skipped"
"No writer, nor any playwright, meets in Vienna.","No writer, nor any playwright, meets in Vienna.",0.644813060760498,0.644813060760498,1,1,0,1,"Skipped"
"That you will [[marry]] any student is not certain.","That you will [[wedding]] any student is not certain.",0.323489785194397,0.43419212102890015,1,1,1,7,"Failed"
"Felicia kicked the [[ball]] off the bench.","Felicia kicked the [[ballon]] off the bench.",0.21372950077056885,0.24154072999954224,1,1,1,2,"Failed"
"I [[sent]] the package halfway around the world.","I [[dispatch]] the package halfway around the world.",0.22825807332992554,0.33379513025283813,1,1,1,12,"Failed"
"Sam gave the ball out of the basket.","Sam gave the ball out of the basket.",0.7755098342895508,0.7755098342895508,1,1,0,1,"Skipped"
"Sam offered the ball out of the basket.","Sam offered the ball out of the basket.",0.7372873425483704,0.7372873425483704,1,1,0,1,"Skipped"
"Park [[Square]] has a festive air.","Park [[Piazza]] has a festive air.",0.2496732473373413,0.2924908995628357,1,1,1,3,"Failed"
"The [[worker]] will have a [[job]].","The [[workman]] will have a [[jobs]].",0.2315438985824585,0.263805091381073,1,1,1,8,"Failed"
"No one can forgive that comment to you.","No one can forgive that comment to you.",0.7803743481636047,0.7803743481636047,1,1,0,1,"Skipped"
"We [[launched]] the rocket to the moon, but it blew up before it got there.","We [[commence]] the rocket to the moon, but it blew up before it got there.",0.3556646704673767,0.3653751015663147,1,1,1,32,"Failed"
"[[Sarah]] [[promised]] Catherine her old [[car]], but then [[gave]] it to her son instead.","[[Darah]] [[vows]] Catherine her old [[cars]], but then [[given]] it to her son instead.",0.33363670110702515,0.41838085651397705,1,1,1,23,"Failed"
