"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.018826007843017578,0.9440596699714661,1,0,1,4,"Successful"
"The [[weights]] [[made]] the rope stretch over the pulley.","The [[weighs]] [[effected]] the rope stretch over the pulley.",0.025596797466278076,0.9697018265724182,1,0,1,9,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.014438450336456299,0.014438450336456299,1,1,1,1,"Failed"
"If you had [[eaten]] more, you would [[want]] less.","If you had [[eat]] more, you would [[wants]] less.",0.01128852367401123,0.9307342767715454,1,0,1,13,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.818402111530304,0.818402111530304,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9771665930747986,0.9771665930747986,1,1,0,1,"Skipped"
"I demand that the more John [[eat]], the more he pays.","I demand that the more John [[eating]], the more he pays.",0.4799295663833618,0.5824503898620605,0,1,0,6,"Successful"
"Mary listens to the [[Grateful]] Dead, she gets depressed.","Mary listens to the [[Appreciate]] Dead, she gets depressed.",0.11176401376724243,0.8398764133453369,1,0,1,4,"Successful"
"The angrier Mary got, the more she looked at [[pictures]].","The angrier Mary got, the more she looked at [[picture]].",0.03748124837875366,0.9246422052383423,1,0,1,10,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[outlook]] are.",0.029312551021575928,0.2896156311035156,1,1,1,5,"Failed"
"The more Fred is obnoxious, the less [[attention]] you should pay to him.","The more Fred is obnoxious, the less [[beware]] you should pay to him.",0.08230507373809814,0.7420008182525635,1,0,1,2,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[batch]] more obnoxious than Fred.",0.02563607692718506,0.963778555393219,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[obtain]] [[ill]].",0.0318523645401001,0.7815093994140625,1,0,1,8,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.7764991521835327,0.7764991521835327,1,1,0,1,"Skipped"
"The more [[pictures]] of him that appear in the news, the more [[embarrassed]] John [[becomes]].","The more [[photographed]] of him that appear in the news, the more [[ashamed]] John [[become]].",0.015195727348327637,0.7606328725814819,1,0,1,14,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[talk]] to more lobbyists.",0.02712869644165039,0.6856602430343628,1,0,1,11,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.8654249906539917,0.8654249906539917,1,1,0,1,"Skipped"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.015133678913116455,0.9784547686576843,1,0,1,2,"Successful"
"He [[could]] not] have been [[working]].","He [[would]] not] have been [[worked]].",0.2956770062446594,0.7390380501747131,1,0,1,3,"Successful"
"He can not have been [[working]].","He can not have been [[worked]].",0.02220749855041504,0.582512378692627,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.007160544395446777,0.9738442897796631,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.011307239532470703,0.8859629034996033,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I [[seen]] a place like Bangor.","I [[told]] that never in my [[living]] had I [[noticed]] a place like Bangor.",0.01523435115814209,0.5494125485420227,1,0,1,16,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.9629425406455994,0.9629425406455994,1,1,0,1,"Skipped"
"There [[tended]] to be a lot of discussion.","There [[tending]] to be a lot of discussion.",0.010326743125915527,0.5824894309043884,1,0,1,4,"Successful"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.00768047571182251,0.8675714731216431,1,0,1,3,"Successful"
"John is eager.","John is eager.",0.010242104530334473,0.010242104530334473,1,1,1,1,"Failed"
"We [[want]] John to win.","We [[wanting]] John to win.",0.006533563137054443,0.8934988379478455,1,0,1,7,"Successful"
"The box contained the ball from the tree.","The box contained the ball from the tree.",0.402324378490448,0.402324378490448,0,0,0,4,"Failed"
"The tube was escaped by gas.","The tube was escaped by gas.",0.9022236466407776,0.9022236466407776,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.007201433181762695,0.007201433181762695,1,1,1,1,"Failed"
"The [[tub]] leaked water.","The [[bath]] leaked water.",0.01241999864578247,0.015533804893493652,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.9410936832427979,0.9410936832427979,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.9511793851852417,0.9511793851852417,1,1,0,1,"Skipped"
"The tank [[leaked]] the fluid free.","The tank [[leaking]] the fluid free.",0.17310887575149536,0.9324634671211243,1,0,1,4,"Successful"
"John lay the ball in the box.","John lay the ball in the box.",0.00927501916885376,0.00927501916885376,1,1,1,1,"Failed"
"John owns the [[book]].","John owns the [[books]].",0.007100462913513184,0.008403360843658447,1,1,1,3,"Failed"
"We [[persuaded]] Mary to leave and Sue to stay.","We [[confident]] Mary to leave and Sue to stay.",0.023987114429473877,0.9015979170799255,1,0,1,3,"Successful"
"Most people probably [[consider]], even though the courts didn't actually find, Klaus guilty of murder.","Most people probably [[considering]], even though the courts didn't actually find, Klaus guilty of murder.",0.11350548267364502,0.7716731429100037,1,0,1,8,"Successful"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.990203320980072,0.990203320980072,1,1,0,1,"Skipped"
"[[Clearly]], John probably will immediately learn French perfectly.","[[Definitely]], John probably will immediately learn French perfectly.",0.10346025228500366,0.5070289373397827,1,0,1,15,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.9514456391334534,0.9514456391334534,1,1,0,1,"Skipped"
"The [[men]] will all [[leave]].","The [[mens]] will all [[leaving]].",0.0067441463470458984,0.9455692768096924,1,0,1,6,"Successful"
"John went home.","John went home.",0.005889713764190674,0.005889713764190674,1,1,1,1,"Failed"
"They [[represented]] [[seriously]] to the dean [[Mary]] as a [[genuine]] linguist.","They [[represent]] [[conscientiously]] to the dean [[Maryam]] as a [[authentic]] linguist.",0.06078207492828369,0.39267706871032715,0,0,0,19,"Failed"
"Us love they.","Us love they.",0.05588376522064209,0.05588376522064209,0,0,0,1,"Failed"
"It is [[nice]] to [[go]] abroad.","It is [[handsome]] to [[going]] abroad.",0.007409453392028809,0.9712082147598267,1,0,1,7,"Successful"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.9884579181671143,0.9884579181671143,1,1,0,1,"Skipped"
"I remembered having [[kissed]] Mary.","I remembered having [[kissing]] Mary.",0.008463025093078613,0.8416107296943665,1,0,1,2,"Successful"
"I can't [[believe]] Fred won't, either.","I can't [[believing]] Fred won't, either.",0.021892249584197998,0.8385053277015686,1,0,1,3,"Successful"
"John wants to read Fred's [[story]], and I also [[want]] to.","John wants to read Fred's [[conte]], and I also [[wanting]] to.",0.009334802627563477,0.6369408369064331,1,0,1,14,"Successful"
"We [[wanted]] to [[invite]] [[someone]], but we couldn't decide who to.","We [[want]] to [[invitation]] [[somebody]], but we couldn't decide who to.",0.11173826456069946,0.15288138389587402,0,0,0,20,"Failed"
"Mary will read Fred's [[story]], and Joe will read Holly's.","Mary will read Fred's [[conte]], and Joe will read Holly's.",0.011290252208709717,0.04540514945983887,1,1,1,10,"Failed"
"Mary claimed that eating [[cabbage]], [[Holly]] shouldn't.","Mary claimed that eating [[cabbages]], [[Hol]] shouldn't.",0.03853708505630493,0.28676968812942505,1,1,1,6,"Failed"
"[[Mary]] came to be introduced by the bartender and I [[also]] [[came]] to be.","[[Maryam]] came to be introduced by the bartender and I [[similarly]] [[became]] to be.",0.16625374555587769,0.38122856616973877,0,0,0,18,"Failed"
"If I can, I will [[work]] on it.","If I can, I will [[working]] on it.",0.008740127086639404,0.5434316992759705,1,0,1,4,"Successful"
"Joe's neuroses bother his patrons, and [[Sally]] does too.","Joe's neuroses bother his patrons, and [[Solly]] does too.",0.02326357364654541,0.029189348220825195,1,1,1,3,"Failed"
"I know which book José didn't read for class, and which book Lilly did it for him.","I know which book José didn't read for class, and which book Lilly did it for him.",0.5487138032913208,0.5487138032913208,1,1,0,1,"Skipped"
"This is the book which Bob [[reviewed]], and this is the one which Fred won't do it.","This is the book which Bob [[scrutinized]], and this is the one which Fred won't do it.",0.48853087425231934,0.5344928503036499,0,1,0,8,"Successful"
"I know which book Mag read, and which book [[Bob]] said that you hadn't.","I know which book Mag read, and which book [[Boba]] said that you hadn't.",0.46764349937438965,0.5138753652572632,1,0,1,2,"Successful"
"I know which [[book]] Mag read, and which book [[Bob]] read my [[report]] that you hadn't.","I know which [[books]] Mag read, and which book [[Boba]] read my [[reporting]] that you hadn't.",0.17030084133148193,0.28310489654541016,0,0,0,6,"Failed"
"I'm sure I would [[like]] him to eat [[fruit]] more than I would [[cookies]].","I'm sure I would [[likes]] him to eat [[fruition]] more than I would [[biscuit]].",0.013026773929595947,0.7810382843017578,1,0,1,13,"Successful"
"Rusty talked about himself only after [[Mary]] did [[talk]] about him.","Rusty talked about himself only after [[Maryam]] did [[talking]] about him.",0.128686785697937,0.8293875455856323,1,0,1,12,"Successful"
"Fred talked about everything before [[Rusty]] did [[talk]] about something.","Fred talked about everything before [[Rusted]] did [[speaking]] about something.",0.09625256061553955,0.6185317039489746,1,0,1,5,"Successful"
"John often meets [[Mary]].","John often meets [[Maryam]].",0.00554579496383667,0.005872488021850586,1,1,1,2,"Failed"
"The [[problem]] perceives [[easily]].","The [[trouble]] perceives [[readily]].",0.01657503843307495,0.016979336738586426,0,0,0,6,"Failed"
"A hundred [[men]] [[surrounded]] the fort.","A hundred [[man]] [[encircled]] the fort.",0.013707280158996582,0.655271053314209,1,0,1,6,"Successful"
"We elected me.","We elected me.",0.7618931531906128,0.7618931531906128,0,0,1,1,"Skipped"
"Which report that John was incompetent did he submit?","Which report that John was incompetent did he submit?",0.963657021522522,0.963657021522522,1,1,0,1,"Skipped"
"[[Mary]] has always [[preferred]] lemons to limes.","[[Mariam]] has always [[favored]] lemons to limes.",0.01261436939239502,0.03850436210632324,1,1,1,7,"Failed"
"He [[let]] the cats which were whining out.","He [[letting]] the cats which were whining out.",0.061794161796569824,0.9144758582115173,1,0,1,5,"Successful"
"What did Bill [[buy]]?","What did Bill [[purchasing]]?",0.014388442039489746,0.7662814259529114,1,0,1,5,"Successful"
"[[Mary]] saw the [[boy]] [[walking]] toward the railroad station.","[[Mariam]] saw the [[boys]] [[walks]] toward the railroad station.",0.006857633590698242,0.6703178882598877,1,0,1,7,"Successful"
"A [[proof]] that the [[claim]] had been. [[made]] was giver that John had lied.","A [[prove]] that the [[claiming]] had been. [[effected]] was giver that John had lied.",0.06401282548904419,0.12430262565612793,0,0,0,15,"Failed"
"He [[attributed]] to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.","He [[allotted]] to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.",0.2328777313232422,0.6348410844802856,1,0,1,10,"Successful"
"The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.","The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.",0.9809608459472656,0.9809608459472656,1,1,0,1,"Skipped"
"I want that Bill left to remain a secret.","I want that Bill left to remain a secret.",0.604537844657898,0.604537844657898,1,1,0,1,"Skipped"
"I know a [[man]] who Tom drives as drives.","I know a [[guy]] who Tom drives as drives.",0.15901869535446167,0.18555670976638794,0,0,0,7,"Failed"
"Drowning cats, which is against the law, are hard to rescue.","Drowning cats, which is against the law, are hard to rescue.",0.9891870617866516,0.9891870617866516,1,1,0,1,"Skipped"
"Muriel said [[nothing]] else than that she had been insulted.","Muriel said [[none]] else than that she had been insulted.",0.2111138105392456,0.7435095310211182,1,0,1,3,"Successful"
"[[Himself]] is understood by Rutherford.","[[Oneself]] is understood by Rutherford.",0.02058422565460205,0.14500564336776733,0,0,0,5,"Failed"
"I feel that Arch will [[show]] up.","I feel that Arch will [[showing]] up.",0.007931709289550781,0.9214006662368774,1,0,1,18,"Successful"
"The proof this set is recursive is difficult.","The proof this set is recursive is difficult.",0.9482727646827698,0.9482727646827698,1,1,0,1,"Skipped"
"The madrigals which Henry plays the lute and sings sound lousy.","The madrigals which Henry plays the lute and sings sound lousy.",0.7058800458908081,0.7058800458908081,1,1,0,1,"Skipped"
"Tom picked these grapes, and I washed some turnips, and [[Suzie]] will [[prepare]] these grapes.","Tom picked these grapes, and I washed some turnips, and [[Suzy]] will [[preparing]] these grapes.",0.010469317436218262,0.5662679672241211,1,0,1,8,"Successful"
"Where did you go and who [[ate]] what?","Where did you go and who [[eaten]] what?",0.35782742500305176,0.7809619903564453,1,0,1,4,"Successful"
"Which boy's did we elect guardian's [[employer]] president?","Which boy's did we elect guardian's [[employers]] president?",0.05499988794326782,0.06912696361541748,0,0,0,19,"Failed"
"How sane is Peter?","How sane is Peter?",0.014644443988800049,0.014644443988800049,1,1,1,1,"Failed"
"I [[live]] at the [[place]] where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.","I [[living]] at the [[placing]] where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.",0.02915370464324951,0.7734280824661255,1,0,1,9,"Successful"
"I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.","I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.",0.8876280188560486,0.8876280188560486,1,1,0,1,"Skipped"
"Who is she [[trying]] to make up to now?","Who is she [[try]] to make up to now?",0.10686677694320679,0.8129197359085083,1,0,1,6,"Successful"
"[[Wind]] was gotten of a plot to negotiate an [[honorable]] [[end]] to the war in Vietnam.","[[Windward]] was gotten of a plot to negotiate an [[honourable]] [[terminates]] to the war in Vietnam.",0.03618723154067993,0.1507931351661682,0,0,0,26,"Failed"
"Mike [[talked]] about politics yesterday to my friends.","Mike [[mentioned]] about politics yesterday to my friends.",0.011298179626464844,0.6052466630935669,1,0,1,6,"Successful"
