"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors <font color = green>rode</font> the breeze clear of the <font color = green>rocks</font>.","The sailors <font color = green>khmer</font> the breeze clear of the <font color = green>rock</font>.",0.15155738592147827,0.33317768573760986,1,1,1,5,"Failed"
"The <font color = green>weights</font> <font color = green>made</font> the rope stretch over the pulley.","The <font color = red>weighs</font> <font color = red>brought</font> the rope stretch over the pulley.",0.11260688304901123,0.5353007316589355,1,0,1,8,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.1482810378074646,0.1482810378074646,1,1,1,1,"Failed"
"If you had <font color = green>eaten</font> more, you would <font color = green>want</font> less.","If you had <font color = green>consumed</font> more, you would <font color = green>wanna</font> less.",0.0919809341430664,0.4643247723579407,1,1,1,11,"Failed"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.594814658164978,0.594814658164978,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.6464444398880005,0.6464444398880005,1,1,0,1,"Skipped"
"I <font color = red>demand</font> that the more John <font color = red>eat</font>, the more he pays.","I <font color = green>ask</font> that the more John <font color = green>ate</font>, the more he pays.",0.4273793697357178,0.5724462270736694,0,1,0,19,"Successful"
"Mary listens to the Grateful Dead, she gets <font color = green>depressed</font>.","Mary listens to the Grateful Dead, she gets <font color = red>depressive</font>.",0.41855937242507935,0.5736846923828125,1,0,1,3,"Successful"
"The angrier Mary <font color = green>got</font>, the more she looked at pictures.","The angrier Mary <font color = red>get</font>, the more she looked at pictures.",0.16365790367126465,0.5555408000946045,1,0,1,5,"Successful"
"The <font color = green>higher</font> the stakes, the lower his expectations are.","The <font color = green>highest</font> the stakes, the lower his expectations are.",0.10915607213973999,0.2477361559867859,1,1,1,3,"Failed"
"The more <font color = green>Fred</font> is obnoxious, the less attention you should pay to him.","The more <font color = red>Freda</font> is obnoxious, the less attention you should pay to him.",0.45440441370010376,0.5812833309173584,1,0,1,2,"Successful"
"John was <font color = green>lots</font> more obnoxious than Fred.","John was <font color = red>alot</font> more obnoxious than Fred.",0.3296946883201599,0.5455946922302246,1,0,1,4,"Successful"
"The more people you <font color = green>give</font> beer to, the more people <font color = green>get</font> <font color = green>sick</font>.","The more people you <font color = red>confer</font> beer to, the more people <font color = red>obtain</font> <font color = red>sickly</font>.",0.21764659881591797,0.5110012292861938,1,0,1,8,"Successful"
"The more does Bill smoke, the more Susan <font color = red>hates</font> him.","The more does Bill smoke, the more Susan <font color = red>dislikes</font> him.",0.47752314805984497,0.484508752822876,0,0,0,18,"Failed"
"The more <font color = green>pictures</font> of him that appear in the news, the more <font color = green>embarrassed</font> John <font color = green>becomes</font>.","The more <font color = red>photographed</font> of him that appear in the news, the more <font color = red>ashamed</font> John <font color = red>become</font>.",0.2237018346786499,0.5999557375907898,1,0,1,14,"Successful"
"<font color = green>Every</font> senator <font color = green>seems</font> to <font color = green>become</font> more corrupt, as he talks to more lobbyists.","<font color = red>All</font> senator <font color = red>looks</font> to <font color = red>gotten</font> more corrupt, as he talks to more lobbyists.",0.31347227096557617,0.5984723567962646,1,0,1,10,"Successful"
"Who does John <font color = red>visit</font> Sally because he likes?","Who does John <font color = green>visited</font> Sally because he likes?",0.3865017890930176,0.547310471534729,0,1,0,3,"Successful"
"Marianne did not <font color = green>leave</font>.","Marianne did not <font color = red>leaving</font>.",0.0590895414352417,0.6044542789459229,1,0,1,2,"Successful"
"He <font color = green>could</font> not] have been <font color = green>working</font>.","He <font color = green>would</font> not] have been <font color = green>worked</font>.",0.13343411684036255,0.3847894072532654,1,1,1,3,"Failed"
"He can not have been <font color = green>working</font>.","He can not have been <font color = green>collaborated</font>.",0.05574291944503784,0.15227222442626953,1,1,1,4,"Failed"
"You will <font color = green>believe</font> Bob.","You will <font color = red>believing</font> Bob.",0.06907850503921509,0.6041375398635864,1,0,1,4,"Successful"
"John has not <font color = green>kissed</font> <font color = green>Mary</font>.","John has not <font color = green>kissing</font> <font color = green>Maryam</font>.",0.07414746284484863,0.4962347149848938,1,1,1,4,"Failed"
"I <font color = green>said</font> that never in my life had I seen a place like Bangor.","I <font color = red>told</font> that never in my life had I seen a place like Bangor.",0.3597739338874817,0.6990562081336975,1,0,1,8,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.6622529625892639,0.6622529625892639,1,1,0,1,"Skipped"
