"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The [[sailors]] [[rode]] the breeze [[clear]] of the [[rocks]].","The [[marino]] [[rudd]] the breeze [[categorical]] of the [[shivering]].",0.2990896701812744,0.2993653416633606,1,1,1,107,"Failed"
"The [[weights]] [[made]] the [[rope]] [[stretch]] over the [[pulley]].","The [[factor]] [[realised]] the [[cable]] [[spanning]] over the [[extractor]].",0.2989921569824219,0.2992054224014282,1,1,1,152,"Failed"
"[[The]] [[mechanical]] [[doll]] wriggled itself loose.","[[Both]] [[mechanized]] [[dearly]] wriggled itself loose.",0.2991560101509094,0.29933255910873413,1,1,1,50,"Failed"
"[[If]] you [[had]] [[eaten]] more, you would [[want]] [[less]].","[[Albeit]] you [[taken]] [[assimilated]] more, you would [[envy]] [[modest]].",0.298608660697937,0.2993702292442322,1,1,1,178,"Failed"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.7009521126747131,0.7009521126747131,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.7010723948478699,0.7010723948478699,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.700984001159668,0.700984001159668,1,1,0,1,"Skipped"
"Mary listens to the Grateful [[Dead]], she [[gets]] depressed.","Mary listens to the Grateful [[Slain]], she [[obtains]] depressed.",0.29921501874923706,0.29947274923324585,1,1,1,200,"Failed"
"The [[angrier]] [[Mary]] [[got]], the more she [[looked]] at [[pictures]].","The [[scarier]] [[Maris]] [[enjoys]], the more she [[wished]] at [[image]].",0.298984169960022,0.2992679476737976,1,1,1,214,"Failed"
"The [[higher]] the [[stakes]], the [[lower]] his [[expectations]] are.","The [[tertiary]] the [[troubles]], the [[least]] his [[expected]] are.",0.29911160469055176,0.299197793006897,1,1,1,115,"Failed"
"[[The]] more Fred is [[obnoxious]], the [[less]] [[attention]] you [[should]] [[pay]] to him.","[[Both]] more Fred is [[horrible]], the [[marginal]] [[interest]] you [[expected]] [[devotes]] to him.",0.2990075945854187,0.29930394887924194,1,1,1,194,"Failed"
"[[John]] was [[lots]] more [[obnoxious]] than [[Fred]].","[[Jun]] was [[plot]] more [[horrendous]] than [[Fried]].",0.29911595582962036,0.29940056800842285,1,1,1,86,"Failed"
"[[The]] more [[people]] you [[give]] [[beer]] to, the more [[people]] [[get]] [[sick]].","[[Both]] more [[populations]] you [[enable]] [[malt]] to, the more [[males]] [[gain]] [[screwy]].",0.2989596724510193,0.2995990514755249,1,1,1,227,"Failed"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.7009429335594177,0.7009429335594177,1,1,0,1,"Skipped"
"The more [[pictures]] of him that [[appear]] in the [[news]], the more [[embarrassed]] [[John]] [[becomes]].","The more [[photographing]] of him that [[looks]] in the [[presse]], the more [[disrupted]] [[Joanne]] [[turns]].",0.2989184260368347,0.29926562309265137,1,1,1,172,"Failed"
"Every [[senator]] [[seems]] to [[become]] more corrupt, as he [[talks]] to more lobbyists.","Every [[lawmakers]] [[look]] to [[turned]] more corrupt, as he [[speaks]] to more lobbyists.",0.29898256063461304,0.2992548942565918,1,1,1,153,"Failed"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.7008332014083862,0.7008332014083862,1,1,0,1,"Skipped"
"[[Marianne]] [[did]] not [[leave]].","[[Astrid]] [[wo]] not [[licences]].",0.29921090602874756,0.2992628812789917,1,1,1,96,"Failed"
"[[He]] could not] [[have]] been [[working]].","[[His]] could not] [[fi]] been [[functioned]].",0.2991484999656677,0.2992357611656189,1,1,1,77,"Failed"
"He can not [[have]] been [[working]].","He can not [[fi]] been [[acted]].",0.2991654872894287,0.2991958260536194,1,1,1,77,"Failed"
"You [[will]] [[believe]] [[Bob]].","You [[going]] [[seeing]] [[Pontiff]].",0.29917430877685547,0.2992570400238037,1,1,1,101,"Failed"
