"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The only redeeming scene in this movie is when the robots are sent out to fight 'karate style', there was one good spinning side-kick... and that is the [[best]] 3 seconds of the movie. [[Unfortunately]], the rest of the movie has very little to recommend it -- there are better spoofs out there.","The only redeeming scene in this movie is when the robots are sent out to fight 'karate style', there was one good spinning side-kick... and that is the [[finest]] 3 seconds of the movie. [[Sadly]], the rest of the movie has very little to recommend it -- there are better spoofs out there.",0.0996854305267334,0.9254944920539856,0,1,0,9,"Successful"
"I looked forward to seeing this movie, because the trailer made it look so cool. But the fact is that this movie is [[boring]], and [[totally]] [[muddled]]. There is no [[plot]], and half the movie is fast flashing shots from football games. Zoomed in shots, that gives you no overview of the games. I was constantly looking at the timer, to see when the movie was over!<br /><br />There's only ONE good thing about this movie. The sound!! The soundtrack is [[awesome]]! .............Don't expect anything from this movie.","I looked forward to seeing this movie, because the trailer made it look so cool. But the fact is that this movie is [[dull]], and [[abundantly]] [[puzzled]]. There is no [[intrigue]], and half the movie is fast flashing shots from football games. Zoomed in shots, that gives you no overview of the games. I was constantly looking at the timer, to see when the movie was over!<br /><br />There's only ONE good thing about this movie. The sound!! The soundtrack is [[superb]]! .............Don't expect anything from this movie.",0.006121575832366943,0.5708764791488647,0,1,0,43,"Successful"
"As [[bad]] as they get. This film [[commits]] the [[fatal]] [[error]] of making the [[viewer]] not care what happens to [[characters]]. The two women in this [[flick]] are so [[stupid]] that you begin to root for the bad [[guys]] so this thing would end.<br /><br />This film is one of the few that was so [[bad]] that I had to turn to another channel. <br /><br />Put in highbrow language, this film lacks verisimilitude. People, not even people from Ohio, simply do not act like this. Well, maybe the writers do.<br /><br />There is not enough [[beer]] in the world to make this film bearable.<br /><br />F903","As [[amiss]] as they get. This film [[undertakes]] the [[fateful]] [[mistakes]] of making the [[beholder]] not care what happens to [[nature]]. The two women in this [[gesture]] are so [[asinine]] that you begin to root for the bad [[fellas]] so this thing would end.<br /><br />This film is one of the few that was so [[wicked]] that I had to turn to another channel. <br /><br />Put in highbrow language, this film lacks verisimilitude. People, not even people from Ohio, simply do not act like this. Well, maybe the writers do.<br /><br />There is not enough [[casket]] in the world to make this film bearable.<br /><br />F903",0.0050109028816223145,0.040274739265441895,0,0,0,85,"Failed"
"Corey Haim plays a kid who teams up with a dog to take out a giant troll and OSA hit-man (Michael Ironside) with a 30/30 and [[homemade]] bombs (Which plays plausible considering Haim) Oh and he also protects his mother and girlfriend as well in this watchable yet disappointing adaption of a decent [[story]]. Corey Haim is [[terrible]], of course but the movie's [[sheer]] [[momentum]] as well as Ironside's imposing presence make this at [[least]] a [[modestly]] [[effective]] [[film]]. [[Still]] the [[plot]] is [[ridiculous]] and it would've been nicer if we could've seen a monster or at least more gore. At least it's something different. Also it's fairly likely that this film will be the [[last]] teen [[movie]] for awhile to show a teenager making pipe bombs.<br /><br />Matt Bronson 2/5","Corey Haim plays a kid who teams up with a dog to take out a giant troll and OSA hit-man (Michael Ironside) with a 30/30 and [[improvised]] bombs (Which plays plausible considering Haim) Oh and he also protects his mother and girlfriend as well in this watchable yet disappointing adaption of a decent [[histories]]. Corey Haim is [[awful]], of course but the movie's [[pure]] [[dynamic]] as well as Ironside's imposing presence make this at [[less]] a [[sparingly]] [[efficient]] [[flick]]. [[However]] the [[intrigue]] is [[nonsensical]] and it would've been nicer if we could've seen a monster or at least more gore. At least it's something different. Also it's fairly likely that this film will be the [[final]] teen [[cinematographic]] for awhile to show a teenager making pipe bombs.<br /><br />Matt Bronson 2/5",0.0060364603996276855,0.022028088569641113,0,0,0,115,"Failed"
"There are lot of [[similarities]] between Never Say Never Again and Thunderball not only on Sean Connery but also the story and plot. except the actors all other are same like hijacking Atomic bombs, asking for ransom, trafficking nukes in a ship, etc only difference are place of occurrence in thunder ball plot it is in Bahamas in Never Say Never Again it is over North Africa. And in thunder ball the NATO / RAF itself loads the nukes into plane and in Never Say Never Again it is changed by an ""rouge arm of the Axe"" and air dropped over US and stolen in Caribbean. Almost 99% is same.If anybody wants to dispute this they are most [[welcome]].","There are lot of [[analogies]] between Never Say Never Again and Thunderball not only on Sean Connery but also the story and plot. except the actors all other are same like hijacking Atomic bombs, asking for ransom, trafficking nukes in a ship, etc only difference are place of occurrence in thunder ball plot it is in Bahamas in Never Say Never Again it is over North Africa. And in thunder ball the NATO / RAF itself loads the nukes into plane and in Never Say Never Again it is changed by an ""rouge arm of the Axe"" and air dropped over US and stolen in Caribbean. Almost 99% is same.If anybody wants to dispute this they are most [[rejoice]].",0.3125185966491699,0.7415683269500732,1,0,1,12,"Successful"
"I actually liked this movie even though this movie seems to be so hated and i think it's even better then The Deer Hunter, which was overrated. Both this movie and Year Of The Dragon are very [[underrated]] although i could see why someone would not like this movie. At three and a half hours the movie just goes on too long and the second half of the movie is much better than the first half. Kris Kristofferson and Christopher Walken are fighting over Isabelle Huppert but she can't make up her mind about which one to be with. Sam Waterston is the villain who has a list of 125 people to be killed who is says are anarchists and thieves. There is a great cast that also has Jeff Bridges, Brad Dourif and a young Mickey Rourke.","I actually liked this movie even though this movie seems to be so hated and i think it's even better then The Deer Hunter, which was overrated. Both this movie and Year Of The Dragon are very [[underestimated]] although i could see why someone would not like this movie. At three and a half hours the movie just goes on too long and the second half of the movie is much better than the first half. Kris Kristofferson and Christopher Walken are fighting over Isabelle Huppert but she can't make up her mind about which one to be with. Sam Waterston is the villain who has a list of 125 people to be killed who is says are anarchists and thieves. There is a great cast that also has Jeff Bridges, Brad Dourif and a young Mickey Rourke.",0.4712800979614258,0.6560535430908203,1,0,1,4,"Successful"
"I [[hated]] it. I [[hate]] self-aware pretentious inanity that masquerades as art. This [[film]] is either stupidly [[inane]] or inanely [[stupid]]. After the first half hour, I fastfowarded through the DVD version, and saw the same [[juvenile]] shennanigans over and over and over. I became [[angered]] that I had spent hard-earned money for sophomoric clap-trap. Tinting drivel in sepia or blue does not make something a movie, let alone art.","I [[hating]] it. I [[detested]] self-aware pretentious inanity that masquerades as art. This [[kino]] is either stupidly [[insignificant]] or inanely [[foolish]]. After the first half hour, I fastfowarded through the DVD version, and saw the same [[kids]] shennanigans over and over and over. I became [[indignant]] that I had spent hard-earned money for sophomoric clap-trap. Tinting drivel in sepia or blue does not make something a movie, let alone art.",0.008905291557312012,0.018081068992614746,0,0,0,74,"Failed"
"I was fortunate enough to see this movie on pre-release last night and, though I wasn't expecting to, actually really [[enjoyed]] the movie for the most part. The [[rescues]] and sea effects were [[amazing]] to watch and [[definitely]] provided edge of the seat tense moments, probably all the more so knowing that there are guys who do this for a living. The [[weaker]] parts of the movie revolve largely around using stereotypical set scenes. I'm not going to [[spoil]] the movie but this really follows along the lines of An Officer and a Gentleman and those moments give it a little bit of a cheesy aftertaste.<br /><br />Like I said over all this movie is pretty good and worth checking out as long as you can get past the clichés.","I was fortunate enough to see this movie on pre-release last night and, though I wasn't expecting to, actually really [[liked]] the movie for the most part. The [[savings]] and sea effects were [[staggering]] to watch and [[conclusively]] provided edge of the seat tense moments, probably all the more so knowing that there are guys who do this for a living. The [[weakest]] parts of the movie revolve largely around using stereotypical set scenes. I'm not going to [[ruin]] the movie but this really follows along the lines of An Officer and a Gentleman and those moments give it a little bit of a cheesy aftertaste.<br /><br />Like I said over all this movie is pretty good and worth checking out as long as you can get past the clichés.",0.007199764251708984,0.8409990072250366,1,0,1,62,"Successful"
"What an [[original]] piece of work. I've always enjoyed Liev Schreiber the ""actor"", but now one must appreciate the man on a multi-dimensional level . How did he get that field of sunflowers? Was it computerize, it sure looked real. And how do you audition a dog knowing you are going to get that kind of performance? Does the academy have a category for animals? I guess what I'm saying is that I really, really [[enjoyed]] this [[quirky]], offbeat, little indie film. From the [[excellent]] cast (one would never know Eugene Hutz was not a pro actor) to the cinematographer (some beautiful shots) the music (bought the CD when exiting the theater) and of course the two ""D's"" (direction and the DOG). All in all a ""10"".<br /><br />/","What an [[initials]] piece of work. I've always enjoyed Liev Schreiber the ""actor"", but now one must appreciate the man on a multi-dimensional level . How did he get that field of sunflowers? Was it computerize, it sure looked real. And how do you audition a dog knowing you are going to get that kind of performance? Does the academy have a category for animals? I guess what I'm saying is that I really, really [[liked]] this [[fickle]], offbeat, little indie film. From the [[sumptuous]] cast (one would never know Eugene Hutz was not a pro actor) to the cinematographer (some beautiful shots) the music (bought the CD when exiting the theater) and of course the two ""D's"" (direction and the DOG). All in all a ""10"".<br /><br />/",0.0073493123054504395,0.9835529923439026,1,0,1,37,"Successful"
"How [[sad]] it is when a film as [[wonderful]] as ""Jurassic Park"" [[slowly]] nosedives into hackneyed and [[mediocre]] [[territory]] [[throughout]] its franchise. The newest sequel, Jurassic Park III, has given no thought to characters, a story, or pretty much a script, and [[instead]] relies on non-stop dinosaur action, which is [[neither]] [[thrilling]] nor very interesting to watch. The dinosaurs seemed to look incredibly fake compared to the 1993 technology, after 7 years of CGI advancements, it only gives you more of the feeling that the film was pumped out for the summer relying only on its name. The introduction of a pterodactyl does not a [[great]] [[movie]] make.<br /><br />Go see ""Shrek"" again.<br /><br />","How [[sorrowful]] it is when a film as [[excellent]] as ""Jurassic Park"" [[softly]] nosedives into hackneyed and [[lackluster]] [[lands]] [[during]] its franchise. The newest sequel, Jurassic Park III, has given no thought to characters, a story, or pretty much a script, and [[however]] relies on non-stop dinosaur action, which is [[or]] [[exhilarating]] nor very interesting to watch. The dinosaurs seemed to look incredibly fake compared to the 1993 technology, after 7 years of CGI advancements, it only gives you more of the feeling that the film was pumped out for the summer relying only on its name. The introduction of a pterodactyl does not a [[magnificent]] [[film]] make.<br /><br />Go see ""Shrek"" again.<br /><br />",0.006167888641357422,0.7533085346221924,0,1,0,72,"Successful"
