"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the [[panther's]] the [[coat]] is dark black.","the [[interior]] the [[back]] is dark black.",0.06923562288284302,0.9013540744781494,0,1,0,84,"Successful"
"It would be [[unwise]] for there to be no fire exit.","It would be [[suspicious]] for there to be no fire exit.",0.05934774875640869,0.6956392526626587,1,0,1,51,"Successful"
"John [[left]] us orders to follow Pete.","John [[giving]] us orders to follow Pete.",0.11918443441390991,0.7176295518875122,1,0,1,56,"Successful"
"[[The]] mechanical doll [[wriggled]] itself loose.","[[all]] mechanical doll [[laughed]] itself loose.",0.12182623147964478,0.9268649220466614,1,0,1,73,"Successful"
"Frances [[hid]] the [[presents]] in the [[drawer]].","Frances [[returned]] the [[sack]] in the [[sack]].",0.017227470874786377,0.9164741635322571,1,0,1,150,"Successful"
"[[That]] dogs bark annoys [[people]].","[[the]] dogs bark annoys [[women]].",0.038906216621398926,0.6497466564178467,1,0,1,45,"Successful"
"[[Carla]] [[shoveled]] the walk.","[[will]] [[found]] the walk.",0.09283876419067383,0.7911365032196045,1,0,1,79,"Successful"
"The birds [[give]] the worm a tug.","The birds [[fought]] the worm a tug.",0.03344243764877319,0.9130905270576477,1,0,1,55,"Successful"
"Michelle kept the desk with the [[papers]].","Michelle kept the desk with the [[others]].",0.08997154235839844,0.6807254552841187,0,1,0,54,"Successful"
"Sandy is [[wondering]] whether there will be students who have to drop the class for a certain reason, but she won't [[reveal]] what.","Sandy is [[wondered]] whether there will be students who have to drop the class for a certain reason, but she won't [[see]] what.",0.02806144952774048,0.6499472856521606,1,0,1,19,"Successful"
"[[I]] hit that you [[knew]] the [[answer]].","[[you]] hit that you [[call]] the [[game]].",0.0654420256614685,0.5085022449493408,0,1,0,106,"Successful"
"[[I]] [[dislike]] the company in which we placed our [[trust]].","[[it]] [[read]] the company in which we placed our [[camp]].",0.03630506992340088,0.6666470170021057,1,0,1,111,"Successful"
"The patient was [[died]].","The patient was [[frightened]].",0.06840115785598755,0.9867009520530701,0,1,0,24,"Successful"
"I dislike the people in who we placed our trust.","I dislike the people in who we placed our trust.",0.8502158522605896,0.8502158522605896,1,1,0,1,"Skipped"
"You should [[sit]] before there.","You should [[stop]] before there.",0.4418864846229553,0.8182746171951294,0,1,0,63,"Successful"
"I would [[prefer]] for [[John]] to leave.","I would [[waited]] for [[things]] to leave.",0.02004450559616089,0.9121499061584473,1,0,1,84,"Successful"
"[[Heidi]] [[thinks]] that [[Andy]] should [[eat]] salmon flavored candy [[bars]].","[[trend]] [[indicates]] that [[others]] should [[provide]] salmon flavored candy [[s]].",0.015905559062957764,0.6890551447868347,1,0,1,215,"Successful"
