"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.03846865892410278,0.8249398469924927,1,0,1,4,"Successful"
"The weights [[made]] the rope stretch over the pulley.","The weights [[effected]] the rope stretch over the pulley.",0.017580866813659668,0.8321487903594971,1,0,1,5,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.6746603846549988,0.6746603846549988,0,0,1,1,"Skipped"
"If you had eaten more, you would want [[less]].","If you had eaten more, you would want [[lowest]].",0.014964580535888672,0.7817018628120422,1,0,1,3,"Successful"
"As you eat the most, you [[want]] the least.","As you eat the most, you [[wish]] the least.",0.32880276441574097,0.5336176753044128,0,1,0,9,"Successful"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9753618836402893,0.9753618836402893,1,1,0,1,"Skipped"
"I demand that the more John [[eat]], the more he pays.","I demand that the more John [[ate]], the more he pays.",0.37475889921188354,0.6657068729400635,0,1,0,6,"Successful"
"Mary listens to the Grateful Dead, she gets [[depressed]].","Mary listens to the Grateful Dead, she gets [[depressive]].",0.3077687621116638,0.6698586940765381,1,0,1,3,"Successful"
"The angrier Mary got, the more she [[looked]] at pictures.","The angrier Mary got, the more she [[seemed]] at pictures.",0.06658637523651123,0.8313348889350891,1,0,1,2,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[outlook]] are.",0.05168956518173218,0.4996448755264282,1,1,1,5,"Failed"
"The more Fred is obnoxious, the [[less]] attention you should [[pay]] to him.","The more Fred is obnoxious, the [[lowest]] attention you should [[paying]] to him.",0.07321256399154663,0.5966192483901978,1,0,1,17,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[alot]] more obnoxious than Fred.",0.027991652488708496,0.7539507150650024,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[obtain]] [[ill]].",0.029510438442230225,0.8116002082824707,1,0,1,8,"Successful"
"The more does Bill smoke, the more [[Susan]] hates him.","The more does Bill smoke, the more [[Susanne]] hates him.",0.4378238916397095,0.514330267906189,0,1,0,11,"Successful"
"The more pictures of him that [[appear]] in the news, the more [[embarrassed]] John [[becomes]].","The more pictures of him that [[appearing]] in the news, the more [[ashamed]] John [[become]].",0.046871721744537354,0.8951937556266785,1,0,1,6,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[talk]] to more lobbyists.",0.09496212005615234,0.858841061592102,1,0,1,11,"Successful"
"Who does John visit Sally because he [[likes]]?","Who does John visit Sally because he [[adores]]?",0.25443053245544434,0.3142935037612915,0,0,0,7,"Failed"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.012292563915252686,0.9407263398170471,1,0,1,2,"Successful"
"He could not] have been working.","He could not] have been working.",0.6855069398880005,0.6855069398880005,0,0,1,1,"Skipped"
"He can not have been [[working]].","He can not have been [[collaborated]].",0.01582622528076172,0.7696061730384827,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.019509494304656982,0.9499256014823914,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.023652493953704834,0.8382336497306824,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I [[seen]] a place like Bangor.","I [[told]] that never in my [[iife]] had I [[watched]] a place like Bangor.",0.03129148483276367,0.4593978524208069,1,1,1,14,"Failed"
"Mickey looked up it.","Mickey looked up it.",0.7574032545089722,0.7574032545089722,1,1,0,1,"Skipped"
