"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the [[panther's]] the [[coat]] is [[dark]] black.","the [[panther]] the [[panther]] is [[plain]] black.",0.031378746032714844,0.606235146522522,0,1,0,101,"Successful"
"[[It]] would be [[unwise]] for there to be no fire exit.","[[its]] would be [[dangerous]] for there to be no fire exit.",0.007185637950897217,0.8942295908927917,1,0,1,60,"Successful"
"John left us orders to follow Pete.","John left us orders to follow Pete.",0.55922532081604,0.55922532081604,0,0,1,1,"Skipped"
"[[The]] mechanical doll [[wriggled]] itself loose.","[[both]] mechanical doll [[shuddered]] itself loose.",0.015335381031036377,0.9743625521659851,1,0,1,73,"Successful"
"Frances [[hid]] the presents in the drawer.","Frances [[returned]] the presents in the drawer.",0.005842685699462891,0.916927695274353,1,0,1,54,"Successful"
"That dogs bark [[annoys]] [[people]].","That dogs bark [[killing]] [[dog]].",0.008564531803131104,0.9391962289810181,1,0,1,49,"Successful"
"[[Carla]] [[shoveled]] the walk.","[[nothing]] [[found]] the walk.",0.04842191934585571,0.913680911064148,1,0,1,128,"Successful"
"The birds [[give]] the worm a tug.","The birds [[asked]] the worm a tug.",0.02006155252456665,0.9720182418823242,1,0,1,55,"Successful"
"Michelle kept the desk with the [[papers]].","Michelle kept the desk with the [[paintings]].",0.32416385412216187,0.6366562843322754,0,1,0,54,"Successful"
"Sandy is [[wondering]] whether there will be students who have to drop the class for a certain reason, but she won't reveal what.","Sandy is [[wondered]] whether there will be students who have to drop the class for a certain reason, but she won't reveal what.",0.024706006050109863,0.8462557196617126,1,0,1,17,"Successful"
"[[I]] [[hit]] that you knew the answer.","[[it]] [[appears]] that you knew the answer.",0.022648513317108154,0.9834957122802734,0,1,0,64,"Successful"
"I [[dislike]] the company in which we placed our trust.","I [[is]] the company in which we placed our trust.",0.05671286582946777,0.8211544752120972,1,0,1,55,"Successful"
"The patient was [[died]].","The patient was [[saved]].",0.21967405080795288,0.9948215484619141,0,1,0,24,"Successful"
"I dislike the people in who we [[placed]] our trust.","I dislike the people in who we [[call]] our trust.",0.04520994424819946,0.6727827787399292,0,1,0,55,"Successful"
"You should [[sit]] before there.","You should [[practice]] before there.",0.36377960443496704,0.8402569890022278,0,1,0,63,"Successful"
"I would [[prefer]] for John to leave.","I would [[waiting]] for John to leave.",0.004553794860839844,0.9135937690734863,1,0,1,54,"Successful"
"Heidi [[thinks]] that [[Andy]] should [[eat]] salmon flavored candy bars.","Heidi [[suggest]] that [[anyone]] should [[have]] salmon flavored candy bars.",0.006048023700714111,0.7839149236679077,1,0,1,146,"Successful"
"Bill's wine from [[France]] and Ted's from California [[cannot]] be [[compared]].","Bill's wine from [[america]] and Ted's from California [[has]] be [[coincidence]].",0.12738841772079468,0.9448700547218323,1,0,1,120,"Successful"
"Us [[love]] they.","Us [[because]] they.",0.03147155046463013,0.11005443334579468,0,0,0,16,"Failed"
"The bed was slept in.","The bed was slept in.",0.580497145652771,0.580497145652771,0,0,1,1,"Skipped"
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.","Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0.967261016368866,0.967261016368866,1,1,0,1,"Skipped"
"The cat was [[bitten]] the mouse by the dog.","The cat was [[fed]] the mouse by the dog.",0.08039432764053345,0.9851788878440857,0,1,0,51,"Successful"
"John [[tried]] to be a good boy.","John [[supposed]] to be a good boy.",0.0087394118309021,0.9702771306037903,1,0,1,54,"Successful"
"[[We]] [[wanted]] to [[invite]] [[someone]], but we couldn't [[decide]] who to.","[[you]] [[agreed]] to [[control]] [[everyone]], but we couldn't [[tel]] who to.",0.1893368363380432,0.5929338932037354,0,1,0,191,"Successful"
"John [[finished]] the cake and drank the lemonade.","John [[placed]] the cake and drank the lemonade.",0.006160557270050049,0.9064624309539795,1,0,1,55,"Successful"
"Some people [[consider]] noisy dogs in my neighborhood dangerous.","Some people [[had]] noisy dogs in my neighborhood dangerous.",0.01259523630142212,0.8758959770202637,1,0,1,54,"Successful"
"Everyone relies on someone. [[It's]] unclear who.","Everyone relies on someone. [[everything]] unclear who.",0.08218961954116821,0.9623919725418091,1,0,1,16,"Successful"
"Captain Wentworth [[wrote]] a letter to Anne Elliott.","Captain Wentworth [[writing]] a letter to Anne Elliott.",0.006097197532653809,0.6224551200866699,1,0,1,55,"Successful"
"Whenever [[Russia]] has made a major political [[blunder]], the [[U]].S. has too.","Whenever [[anyone]] has made a major political [[influence]], the [[mrs]].S. has too.",0.10176783800125122,0.6234692335128784,1,0,1,142,"Successful"
"Some people [[consider]] the [[dogs]] dangerous.","Some people [[argue]] the [[latter]] dangerous.",0.006355762481689453,0.7999932169914246,1,0,1,104,"Successful"
"The defendant [[denied]] the accusation.","The defendant [[denying]] the accusation.",0.006052851676940918,0.7226701378822327,1,0,1,54,"Successful"
"We [[created]] a monster.","We [[is]] a monster.",0.009342432022094727,0.9656191468238831,1,0,1,53,"Successful"
"John said Joan [[saw]] someone from her graduating class.","John said Joan [[were]] someone from her graduating class.",0.007142782211303711,0.9185373783111572,1,0,1,56,"Successful"
"John is tall on several occasions.","John is tall on several occasions.",0.9227057695388794,0.9227057695388794,1,1,0,1,"Skipped"
"I [[dislike]] the people in whose house we stayed.","I [[wondered]] the people in whose house we stayed.",0.015393972396850586,0.7603339552879333,1,0,1,57,"Successful"
"That Fido barks [[annoys]] me.","That Fido barks [[until]] me.",0.01534348726272583,0.9667041897773743,1,0,1,49,"Successful"
"[[Bill]] [[ate]] more peaches than Harry did grapes.","[[thomas]] [[was]] more peaches than Harry did grapes.",0.05230271816253662,0.5106900930404663,1,0,1,81,"Successful"
"[[Nobody]] [[told]] Susan.","[[nothing]] [[seen]] Susan.",0.006635308265686035,0.9787552952766418,1,0,1,46,"Successful"
"His or her least [[known]] [[work]].","His or her least [[est]] [[contact]].",0.07982820272445679,0.9250711798667908,1,0,1,100,"Successful"
"We believed John to be a fountain in the [[park]].","We believed John to be a fountain in the [[darkness]].",0.10402929782867432,0.6574629545211792,0,1,0,55,"Successful"
"[[Will]] he can do it?","[[is]] he can do it?",0.4804278612136841,0.9525516629219055,1,0,1,22,"Successful"
"Kim and Terry is happy.","Kim and Terry is happy.",0.5176369547843933,0.5176369547843933,1,1,0,1,"Skipped"
"Fanny [[regretted]] having to talk to Aunt Norris.","Fanny [[said]] having to talk to Aunt Norris.",0.00725167989730835,0.9427982568740845,1,0,1,54,"Successful"
"Clinton is [[anxious]] to [[find]] out which budget dilemmas Panetta [[would]] be willing to tackle in a certain [[way]], but he won't say in which.","Clinton is [[quick]] to [[found]] out which budget dilemmas Panetta [[d]] be willing to tackle in a certain [[sense]], but he won't say in which.",0.01313793659210205,0.04431164264678955,1,1,1,39,"Failed"
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.","That the cops spoke to the janitor about it yesterday is terrible, that robbery.",0.8840218782424927,0.8840218782424927,1,1,0,1,"Skipped"
"Fiona [[might]] be here by 5 o'clock.","Fiona [[has]] be here by 5 o'clock.",0.01176595687866211,0.9583848714828491,1,0,1,43,"Successful"
"Vote for you!","Vote for you!",0.9595613479614258,0.9595613479614258,1,1,0,1,"Skipped"
"[[John]] is [[sick]].","[[father]] is [[single]].",0.006423056125640869,0.9648972749710083,1,0,1,82,"Successful"
"They [[knew]] that [[pictures]] of each other would be on sale.","They [[wanted]] that [[anything]] of each other would be on sale.",0.009516239166259766,0.817343533039093,1,0,1,90,"Successful"
